* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 8, 2023 4:59:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ D-Fi R (1011)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	80.127	-156.4224
20.600000	80.118	-156.6153
20.900000	80.102	-156.9811
21.200001	80.088	-157.3935
21.400000	80.077	-157.7110
21.799999	80.047	-158.4687
22.000000	80.024	-158.9063
22.400000	79.962	-159.8584
22.700001	79.902	-160.6002
23.000000	79.837	-161.3381
23.299999	79.773	-162.0670
23.600000	79.715	-162.7972
24.000000	79.653	-163.8011
24.299999	79.618	-164.5952
24.700001	79.579	-165.7048
25.000000	79.552	-166.5446
25.400000	79.520	-167.6133
25.799999	79.496	-168.5613
26.200001	79.491	-169.3722
26.500000	79.501	-169.9141
26.900000	79.531	-170.5946
27.200001	79.561	-171.0991
27.600000	79.602	-171.7700
28.000000	79.636	-172.4109
28.500000	79.664	-173.1100
29.000000	79.678	-173.6653
29.500000	79.681	-174.1012
30.000000	79.674	-174.4640
30.400000	79.660	-174.7251
30.700001	79.645	-174.9129
31.100000	79.619	-175.1659
31.500000	79.586	-175.4360
32.000000	79.536	-175.8131
32.500000	79.478	-176.2392
33.000000	79.417	-176.7155
33.500000	79.359	-177.2503
34.000000	79.307	-177.8488
34.500000	79.260	-178.4944
35.000000	79.217	-179.1531
35.500000	79.182	-179.7921
36.000000	79.157	179.6031
36.500000	79.141	179.0356
37.000000	79.133	178.5106
37.500000	79.129	178.0345
38.200001	79.124	177.4474
38.700001	79.117	177.0717
39.500000	79.089	176.5354
40.000000	79.060	176.2484
40.599998	79.016	175.9478
41.200001	78.968	175.6590
41.799999	78.917	175.3408
42.500000	78.853	174.9145
43.099998	78.797	174.5159
43.700001	78.745	174.0961
44.400002	78.692	173.5817
45.000000	78.654	173.1312
45.500000	78.627	172.7648
46.200001	78.594	172.2823
