* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 9:11:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.230	-2.0161
20.600000	85.235	-2.0656
20.900000	85.243	-2.1481
21.200001	85.246	-2.2123
21.400000	85.247	-2.2510
21.799999	85.248	-2.3432
22.000000	85.249	-2.4081
22.400000	85.251	-2.5899
22.700001	85.252	-2.7726
23.000000	85.251	-2.9868
23.299999	85.247	-3.2172
23.600000	85.242	-3.4503
24.000000	85.237	-3.7491
24.299999	85.235	-3.9589
24.700001	85.234	-4.2172
25.000000	85.235	-4.3889
25.400000	85.238	-4.5730
25.799999	85.245	-4.6968
26.200001	85.264	-4.7913
26.500000	85.284	-4.8850
26.900000	85.308	-5.0859
27.200001	85.315	-5.2909
27.600000	85.298	-5.5697
28.000000	85.256	-5.7212
28.500000	85.197	-5.5932
29.000000	85.184	-5.2543
29.500000	85.227	-5.0975
30.000000	85.276	-5.4026
30.400000	85.281	-5.8950
30.700001	85.259	-6.2831
31.100000	85.207	-6.6797
31.500000	85.152	-6.9002
32.000000	85.108	-7.0487
32.500000	85.094	-7.2527
33.000000	85.089	-7.5730
33.500000	85.085	-7.9300
34.000000	85.081	-8.2658
34.500000	85.077	-8.5852
35.000000	85.065	-8.8614
35.500000	85.048	-9.0064
36.000000	85.040	-8.9877
36.500000	85.054	-8.9006
37.000000	85.082	-8.8765
37.500000	85.105	-8.9270
38.200001	85.128	-8.9698
38.700001	85.157	-9.0091
39.500000	85.212	-9.5196
40.000000	85.200	-10.0975
40.599998	85.124	-10.6311
41.200001	85.049	-10.7202
41.799999	85.038	-10.7139
42.500000	85.067	-11.2144
43.099998	85.043	-11.9466
43.700001	84.976	-12.4626
44.400002	84.921	-12.7323
45.000000	84.907	-13.0167
45.500000	84.890	-13.3471
46.200001	84.852	-13.7302
46.799999	84.835	-13.9881
47.500000	84.821	-14.5053
48.200001	84.748	-15.1000
48.700001	84.663	-15.2265
49.400002	84.580	-14.8296
50.000000	84.593	-14.3800
50.799999	84.668	-14.3278
51.500000	84.689	-14.6277
52.200001	84.674	-14.7267
53.000000	84.687	-14.6000
53.799999	84.734	-14.6692
54.500000	84.766	-14.9685
55.200001	84.774	-15.4113
56.000000	84.744	-15.9438
57.000000	84.690	-16.2958
58.000000	84.682	-16.6351
59.000000	84.659	-17.1750
60.000000	84.611	-17.5821
60.799999	84.552	-17.7330
61.500000	84.507	-17.5658
62.200001	84.509	-17.3337
63.000000	84.523	-17.4367
64.000000	84.461	-17.7199
65.000000	84.397	-17.6231
66.000000	84.390	-17.7819
67.000000	84.366	-18.4110
68.000000	84.292	-19.1010
69.000000	84.203	-19.4642
70.000000	84.154	-19.5623
71.000000	84.139	-19.6391
72.000000	84.132	-19.7215
73.000000	84.124	-19.8307
74.000000	84.097	-19.9667
75.000000	84.056	-20.0043
76.199997	84.029	-20.0565
77.500000	83.998	-20.3374
78.800003	83.963	-20.5480
80.000000	83.942	-20.8373
81.199997	83.891	-21.1245
82.500000	83.832	-21.2421
83.800003	83.794	-21.3567
85.000000	83.769	-21.6865
86.199997	83.719	-22.1209
87.500000	83.649	-22.3939
88.500000	83.605	-22.3070
90.000000	83.625	-22.0637
91.199997	83.637	-22.2448
92.500000	83.609	-22.3424
93.800003	83.602	-22.5350
95.000000	83.578	-23.0121
96.199997	83.512	-23.5555
97.500000	83.405	-23.7604
98.800003	83.350	-23.5489
100.000000	83.347	-23.4667
101.500000	83.333	-23.6152
103.000000	83.288	-23.8135
104.400002	83.245	-23.9392
106.000000	83.212	-24.1057
107.500000	83.183	-24.2564
109.000000	83.151	-24.3521
110.599998	83.103	-24.4425
112.000000	83.054	-24.5348
113.800003	83.003	-24.7307
