* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 9:09:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.170	-0.8255
20.600000	85.177	-0.8992
20.900000	85.187	-1.0164
21.200001	85.191	-1.0908
21.400000	85.192	-1.1239
21.799999	85.195	-1.1883
22.000000	85.198	-1.2377
22.400000	85.205	-1.3948
22.700001	85.209	-1.5658
23.000000	85.209	-1.7713
23.299999	85.205	-1.9908
23.600000	85.200	-2.2059
24.000000	85.194	-2.4659
24.299999	85.195	-2.6400
24.700001	85.204	-2.8641
25.000000	85.217	-3.0460
25.400000	85.236	-3.3221
25.799999	85.251	-3.6235
26.200001	85.259	-3.9100
26.500000	85.261	-4.0896
26.900000	85.262	-4.2703
27.200001	85.263	-4.3733
27.600000	85.267	-4.5011
28.000000	85.270	-4.6525
28.500000	85.266	-4.8726
29.000000	85.249	-5.0620
29.500000	85.229	-5.1801
30.000000	85.215	-5.2731
30.400000	85.209	-5.3840
30.700001	85.205	-5.5009
31.100000	85.197	-5.6894
31.500000	85.184	-5.8906
32.000000	85.166	-6.1349
32.500000	85.151	-6.3764
33.000000	85.143	-6.6332
33.500000	85.140	-6.9075
34.000000	85.139	-7.1900
34.500000	85.137	-7.4736
35.000000	85.133	-7.7507
35.500000	85.126	-8.0033
36.000000	85.117	-8.2095
36.500000	85.109	-8.3626
37.000000	85.106	-8.4824
37.500000	85.107	-8.6031
38.200001	85.111	-8.8252
38.700001	85.108	-9.0303
39.500000	85.088	-9.3884
40.000000	85.068	-9.5844
40.599998	85.043	-9.7678
41.200001	85.027	-9.9334
41.799999	85.018	-10.1467
42.500000	85.004	-10.4670
43.099998	84.985	-10.7289
43.700001	84.966	-10.9357
44.400002	84.953	-11.1568
45.000000	84.944	-11.3750
45.500000	84.933	-11.5614
46.200001	84.916	-11.7965
46.799999	84.906	-12.0035
47.500000	84.891	-12.3013
48.200001	84.865	-12.5955
48.700001	84.844	-12.7463
49.400002	84.824	-12.8818
50.000000	84.820	-13.0036
50.799999	84.820	-13.2483
51.500000	84.812	-13.4945
52.200001	84.795	-13.6847
53.000000	84.776	-13.7775
53.799999	84.776	-13.8041
54.500000	84.789	-13.9363
55.200001	84.790	-14.2556
56.000000	84.750	-14.6631
57.000000	84.673	-14.8263
58.000000	84.645	-14.8144
59.000000	84.648	-15.0765
60.000000	84.625	-15.5131
60.799999	84.587	-15.7620
61.500000	84.560	-15.8424
62.200001	84.549	-15.8644
63.000000	84.551	-15.9455
64.000000	84.548	-16.2052
65.000000	84.516	-16.5406
66.000000	84.460	-16.7624
67.000000	84.415	-16.8554
68.000000	84.392	-17.0256
69.000000	84.370	-17.3249
70.000000	84.341	-17.6501
71.000000	84.305	-17.9325
72.000000	84.268	-18.1017
73.000000	84.244	-18.2149
74.000000	84.223	-18.3957
75.000000	84.193	-18.5976
76.199997	84.160	-18.8309
77.500000	84.133	-19.1478
78.800003	84.110	-19.3995
80.000000	84.103	-19.5739
81.199997	84.094	-19.7688
82.500000	84.061	-19.9693
83.800003	83.992	-20.1476
85.000000	83.909	-20.2055
86.199997	83.844	-20.2780
87.500000	83.788	-20.5022
88.500000	83.754	-20.6925
90.000000	83.726	-20.9869
91.199997	83.699	-21.1978
92.500000	83.690	-21.1604
93.800003	83.739	-21.4128
95.000000	83.745	-22.1679
96.199997	83.655	-22.8592
97.500000	83.544	-22.7858
98.800003	83.547	-22.5040
100.000000	83.569	-22.5741
101.500000	83.564	-22.6928
103.000000	83.533	-22.8338
104.400002	83.464	-22.9273
106.000000	83.402	-22.8792
107.500000	83.379	-23.0451
109.000000	83.366	-23.3323
110.599998	83.353	-23.5735
112.000000	83.337	-23.6407
113.800003	83.297	-23.6059
115.000000	83.250	-23.5664
117.199997	83.136	-23.7806
118.000000	83.079	-23.9729
120.599998	82.937	-24.0117
122.000000	82.984	-24.0917
124.099998	83.043	-24.6169
125.000000	83.042	-24.7675
126.500000	83.019	-24.8523
128.000000	82.985	-24.8554
131.500000	82.913	-25.0691
132.000000	82.904	-25.1141
134.000000	82.870	-25.2381
136.000000	82.834	-25.3311
138.000000	82.790	-25.4389
140.000000	82.749	-25.5645
143.000000	82.694	-25.7405
145.000000	82.653	-25.8264
147.500000	82.594	-25.9678
150.000000	82.532	-26.1155
152.500000	82.482	-26.2202
155.000000	82.437	-26.2928
157.500000	82.398	-26.3685
160.000000	82.340	-26.4979
162.500000	82.267	-26.5687
165.000000	82.209	-26.6415
167.500000	82.160	-26.6741
170.000000	82.112	-26.6130
172.500000	82.065	-26.5103
175.000000	82.023	-26.4741
177.500000	81.956	-26.3808
180.000000	81.882	-26.0062
182.500000	81.838	-25.5324
185.000000	81.824	-25.1362
187.500000	81.838	-24.7898
190.000000	81.907	-24.6210
192.500000	82.013	-24.8467
195.000000	82.087	-25.3169
197.500000	82.109	-25.6990
200.000000	82.101	-26.0496
203.000000	82.070	-26.5092
206.000000	82.026	-26.9118
209.000000	81.970	-27.2167
212.000000	81.918	-27.5264
214.000000	81.883	-27.7541
218.000000	81.808	-28.0261
220.000000	81.775	-28.1065
224.000000	81.719	-28.3815
227.000000	81.675	-28.5703
230.000000	81.624	-28.6334
233.000000	81.575	-28.6829
236.000000	81.531	-28.7844
240.000000	81.477	-28.8744
243.000000	81.436	-28.8736
247.000000	81.374	-28.8814
250.000000	81.332	-28.9244
254.000000	81.285	-28.9906
258.000000	81.245	-29.0602
262.000000	81.209	-29.1559
265.000000	81.176	-29.1741
269.000000	81.125	-29.1816
272.000000	81.088	-29.2546
276.000000	81.046	-29.3526
280.000000	81.006	-29.3792
285.000000	80.952	-29.4167
290.000000	80.892	-29.4277
295.000000	80.843	-29.4291
300.000000	80.811	-29.5122
304.000000	80.774	-29.6193
307.000000	80.741	-29.6624
311.000000	80.701	-29.6893
315.000000	80.663	-29.6974
320.000000	80.618	-29.6534
325.000000	80.572	-29.6128
330.000000	80.533	-29.5769
335.000000	80.506	-29.5482
340.000000	80.479	-29.5016
345.000000	80.445	-29.4614
350.000000	80.411	-29.4948
355.000000	80.389	-29.5271
360.000000	80.372	-29.5602
365.000000	80.336	-29.6888
370.000000	80.290	-29.8287
375.000000	80.246	-29.8810
382.000000	80.189	-29.9127
387.000000	80.145	-29.9864
395.000000	80.072	-30.0931
400.000000	80.028	-30.1552
406.000000	79.968	-30.2176
412.000000	79.905	-30.1908
418.000000	79.846	-30.1127
425.000000	79.785	-30.0223
431.000000	79.737	-29.9686
437.000000	79.691	-29.9204
444.000000	79.631	-29.8385
450.000000	79.581	-29.7681
455.000000	79.540	-29.7066
462.000000	79.483	-29.5794
468.000000	79.439	-29.4855
475.000000	79.386	-29.4248
482.000000	79.346	-29.3432
487.000000	79.322	-29.2437
494.000000	79.282	-29.1016
500.000000	79.252	-28.9903
508.000000	79.218	-28.9030
515.000000	79.181	-28.8843
522.000000	79.138	-28.8788
530.000000	79.089	-28.8130
538.000000	79.045	-28.7053
545.000000	79.005	-28.5931
552.000000	78.960	-28.4457
560.000000	78.901	-28.2878
570.000000	78.834	-28.1848
580.000000	78.782	-28.0055
590.000000	78.734	-27.6885
600.000000	78.678	-27.4520
608.000000	78.639	-27.3097
615.000000	78.603	-27.1291
622.000000	78.562	-26.9073
630.000000	78.515	-26.6990
640.000000	78.461	-26.4250
650.000000	78.406	-26.0896
660.000000	78.360	-25.7646
670.000000	78.318	-25.4361
680.000000	78.268	-25.1179
690.000000	78.221	-24.8182
700.000000	78.178	-24.4641
710.000000	78.141	-24.0656
720.000000	78.104	-23.6482
730.000000	78.070	-23.2638
740.000000	78.038	-22.8888
750.000000	78.006	-22.4564
762.000000	77.975	-21.9300
775.000000	77.939	-21.4455
788.000000	77.909	-20.9126
800.000000	77.889	-20.3482
812.000000	77.872	-19.7969
825.000000	77.871	-19.2150
838.000000	77.877	-18.7073
850.000000	77.881	-18.2195
862.000000	77.888	-17.6527
875.000000	77.904	-17.0529
885.000000	77.917	-16.6253
900.000000	77.938	-16.0389
912.000000	77.957	-15.5598
925.000000	77.987	-15.0386
938.000000	78.029	-14.5755
950.000000	78.072	-14.1658
962.000000	78.116	-13.7791
975.000000	78.169	-13.3937
988.000000	78.224	-13.1153
1000.000000	78.273	-12.8886
1015.000000	78.327	-12.5026
1030.000000	78.387	-12.1491
1044.000000	78.447	-11.8925
1060.000000	78.509	-11.6932
1075.000000	78.571	-11.5467
1090.000000	78.636	-11.4371
1106.000000	78.705	-11.3478
1120.000000	78.764	-11.2941
1138.000000	78.841	-11.2811
1150.000000	78.892	-11.2755
1172.000000	78.975	-11.2620
1180.000000	79.002	-11.2754
1206.000000	79.083	-11.3069
1220.000000	79.124	-11.3418
1241.000000	79.186	-11.4238
1250.000000	79.214	-11.4550
1265.000000	79.257	-11.4985
1280.000000	79.293	-11.5365
1315.000000	79.371	-11.5081
1320.000000	79.383	-11.4875
1340.000000	79.422	-11.4174
1360.000000	79.449	-11.3587
1380.000000	79.475	-11.3120
1400.000000	79.510	-11.2515
1430.000000	79.570	-11.0666
1450.000000	79.611	-10.9070
1475.000000	79.667	-10.6639
1500.000000	79.725	-10.4025
1525.000000	79.781	-10.1478
1550.000000	79.837	-9.8550
1575.000000	79.902	-9.5250
1600.000000	79.971	-9.2023
1625.000000	80.045	-8.8431
1650.000000	80.123	-8.4682
1675.000000	80.208	-8.1063
1700.000000	80.301	-7.7498
1725.000000	80.400	-7.3543
1750.000000	80.501	-6.9839
1775.000000	80.612	-6.6406
1800.000000	80.726	-6.3145
1825.000000	80.842	-6.0566
1850.000000	80.960	-5.7945
1875.000000	81.082	-5.4943
1900.000000	81.215	-5.2049
1925.000000	81.350	-4.9697
1950.000000	81.486	-4.7500
1975.000000	81.626	-4.5211
2000.000000	81.776	-4.3161
2030.000000	81.964	-4.1013
2060.000000	82.158	-3.8985
2090.000000	82.361	-3.7859
2120.000000	82.573	-3.7267
2140.000000	82.721	-3.7017
2180.000000	83.024	-3.7605
2200.000000	83.177	-3.8383
2240.000000	83.491	-4.0955
2270.000000	83.739	-4.3914
2300.000000	83.991	-4.7645
2330.000000	84.246	-5.2303
2360.000000	84.505	-5.8336
2400.000000	84.852	-6.8469
2430.000000	85.111	-7.7297
2470.000000	85.456	-9.1196
2500.000000	85.708	-10.3371
2540.000000	86.032	-12.1401
2580.000000	86.339	-14.1816
2620.000000	86.619	-16.4683
2650.000000	86.808	-18.3236
2690.000000	87.028	-20.9764
2720.000000	87.166	-23.0836
2760.000000	87.307	-25.9848
2800.000000	87.396	-28.9620
2850.000000	87.436	-32.7198
2900.000000	87.396	-36.3795
2950.000000	87.285	-39.8357
3000.000000	87.111	-43.0060
3040.000000	86.937	-45.2921
3070.000000	86.790	-46.8508
3110.000000	86.577	-48.7102
3150.000000	86.351	-50.3046
3200.000000	86.060	-51.9319
3250.000000	85.766	-53.1799
3300.000000	85.486	-54.1024
3350.000000	85.227	-54.7453
3400.000000	84.993	-55.1504
3450.000000	84.791	-55.4002
3500.000000	84.621	-55.5621
3550.000000	84.473	-55.6595
3600.000000	84.341	-55.7033
3650.000000	84.224	-55.6868
3700.000000	84.120	-55.6175
3750.000000	84.029	-55.5106
3820.000000	83.925	-55.3220
3870.000000	83.863	-55.1199
3950.000000	83.788	-54.7626
4000.000000	83.761	-54.5626
4060.000000	83.748	-54.3543
4120.000000	83.756	-54.2049
4180.000000	83.780	-54.1345
4250.000000	83.821	-54.1670
4310.000000	83.868	-54.3039
4370.000000	83.917	-54.5905
4440.000000	83.970	-55.1519
4500.000000	84.009	-55.8268
4550.000000	84.034	-56.5186
4620.000000	84.049	-57.6733
4680.000000	84.037	-58.8245
4750.000000	83.985	-60.3099
4820.000000	83.881	-61.8727
4870.000000	83.772	-62.9681
4940.000000	83.571	-64.4104
5000.000000	83.358	-65.5067
5080.000000	83.025	-66.6371
5150.000000	82.697	-67.2397
5220.000000	82.349	-67.4071
5300.000000	81.949	-67.0172
5380.000000	81.572	-65.9910
5450.000000	81.283	-64.6080
5520.000000	81.062	-62.8833
5600.000000	80.920	-60.7119
5700.000000	80.929	-58.1535
5800.000000	81.100	-56.4773
5900.000000	81.298	-56.2449
6000.000000	81.379	-57.2628
6080.000000	81.303	-58.3741
6150.000000	81.139	-59.1113
6220.000000	80.910	-59.3962
6300.000000	80.613	-59.0960
