* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 7:25:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_T-APB
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.865	-166.5181
20.600000	89.889	-166.9092
20.900000	89.934	-167.5952
21.200001	89.972	-168.2136
21.400000	89.995	-168.5913
21.799999	90.040	-169.3206
22.000000	90.065	-169.6949
22.400000	90.118	-170.4845
22.700001	90.158	-171.1293
23.000000	90.195	-171.8285
23.299999	90.227	-172.5670
23.600000	90.252	-173.3191
24.000000	90.278	-174.2964
24.299999	90.295	-174.9830
24.700001	90.320	-175.8314
25.000000	90.344	-176.4359
25.400000	90.381	-177.2366
25.799999	90.419	-178.0614
26.200001	90.453	-178.9058
26.500000	90.472	-179.5284
26.900000	90.489	179.6911
27.200001	90.497	179.1578
27.600000	90.507	178.5114
28.000000	90.523	177.9043
28.500000	90.549	177.1331
29.000000	90.574	176.3018
29.500000	90.589	175.4237
30.000000	90.595	174.5451
30.400000	90.599	173.8578
30.700001	90.603	173.3466
31.100000	90.608	172.6571
31.500000	90.613	171.9533
32.000000	90.616	171.0685
32.500000	90.618	170.2083
33.000000	90.622	169.3799
33.500000	90.634	168.5656
34.000000	90.650	167.7542
34.500000	90.666	166.9534
35.000000	90.680	166.1734
35.500000	90.694	165.4151
36.000000	90.707	164.6719
36.500000	90.719	163.9397
37.000000	90.727	163.2244
37.500000	90.732	162.5347
38.200001	90.734	161.6075
38.700001	90.735	160.9548
39.500000	90.735	159.8901
40.000000	90.734	159.2055
40.599998	90.728	158.3785
41.200001	90.719	157.5716
41.799999	90.712	156.7952
42.500000	90.709	155.9128
43.099998	90.714	155.1624
43.700001	90.720	154.4135
44.400002	90.728	153.5402
45.000000	90.733	152.7957
45.500000	90.737	152.1763
46.200001	90.740	151.2971
46.799999	90.734	150.5457
47.500000	90.719	149.7349
48.200001	90.711	148.9989
48.700001	90.713	148.4637
49.400002	90.715	147.6528
50.000000	90.709	146.9556
50.799999	90.702	146.1065
51.500000	90.711	145.3576
52.200001	90.723	144.5161
53.000000	90.722	143.5229
53.799999	90.712	142.6113
54.500000	90.705	141.8736
55.200001	90.699	141.1764
56.000000	90.697	140.4273
57.000000	90.703	139.5031
58.000000	90.711	138.5106
59.000000	90.702	137.4648
60.000000	90.675	136.5223
60.799999	90.662	135.8495
61.500000	90.661	135.2437
62.200001	90.663	134.6022
63.000000	90.666	133.8332
64.000000	90.661	132.8289
65.000000	90.644	131.8812
66.000000	90.634	131.0154
67.000000	90.633	130.1353
68.000000	90.629	129.2152
69.000000	90.616	128.2793
70.000000	90.596	127.4018
71.000000	90.583	126.5699
72.000000	90.573	125.6943
73.000000	90.555	124.8454
74.000000	90.542	124.0622
75.000000	90.533	123.2633
76.199997	90.517	122.3190
77.500000	90.503	121.3096
78.800003	90.491	120.2817
80.000000	90.481	119.3326
81.199997	90.470	118.3927
82.500000	90.458	117.4064
83.800003	90.447	116.4795
