* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 7:21:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_T-APB
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.396	-179.1746
20.600000	91.415	-179.4577
20.900000	91.452	-179.9683
21.200001	91.484	179.5298
21.400000	91.501	179.1931
21.799999	91.528	178.4877
22.000000	91.537	178.1153
22.400000	91.548	177.3528
22.700001	91.549	176.7827
23.000000	91.547	176.2231
23.299999	91.545	175.6762
23.600000	91.545	175.1379
24.000000	91.553	174.4212
24.299999	91.564	173.8735
24.700001	91.580	173.1232
25.000000	91.592	172.5513
25.400000	91.604	171.7956
25.799999	91.614	171.0700
26.200001	91.627	170.3811
26.500000	91.639	169.8804
26.900000	91.655	169.2194
27.200001	91.665	168.7228
27.600000	91.674	168.0642
28.000000	91.678	167.4290
28.500000	91.682	166.6865
29.000000	91.688	165.9651
29.500000	91.697	165.1903
30.000000	91.696	164.3314
30.400000	91.682	163.6282
30.700001	91.663	163.1318
31.100000	91.631	162.5545
31.500000	91.602	162.0832
32.000000	91.584	161.5871
32.500000	91.590	161.0754
33.000000	91.611	160.4482
33.500000	91.630	159.7080
34.000000	91.641	158.9360
34.500000	91.643	158.2036
35.000000	91.645	157.5184
35.500000	91.649	156.8504
36.000000	91.654	156.1781
36.500000	91.658	155.5058
37.000000	91.659	154.8483
37.500000	91.660	154.2067
38.200001	91.657	153.2988
38.700001	91.649	152.6265
39.500000	91.621	151.5708
40.000000	91.599	150.9704
40.599998	91.579	150.3041
41.200001	91.570	149.6355
41.799999	91.565	148.9231
42.500000	91.559	148.0555
43.099998	91.553	147.3233
43.700001	91.550	146.6132
44.400002	91.549	145.7888
45.000000	91.548	145.0652
45.500000	91.544	144.4540
46.200001	91.529	143.6266
46.799999	91.511	142.9890
47.500000	91.497	142.3184
48.200001	91.494	141.6369
48.700001	91.493	141.1116
49.400002	91.485	140.3492
50.000000	91.472	139.7081
50.799999	91.456	138.8751
51.500000	91.444	138.1445
52.200001	91.434	137.4051
53.000000	91.419	136.5645
53.799999	91.403	135.7664
54.500000	91.393	135.1134
55.200001	91.391	134.4715
56.000000	91.392	133.7087
57.000000	91.385	132.7076
58.000000	91.364	131.7121
59.000000	91.334	130.7685
60.000000	91.301	129.8727
60.799999	91.279	129.1641
61.500000	91.263	128.5282
62.200001	91.248	127.8837
63.000000	91.231	127.1547
64.000000	91.210	126.2508
65.000000	91.185	125.3981
66.000000	91.170	124.6193
67.000000	91.165	123.8054
68.000000	91.153	122.9403
69.000000	91.133	122.0926
70.000000	91.114	121.2525
71.000000	91.097	120.3737
72.000000	91.075	119.4746
73.000000	91.051	118.6244
74.000000	91.032	117.8226
75.000000	91.020	117.0274
76.199997	91.005	116.0705
77.500000	90.980	115.0477
78.800003	90.952	114.1139
80.000000	90.937	113.2638
81.199997	90.917	112.3221
82.500000	90.886	111.3224
