* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 7:13:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_50ohm
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.037	179.5374
20.600000	77.070	178.9811
20.900000	77.127	177.9812
21.200001	77.152	177.0291
21.400000	77.153	176.4538
21.799999	77.137	175.4337
22.000000	77.127	174.9770
22.400000	77.119	174.1299
22.700001	77.126	173.4858
23.000000	77.142	172.7683
23.299999	77.163	171.9485
23.600000	77.182	171.0246
24.000000	77.197	169.6652
24.299999	77.195	168.6083
24.700001	77.172	167.2482
25.000000	77.146	166.3293
25.400000	77.115	165.2756
25.799999	77.107	164.3591
26.200001	77.128	163.4387
26.500000	77.153	162.6703
26.900000	77.180	161.5261
27.200001	77.183	160.6343
27.600000	77.162	159.5198
28.000000	77.130	158.5940
28.500000	77.107	157.6605
29.000000	77.119	156.6989
29.500000	77.134	155.4886
30.000000	77.115	154.1029
30.400000	77.069	153.0463
30.700001	77.025	152.3507
31.100000	76.970	151.5480
31.500000	76.930	150.8134
32.000000	76.900	149.8547
32.500000	76.877	148.7895
33.000000	76.847	147.6624
33.500000	76.815	146.5319
34.000000	76.781	145.4204
34.500000	76.745	144.3355
35.000000	76.705	143.2952
35.500000	76.667	142.3066
36.000000	76.635	141.3376
36.500000	76.604	140.3500
37.000000	76.566	139.3604
37.500000	76.519	138.4313
38.200001	76.457	137.2702
38.700001	76.426	136.4601
39.500000	76.384	135.0485
40.000000	76.351	134.1393
40.599998	76.311	133.0757
41.200001	76.271	131.9968
41.799999	76.216	130.9084
42.500000	76.131	129.8506
43.099998	76.082	129.2087
43.700001	76.080	128.4916
44.400002	76.075	127.1920
45.000000	76.002	125.9180
45.500000	75.903	125.0878
46.200001	75.781	124.3060
46.799999	75.717	123.6449
47.500000	75.651	122.7081
48.200001	75.592	121.7513
48.700001	75.569	120.9958
49.400002	75.535	119.6812
50.000000	75.473	118.4948
50.799999	75.372	117.2309
51.500000	75.317	116.2971
