* Measurement data measured by REW V5.20.7
* Source: ???(Realtek High Definition Audi, no input selected, L, volume: no control
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13-Oct-2022 18:13:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sonicast direm pro 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.660	22.5784
20.600000	78.612	22.6023
20.900000	78.540	22.6994
21.200001	78.539	22.8451
21.400000	78.568	22.8245
21.799999	78.644	22.3618
22.000000	78.666	21.9293
22.400000	78.649	20.9085
22.700001	78.592	20.2547
23.000000	78.525	19.8252
23.299999	78.476	19.5581
23.600000	78.459	19.3185
24.000000	78.477	18.8212
24.299999	78.500	18.2292
24.700001	78.513	17.2123
25.000000	78.501	16.4042
25.400000	78.463	15.4166
25.799999	78.420	14.5913
26.200001	78.386	13.8845
26.500000	78.367	13.3946
26.900000	78.345	12.7812
27.200001	78.332	12.3590
27.600000	78.321	11.8460
28.000000	78.322	11.3431
28.500000	78.332	10.6251
29.000000	78.323	9.8044
29.500000	78.280	9.0587
30.000000	78.225	8.5771
30.400000	78.198	8.3587
30.700001	78.195	8.2140
31.100000	78.210	7.9302
31.500000	78.231	7.4830
32.000000	78.243	6.7215
32.500000	78.225	5.8482
33.000000	78.177	4.9757
33.500000	78.103	4.2095
34.000000	78.016	3.6920
34.500000	77.953	3.4716
35.000000	77.946	3.3598
35.500000	77.989	3.0095
36.000000	78.033	2.2599
36.500000	78.030	1.2930
37.000000	77.980	0.4500
37.500000	77.914	-0.1103
38.200001	77.850	-0.6095
38.700001	77.821	-0.9410
39.500000	77.781	-1.4547
40.000000	77.764	-1.7705
40.599998	77.747	-2.2213
41.200001	77.715	-2.7305
41.799999	77.668	-3.1887
42.500000	77.611	-3.6320
43.099998	77.563	-3.9889
43.700001	77.514	-4.3024
44.400002	77.469	-4.6093
45.000000	77.448	-4.9395
45.500000	77.431	-5.3203
46.200001	77.389	-5.9195
46.799999	77.342	-6.3756
47.500000	77.293	-6.8464
48.200001	77.248	-7.3079
48.700001	77.216	-7.6058
49.400002	77.181	-7.9573
50.000000	77.165	-8.2818
50.799999	77.144	-8.8567
51.500000	77.104	-9.3817
52.200001	77.054	-9.7879
53.000000	77.006	-10.1622
53.799999	76.962	-10.5490
54.500000	76.920	-10.8630
55.200001	76.882	-11.1394
56.000000	76.845	-11.4809
57.000000	76.794	-11.9551
58.000000	76.738	-12.3910
59.000000	76.687	-12.8189
60.000000	76.636	-13.2841
60.799999	76.589	-13.6720
61.500000	76.541	-13.9814
62.200001	76.491	-14.2375
63.000000	76.439	-14.4852
64.000000	76.380	-14.7695
65.000000	76.328	-15.0397
66.000000	76.281	-15.3312
67.000000	76.230	-15.6414
68.000000	76.176	-15.9203
69.000000	76.128	-16.1908
70.000000	76.080	-16.4972
71.000000	76.028	-16.8215
72.000000	75.973	-17.1390
73.000000	75.917	-17.4459
74.000000	75.858	-17.7297
75.000000	75.799	-17.9663
76.199997	75.733	-18.2196
77.500000	75.663	-18.4791
78.800003	75.597	-18.7005
80.000000	75.545	-18.9370
81.199997	75.489	-19.2156
82.500000	75.426	-19.5035
83.800003	75.361	-19.7862
85.000000	75.299	-20.0294
86.199997	75.239	-20.2404
87.500000	75.178	-20.4728
88.500000	75.131	-20.6744
90.000000	75.054	-20.9490
91.199997	74.994	-21.1143
