* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 7:17:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_9k
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.764	-121.2740
20.600000	78.811	-121.6538
20.900000	78.904	-122.3030
21.200001	78.983	-122.8455
21.400000	79.033	-123.1608
21.799999	79.130	-123.7655
22.000000	79.180	-124.0868
22.400000	79.279	-124.7861
22.700001	79.347	-125.3515
23.000000	79.410	-125.9366
23.299999	79.470	-126.5259
23.600000	79.526	-127.1128
24.000000	79.598	-127.8865
24.299999	79.650	-128.4528
24.700001	79.719	-129.1701
25.000000	79.772	-129.6700
25.400000	79.851	-130.3008
25.799999	79.943	-130.9551
26.200001	80.037	-131.7046
26.500000	80.099	-132.3320
26.900000	80.161	-133.1919
27.200001	80.191	-133.7830
27.600000	80.222	-134.4326
28.000000	80.260	-134.9466
28.500000	80.327	-135.5711
29.000000	80.396	-136.3251
29.500000	80.443	-137.1233
30.000000	80.481	-137.7984
30.400000	80.527	-138.2796
30.700001	80.574	-138.6860
31.100000	80.639	-139.3689
31.500000	80.688	-140.1813
32.000000	80.718	-141.1643
32.500000	80.741	-141.9098
33.000000	80.799	-142.5193
33.500000	80.890	-143.2708
34.000000	80.971	-144.2458
34.500000	81.017	-145.2175
35.000000	81.045	-145.9693
35.500000	81.090	-146.5394
36.000000	81.152	-147.1169
36.500000	81.207	-147.7552
37.000000	81.245	-148.3291
37.500000	81.282	-148.7579
38.200001	81.363	-149.3460
38.700001	81.420	-149.9575
39.500000	81.446	-151.0601
40.000000	81.436	-151.5576
40.599998	81.445	-151.9758
41.200001	81.487	-152.5172
41.799999	81.522	-153.3227
42.500000	81.517	-154.2907
43.099998	81.508	-154.8625
43.700001	81.538	-155.3336
44.400002	81.609	-156.0963
45.000000	81.661	-156.9254
45.500000	81.696	-157.6084
46.200001	81.750	-158.5891
46.799999	81.781	-159.5879
47.500000	81.751	-160.7146
48.200001	81.676	-161.2983
48.700001	81.649	-161.3734
49.400002	81.678	-161.4420
50.000000	81.729	-161.7680
50.799999	81.764	-162.4904
51.500000	81.754	-163.0715
52.200001	81.739	-163.4557
53.000000	81.757	-163.8331
53.799999	81.791	-164.4884
54.500000	81.787	-165.2170
55.200001	81.755	-165.7492
56.000000	81.753	-166.1044
57.000000	81.806	-166.8672
58.000000	81.796	-167.9157
59.000000	81.758	-168.4849
60.000000	81.782	-168.9733
60.799999	81.795	-169.6358
61.500000	81.771	-170.1848
62.200001	81.742	-170.5336
63.000000	81.738	-170.8358
64.000000	81.757	-171.4499
65.000000	81.744	-172.2329
66.000000	81.713	-172.8265
