* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 7:18:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_최대
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.470	-126.8429
20.600000	84.515	-127.1776
20.900000	84.604	-127.7722
21.200001	84.681	-128.3305
21.400000	84.726	-128.6867
21.799999	84.808	-129.3992
22.000000	84.847	-129.7663
22.400000	84.923	-130.5173
22.700001	84.978	-131.0953
23.000000	85.033	-131.6930
23.299999	85.088	-132.3151
23.600000	85.142	-132.9608
24.000000	85.210	-133.8472
24.299999	85.257	-134.5119
24.700001	85.318	-135.3694
25.000000	85.363	-135.9787
25.400000	85.427	-136.7485
25.799999	85.497	-137.4941
26.200001	85.570	-138.2420
26.500000	85.623	-138.8086
26.900000	85.691	-139.5610
27.200001	85.737	-140.1104
27.600000	85.794	-140.8116
28.000000	85.848	-141.4789
28.500000	85.910	-142.2824
29.000000	85.966	-143.0624
29.500000	86.015	-143.8092
30.000000	86.060	-144.5199
30.400000	86.097	-145.0791
30.700001	86.125	-145.5048
31.100000	86.162	-146.0896
31.500000	86.196	-146.6913
32.000000	86.234	-147.4509
32.500000	86.269	-148.2047
33.000000	86.304	-148.9513
33.500000	86.336	-149.6911
34.000000	86.367	-150.4130
34.500000	86.397	-151.1054
35.000000	86.429	-151.7716
35.500000	86.462	-152.4264
36.000000	86.493	-153.0741
36.500000	86.521	-153.7021
37.000000	86.548	-154.2990
37.500000	86.577	-154.8766
38.200001	86.618	-155.7102
38.700001	86.642	-156.3374
39.500000	86.661	-157.3025
40.000000	86.669	-157.8343
40.599998	86.687	-158.4351
41.200001	86.712	-159.0770
41.799999	86.730	-159.7690
42.500000	86.740	-160.5494
43.099998	86.747	-161.1561
43.700001	86.757	-161.7493
44.400002	86.768	-162.4552
45.000000	86.771	-163.0415
45.500000	86.774	-163.5056
46.200001	86.779	-164.1441
46.799999	86.781	-164.6855
47.500000	86.784	-165.2778
48.200001	86.800	-165.8736
48.700001	86.816	-166.3694
49.400002	86.825	-167.1768
50.000000	86.811	-167.8598
50.799999	86.778	-168.5757
51.500000	86.764	-169.0543
52.200001	86.767	-169.5358
53.000000	86.775	-170.1553
53.799999	86.777	-170.8153
54.500000	86.771	-171.3888
55.200001	86.759	-171.9230
56.000000	86.747	-172.4881
57.000000	86.735	-173.2069
58.000000	86.717	-173.9279
59.000000	86.698	-174.6091
60.000000	86.681	-175.2848
60.799999	86.665	-175.8073
61.500000	86.652	-176.2413
62.200001	86.639	-176.6623
63.000000	86.624	-177.1386
64.000000	86.602	-177.7285
65.000000	86.577	-178.3027
66.000000	86.552	-178.8660
67.000000	86.525	-179.4300
68.000000	86.497	-179.9789
69.000000	86.470	179.4850
70.000000	86.444	178.9532
71.000000	86.418	178.4351
72.000000	86.391	177.9209
73.000000	86.359	177.4269
74.000000	86.326	176.9801
75.000000	86.299	176.5389
76.199997	86.266	175.9577
77.500000	86.220	175.3494
78.800003	86.179	174.7998
80.000000	86.144	174.2956
81.199997	86.107	173.8263
82.500000	86.068	173.3278
83.800003	86.024	172.8511
85.000000	85.984	172.4265
86.199997	85.943	171.9948
87.500000	85.897	171.5329
88.500000	85.862	171.1915
90.000000	85.812	170.7184
91.199997	85.777	170.3473
92.500000	85.737	169.9163
93.800003	85.685	169.4938
95.000000	85.633	169.1686
96.199997	85.588	168.8832
97.500000	85.548	168.5380
98.800003	85.506	168.1433
100.000000	85.463	167.8007
101.500000	85.407	167.4214
103.000000	85.354	167.0790
104.400002	85.308	166.7389
106.000000	85.253	166.3323
107.500000	85.199	165.9715
109.000000	85.145	165.6388
110.599998	85.086	165.3135
112.000000	85.034	165.0387
113.800003	84.967	164.6692
115.000000	84.926	164.4120
117.199997	84.864	163.9702
118.000000	84.847	163.8081
120.599998	84.771	163.2751
122.000000	84.715	163.1100
124.099998	84.635	162.8907
125.000000	84.602	162.7791
126.500000	84.550	162.5713
128.000000	84.501	162.3543
131.500000	84.393	161.8874
132.000000	84.377	161.8232
134.000000	84.310	161.5681
136.000000	84.243	161.3091
138.000000	84.177	161.0690
140.000000	84.116	160.8431
143.000000	84.020	160.5350
145.000000	83.957	160.3858
147.500000	83.887	160.2229
150.000000	83.819	160.0094
152.500000	83.740	159.7628
155.000000	83.660	159.5676
157.500000	83.587	159.3929
160.000000	83.516	159.2189
162.500000	83.444	159.0638
165.000000	83.373	158.9221
167.500000	83.302	158.7798
170.000000	83.230	158.6691
172.500000	83.161	158.5854
175.000000	83.097	158.5034
177.500000	83.034	158.4125
180.000000	82.969	158.3139
182.500000	82.904	158.2355
185.000000	82.840	158.1685
187.500000	82.778	158.0941
190.000000	82.715	158.0226
192.500000	82.655	157.9817
195.000000	82.600	157.9654
197.500000	82.542	157.9532
200.000000	82.479	157.9385
203.000000	82.406	157.9081
206.000000	82.340	157.8727
209.000000	82.276	157.8238
212.000000	82.208	157.7826
214.000000	82.163	157.7785
218.000000	82.077	157.8043
220.000000	82.034	157.8182
224.000000	81.949	157.8376
227.000000	81.888	157.8528
230.000000	81.829	157.8824
233.000000	81.770	157.9135
236.000000	81.713	157.9594
240.000000	81.639	158.0538
243.000000	81.581	158.1062
247.000000	81.505	158.1617
250.000000	81.450	158.2288
254.000000	81.379	158.3235
258.000000	81.310	158.3852
262.000000	81.241	158.4442
265.000000	81.188	158.5285
269.000000	81.123	158.6656
272.000000	81.077	158.7573
276.000000	81.016	158.8706
280.000000	80.954	158.9814
285.000000	80.878	159.1329
290.000000	80.802	159.2997
295.000000	80.724	159.4688
300.000000	80.655	159.6354
304.000000	80.601	159.7462
307.000000	80.562	159.8472
311.000000	80.510	160.0010
315.000000	80.458	160.1543
320.000000	80.399	160.3558
325.000000	80.339	160.5327
330.000000	80.270	160.7057
335.000000	80.203	160.9199
340.000000	80.143	161.1493
345.000000	80.089	161.3483
350.000000	80.039	161.5530
355.000000	79.987	161.7662
360.000000	79.934	161.9877
365.000000	79.879	162.2098
370.000000	79.822	162.4334
375.000000	79.769	162.6608
382.000000	79.697	162.9611
387.000000	79.649	163.1859
395.000000	79.575	163.5494
400.000000	79.528	163.7547
406.000000	79.478	163.9992
412.000000	79.427	164.2611
418.000000	79.375	164.5572
425.000000	79.316	164.9406
431.000000	79.268	165.2375
437.000000	79.221	165.4979
444.000000	79.170	165.8125
450.000000	79.127	166.1129
455.000000	79.092	166.3621
462.000000	79.042	166.7098
468.000000	79.001	167.0020
475.000000	78.952	167.3418
482.000000	78.905	167.6931
487.000000	78.873	167.9544
494.000000	78.829	168.3081
500.000000	78.792	168.5982
508.000000	78.745	168.9843
515.000000	78.701	169.3333
522.000000	78.658	169.7139
530.000000	78.614	170.1400
538.000000	78.573	170.5265
545.000000	78.541	170.8598
552.000000	78.508	171.1977
560.000000	78.468	171.5801
570.000000	78.422	172.0994
580.000000	78.376	172.6302
590.000000	78.333	173.1544
600.000000	78.294	173.6926
608.000000	78.262	174.1102
615.000000	78.234	174.4590
622.000000	78.207	174.8072
630.000000	78.176	175.2085
640.000000	78.137	175.7369
650.000000	78.100	176.2900
660.000000	78.061	176.8380
670.000000	78.024	177.4134
680.000000	77.987	178.0300
690.000000	77.957	178.6638
700.000000	77.934	179.3099
710.000000	77.915	179.9732
720.000000	77.899	-179.3615
730.000000	77.886	-178.7043
740.000000	77.876	-178.0243
750.000000	77.873	-177.3445
762.000000	77.877	-176.5681
775.000000	77.889	-175.7375
788.000000	77.904	-174.8994
800.000000	77.918	-174.1227
812.000000	77.935	-173.3751
825.000000	77.961	-172.5612
838.000000	77.995	-171.7693
850.000000	78.029	-171.0857
862.000000	78.068	-170.3911
875.000000	78.113	-169.6380
885.000000	78.149	-169.0819
900.000000	78.208	-168.2850
912.000000	78.257	-167.6638
925.000000	78.308	-166.9790
938.000000	78.360	-166.2725
950.000000	78.413	-165.6077
962.000000	78.472	-164.9172
975.000000	78.550	-164.1525
988.000000	78.646	-163.4008
1000.000000	78.744	-162.7547
1015.000000	78.868	-162.0632
1030.000000	79.000	-161.4841
1044.000000	79.129	-161.0134
1060.000000	79.280	-160.5581
1075.000000	79.419	-160.2185
1090.000000	79.556	-159.9404
1106.000000	79.704	-159.7272
1120.000000	79.830	-159.6046
1138.000000	79.989	-159.5001
1150.000000	80.092	-159.4682
1172.000000	80.270	-159.5024
1180.000000	80.332	-159.5341
1206.000000	80.525	-159.7050
1220.000000	80.625	-159.8447
1241.000000	80.768	-160.1021
1250.000000	80.826	-160.2188
