* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 7:20:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_최대
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.569	-123.7094
20.600000	81.622	-124.0581
20.900000	81.724	-124.6845
21.200001	81.805	-125.2862
21.400000	81.849	-125.6656
21.799999	81.921	-126.3902
22.000000	81.954	-126.7407
22.400000	82.018	-127.4193
22.700001	82.068	-127.9268
23.000000	82.122	-128.4580
23.299999	82.176	-129.0250
23.600000	82.230	-129.6267
24.000000	82.298	-130.4630
24.299999	82.346	-131.0908
24.700001	82.408	-131.9018
25.000000	82.457	-132.4862
25.400000	82.527	-133.2473
25.799999	82.601	-134.0102
26.200001	82.674	-134.7784
26.500000	82.725	-135.3441
26.900000	82.789	-136.0604
27.200001	82.835	-136.5591
27.600000	82.898	-137.1783
28.000000	82.962	-137.7712
28.500000	83.041	-138.5148
29.000000	83.112	-139.2702
29.500000	83.171	-140.0142
30.000000	83.220	-140.7212
30.400000	83.254	-141.2522
30.700001	83.278	-141.6299
31.100000	83.311	-142.1119
31.500000	83.348	-142.5854
32.000000	83.399	-143.2053
32.500000	83.451	-143.8919
33.000000	83.495	-144.6319
33.500000	83.529	-145.3671
34.000000	83.557	-146.0451
34.500000	83.587	-146.6625
35.000000	83.623	-147.2467
35.500000	83.661	-147.8183
36.000000	83.702	-148.3812
36.500000	83.743	-148.9404
37.000000	83.784	-149.5065
37.500000	83.820	-150.0802
38.200001	83.863	-150.8730
38.700001	83.887	-151.4231
39.500000	83.917	-152.2672
40.000000	83.931	-152.7480
40.599998	83.953	-153.2768
41.200001	83.985	-153.8272
41.799999	84.016	-154.4524
42.500000	84.036	-155.1883
43.099998	84.052	-155.7264
43.700001	84.082	-156.2381
44.400002	84.124	-156.9409
45.000000	84.147	-157.6239
45.500000	84.152	-158.1717
46.200001	84.147	-158.8379
46.799999	84.141	-159.3242
47.500000	84.134	-159.8488
48.200001	84.120	-160.3385
48.700001	84.105	-160.6068
49.400002	84.099	-160.7946
50.000000	84.137	-160.9307
50.799999	84.225	-161.5308
51.500000	84.263	-162.4510
52.200001	84.245	-163.2889
53.000000	84.218	-163.9044
53.799999	84.219	-164.4309
54.500000	84.225	-164.9254
55.200001	84.233	-165.3953
56.000000	84.250	-165.9552
57.000000	84.259	-166.7515
58.000000	84.244	-167.4581
59.000000	84.233	-168.0265
60.000000	84.230	-168.5892
60.799999	84.227	-169.0410
61.500000	84.223	-169.4185
62.200001	84.222	-169.7925
63.000000	84.219	-170.2251
64.000000	84.215	-170.7583
65.000000	84.208	-171.2965
66.000000	84.195	-171.8160
67.000000	84.182	-172.3006
68.000000	84.170	-172.7878
69.000000	84.156	-173.2619
70.000000	84.145	-173.7258
71.000000	84.135	-174.2089
72.000000	84.122	-174.6970
73.000000	84.109	-175.1640
74.000000	84.096	-175.6443
75.000000	84.072	-176.1022
76.199997	84.046	-176.5335
77.500000	84.030	-177.0154
78.800003	84.009	-177.5325
80.000000	83.988	-178.0029
81.199997	83.964	-178.4929
82.500000	83.932	-178.9687
