* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 7:17:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_8k
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	78.683	-121.7994
20.600000	78.786	-122.5730
20.900000	78.944	-123.9846
21.200001	78.980	-125.3269
21.400000	78.947	-125.9899
21.799999	78.820	-126.5630
22.000000	78.770	-126.4647
22.400000	78.778	-125.7783
22.700001	78.899	-125.3285
23.000000	79.089	-125.3877
23.299999	79.285	-126.0762
23.600000	79.441	-127.2583
24.000000	79.549	-129.1569
24.299999	79.563	-130.4354
24.700001	79.561	-131.6830
25.000000	79.577	-132.3430
25.400000	79.647	-133.1544
25.799999	79.739	-134.1785
26.200001	79.797	-135.3618
26.500000	79.807	-136.1355
26.900000	79.805	-136.7642
27.200001	79.818	-136.9206
27.600000	79.907	-136.9545
28.000000	80.061	-137.2287
28.500000	80.250	-138.2526
29.000000	80.334	-139.6282
29.500000	80.324	-140.6114
30.000000	80.321	-140.9492
30.400000	80.375	-141.0652
30.700001	80.445	-141.2717
31.100000	80.541	-141.8164
31.500000	80.612	-142.5750
32.000000	80.657	-143.5170
32.500000	80.686	-144.2426
33.000000	80.737	-144.8339
33.500000	80.810	-145.4707
34.000000	80.890	-146.2242
34.500000	80.963	-147.0750
35.000000	81.021	-148.0083
35.500000	81.051	-148.9724
36.000000	81.047	-149.8244
36.500000	81.028	-150.4357
37.000000	81.024	-150.8572
37.500000	81.044	-151.2972
38.200001	81.068	-152.1645
38.700001	81.053	-152.8072
39.500000	81.023	-153.4835
40.000000	81.041	-153.8284
40.599998	81.091	-154.4307
41.200001	81.137	-155.2328
41.799999	81.171	-156.0452
42.500000	81.216	-156.9015
43.099998	81.268	-157.6118
43.700001	81.326	-158.3472
44.400002	81.387	-159.2843
45.000000	81.408	-160.1158
45.500000	81.397	-160.6683
46.200001	81.375	-161.0308
46.799999	81.400	-161.1336
47.500000	81.470	-161.5287
48.200001	81.512	-162.2831
48.700001	81.513	-162.8235
49.400002	81.511	-163.4645
50.000000	81.520	-164.0840
50.799999	81.504	-165.0891
51.500000	81.451	-165.8068
52.200001	81.408	-166.1964
53.000000	81.415	-166.5341
53.799999	81.447	-167.0908
54.500000	81.456	-167.6749
55.200001	81.451	-168.1483
56.000000	81.465	-168.6107
57.000000	81.494	-169.4865
58.000000	81.465	-170.5626
59.000000	81.393	-171.3914
60.000000	81.334	-171.9316
60.799999	81.316	-172.2975
61.500000	81.316	-172.6896
62.200001	81.313	-173.1454
63.000000	81.301	-173.6638
64.000000	81.278	-174.2440
65.000000	81.255	-174.7198
66.000000	81.246	-175.2098
67.000000	81.234	-175.8327
68.000000	81.204	-176.4996
69.000000	81.167	-177.0673
70.000000	81.155	-177.5732
71.000000	81.159	-178.2219
72.000000	81.148	-178.9560
