* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 7:20:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_8k
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	79.597	-127.1050
20.600000	79.636	-127.4271
20.900000	79.713	-127.9917
21.200001	79.785	-128.5069
21.400000	79.831	-128.8415
21.799999	79.920	-129.5532
22.000000	79.962	-129.9470
22.400000	80.039	-130.7941
22.700001	80.087	-131.4508
23.000000	80.131	-132.1010
23.299999	80.174	-132.7344
23.600000	80.219	-133.3548
24.000000	80.283	-134.1782
24.299999	80.334	-134.8057
24.700001	80.404	-135.6577
25.000000	80.456	-136.2971
25.400000	80.523	-137.1282
25.799999	80.589	-137.9154
26.200001	80.656	-138.6543
26.500000	80.707	-139.1826
26.900000	80.777	-139.8639
27.200001	80.830	-140.3661
27.600000	80.899	-141.0321
28.000000	80.962	-141.6971
28.500000	81.032	-142.5178
29.000000	81.090	-143.3052
29.500000	81.139	-144.0506
30.000000	81.183	-144.7738
30.400000	81.214	-145.3542
30.700001	81.234	-145.7908
31.100000	81.257	-146.3613
31.500000	81.278	-146.9034
32.000000	81.308	-147.5446
32.500000	81.349	-148.1993
33.000000	81.396	-148.9328
33.500000	81.436	-149.7437
34.000000	81.465	-150.5576
34.500000	81.487	-151.3017
35.000000	81.512	-151.9721
35.500000	81.544	-152.6156
36.000000	81.579	-153.2654
36.500000	81.611	-153.9129
37.000000	81.640	-154.5370
37.500000	81.667	-155.1375
38.200001	81.702	-155.9631
38.700001	81.721	-156.5447
39.500000	81.744	-157.4445
40.000000	81.754	-157.9892
40.599998	81.762	-158.6211
41.200001	81.770	-159.2182
41.799999	81.783	-159.8006
42.500000	81.803	-160.5180
43.099998	81.816	-161.1667
43.700001	81.823	-161.7971
44.400002	81.832	-162.4886
45.000000	81.843	-163.0765
45.500000	81.850	-163.5739
46.200001	81.853	-164.2514
46.799999	81.854	-164.7933
47.500000	81.856	-165.4039
48.200001	81.856	-166.0179
48.700001	81.854	-166.4523
49.400002	81.848	-167.0380
50.000000	81.843	-167.5203
50.799999	81.839	-168.1569
51.500000	81.838	-168.7300
52.200001	81.835	-169.3223
53.000000	81.827	-169.9918
53.799999	81.815	-170.6159
54.500000	81.806	-171.1193
55.200001	81.801	-171.5935
56.000000	81.803	-172.1329
57.000000	81.806	-172.8595
58.000000	81.799	-173.6017
59.000000	81.783	-174.3036
60.000000	81.761	-174.9829
60.799999	81.735	-175.4791
61.500000	81.713	-175.8584
62.200001	81.696	-176.2150
63.000000	81.681	-176.6503
64.000000	81.659	-177.2431
65.000000	81.629	-177.8103
66.000000	81.601	-178.3328
67.000000	81.578	-178.8505
68.000000	81.555	-179.3658
69.000000	81.530	-179.8592
70.000000	81.504	179.6641
71.000000	81.477	179.1972
72.000000	81.449	178.7142
73.000000	81.416	178.2174
74.000000	81.378	177.7252
75.000000	81.338	177.2740
76.199997	81.301	176.7808
77.500000	81.268	176.1785
78.800003	81.226	175.6089
80.000000	81.189	175.1373
81.199997	81.153	174.6681
82.500000	81.107	174.1646
83.800003	81.055	173.7187
85.000000	81.011	173.3434
86.199997	80.969	172.9404
87.500000	80.920	172.4705
88.500000	80.878	172.1157
90.000000	80.822	171.6266
91.199997	80.786	171.2154
92.500000	80.745	170.7555
93.800003	80.699	170.3756
95.000000	80.661	170.1014
96.199997	80.627	169.8385
97.500000	80.585	169.5135
98.800003	80.530	169.1757
100.000000	80.471	168.8900
101.500000	80.394	168.5863
103.000000	80.325	168.2975
104.400002	80.267	168.0043
106.000000	80.207	167.6447
107.500000	80.155	167.3394
109.000000	80.104	167.1014
110.599998	80.041	166.9052
112.000000	79.971	166.7473
113.800003	79.866	166.4753
115.000000	79.801	166.1809
117.199997	79.724	165.3340
118.000000	79.706	164.9070
120.599998	79.539	164.1402
122.000000	79.469	164.6246
124.099998	79.416	165.2067
125.000000	79.380	165.3395
126.500000	79.307	165.4987
128.000000	79.240	165.6035
131.500000	79.123	165.9662
132.000000	79.109	166.0662
