* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오후 1:34:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Comply
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.390	-142.8546
20.600000	90.424	-143.0781
20.900000	90.489	-143.4694
21.200001	90.546	-143.8234
21.400000	90.580	-144.0475
21.799999	90.645	-144.5096
22.000000	90.676	-144.7616
22.400000	90.735	-145.3090
22.700001	90.776	-145.7493
23.000000	90.813	-146.2077
23.299999	90.848	-146.6775
23.600000	90.882	-147.1540
24.000000	90.926	-147.7908
24.299999	90.958	-148.2603
24.700001	91.001	-148.8620
25.000000	91.034	-149.2887
25.400000	91.081	-149.8266
25.799999	91.133	-150.3453
26.200001	91.187	-150.8673
26.500000	91.227	-151.2656
26.900000	91.273	-151.7937
27.200001	91.301	-152.1704
27.600000	91.332	-152.6270
28.000000	91.362	-153.0272
28.500000	91.403	-153.4796
29.000000	91.450	-153.9379
29.500000	91.494	-154.4376
30.000000	91.531	-154.9650
30.400000	91.555	-155.3793
30.700001	91.571	-155.6756
31.100000	91.594	-156.0557
31.500000	91.620	-156.4381
32.000000	91.655	-156.9555
32.500000	91.688	-157.5262
33.000000	91.715	-158.1095
33.500000	91.738	-158.6550
34.000000	91.762	-159.1455
34.500000	91.790	-159.6058
35.000000	91.823	-160.0695
35.500000	91.855	-160.5542
36.000000	91.882	-161.0494
36.500000	91.901	-161.5272
37.000000	91.914	-161.9573
37.500000	91.925	-162.3282
38.200001	91.947	-162.7836
38.700001	91.968	-163.1137
39.500000	92.003	-163.7172
40.000000	92.020	-164.1261
40.599998	92.034	-164.6107
41.200001	92.046	-165.0685
41.799999	92.058	-165.5039
42.500000	92.077	-166.0021
43.099998	92.096	-166.4414
43.700001	92.114	-166.8964
44.400002	92.128	-167.4117
45.000000	92.138	-167.8147
45.500000	92.148	-168.1395
46.200001	92.162	-168.6120
46.799999	92.167	-169.0199
47.500000	92.169	-169.4508
48.200001	92.178	-169.8508
48.700001	92.189	-170.1524
49.400002	92.201	-170.6013
50.000000	92.208	-170.9786
50.799999	92.217	-171.4609
51.500000	92.226	-171.8859
52.200001	92.233	-172.2996
53.000000	92.240	-172.7368
53.799999	92.249	-173.1734
54.500000	92.250	-173.5647
55.200001	92.246	-173.9281
56.000000	92.244	-174.2992
57.000000	92.251	-174.7761
58.000000	92.255	-175.2998
59.000000	92.256	-175.8270
60.000000	92.252	-176.3615
60.799999	92.242	-176.7590
61.500000	92.237	-177.0576
62.200001	92.238	-177.3450
63.000000	92.239	-177.7030
64.000000	92.233	-178.1612
65.000000	92.226	-178.5911
66.000000	92.217	-179.0021
67.000000	92.209	-179.3950
68.000000	92.203	-179.8039
69.000000	92.193	179.7784
70.000000	92.183	179.3834
71.000000	92.176	178.9869
72.000000	92.167	178.5800
73.000000	92.157	178.2011
74.000000	92.148	177.8417
75.000000	92.138	177.4666
76.199997	92.117	177.0235
77.500000	92.091	176.5922
78.800003	92.066	176.1719
80.000000	92.041	175.7870
81.199997	92.025	175.4188
82.500000	92.016	174.9475
83.800003	92.000	174.4840
85.000000	91.985	174.1172
86.199997	91.973	173.7841
87.500000	91.960	173.4438
88.500000	91.947	173.1750
90.000000	91.921	172.7799
91.199997	91.900	172.4471
92.500000	91.875	172.0774
93.800003	91.853	171.7200
95.000000	91.837	171.3772
96.199997	91.816	171.0392
97.500000	91.789	170.7326
98.800003	91.763	170.4707
100.000000	91.742	170.2285
101.500000	91.716	169.8997
103.000000	91.690	169.5427
104.400002	91.665	169.1945
106.000000	91.635	168.8115
107.500000	91.607	168.4941
109.000000	91.581	168.2008
110.599998	91.555	167.9091
112.000000	91.534	167.6359
113.800003	91.506	167.2365
115.000000	91.483	166.9870
117.199997	91.447	166.6066
118.000000	91.437	166.4756
120.599998	91.395	165.9980
122.000000	91.360	165.7514
124.099998	91.306	165.4316
125.000000	91.286	165.3001
126.500000	91.261	165.0656
128.000000	91.237	164.8114
131.500000	91.177	164.2392
132.000000	91.167	164.1634
134.000000	91.129	163.8729
136.000000	91.090	163.5821
138.000000	91.049	163.3080
140.000000	91.010	163.0654
143.000000	90.955	162.7182
145.000000	90.918	162.4792
147.500000	90.870	162.1875
150.000000	90.818	161.8742
152.500000	90.767	161.5992
155.000000	90.724	161.3595
157.500000	90.683	161.1357
160.000000	90.638	160.9031
162.500000	90.589	160.6467
165.000000	90.540	160.4017
167.500000	90.494	160.1824
170.000000	90.452	159.9713
172.500000	90.407	159.7511
175.000000	90.359	159.5544
177.500000	90.312	159.3893
180.000000	90.265	159.2498
182.500000	90.219	159.1066
185.000000	90.169	158.9608
187.500000	90.120	158.8138
190.000000	90.074	158.6541
192.500000	90.029	158.4954
195.000000	89.986	158.3472
197.500000	89.945	158.2115
200.000000	89.907	158.0884
203.000000	89.861	157.9657
206.000000	89.810	157.8633
209.000000	89.760	157.7490
212.000000	89.712	157.6386
214.000000	89.683	157.5702
218.000000	89.619	157.4364
220.000000	89.587	157.3704
224.000000	89.526	157.2457
227.000000	89.481	157.1761
230.000000	89.433	157.0999
233.000000	89.387	157.0181
236.000000	89.346	156.9406
240.000000	89.297	156.8693
243.000000	89.256	156.8349
247.000000	89.190	156.7896
250.000000	89.143	156.7693
254.000000	89.092	156.7748
258.000000	89.038	156.7413
262.000000	88.978	156.6750
265.000000	88.934	156.6448
269.000000	88.875	156.6030
272.000000	88.835	156.5906
276.000000	88.791	156.6236
280.000000	88.746	156.6403
285.000000	88.683	156.6495
290.000000	88.626	156.7073
295.000000	88.574	156.7617
300.000000	88.524	156.8072
304.000000	88.481	156.8318
307.000000	88.448	156.8525
311.000000	88.410	156.8966
315.000000	88.375	156.9513
320.000000	88.327	157.0157
325.000000	88.279	157.0992
330.000000	88.234	157.2024
