* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오후 1:36:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Comply
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.174	-140.9487
20.600000	90.205	-141.1642
20.900000	90.269	-141.5402
21.200001	90.327	-141.8793
21.400000	90.365	-142.1000
21.799999	90.438	-142.5798
22.000000	90.473	-142.8537
22.400000	90.535	-143.4609
22.700001	90.574	-143.9406
23.000000	90.607	-144.4122
23.299999	90.638	-144.8597
23.600000	90.671	-145.2842
24.000000	90.724	-145.8349
24.299999	90.769	-146.2605
24.700001	90.833	-146.8624
25.000000	90.878	-147.3311
25.400000	90.931	-147.9434
25.799999	90.979	-148.4962
26.200001	91.030	-148.9766
26.500000	91.072	-149.3082
26.900000	91.133	-149.7503
27.200001	91.178	-150.1032
27.600000	91.231	-150.6080
28.000000	91.274	-151.1247
28.500000	91.313	-151.7228
29.000000	91.347	-152.2313
29.500000	91.384	-152.6876
30.000000	91.426	-153.1622
30.400000	91.458	-153.5769
30.700001	91.479	-153.9033
31.100000	91.504	-154.3433
31.500000	91.526	-154.7776
32.000000	91.550	-155.3061
32.500000	91.574	-155.8165
33.000000	91.601	-156.3069
33.500000	91.636	-156.7887
34.000000	91.674	-157.2872
34.500000	91.710	-157.8094
35.000000	91.739	-158.3297
35.500000	91.765	-158.8179
36.000000	91.791	-159.2763
36.500000	91.817	-159.7296
37.000000	91.838	-160.1846
37.500000	91.854	-160.6149
38.200001	91.872	-161.1325
38.700001	91.891	-161.4682
39.500000	91.930	-162.0668
40.000000	91.951	-162.4904
40.599998	91.969	-163.0016
41.200001	91.982	-163.4727
41.799999	91.997	-163.9005
42.500000	92.021	-164.3763
43.099998	92.047	-164.8014
43.700001	92.072	-165.2621
44.400002	92.092	-165.8162
45.000000	92.100	-166.2553
45.500000	92.104	-166.5777
46.200001	92.113	-166.9825
46.799999	92.126	-167.3291
47.500000	92.144	-167.7798
48.200001	92.158	-168.2737
48.700001	92.165	-168.6248
49.400002	92.172	-169.0822
50.000000	92.181	-169.4478
50.799999	92.198	-169.9348
51.500000	92.215	-170.3804
52.200001	92.228	-170.8369
53.000000	92.236	-171.3309
53.799999	92.240	-171.7569
54.500000	92.246	-172.0987
55.200001	92.253	-172.4569
56.000000	92.258	-172.8917
57.000000	92.260	-173.4299
58.000000	92.259	-173.9634
59.000000	92.253	-174.4897
60.000000	92.244	-174.9631
60.799999	92.243	-175.3112
61.500000	92.248	-175.6199
62.200001	92.255	-175.9438
63.000000	92.261	-176.3310
64.000000	92.262	-176.8358
65.000000	92.257	-177.3300
66.000000	92.248	-177.7808
67.000000	92.239	-178.2054
68.000000	92.230	-178.6167
69.000000	92.223	-179.0242
70.000000	92.215	-179.4240
71.000000	92.207	-179.8148
72.000000	92.199	179.7969
73.000000	92.190	179.4241
74.000000	92.180	179.0595
75.000000	92.170	178.6980
76.199997	92.157	178.2679
77.500000	92.145	177.8100
78.800003	92.135	177.3430
80.000000	92.120	176.8868
81.199997	92.097	176.4658
82.500000	92.074	176.0848
83.800003	92.064	175.6883
85.000000	92.051	175.2553
86.199997	92.036	174.8533
87.500000	92.027	174.4376
88.500000	92.018	174.1195
90.000000	92.003	173.6973
91.199997	91.989	173.3701
92.500000	91.964	173.0359
93.800003	91.939	172.7563
95.000000	91.920	172.4804
96.199997	91.902	172.1683
97.500000	91.883	171.8007
98.800003	91.860	171.4055
100.000000	91.835	171.0639
101.500000	91.805	170.6901
103.000000	91.782	170.3460
104.400002	91.762	170.0066
106.000000	91.733	169.6190
107.500000	91.704	169.3066
109.000000	91.680	169.0070
110.599998	91.654	168.6731
112.000000	91.631	168.3800
113.800003	91.601	168.0107
115.000000	91.580	167.7803
117.199997	91.536	167.4040
118.000000	91.520	167.2826
120.599998	91.480	166.8457
122.000000	91.459	166.5250
124.099998	91.419	166.0515
125.000000	91.400	165.8790
126.500000	91.373	165.6322
128.000000	91.349	165.4041
131.500000	91.292	164.8291
132.000000	91.284	164.7458
134.000000	91.248	164.4332
136.000000	91.210	164.1485
138.000000	91.171	163.8674
140.000000	91.132	163.5877
143.000000	91.077	163.1570
145.000000	91.038	162.8879
147.500000	90.986	162.5918
150.000000	90.940	162.2980
152.500000	90.900	161.9841
155.000000	90.856	161.6931
157.500000	90.808	161.4271
160.000000	90.759	161.1596
162.500000	90.715	160.9183
165.000000	90.673	160.6896
167.500000	90.623	160.4378
170.000000	90.571	160.1701
172.500000	90.527	159.9169
175.000000	90.486	159.7101
177.500000	90.439	159.5449
180.000000	90.387	159.3755
182.500000	90.335	159.1808
185.000000	90.287	159.0005
187.500000	90.243	158.8536
190.000000	90.197	158.7057
192.500000	90.149	158.5483
195.000000	90.105	158.3845
197.500000	90.064	158.2156
200.000000	90.024	158.0618
203.000000	89.974	157.9205
206.000000	89.925	157.7875
209.000000	89.878	157.6511
212.000000	89.831	157.5231
214.000000	89.799	157.4394
218.000000	89.739	157.2720
220.000000	89.709	157.1860
224.000000	89.645	157.0499
227.000000	89.594	156.9918
230.000000	89.543	156.9265
233.000000	89.494	156.8334
236.000000	89.447	156.7526
240.000000	89.389	156.6839
243.000000	89.347	156.6110
247.000000	89.287	156.4788
250.000000	89.237	156.3965
254.000000	89.174	156.3339
258.000000	89.116	156.2899
262.000000	89.061	156.2799
265.000000	89.019	156.3173
269.000000	88.961	156.3480
272.000000	88.919	156.3233
276.000000	88.868	156.2600
280.000000	88.815	156.2188
285.000000	88.748	156.2517
290.000000	88.686	156.2628
295.000000	88.627	156.2631
300.000000	88.571	156.2960
304.000000	88.527	156.3407
307.000000	88.494	156.3636
311.000000	88.452	156.3965
315.000000	88.413	156.4483
320.000000	88.364	156.5057
325.000000	88.316	156.5667
330.000000	88.266	156.6604
335.000000	88.215	156.7546
340.000000	88.168	156.8511
345.000000	88.118	156.9628
350.000000	88.067	157.0712
355.000000	88.017	157.1757
360.000000	87.966	157.2765
365.000000	87.916	157.3647
370.000000	87.868	157.4436
375.000000	87.823	157.5526
382.000000	87.762	157.7753
387.000000	87.716	157.9312
395.000000	87.644	158.1682
400.000000	87.600	158.3130
406.000000	87.545	158.4931
412.000000	87.493	158.6931
418.000000	87.443	158.8887
425.000000	87.388	159.1070
431.000000	87.345	159.3179
437.000000	87.307	159.5417
444.000000	87.263	159.7900
450.000000	87.223	160.0070
455.000000	87.191	160.1879
462.000000	87.150	160.4406
468.000000	87.117	160.6605
475.000000	87.076	160.9138
482.000000	87.035	161.1788
487.000000	87.007	161.3767
494.000000	86.971	161.6517
500.000000	86.943	161.8882
508.000000	86.903	162.2103
515.000000	86.868	162.4996
522.000000	86.837	162.8009
530.000000	86.804	163.1487
538.000000	86.771	163.4968
545.000000	86.745	163.8217
552.000000	86.719	164.1508
560.000000	86.688	164.5030
570.000000	86.655	164.9314
580.000000	86.621	165.3861
590.000000	86.592	165.8406
600.000000	86.567	166.3045
608.000000	86.545	166.6904
615.000000	86.529	167.0456
622.000000	86.512	167.3999
630.000000	86.491	167.7986
640.000000	86.466	168.2829
650.000000	86.448	168.7695
660.000000	86.431	169.2849
670.000000	86.418	169.7898
680.000000	86.403	170.3103
690.000000	86.387	170.8391
700.000000	86.374	171.3495
710.000000	86.364	171.8887
720.000000	86.360	172.4451
730.000000	86.357	172.9790
740.000000	86.358	173.5137
750.000000	86.361	174.0709
762.000000	86.363	174.7466
775.000000	86.371	175.4647
788.000000	86.387	176.1705
