* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오전 11:50:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Harman
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.529	-139.5931
20.600000	83.552	-139.7843
20.900000	83.604	-140.1188
21.200001	83.662	-140.4323
21.400000	83.704	-140.6620
21.799999	83.788	-141.2275
22.000000	83.827	-141.5708
22.400000	83.890	-142.3300
22.700001	83.926	-142.9052
23.000000	83.957	-143.4506
23.299999	83.989	-143.9704
23.600000	84.021	-144.4805
24.000000	84.064	-145.1571
24.299999	84.092	-145.6377
24.700001	84.124	-146.1720
25.000000	84.152	-146.4543
25.400000	84.212	-146.6983
25.799999	84.309	-146.9453
26.200001	84.430	-147.3900
26.500000	84.515	-147.8981
26.900000	84.594	-148.7257
27.200001	84.623	-149.3295
27.600000	84.631	-149.9509
28.000000	84.637	-150.3135
28.500000	84.682	-150.6055
29.000000	84.755	-151.0520
29.500000	84.814	-151.7157
30.000000	84.838	-152.3620
30.400000	84.851	-152.7423
30.700001	84.870	-152.9682
31.100000	84.910	-153.2928
31.500000	84.957	-153.7240
32.000000	85.002	-154.3962
32.500000	85.021	-155.0421
33.000000	85.034	-155.5195
33.500000	85.067	-155.8794
34.000000	85.119	-156.2685
34.500000	85.172	-156.7493
35.000000	85.212	-157.2678
35.500000	85.241	-157.7445
36.000000	85.267	-158.1475
36.500000	85.297	-158.4883
37.000000	85.337	-158.8153
37.500000	85.387	-159.2075
38.200001	85.451	-159.9853
38.700001	85.468	-160.6533
39.500000	85.446	-161.5435
40.000000	85.430	-161.8931
40.599998	85.433	-162.2258
41.200001	85.453	-162.6162
41.799999	85.472	-163.0572
42.500000	85.495	-163.5519
43.099998	85.521	-163.9834
43.700001	85.545	-164.4607
44.400002	85.559	-165.0073
45.000000	85.565	-165.3857
45.500000	85.575	-165.6371
46.200001	85.604	-165.9713
46.799999	85.641	-166.3391
47.500000	85.676	-166.9262
48.200001	85.683	-167.5724
48.700001	85.672	-167.9530
49.400002	85.656	-168.2981
50.000000	85.660	-168.4937
50.799999	85.692	-168.8107
51.500000	85.724	-169.2295
52.200001	85.740	-169.7085
53.000000	85.745	-170.1714
53.799999	85.757	-170.5607
54.500000	85.771	-170.9591
55.200001	85.774	-171.3891
56.000000	85.773	-171.8195
57.000000	85.783	-172.3347
58.000000	85.793	-172.9051
59.000000	85.798	-173.5176
60.000000	85.783	-174.1091
60.799999	85.767	-174.4511
61.500000	85.768	-174.7024
62.200001	85.776	-174.9867
63.000000	85.784	-175.3498
64.000000	85.789	-175.8248
65.000000	85.790	-176.3134
66.000000	85.786	-176.7860
67.000000	85.778	-177.2307
68.000000	85.772	-177.6407
69.000000	85.768	-178.0607
70.000000	85.761	-178.4905
71.000000	85.752	-178.8867
72.000000	85.747	-179.2700
73.000000	85.740	-179.6618
74.000000	85.731	179.9735
75.000000	85.725	179.6290
76.199997	85.719	179.1924
77.500000	85.712	178.7359
78.800003	85.704	178.2592
80.000000	85.687	177.8159
81.199997	85.665	177.4010
82.500000	85.641	176.9765
83.800003	85.619	176.5644
85.000000	85.605	176.1876
86.199997	85.600	175.8024
87.500000	85.596	175.3385
88.500000	85.582	174.9745
90.000000	85.546	174.5279
91.199997	85.514	174.2199
92.500000	85.486	173.9079
93.800003	85.469	173.5500
95.000000	85.455	173.2019
96.199997	85.442	172.9155
97.500000	85.431	172.6664
98.800003	85.417	172.4123
100.000000	85.397	172.1193
101.500000	85.358	171.6307
103.000000	85.319	171.1466
104.400002	85.307	170.7061
106.000000	85.305	170.1940
107.500000	85.282	169.8190
109.000000	85.240	169.6161
110.599998	85.196	169.4381
112.000000	85.176	169.2090
113.800003	85.178	168.8271
115.000000	85.176	168.6541
117.199997	85.116	168.9869
118.000000	85.093	169.3978
120.599998	85.168	169.7231
122.000000	85.119	168.5482
124.099998	84.967	167.2135
125.000000	84.941	166.8487
126.500000	84.936	166.3785
128.000000	84.937	166.0613
131.500000	84.851	165.7239
132.000000	84.835	165.6788
134.000000	84.789	165.4350
136.000000	84.765	165.0710
138.000000	84.736	164.7330
140.000000	84.695	164.4195
143.000000	84.624	163.9612
145.000000	84.589	163.6753
147.500000	84.549	163.3634
150.000000	84.498	163.0964
152.500000	84.438	162.8397
155.000000	84.383	162.6174
157.500000	84.333	162.3717
160.000000	84.283	162.1066
162.500000	84.227	161.9150
165.000000	84.175	161.7932
167.500000	84.117	161.6653
170.000000	84.056	161.5710
172.500000	84.004	161.5062
175.000000	83.966	161.4368
177.500000	83.935	161.3557
180.000000	83.908	161.3198
182.500000	83.886	161.3248
185.000000	83.873	161.3387
187.500000	83.868	161.2799
190.000000	83.861	161.1430
192.500000	83.855	160.9439
195.000000	83.841	160.6502
197.500000	83.808	160.3467
200.000000	83.764	160.0990
203.000000	83.710	159.8368
206.000000	83.658	159.5664
209.000000	83.608	159.2973
212.000000	83.566	159.0444
214.000000	83.543	158.8932
218.000000	83.494	158.6731
220.000000	83.463	158.5940
224.000000	83.396	158.3969
227.000000	83.349	158.2336
230.000000	83.303	158.1679
233.000000	83.257	158.1389
236.000000	83.204	158.0422
240.000000	83.130	157.8869
243.000000	83.082	157.8296
247.000000	83.024	157.7657
250.000000	82.983	157.7128
254.000000	82.932	157.6143
258.000000	82.881	157.5078
262.000000	82.825	157.4793
265.000000	82.782	157.4496
269.000000	82.720	157.3785
272.000000	82.673	157.3508
276.000000	82.611	157.3576
280.000000	82.558	157.3669
285.000000	82.500	157.3743
290.000000	82.453	157.4082
295.000000	82.414	157.4995
300.000000	82.366	157.6053
304.000000	82.323	157.6169
307.000000	82.297	157.5928
311.000000	82.270	157.5735
315.000000	82.239	157.5968
320.000000	82.199	157.6283
325.000000	82.164	157.5989
330.000000	82.123	157.6065
335.000000	82.076	157.6778
340.000000	82.027	157.7536
345.000000	81.978	157.8260
350.000000	81.930	157.9221
355.000000	81.882	158.0124
360.000000	81.835	158.0443
365.000000	81.785	158.0528
370.000000	81.735	158.1016
375.000000	81.688	158.2291
382.000000	81.624	158.3863
387.000000	81.577	158.4638
395.000000	81.510	158.6820
400.000000	81.472	158.8456
406.000000	81.424	158.9896
412.000000	81.374	159.1282
418.000000	81.324	159.2747
425.000000	81.275	159.4198
431.000000	81.238	159.5656
437.000000	81.200	159.7581
444.000000	81.158	160.0144
450.000000	81.125	160.2087
455.000000	81.094	160.3571
462.000000	81.046	160.5842
468.000000	81.007	160.7710
475.000000	80.958	160.9984
482.000000	80.910	161.2515
487.000000	80.884	161.4248
494.000000	80.855	161.6641
500.000000	80.833	161.8575
508.000000	80.801	162.1379
515.000000	80.771	162.3935
522.000000	80.738	162.6623
530.000000	80.701	163.0049
538.000000	80.669	163.3642
545.000000	80.639	163.6418
552.000000	80.610	163.8961
560.000000	80.586	164.1852
570.000000	80.560	164.5737
580.000000	80.533	164.9971
590.000000	80.500	165.4027
600.000000	80.458	165.8258
608.000000	80.429	166.2189
615.000000	80.410	166.5384
622.000000	80.395	166.8371
630.000000	80.382	167.2088
640.000000	80.367	167.6846
650.000000	80.345	168.1326
660.000000	80.325	168.5783
670.000000	80.310	169.0728
680.000000	80.293	169.6144
690.000000	80.276	170.1613
700.000000	80.262	170.6490
710.000000	80.252	171.1290
720.000000	80.247	171.6688
730.000000	80.246	172.2004
740.000000	80.248	172.7031
750.000000	80.253	173.2179
762.000000	80.262	173.8411
775.000000	80.269	174.5174
788.000000	80.279	175.1995
800.000000	80.295	175.8413
812.000000	80.318	176.4958
825.000000	80.349	177.2144
838.000000	80.390	177.9007
850.000000	80.428	178.4843
862.000000	80.465	179.1097
875.000000	80.515	179.7995
885.000000	80.558	-179.7264
900.000000	80.625	-179.0329
912.000000	80.688	-178.4492
925.000000	80.765	-177.8587
938.000000	80.843	-177.3368
950.000000	80.918	-176.9115
962.000000	80.994	-176.4854
975.000000	81.078	-176.0320
988.000000	81.167	-175.6212
1000.000000	81.252	-175.2596
1015.000000	81.361	-174.8098
1030.000000	81.466	-174.4432
1044.000000	81.561	-174.1772
1060.000000	81.668	-173.9294
1075.000000	81.768	-173.7297
1090.000000	81.874	-173.5652
1106.000000	81.992	-173.4290
1120.000000	82.091	-173.3564
1138.000000	82.207	-173.3045
1150.000000	82.280	-173.2592
1172.000000	82.413	-173.1107
1180.000000	82.459	-173.0554
1206.000000	82.605	-172.8716
1220.000000	82.689	-172.7741
1241.000000	82.822	-172.6359
1250.000000	82.880	-172.5637
1265.000000	82.975	-172.4445
1280.000000	83.074	-172.3516
1315.000000	83.307	-172.2551
1320.000000	83.338	-172.2462
1340.000000	83.463	-172.2142
1360.000000	83.585	-172.2206
1380.000000	83.704	-172.2612
1400.000000	83.828	-172.3227
1430.000000	84.014	-172.4315
1450.000000	84.140	-172.5183
1475.000000	84.292	-172.6299
1500.000000	84.440	-172.7724
1525.000000	84.585	-172.9596
1550.000000	84.728	-173.1309
1575.000000	84.867	-173.2887
1600.000000	85.006	-173.4776
1625.000000	85.143	-173.6764
1650.000000	85.278	-173.8662
1675.000000	85.414	-174.0617
1700.000000	85.549	-174.2625
1725.000000	85.682	-174.4685
1750.000000	85.815	-174.6912
1775.000000	85.951	-174.9294
1800.000000	86.086	-175.1762
1825.000000	86.219	-175.4277
1850.000000	86.354	-175.6883
1875.000000	86.492	-175.9831
1900.000000	86.631	-176.3074
1925.000000	86.769	-176.6531
1950.000000	86.907	-177.0195
1975.000000	87.043	-177.3954
2000.000000	87.179	-177.8012
2030.000000	87.342	-178.3419
2060.000000	87.508	-178.9300
2090.000000	87.675	-179.5510
2120.000000	87.838	179.7892
2140.000000	87.942	179.3267
2180.000000	88.150	178.3305
2200.000000	88.251	177.8029
2240.000000	88.444	176.6943
2270.000000	88.583	175.8143
2300.000000	88.718	174.8869
2330.000000	88.845	173.9015
2360.000000	88.965	172.8705
2400.000000	89.113	171.4618
2430.000000	89.217	170.3692
2470.000000	89.343	168.8724
2500.000000	89.426	167.7271
2540.000000	89.521	166.1829
2580.000000	89.600	164.6169
2620.000000	89.661	163.0475
2650.000000	89.696	161.8812
2690.000000	89.727	160.3478
2720.000000	89.740	159.2272
2760.000000	89.744	157.7713
2800.000000	89.733	156.3495
2850.000000	89.698	154.6640
2900.000000	89.648	153.0993
2950.000000	89.585	151.6319
3000.000000	89.508	150.2646
3040.000000	89.441	149.2552
3070.000000	89.386	148.5444
3110.000000	89.308	147.6580
3150.000000	89.225	146.8572
3200.000000	89.118	145.9780
3250.000000	89.012	145.2242
3300.000000	88.906	144.5683
3350.000000	88.800	144.0143
3400.000000	88.698	143.5703
3450.000000	88.606	143.2190
3500.000000	88.524	142.9468
3550.000000	88.448	142.7401
3600.000000	88.379	142.6008
3650.000000	88.316	142.5346
3700.000000	88.259	142.5262
3750.000000	88.211	142.5615
3820.000000	88.153	142.7006
3870.000000	88.118	142.8406
3950.000000	88.071	143.1134
4000.000000	88.050	143.3137
4060.000000	88.036	143.5984
4120.000000	88.032	143.9174
4180.000000	88.039	144.2622
4250.000000	88.062	144.6663
4310.000000	88.088	144.9891
4370.000000	88.116	145.3083
4440.000000	88.156	145.6660
4500.000000	88.202	145.9283
4550.000000	88.246	146.1227
4620.000000	88.314	146.3623
4680.000000	88.382	146.5302
4750.000000	88.472	146.6746
4820.000000	88.573	146.7459
4870.000000	88.649	146.7530
4940.000000	88.760	146.6894
5000.000000	88.859	146.5408
5080.000000	88.999	146.1910
5150.000000	89.121	145.7425
5220.000000	89.238	145.1642
5300.000000	89.362	144.3651
5380.000000	89.474	143.4194
5450.000000	89.559	142.4639
5520.000000	89.625	141.4124
5600.000000	89.676	140.1511
5700.000000	89.700	138.5365
5800.000000	89.687	136.8998
5900.000000	89.637	135.2663
6000.000000	89.543	133.6851
6080.000000	89.436	132.5502
6150.000000	89.325	131.6889
6220.000000	89.204	130.9751
6300.000000	89.060	130.3478
6400.000000	88.881	129.8211
6500.000000	88.711	129.5293
6600.000000	88.555	129.4472
6700.000000	88.421	129.5734
6800.000000	88.318	129.8558
6900.000000	88.267	130.2869
7000.000000	88.281	130.8394
7100.000000	88.360	131.3986
7200.000000	88.502	131.8106
7300.000000	88.695	131.9413
7400.000000	88.928	131.6878
7500.000000	89.192	130.9735
7620.000000	89.536	129.3936
7750.000000	89.892	126.6821
7880.000000	90.118	122.9456
8000.000000	90.184	118.6781
8120.000000	90.096	113.7612
8250.000000	89.786	108.0193
8380.000000	89.218	102.4199
8500.000000	88.471	97.9934
8620.000000	87.558	94.7359
8750.000000	86.456	92.7208
8850.000000	85.580	92.1683
9000.000000	84.287	92.7000
9120.000000	83.301	94.0789
9250.000000	82.296	96.3352
9380.000000	81.366	99.2114
9500.000000	80.572	102.3053
9620.000000	79.840	105.7595
9750.000000	79.119	109.8305
9880.000000	78.472	114.1769
10000.000000	77.930	118.3759
10150.000000	77.320	123.8563
10300.000000	76.792	129.5845
10440.000000	76.377	135.0758
10600.000000	75.981	141.4767
10750.000000	75.683	147.5838
10900.000000	75.455	153.7837
11060.000000	75.278	160.4095
11200.000000	75.184	166.2507
11380.000000	75.166	173.7852
11500.000000	75.212	178.7890
11720.000000	75.379	-172.0198
11800.000000	75.472	-168.6442
12060.000000	75.939	-157.4176
12200.000000	76.309	-151.2223
12410.000000	77.060	-141.9281
12500.000000	77.471	-138.0307
12650.000000	78.301	-131.7296
12800.000000	79.357	-125.7913
13150.000000	83.032	-115.6844
13200.000000	83.696	-115.1690
13400.000000	86.422	-117.5979
13600.000000	88.638	-129.1921
13800.000000	89.637	-148.1451
14000.000000	89.255	-166.9601
14300.000000	87.069	176.8650
14500.000000	85.413	173.7668
14750.000000	83.747	174.7035
15000.000000	82.690	177.9572
15250.000000	82.215	-178.5548
15500.000000	82.268	-176.4999
15750.000000	82.653	-177.5471
16000.000000	82.949	177.0629
16250.000000	82.687	168.1521
16500.000000	81.612	159.3307
16750.000000	79.860	154.2899
17000.000000	77.817	154.0641
17250.000000	75.847	157.6931
17500.000000	74.148	163.8378
17750.000000	72.771	171.4855
18000.000000	71.713	179.9755
18250.000000	70.963	-171.0907
18500.000000	70.499	-162.1831
18750.000000	70.317	-153.7518
19000.000000	70.403	-146.3054
19250.000000	70.685	-140.6002
19500.000000	71.039	-137.5641
19750.000000	71.296	-137.5491
20000.000000	71.358	-138.9150
