* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오전 11:58:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Harman
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.324	-137.0930
20.600000	83.371	-137.4402
20.900000	83.456	-138.0517
21.200001	83.516	-138.6009
21.400000	83.546	-138.9170
21.799999	83.600	-139.4803
22.000000	83.631	-139.7603
22.400000	83.700	-140.3890
22.700001	83.751	-140.9566
23.000000	83.790	-141.5927
23.299999	83.816	-142.2275
23.600000	83.831	-142.7938
24.000000	83.853	-143.3788
24.299999	83.886	-143.7121
24.700001	83.958	-144.1292
25.000000	84.028	-144.5090
25.400000	84.122	-145.1479
25.799999	84.198	-145.8585
26.200001	84.255	-146.4982
26.500000	84.292	-146.8800
26.900000	84.349	-147.2778
27.200001	84.398	-147.5511
27.600000	84.470	-147.9613
28.000000	84.536	-148.4519
28.500000	84.597	-149.1001
29.000000	84.641	-149.6708
29.500000	84.685	-150.1679
30.000000	84.734	-150.6967
30.400000	84.769	-151.1858
30.700001	84.790	-151.5810
31.100000	84.808	-152.1066
31.500000	84.818	-152.5941
32.000000	84.829	-153.1229
32.500000	84.847	-153.5797
33.000000	84.881	-154.0186
33.500000	84.927	-154.4932
34.000000	84.973	-155.0174
34.500000	85.011	-155.5414
35.000000	85.044	-156.0037
35.500000	85.081	-156.3998
36.000000	85.125	-156.7912
36.500000	85.172	-157.2306
37.000000	85.210	-157.7107
37.500000	85.238	-158.1889
38.200001	85.267	-158.8254
38.700001	85.284	-159.2824
39.500000	85.301	-160.0422
40.000000	85.304	-160.5001
40.599998	85.307	-161.0001
41.200001	85.317	-161.4706
41.799999	85.333	-161.9726
42.500000	85.345	-162.6019
43.099998	85.345	-163.0654
43.700001	85.352	-163.3945
44.400002	85.386	-163.7411
45.000000	85.423	-164.1333
45.500000	85.447	-164.4956
46.200001	85.476	-164.9787
46.799999	85.504	-165.4438
47.500000	85.515	-166.1166
48.200001	85.489	-166.6656
48.700001	85.471	-166.8509
49.400002	85.491	-167.0079
50.000000	85.537	-167.3416
50.799999	85.572	-168.1112
51.500000	85.558	-168.7599
52.200001	85.532	-169.1697
53.000000	85.529	-169.4221
53.799999	85.566	-169.7255
54.500000	85.608	-170.1917
55.200001	85.635	-170.8058
56.000000	85.640	-171.5343
57.000000	85.625	-172.2832
58.000000	85.624	-172.8389
59.000000	85.640	-173.4643
60.000000	85.632	-174.0259
60.799999	85.640	-174.2644
61.500000	85.674	-174.5040
62.200001	85.709	-174.8772
63.000000	85.731	-175.3423
64.000000	85.744	-175.9595
65.000000	85.706	-176.6108
66.000000	85.636	-176.8204
67.000000	85.623	-176.8674
68.000000	85.627	-177.3077
69.000000	85.600	-177.9103
70.000000	85.566	-178.5354
71.000000	85.530	-179.1809
72.000000	85.501	-179.7114
73.000000	85.496	179.8414
74.000000	85.501	179.4231
75.000000	85.496	179.0409
76.199997	85.446	178.7279
77.500000	85.346	178.6633
78.800003	85.182	178.9728
80.000000	85.105	179.8696
81.199997	85.161	179.9102
82.500000	85.144	178.9633
83.800003	85.001	178.3231
85.000000	84.890	178.9714
86.199997	84.957	179.9430
87.500000	85.107	-179.5974
88.500000	85.210	-179.4931
90.000000	85.374	-179.4895
91.199997	85.516	-179.9152
92.500000	85.657	179.0589
93.800003	85.684	177.3318
95.000000	85.568	176.0798
96.199997	85.442	175.5110
97.500000	85.376	175.2588
98.800003	85.393	174.8379
100.000000	85.409	174.1659
101.500000	85.394	173.4931
103.000000	85.376	173.1580
104.400002	85.364	172.9431
106.000000	85.342	172.5588
107.500000	85.304	172.1932
109.000000	85.295	171.7887
110.599998	85.276	171.1810
