* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 28 오후 12:04:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Simgot
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.345	-139.0255
20.600000	83.386	-139.2110
20.900000	83.468	-139.5520
21.200001	83.540	-139.9038
21.400000	83.580	-140.1439
21.799999	83.646	-140.6318
22.000000	83.674	-140.8692
22.400000	83.724	-141.2958
22.700001	83.762	-141.5681
23.000000	83.807	-141.8199
23.299999	83.861	-142.0860
23.600000	83.921	-142.3940
24.000000	84.008	-142.8943
24.299999	84.072	-143.3317
24.700001	84.150	-143.9681
25.000000	84.202	-144.4589
25.400000	84.262	-145.1026
25.799999	84.314	-145.7127
26.200001	84.361	-146.2791
26.500000	84.395	-146.6756
26.900000	84.437	-147.1747
27.200001	84.466	-147.5370
27.600000	84.501	-148.0150
28.000000	84.529	-148.4843
28.500000	84.557	-149.0246
29.000000	84.583	-149.4822
29.500000	84.618	-149.8862
30.000000	84.661	-150.2984
30.400000	84.699	-150.6479
30.700001	84.730	-150.9155
31.100000	84.778	-151.2843
31.500000	84.833	-151.7013
32.000000	84.906	-152.3615
32.500000	84.961	-153.1738
33.000000	84.985	-153.9845
33.500000	84.990	-154.6161
34.000000	85.001	-155.0258
34.500000	85.034	-155.3323
35.000000	85.088	-155.6709
35.500000	85.147	-156.1013
36.000000	85.200	-156.6097
36.500000	85.240	-157.1596
37.000000	85.265	-157.6966
37.500000	85.279	-158.1596
38.200001	85.302	-158.6611
38.700001	85.332	-159.0040
39.500000	85.385	-159.7010
40.000000	85.410	-160.1890
40.599998	85.432	-160.7561
41.200001	85.451	-161.3150
41.799999	85.459	-161.8599
42.500000	85.455	-162.3475
43.099998	85.463	-162.5837
43.700001	85.498	-162.7839
44.400002	85.560	-163.1626
45.000000	85.608	-163.6515
45.500000	85.635	-164.1430
46.200001	85.643	-164.8768
46.799999	85.624	-165.4257
47.500000	85.597	-165.8649
48.200001	85.594	-166.2142
48.700001	85.603	-166.5236
