* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2022 8:44:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_C3A045
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.025	-117.9869
20.600000	101.093	-118.7118
20.900000	101.207	-119.9881
21.200001	101.259	-121.1188
21.400000	101.270	-121.7212
21.799999	101.274	-122.5887
22.000000	101.286	-122.8948
22.400000	101.353	-123.4041
22.700001	101.436	-123.8628
23.000000	101.532	-124.5030
23.299999	101.622	-125.3132
23.600000	101.694	-126.2157
24.000000	101.757	-127.3914
24.299999	101.790	-128.1309
24.700001	101.834	-128.8657
25.000000	101.885	-129.2703
25.400000	101.984	-129.7435
25.799999	102.111	-130.3060
26.200001	102.243	-131.0573
26.500000	102.329	-131.7380
26.900000	102.410	-132.7283
27.200001	102.442	-133.4523
27.600000	102.454	-134.2862
28.000000	102.446	-134.8928
28.500000	102.444	-135.3553
29.000000	102.476	-135.7010
29.500000	102.536	-136.1738
30.000000	102.594	-136.8551
30.400000	102.626	-137.4688
30.700001	102.644	-137.9121
31.100000	102.670	-138.4534
31.500000	102.707	-138.9766
32.000000	102.768	-139.7203
32.500000	102.827	-140.6205
33.000000	102.860	-141.5583
33.500000	102.875	-142.3465
34.000000	102.894	-142.9094
34.500000	102.935	-143.3540
35.000000	102.991	-143.8235
35.500000	103.042	-144.3430
36.000000	103.082	-144.8128
36.500000	103.126	-145.1782
37.000000	103.190	-145.5563
37.500000	103.261	-146.1284
38.200001	103.312	-147.2228
38.700001	103.302	-147.8904
39.500000	103.310	-148.5022
40.000000	103.357	-148.9654
40.599998	103.395	-149.7526
41.200001	103.399	-150.2733
41.799999	103.472	-150.3771
42.500000	103.696	-151.1125
43.099998	103.824	-152.9510
43.700001	103.740	-154.8825
44.400002	103.483	-155.6209
45.000000	103.341	-155.0365
45.500000	103.325	-154.4686
46.200001	103.369	-154.0977
46.799999	103.412	-154.0654
47.500000	103.467	-154.2516
48.200001	103.526	-154.6909
48.700001	103.573	-155.1649
49.400002	103.639	-156.1719
50.000000	103.658	-157.3014
50.799999	103.622	-158.6260
51.500000	103.604	-159.4275
52.200001	103.618	-160.1729
53.000000	103.639	-160.9421
53.799999	103.680	-161.5485
54.500000	103.720	-162.1148
55.200001	103.741	-162.6641
56.000000	103.740	-163.2697
57.000000	103.641	-163.8322
58.000000	103.530	-163.2306
59.000000	103.611	-162.6297
60.000000	103.717	-163.1142
60.799999	103.773	-163.8602
61.500000	103.800	-164.8135
62.200001	103.763	-165.8423
63.000000	103.671	-166.5729
64.000000	103.600	-166.8692
65.000000	103.581	-166.9391
66.000000	103.627	-166.7482
67.000000	103.758	-166.8941
68.000000	103.863	-167.7814
69.000000	103.864	-169.0276
70.000000	103.759	-170.0891
71.000000	103.616	-170.6602
72.000000	103.491	-170.9094
73.000000	103.403	-170.8578
74.000000	103.402	-170.6421
75.000000	103.477	-170.7057
76.199997	103.576	-171.1556
77.500000	103.683	-171.7638
78.800003	103.756	-172.8135
80.000000	103.712	-173.8331
81.199997	103.614	-174.5406
82.500000	103.478	-175.0708
83.800003	103.353	-175.1829
85.000000	103.312	-175.0555
86.199997	103.338	-175.1387
87.500000	103.374	-175.3726
88.500000	103.413	-175.6130
90.000000	103.421	-176.1771
91.199997	103.399	-176.3880
92.500000	103.388	-176.7008
93.800003	103.351	-177.0531
95.000000	103.326	-177.3232
96.199997	103.301	-177.6647
97.500000	103.267	-178.0030
98.800003	103.232	-178.4182
100.000000	103.168	-178.8973
101.500000	103.050	-179.2586
103.000000	102.969	-179.3983
104.400002	102.936	-179.5980
106.000000	102.930	-179.8468
107.500000	102.947	179.9230
109.000000	102.958	179.7045
110.599998	102.951	179.5793
112.000000	102.941	179.4642
113.800003	102.925	179.2347
115.000000	102.920	178.9750
117.199997	102.901	178.3884
118.000000	102.892	178.1965
120.599998	102.862	177.6292
122.000000	102.838	177.2933
124.099998	102.787	176.7803
125.000000	102.764	176.5664
126.500000	102.729	176.2280
128.000000	102.699	175.9337
131.500000	102.646	175.2474
132.000000	102.638	175.1505
134.000000	102.604	174.8249
136.000000	102.580	174.6082
138.000000	102.557	174.4591
140.000000	102.527	174.3963
143.000000	102.467	174.3990
145.000000	102.411	174.5085
147.500000	102.318	174.7719
150.000000	102.213	175.0223
152.500000	102.105	174.9572
155.000000	102.014	174.6407
157.500000	101.972	174.2376
160.000000	101.987	173.9194
162.500000	102.033	173.8616
165.000000	102.069	174.0837
167.500000	102.060	174.3417
170.000000	102.013	174.3557
172.500000	101.966	174.0354
175.000000	101.941	173.5769
177.500000	101.928	173.3179
180.000000	101.904	173.2657
182.500000	101.852	173.1889
185.000000	101.793	172.9646
187.500000	101.750	172.7490
190.000000	101.725	172.6703
192.500000	101.692	172.5888
195.000000	101.635	172.4379
197.500000	101.582	172.3568
200.000000	101.557	172.3419
203.000000	101.529	172.3018
206.000000	101.492	172.2118
209.000000	101.448	172.1174
212.000000	101.403	172.1039
214.000000	101.377	172.0918
218.000000	101.321	172.0443
220.000000	101.289	172.0569
224.000000	101.222	172.0782
227.000000	101.170	172.0453
230.000000	101.123	172.0381
233.000000	101.090	172.0911
236.000000	101.058	172.1512
240.000000	100.998	172.2278
243.000000	100.959	172.2911
247.000000	100.922	172.3999
250.000000	100.891	172.5096
254.000000	100.841	172.6413
258.000000	100.790	172.6937
262.000000	100.742	172.7468
265.000000	100.711	172.7776
269.000000	100.667	172.7884
272.000000	100.629	172.8127
276.000000	100.582	172.9032
280.000000	100.544	173.0296
285.000000	100.492	173.1606
290.000000	100.430	173.3002
295.000000	100.374	173.4583
300.000000	100.330	173.6497
304.000000	100.293	173.8431
307.000000	100.260	173.9702
311.000000	100.219	174.0977
315.000000	100.182	174.2086
320.000000	100.135	174.4194
325.000000	100.093	174.6614
330.000000	100.049	174.9232
335.000000	100.007	175.1999
340.000000	99.966	175.4363
345.000000	99.922	175.7070
350.000000	99.876	175.9681
355.000000	99.837	176.2175
360.000000	99.799	176.4678
365.000000	99.761	176.7212
370.000000	99.724	176.9907
375.000000	99.686	177.2055
382.000000	99.633	177.5574
387.000000	99.593	177.8284
395.000000	99.527	178.3653
400.000000	99.492	178.6730
406.000000	99.450	179.0134
412.000000	99.411	179.3894
418.000000	99.370	179.7482
425.000000	99.322	-179.9007
431.000000	99.287	-179.5600
437.000000	99.261	-179.1577
444.000000	99.231	-178.6935
450.000000	99.206	-178.3251
455.000000	99.184	-178.0261
462.000000	99.156	-177.5853
468.000000	99.128	-177.1255
475.000000	99.100	-176.6766
482.000000	99.067	-176.3265
487.000000	99.041	-176.0167
494.000000	99.015	-175.5572
500.000000	98.995	-175.1584
508.000000	98.973	-174.6193
515.000000	98.954	-174.1611
522.000000	98.932	-173.7119
530.000000	98.908	-173.2155
538.000000	98.885	-172.6646
545.000000	98.870	-172.1735
552.000000	98.855	-171.7212
560.000000	98.831	-171.2270
570.000000	98.798	-170.5796
580.000000	98.776	-169.8362
590.000000	98.765	-169.1196
600.000000	98.757	-168.4429
608.000000	98.746	-167.8904
615.000000	98.740	-167.4164
622.000000	98.734	-166.9376
630.000000	98.721	-166.3675
640.000000	98.709	-165.6639
650.000000	98.702	-164.9540
660.000000	98.696	-164.2103
670.000000	98.694	-163.4909
680.000000	98.694	-162.7986
690.000000	98.697	-162.1125
700.000000	98.701	-161.4207
710.000000	98.702	-160.7112
720.000000	98.709	-159.9874
730.000000	98.722	-159.2704
740.000000	98.734	-158.5515
750.000000	98.748	-157.8470
762.000000	98.766	-157.0159
775.000000	98.790	-156.1304
788.000000	98.820	-155.2583
800.000000	98.852	-154.4839
812.000000	98.883	-153.8044
825.000000	98.909	-153.1499
838.000000	98.915	-152.5690
850.000000	98.875	-152.0096
862.000000	98.787	-151.0365
875.000000	98.733	-149.1241
885.000000	98.802	-147.4788
