* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2022 8:43:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_C3A045
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.914	-116.9230
20.600000	100.016	-117.0511
20.900000	100.232	-117.4363
21.200001	100.449	-118.2486
21.400000	100.572	-119.0584
21.799999	100.729	-121.1137
22.000000	100.751	-122.1888
22.400000	100.686	-123.9780
22.700001	100.582	-124.7218
23.000000	100.490	-124.8750
23.299999	100.458	-124.6417
23.600000	100.501	-124.3167
24.000000	100.656	-124.1946
24.299999	100.799	-124.5266
24.700001	100.963	-125.4640
25.000000	101.045	-126.3355
25.400000	101.104	-127.4455
25.799999	101.134	-128.3303
26.200001	101.163	-128.9999
26.500000	101.191	-129.4142
26.900000	101.238	-129.8959
27.200001	101.282	-130.2193
27.600000	101.359	-130.6331
28.000000	101.462	-131.1325
28.500000	101.610	-132.0960
29.000000	101.718	-133.4963
29.500000	101.741	-135.0103
30.000000	101.696	-136.1333
30.400000	101.662	-136.6338
30.700001	101.658	-136.8757
31.100000	101.683	-137.2469
31.500000	101.712	-137.7999
32.000000	101.701	-138.5851
32.500000	101.636	-138.9780
33.000000	101.605	-138.7362
33.500000	101.684	-138.2786
34.000000	101.845	-138.2585
34.500000	101.994	-138.8121
35.000000	102.084	-139.5280
35.500000	102.155	-140.0208
36.000000	102.263	-140.3918
36.500000	102.411	-141.0079
37.000000	102.548	-142.0598
37.500000	102.626	-143.3953
38.200001	102.619	-145.1511
38.700001	102.560	-146.0056
39.500000	102.476	-146.6350
40.000000	102.456	-146.8781
40.599998	102.428	-147.2324
41.200001	102.366	-147.3584
41.799999	102.337	-147.0333
42.500000	102.437	-146.8534
43.099998	102.543	-147.7876
43.700001	102.505	-149.5052
44.400002	102.223	-151.1134
45.000000	101.895	-151.2124
45.500000	101.696	-150.5051
46.200001	101.629	-149.5331
46.799999	101.648	-149.6618
47.500000	101.550	-150.1084
48.200001	101.478	-149.2181
48.700001	101.638	-148.2687
49.400002	102.074	-148.7107
50.000000	102.312	-150.9696
50.799999	102.274	-153.6900
51.500000	102.214	-154.2204
52.200001	102.348	-154.3605
53.000000	102.565	-155.5035
53.799999	102.668	-157.0593
54.500000	102.699	-158.1082
55.200001	102.722	-158.9560
56.000000	102.718	-159.8667
57.000000	102.637	-160.4423
58.000000	102.598	-160.0973
59.000000	102.682	-159.7484
60.000000	102.778	-160.2397
60.799999	102.764	-160.9351
61.500000	102.709	-161.2933
62.200001	102.676	-161.5138
63.000000	102.656	-161.9700
64.000000	102.614	-162.6487
65.000000	102.614	-163.2580
66.000000	102.656	-164.0827
67.000000	102.717	-164.8977
68.000000	102.813	-165.7131
69.000000	102.891	-166.5901
70.000000	102.929	-167.1165
71.000000	102.982	-167.2421
72.000000	103.035	-167.3199
73.000000	103.070	-167.3060
74.000000	103.078	-167.3927
75.000000	103.014	-167.2413
76.199997	103.015	-166.7294
77.500000	103.007	-167.7036
78.800003	102.775	-168.7437
80.000000	102.604	-169.1258
81.199997	102.541	-169.6694
82.500000	102.587	-170.3681
83.800003	102.689	-171.2504
85.000000	102.771	-171.6674
86.199997	102.827	-171.9674
87.500000	102.748	-171.7414
88.500000	102.714	-171.1744
90.000000	102.691	-171.3528
91.199997	102.660	-172.0003
92.500000	102.649	-173.1861
93.800003	102.631	-173.8780
95.000000	102.727	-173.9199
96.199997	102.837	-174.2539
97.500000	102.824	-174.5260
98.800003	102.735	-174.3979
100.000000	102.644	-174.2330
101.500000	102.591	-174.3775
103.000000	102.555	-175.0978
104.400002	102.538	-175.4131
106.000000	102.584	-175.8555
107.500000	102.528	-176.4194
109.000000	102.436	-176.6193
110.599998	102.365	-176.7735
112.000000	102.401	-176.6751
113.800003	102.536	-177.2614
115.000000	102.542	-177.6625
117.199997	102.492	-177.6353
118.000000	102.456	-177.6205
120.599998	102.389	-177.2599
122.000000	102.408	-177.6696
124.099998	102.323	-178.3535
125.000000	102.271	-178.4662
126.500000	102.187	-178.4503
128.000000	102.161	-178.3646
131.500000	102.189	-179.1028
132.000000	102.190	-179.2018
134.000000	102.169	-179.6166
136.000000	102.111	-179.7946
138.000000	102.120	-179.9310
140.000000	102.150	179.6711
143.000000	102.132	179.5631
145.000000	102.102	179.7300
147.500000	102.067	179.6633
150.000000	102.024	179.4958
152.500000	102.012	179.4053
155.000000	101.980	179.1437
157.500000	101.940	178.8734
160.000000	101.914	178.6836
162.500000	101.908	178.5033
165.000000	101.882	178.3811
167.500000	101.877	178.3907
170.000000	101.871	178.2388
172.500000	101.849	178.0792
175.000000	101.802	177.8602
177.500000	101.735	177.8159
180.000000	101.695	177.7892
182.500000	101.679	177.6119
185.000000	101.655	177.2979
187.500000	101.598	177.1073
190.000000	101.553	177.0745
192.500000	101.534	177.0052
195.000000	101.532	177.0524
197.500000	101.526	177.1084
200.000000	101.491	177.1749
203.000000	101.461	177.1117
206.000000	101.427	176.8670
209.000000	101.390	176.8483
212.000000	101.372	176.7644
214.000000	101.357	176.6128
218.000000	101.325	176.4344
220.000000	101.304	176.4400
224.000000	101.259	176.4695
227.000000	101.228	176.3294
230.000000	101.193	176.2577
233.000000	101.167	176.2293
236.000000	101.125	176.2028
240.000000	101.074	176.2321
243.000000	101.044	176.1619
247.000000	101.004	176.1268
250.000000	100.969	176.1453
254.000000	100.926	176.1027
258.000000	100.877	176.1625
262.000000	100.833	176.2702
265.000000	100.793	176.2500
269.000000	100.737	176.2711
272.000000	100.709	176.3513
276.000000	100.677	176.4460
280.000000	100.634	176.5778
285.000000	100.592	176.7343
290.000000	100.538	176.8469
295.000000	100.479	177.1032
300.000000	100.429	177.2394
304.000000	100.401	177.2455
307.000000	100.384	177.2960
311.000000	100.357	177.4748
315.000000	100.327	177.6552
320.000000	100.287	177.8008
325.000000	100.245	177.9693
330.000000	100.208	178.1858
335.000000	100.174	178.4067
340.000000	100.145	178.6074
345.000000	100.111	178.7697
350.000000	100.070	178.9749
355.000000	100.026	179.2504
360.000000	99.985	179.5374
365.000000	99.950	179.7942
370.000000	99.919	179.9995
375.000000	99.884	-179.7582
382.000000	99.829	-179.3433
387.000000	99.795	-179.0820
395.000000	99.745	-178.7120
400.000000	99.715	-178.4800
406.000000	99.679	-178.1802
412.000000	99.643	-177.8426
418.000000	99.603	-177.5634
425.000000	99.568	-177.2193
431.000000	99.542	-176.7706
437.000000	99.508	-176.3566
444.000000	99.473	-175.9823
450.000000	99.443	-175.6702
455.000000	99.415	-175.3850
462.000000	99.375	-174.9543
468.000000	99.354	-174.5997
475.000000	99.333	-174.1679
482.000000	99.302	-173.6900
487.000000	99.283	-173.3467
494.000000	99.263	-172.8841
500.000000	99.242	-172.5368
508.000000	99.212	-172.0623
515.000000	99.196	-171.6406
522.000000	99.183	-171.2263
530.000000	99.168	-170.7052
538.000000	99.146	-170.1749
545.000000	99.124	-169.7258
552.000000	99.105	-169.2907
560.000000	99.085	-168.7727
570.000000	99.068	-168.0580
580.000000	99.046	-167.3392
590.000000	99.021	-166.6317
600.000000	99.003	-165.9698
608.000000	98.991	-165.4569
615.000000	98.981	-164.9965
622.000000	98.973	-164.5077
630.000000	98.964	-163.9087
640.000000	98.945	-163.1517
650.000000	98.932	-162.4359
660.000000	98.929	-161.7113
670.000000	98.928	-160.9717
680.000000	98.924	-160.1828
690.000000	98.918	-159.3860
700.000000	98.907	-158.5900
710.000000	98.898	-157.7867
720.000000	98.890	-156.9529
730.000000	98.883	-156.0686
740.000000	98.875	-155.1402
750.000000	98.867	-154.1342
762.000000	98.853	-152.7472
775.000000	98.841	-150.8099
788.000000	98.937	-147.9420
800.000000	99.364	-145.0979
812.000000	99.988	-145.0124
825.000000	100.262	-147.5965
838.000000	100.175	-149.4484
850.000000	99.993	-149.7394
862.000000	99.864	-149.0338
875.000000	99.813	-147.9426
885.000000	99.812	-147.1122
900.000000	99.846	-145.9513
912.000000	99.893	-145.0697
925.000000	99.957	-144.1621
938.000000	100.028	-143.2956
950.000000	100.099	-142.5375
962.000000	100.176	-141.8184
975.000000	100.266	-141.0663
988.000000	100.362	-140.3512
1000.000000	100.453	-139.7309
1015.000000	100.570	-139.0033
1030.000000	100.690	-138.3231
1044.000000	100.802	-137.7377
1060.000000	100.933	-137.1216
1075.000000	101.056	-136.5804
1090.000000	101.179	-136.0788
1106.000000	101.317	-135.6048
1120.000000	101.439	-135.2274
1138.000000	101.599	-134.7736
1150.000000	101.705	-134.5031
1172.000000	101.894	-134.0543
1180.000000	101.962	-133.8965
1206.000000	102.179	-133.4283
1220.000000	102.294	-133.2115
1241.000000	102.463	-132.9155
1250.000000	102.534	-132.8031
1265.000000	102.650	-132.6335
1280.000000	102.767	-132.4725
1315.000000	103.035	-132.1084
1320.000000	103.073	-132.0638
1340.000000	103.218	-131.9015
1360.000000	103.359	-131.7485
1380.000000	103.500	-131.6170
1400.000000	103.643	-131.5167
1430.000000	103.859	-131.4042
1450.000000	103.996	-131.3310
1475.000000	104.165	-131.2428
1500.000000	104.331	-131.1317
1525.000000	104.499	-130.9895
1550.000000	104.675	-130.8397
1575.000000	104.863	-130.7207
1600.000000	105.064	-130.7105
1625.000000	105.262	-130.8508
1650.000000	105.448	-131.0872
