* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2022 9:00:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_KATO
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.645	-119.8750
20.600000	98.651	-120.0828
20.900000	98.669	-120.3684
21.200001	98.710	-120.4299
21.400000	98.758	-120.4088
21.799999	98.904	-120.4484
22.000000	98.995	-120.6118
22.400000	99.182	-121.3410
22.700001	99.300	-122.1998
23.000000	99.380	-123.2021
23.299999	99.425	-124.1971
23.600000	99.445	-125.0873
24.000000	99.460	-126.0520
24.299999	99.479	-126.6563
24.700001	99.520	-127.4200
25.000000	99.554	-128.0103
25.400000	99.593	-128.7922
25.799999	99.624	-129.4600
26.200001	99.665	-129.9612
26.500000	99.712	-130.2792
26.900000	99.795	-130.7442
27.200001	99.862	-131.1813
27.600000	99.937	-131.8602
28.000000	99.988	-132.5095
28.500000	100.040	-133.0863
29.000000	100.119	-133.4671
29.500000	100.234	-133.9498
30.000000	100.343	-134.7206
30.400000	100.399	-135.4640
30.700001	100.418	-136.0056
31.100000	100.421	-136.6049
31.500000	100.411	-137.0089
32.000000	100.408	-137.2320
32.500000	100.448	-137.2581
33.000000	100.552	-137.3886
33.500000	100.696	-137.9636
34.000000	100.813	-139.0892
34.500000	100.846	-140.4423
35.000000	100.803	-141.5305
35.500000	100.750	-142.0933
36.000000	100.753	-142.3450
36.500000	100.819	-142.7175
37.000000	100.896	-143.4730
37.500000	100.925	-144.4845
38.200001	100.863	-145.5760
38.700001	100.808	-145.7411
39.500000	100.870	-145.5720
40.000000	100.970	-145.9560
40.599998	101.017	-146.9572
41.200001	100.951	-147.5844
41.799999	100.910	-147.3292
42.500000	101.044	-146.9505
43.099998	101.211	-147.5270
43.700001	101.302	-148.5573
44.400002	101.355	-149.5662
45.000000	101.423	-150.4346
45.500000	101.466	-151.4175
46.200001	101.443	-152.9192
46.799999	101.353	-153.8297
47.500000	101.245	-154.2077
48.200001	101.215	-154.1542
48.700001	101.246	-154.2318
49.400002	101.283	-154.8227
50.000000	101.242	-155.3811
50.799999	101.161	-155.3855
51.500000	101.184	-155.1492
52.200001	101.239	-155.3344
53.000000	101.264	-155.6031
53.799999	101.322	-155.7077
54.500000	101.395	-156.0009
55.200001	101.467	-156.3459
56.000000	101.589	-156.9110
57.000000	101.689	-158.4626
58.000000	101.629	-159.7578
59.000000	101.586	-160.4242
60.000000	101.552	-161.1920
60.799999	101.507	-161.6298
61.500000	101.487	-161.8393
62.200001	101.494	-162.0272
63.000000	101.521	-162.3139
64.000000	101.563	-162.7320
65.000000	101.617	-163.2909
66.000000	101.644	-164.1457
67.000000	101.602	-165.1084
68.000000	101.496	-165.7934
69.000000	101.403	-166.0852
70.000000	101.346	-166.4104
71.000000	101.285	-166.6201
72.000000	101.267	-166.5147
73.000000	101.320	-166.3463
74.000000	101.431	-166.5002
75.000000	101.505	-167.2536
76.199997	101.477	-168.3149
77.500000	101.349	-169.4172
78.800003	101.146	-170.0315
80.000000	101.023	-170.1191
81.199997	101.003	-170.1681
82.500000	101.053	-170.4052
83.800003	101.126	-170.7193
85.000000	101.162	-171.2038
86.199997	101.120	-171.4586
87.500000	101.080	-171.5592
88.500000	101.032	-171.7143
90.000000	101.001	-171.6937
91.199997	101.030	-171.8336
92.500000	101.066	-171.9449
93.800003	101.097	-171.8337
95.000000	101.132	-171.5390
96.199997	101.160	-171.3845
97.500000	101.162	-171.3915
98.800003	101.143	-171.7446
100.000000	101.079	-172.1309
101.500000	101.034	-172.2947
103.000000	101.034	-172.5151
104.400002	101.060	-172.6633
106.000000	101.051	-172.8311
107.500000	101.072	-172.6369
109.000000	101.109	-172.4136
110.599998	101.239	-172.3576
112.000000	101.284	-172.8725
113.800003	101.259	-173.2622
115.000000	101.221	-173.2346
117.199997	101.224	-173.4790
118.000000	101.222	-173.6855
120.599998	101.256	-174.8122
122.000000	101.248	-175.4078
124.099998	101.242	-176.0235
125.000000	101.242	-176.2155
126.500000	101.241	-176.5754
128.000000	101.224	-176.9868
131.500000	101.154	-177.9545
132.000000	101.144	-178.0732
134.000000	101.114	-178.5159
136.000000	101.085	-178.8588
138.000000	101.054	-179.0559
140.000000	101.013	-179.2344
143.000000	100.940	-179.6647
145.000000	100.888	-179.9963
147.500000	100.845	179.7968
150.000000	100.824	179.6583
152.500000	100.792	179.3860
155.000000	100.747	179.0533
157.500000	100.710	178.7473
160.000000	100.678	178.4773
162.500000	100.645	178.2723
165.000000	100.607	178.1628
167.500000	100.558	178.0729
170.000000	100.495	177.9156
172.500000	100.437	177.6800
175.000000	100.389	177.4789
177.500000	100.349	177.4188
180.000000	100.299	177.4403
182.500000	100.241	177.5094
185.000000	100.182	177.5735
187.500000	100.124	177.7587
190.000000	100.090	178.0674
192.500000	100.074	178.3500
195.000000	100.067	178.5670
197.500000	100.081	178.6794
200.000000	100.113	178.6405
203.000000	100.148	178.4283
206.000000	100.149	178.1328
209.000000	100.118	177.9157
212.000000	100.083	177.7822
214.000000	100.063	177.6653
218.000000	100.021	177.3931
220.000000	99.999	177.3077
224.000000	99.951	177.2341
227.000000	99.915	177.1760
230.000000	99.875	177.0892
233.000000	99.836	177.0286
236.000000	99.798	177.0717
240.000000	99.751	177.2208
243.000000	99.709	177.2206
247.000000	99.648	177.1268
250.000000	99.609	177.0549
254.000000	99.561	177.0331
258.000000	99.521	177.0891
262.000000	99.480	177.1432
265.000000	99.445	177.1942
269.000000	99.399	177.3177
272.000000	99.369	177.4223
276.000000	99.335	177.4957
280.000000	99.298	177.5409
285.000000	99.246	177.7089
290.000000	99.195	177.8570
295.000000	99.146	177.9854
300.000000	99.093	178.0728
304.000000	99.058	178.2084
307.000000	99.035	178.3434
311.000000	99.009	178.5589
315.000000	98.984	178.7555
320.000000	98.949	178.9641
325.000000	98.910	179.1589
330.000000	98.866	179.3948
335.000000	98.826	179.6393
340.000000	98.796	179.8406
345.000000	98.770	-179.9574
350.000000	98.739	-179.7439
355.000000	98.699	-179.5216
360.000000	98.660	-179.2577
365.000000	98.625	-178.9869
370.000000	98.589	-178.7361
375.000000	98.554	-178.4981
382.000000	98.507	-178.1111
387.000000	98.470	-177.8014
395.000000	98.413	-177.3540
400.000000	98.379	-177.0782
406.000000	98.340	-176.7489
412.000000	98.303	-176.3993
418.000000	98.269	-176.0795
425.000000	98.232	-175.7078
431.000000	98.201	-175.3731
437.000000	98.166	-174.9971
444.000000	98.132	-174.5161
450.000000	98.108	-174.1286
455.000000	98.085	-173.8256
462.000000	98.052	-173.4078
468.000000	98.028	-173.0387
475.000000	98.000	-172.6078
482.000000	97.970	-172.1800
487.000000	97.951	-171.8494
494.000000	97.929	-171.3727
500.000000	97.913	-170.9914
508.000000	97.892	-170.4849
515.000000	97.873	-170.0317
522.000000	97.854	-169.5433
530.000000	97.832	-168.9720
538.000000	97.807	-168.4244
545.000000	97.792	-167.9587
552.000000	97.782	-167.4861
560.000000	97.766	-166.9404
570.000000	97.743	-166.2137
580.000000	97.725	-165.5088
590.000000	97.703	-164.7968
600.000000	97.680	-164.0739
608.000000	97.669	-163.4975
615.000000	97.661	-162.9942
622.000000	97.652	-162.4770
630.000000	97.642	-161.8806
640.000000	97.629	-161.1487
650.000000	97.620	-160.4091
660.000000	97.614	-159.6196
670.000000	97.610	-158.8151
680.000000	97.602	-158.0083
690.000000	97.593	-157.2246
700.000000	97.589	-156.4327
710.000000	97.589	-155.6055
720.000000	97.585	-154.7511
730.000000	97.576	-153.8463
740.000000	97.568	-152.8949
750.000000	97.559	-151.8851
762.000000	97.547	-150.5020
775.000000	97.536	-148.5498
788.000000	97.611	-145.7048
800.000000	98.008	-142.7582
812.000000	98.631	-142.4187
825.000000	98.932	-144.8535
838.000000	98.868	-146.6744
850.000000	98.698	-146.9621
862.000000	98.573	-146.2988
875.000000	98.523	-145.2480
885.000000	98.523	-144.4075
900.000000	98.560	-143.2004
912.000000	98.608	-142.2932
925.000000	98.670	-141.3732
938.000000	98.744	-140.4716
950.000000	98.817	-139.6696
962.000000	98.894	-138.9047
975.000000	98.984	-138.1127
988.000000	99.082	-137.3662
1000.000000	99.177	-136.7121
1015.000000	99.298	-135.9309
1030.000000	99.418	-135.2376
1044.000000	99.532	-134.6281
1060.000000	99.666	-133.9547
1075.000000	99.791	-133.3763
1090.000000	99.918	-132.8556
1106.000000	100.063	-132.3506
1120.000000	100.193	-131.9404
1138.000000	100.359	-131.4576
1150.000000	100.466	-131.1602
1172.000000	100.659	-130.6551
1180.000000	100.729	-130.4829
1206.000000	100.952	-129.9579
1220.000000	101.069	-129.7094
1241.000000	101.245	-129.3568
1250.000000	101.319	-129.2188
1265.000000	101.442	-129.0098
1280.000000	101.564	-128.8152
1315.000000	101.842	-128.4011
1320.000000	101.881	-128.3490
1340.000000	102.033	-128.1541
1360.000000	102.182	-127.9793
1380.000000	102.331	-127.8185
1400.000000	102.482	-127.6687
1430.000000	102.706	-127.5176
1450.000000	102.853	-127.4388
1475.000000	103.034	-127.3810
1500.000000	103.215	-127.3363
1525.000000	103.393	-127.3160
1550.000000	103.564	-127.3148
1575.000000	103.733	-127.3264
1600.000000	103.900	-127.3410
1625.000000	104.067	-127.3758
1650.000000	104.235	-127.4383
1675.000000	104.404	-127.5343
1700.000000	104.571	-127.6564
1725.000000	104.736	-127.8008
1750.000000	104.898	-127.9789
1775.000000	105.061	-128.1864
1800.000000	105.222	-128.4328
1825.000000	105.383	-128.7191
1850.000000	105.544	-129.0478
1875.000000	105.706	-129.4199
1900.000000	105.864	-129.8339
1925.000000	106.020	-130.2943
1950.000000	106.172	-130.8065
1975.000000	106.320	-131.3686
2000.000000	106.463	-131.9786
2030.000000	106.631	-132.7902
2060.000000	106.789	-133.6820
2090.000000	106.940	-134.6407
2120.000000	107.079	-135.6696
2140.000000	107.165	-136.3898
2180.000000	107.319	-137.9062
2200.000000	107.385	-138.6978
2240.000000	107.494	-140.3349
2270.000000	107.557	-141.5914
2300.000000	107.603	-142.8646
2330.000000	107.632	-144.1477
2360.000000	107.645	-145.4243
2400.000000	107.636	-147.0919
2430.000000	107.611	-148.3043
2470.000000	107.553	-149.8559
2500.000000	107.494	-150.9554
2540.000000	107.397	-152.3194
2580.000000	107.281	-153.5552
2620.000000	107.148	-154.6567
2650.000000	107.039	-155.3975
2690.000000	106.885	-156.2602
2720.000000	106.763	-156.8119
2760.000000	106.596	-157.4212
2800.000000	106.425	-157.8987
2850.000000	106.212	-158.3150
2900.000000	105.997	-158.5631
2950.000000	105.782	-158.6513
3000.000000	105.567	-158.5607
3040.000000	105.397	-158.3519
3070.000000	105.271	-158.1132
3110.000000	105.111	-157.6751
3150.000000	104.964	-157.0942
3200.000000	104.805	-156.1983
3250.000000	104.684	-155.1976
3300.000000	104.600	-154.2180
3350.000000	104.539	-153.3552
3400.000000	104.484	-152.6163
3450.000000	104.428	-151.9213
3500.000000	104.373	-151.1897
3550.000000	104.321	-150.3787
3600.000000	104.274	-149.4881
3650.000000	104.235	-148.5433
3700.000000	104.209	-147.5470
3750.000000	104.196	-146.5158
3820.000000	104.196	-145.0426
3870.000000	104.204	-143.9656
3950.000000	104.233	-142.2043
4000.000000	104.268	-141.0904
4060.000000	104.326	-139.7437
4120.000000	104.408	-138.3922
4180.000000	104.514	-137.0716
4250.000000	104.661	-135.6159
4310.000000	104.803	-134.4527
4370.000000	104.954	-133.3654
4440.000000	105.144	-132.1917
4500.000000	105.319	-131.2742
4550.000000	105.475	-130.5703
4620.000000	105.713	-129.6661
4680.000000	105.941	-128.9640
4750.000000	106.244	-128.3092
4820.000000	106.577	-127.9163
4870.000000	106.827	-127.8261
4940.000000	107.190	-128.0099
5000.000000	107.509	-128.4741
5080.000000	107.936	-129.5605
5150.000000	108.298	-130.9711
5220.000000	108.636	-132.8135
5300.000000	108.977	-135.4449
5380.000000	109.245	-138.5787
5450.000000	109.405	-141.6140
