* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2022 8:26:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_N3A000
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	103.595	-120.0436
20.600000	103.602	-120.3716
20.900000	103.625	-120.8961
21.200001	103.669	-121.2577
21.400000	103.712	-121.4757
21.799999	103.819	-122.0158
22.000000	103.876	-122.3832
22.400000	103.978	-123.2839
22.700001	104.038	-124.0291
23.000000	104.087	-124.7742
23.299999	104.127	-125.4902
23.600000	104.164	-126.1638
24.000000	104.211	-126.9805
24.299999	104.249	-127.5251
24.700001	104.311	-128.1731
25.000000	104.368	-128.6369
25.400000	104.454	-129.2922
25.799999	104.538	-130.0298
26.200001	104.606	-130.7994
26.500000	104.644	-131.3306
26.900000	104.685	-131.9212
27.200001	104.719	-132.2891
27.600000	104.775	-132.7569
28.000000	104.837	-133.2877
28.500000	104.902	-134.0330
29.000000	104.953	-134.7202
29.500000	105.016	-135.3203
30.000000	105.103	-136.0350
30.400000	105.170	-136.7913
30.700001	105.205	-137.4280
31.100000	105.229	-138.2307
31.500000	105.243	-138.8788
32.000000	105.282	-139.5196
32.500000	105.348	-140.2216
33.000000	105.402	-141.0775
33.500000	105.425	-141.8341
34.000000	105.453	-142.2518
34.500000	105.535	-142.5482
35.000000	105.655	-143.1844
35.500000	105.731	-144.2709
36.000000	105.711	-145.3163
36.500000	105.641	-145.7740
37.000000	105.623	-145.6834
37.500000	105.697	-145.6382
38.200001	105.831	-146.4184
38.700001	105.864	-147.3009
39.500000	105.859	-148.3550
40.000000	105.876	-148.9270
40.599998	105.895	-149.7901
41.200001	105.878	-150.6575
41.799999	105.844	-151.2702
42.500000	105.825	-151.6729
43.099998	105.843	-151.8107
43.700001	105.918	-151.8833
44.400002	106.067	-152.3830
45.000000	106.165	-153.3770
45.500000	106.179	-154.2901
46.200001	106.132	-155.1391
46.799999	106.102	-155.4508
47.500000	106.105	-155.7307
48.200001	106.123	-156.0823
48.700001	106.135	-156.3477
49.400002	106.152	-156.6931
50.000000	106.173	-156.9409
50.799999	106.233	-157.3345
51.500000	106.293	-157.9933
52.200001	106.304	-158.9231
53.000000	106.229	-159.7497
53.799999	106.165	-159.8579
54.500000	106.220	-159.9823
55.200001	106.293	-161.0452
56.000000	106.178	-162.7272
57.000000	105.895	-162.6131
58.000000	106.008	-161.6765
59.000000	106.199	-162.9307
60.000000	106.186	-164.3292
60.799999	106.168	-164.8850
61.500000	106.172	-165.2133
62.200001	106.195	-165.4467
63.000000	106.244	-165.8024
64.000000	106.268	-166.5056
65.000000	106.233	-167.0017
66.000000	106.206	-167.2601
67.000000	106.199	-167.5224
68.000000	106.214	-167.9128
69.000000	106.233	-168.5146
70.000000	106.235	-169.2284
71.000000	106.217	-169.8533
72.000000	106.199	-170.2576
73.000000	106.199	-170.5690
74.000000	106.193	-170.9102
75.000000	106.169	-171.1562
76.199997	106.153	-171.3840
77.500000	106.139	-171.9244
78.800003	106.088	-172.7250
80.000000	106.011	-173.3042
81.199997	105.988	-173.6501
82.500000	106.013	-174.3508
83.800003	105.982	-175.2070
85.000000	105.897	-175.5612
86.199997	105.832	-175.4125
87.500000	105.813	-175.3623
88.500000	105.778	-175.5158
90.000000	105.727	-175.5609
91.199997	105.738	-175.6980
92.500000	105.755	-176.0702
93.800003	105.754	-176.3167
95.000000	105.759	-176.3807
96.199997	105.756	-176.4133
97.500000	105.745	-176.4483
98.800003	105.734	-176.5956
100.000000	105.741	-176.9451
101.500000	105.738	-177.6790
103.000000	105.736	-178.2902
104.400002	105.733	-178.7255
106.000000	105.705	-178.8148
107.500000	105.700	-178.6957
109.000000	105.701	-178.8453
110.599998	105.708	-179.3621
112.000000	105.708	179.9086
113.800003	105.686	179.1160
115.000000	105.658	178.8036
117.199997	105.548	178.8022
118.000000	105.502	178.9260
120.599998	105.371	178.8327
122.000000	105.310	178.4556
124.099998	105.305	178.0571
125.000000	105.351	177.8979
126.500000	105.436	177.4756
128.000000	105.461	177.0338
131.500000	105.372	176.6398
132.000000	105.358	176.5597
134.000000	105.300	176.1207
136.000000	105.234	175.7456
138.000000	105.167	175.6958
140.000000	105.118	175.7776
143.000000	105.073	175.5168
145.000000	105.041	175.1733
147.500000	104.978	174.8433
150.000000	104.882	174.8854
152.500000	104.810	174.9843
155.000000	104.758	174.9261
157.500000	104.729	174.8922
160.000000	104.720	174.8917
162.500000	104.702	174.8240
165.000000	104.676	174.7194
167.500000	104.660	174.4345
170.000000	104.637	174.1054
172.500000	104.605	173.9576
175.000000	104.564	173.8828
177.500000	104.513	173.7219
180.000000	104.461	173.5213
182.500000	104.411	173.3494
185.000000	104.349	173.2092
187.500000	104.286	173.1190
190.000000	104.244	173.1073
192.500000	104.216	173.1443
195.000000	104.175	173.1742
197.500000	104.119	173.1878
200.000000	104.068	173.2524
203.000000	104.036	173.4500
206.000000	104.022	173.6736
209.000000	104.007	173.7973
212.000000	103.997	173.8163
214.000000	103.989	173.7952
218.000000	103.969	173.7649
220.000000	103.952	173.7465
224.000000	103.911	173.7335
