* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2022 8:25:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_N3A000
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.654	-118.1949
20.600000	102.651	-118.2486
20.900000	102.663	-118.3444
21.200001	102.714	-118.4664
21.400000	102.765	-118.6282
21.799999	102.879	-119.1998
22.000000	102.934	-119.6048
22.400000	103.027	-120.5564
22.700001	103.087	-121.3230
23.000000	103.146	-122.1216
23.299999	103.205	-122.9841
23.600000	103.256	-123.9223
24.000000	103.297	-125.2338
24.299999	103.301	-126.1342
24.700001	103.283	-127.0136
25.000000	103.278	-127.3512
25.400000	103.325	-127.4603
25.799999	103.459	-127.5350
26.200001	103.650	-127.9831
26.500000	103.791	-128.6680
26.900000	103.928	-129.9367
27.200001	103.975	-130.9504
27.600000	103.972	-132.0883
28.000000	103.933	-132.7669
28.500000	103.909	-133.0059
29.000000	103.966	-133.0031
29.500000	104.094	-133.2500
30.000000	104.232	-133.9898
30.400000	104.313	-134.8516
30.700001	104.347	-135.5367
31.100000	104.367	-136.3358
31.500000	104.383	-136.9322
32.000000	104.437	-137.5301
32.500000	104.527	-138.3009
33.000000	104.595	-139.3518
33.500000	104.604	-140.3315
34.000000	104.589	-140.8180
34.500000	104.621	-140.8809
35.000000	104.712	-140.9566
35.500000	104.809	-141.2534
36.000000	104.880	-141.5019
36.500000	104.967	-141.5006
37.000000	105.117	-141.5986
37.500000	105.284	-142.3231
38.200001	105.354	-144.1937
38.700001	105.257	-145.2001
39.500000	105.114	-145.4130
40.000000	105.127	-145.5095
40.599998	105.154	-146.2875
41.200001	105.094	-147.2910
41.799999	105.001	-147.8677
42.500000	104.968	-148.2556
43.099998	104.985	-148.8799
43.700001	104.985	-149.6312
44.400002	104.989	-150.3011
45.000000	105.030	-150.8603
45.500000	105.066	-151.4868
46.200001	105.066	-152.3563
46.799999	105.035	-152.6739
47.500000	105.052	-152.5054
48.200001	105.171	-152.3297
48.700001	105.291	-152.5356
49.400002	105.434	-153.4250
50.000000	105.475	-154.5023
50.799999	105.405	-155.5980
51.500000	105.331	-155.7447
52.200001	105.374	-155.6024
53.000000	105.522	-156.3452
53.799999	105.547	-158.1082
54.500000	105.411	-159.2188
55.200001	105.272	-159.3061
56.000000	105.248	-158.9077
57.000000	105.343	-158.8627
58.000000	105.442	-159.3206
59.000000	105.501	-159.9173
60.000000	105.545	-160.5337
60.799999	105.550	-161.1732
61.500000	105.519	-161.6158
62.200001	105.489	-161.8125
63.000000	105.492	-161.9718
64.000000	105.521	-162.3996
65.000000	105.534	-162.9961
66.000000	105.527	-163.5309
67.000000	105.527	-163.9327
68.000000	105.541	-164.3648
69.000000	105.548	-164.9058
70.000000	105.534	-165.4318
71.000000	105.517	-165.8225
72.000000	105.512	-166.1298
73.000000	105.524	-166.3995
74.000000	105.549	-166.7010
75.000000	105.569	-167.0454
76.199997	105.582	-167.4798
77.500000	105.562	-167.9960
78.800003	105.526	-168.3851
80.000000	105.508	-168.9029
81.199997	105.462	-169.5516
82.500000	105.419	-169.9520
83.800003	105.426	-170.3574
85.000000	105.418	-170.7107
86.199997	105.421	-170.8733
87.500000	105.419	-171.2030
88.500000	105.384	-171.4370
90.000000	105.329	-171.5907
91.199997	105.311	-171.7328
92.500000	105.309	-172.0452
93.800003	105.295	-172.4340
95.000000	105.278	-172.6778
96.199997	105.268	-172.9344
97.500000	105.231	-173.2841
98.800003	105.173	-173.4221
100.000000	105.155	-173.4821
101.500000	105.151	-173.8120
103.000000	105.142	-174.1846
104.400002	105.129	-174.4985
106.000000	105.114	-174.6108
107.500000	105.139	-174.7033
109.000000	105.152	-174.9873
110.599998	105.160	-175.1998
112.000000	105.177	-175.4809
113.800003	105.174	-175.8682
115.000000	105.165	-176.0380
117.199997	105.166	-176.2973
118.000000	105.168	-176.4525
120.599998	105.144	-177.1300
122.000000	105.115	-177.4932
124.099998	105.069	-177.8759
125.000000	105.057	-177.9588
126.500000	105.056	-178.0893
128.000000	105.058	-178.3181
131.500000	104.962	-179.0025
132.000000	104.942	-179.0512
134.000000	104.882	-179.1720
136.000000	104.854	-179.3510
138.000000	104.823	-179.5263
140.000000	104.787	-179.5636
143.000000	104.750	-179.6261
145.000000	104.720	-179.7421
147.500000	104.688	-179.8150
150.000000	104.664	-179.8664
152.500000	104.639	-179.9337
155.000000	104.610	179.9612
157.500000	104.591	179.8438
160.000000	104.586	179.6781
162.500000	104.592	179.4967
165.000000	104.589	179.2776
167.500000	104.569	179.0681
170.000000	104.541	178.8509
172.500000	104.511	178.6248
175.000000	104.486	178.4329
177.500000	104.465	178.2241
180.000000	104.434	178.0658
182.500000	104.385	177.9624
185.000000	104.318	177.8882
187.500000	104.273	177.7815
190.000000	104.267	177.5428
192.500000	104.262	177.3271
195.000000	104.236	177.3018
197.500000	104.202	177.2990
200.000000	104.157	177.2137
203.000000	104.103	177.2526
206.000000	104.069	177.4021
209.000000	104.029	177.4349
212.000000	103.988	177.3694
214.000000	103.974	177.2964
218.000000	103.969	177.1385
220.000000	103.962	177.0703
224.000000	103.931	176.9753
227.000000	103.899	176.9330
230.000000	103.857	176.8589
233.000000	103.818	176.7029
236.000000	103.793	176.5104
240.000000	103.760	176.4565
243.000000	103.715	176.5640
247.000000	103.646	176.7146
250.000000	103.614	176.7756
254.000000	103.579	176.8431
258.000000	103.526	176.8882
262.000000	103.474	176.8649
265.000000	103.440	176.8795
269.000000	103.395	176.9884
272.000000	103.361	177.0856
276.000000	103.314	177.1791
280.000000	103.275	177.2487
285.000000	103.228	177.3955
290.000000	103.188	177.5338
295.000000	103.147	177.6992
300.000000	103.094	177.8510
304.000000	103.065	177.9697
307.000000	103.045	178.0866
311.000000	103.013	178.2303
315.000000	102.978	178.3651
320.000000	102.934	178.5977
325.000000	102.901	178.7819
330.000000	102.869	178.9420
335.000000	102.829	179.1922
340.000000	102.790	179.4466
345.000000	102.756	179.6830
350.000000	102.722	179.9237
355.000000	102.682	-179.8191
360.000000	102.642	-179.6206
365.000000	102.609	-179.4459
370.000000	102.572	-179.1877
375.000000	102.533	-178.8795
382.000000	102.482	-178.4905
387.000000	102.448	-178.2354
395.000000	102.401	-177.7850
400.000000	102.370	-177.5206
406.000000	102.330	-177.1975
412.000000	102.291	-176.8354
418.000000	102.252	-176.4905
425.000000	102.212	-176.1003
431.000000	102.180	-175.7389
437.000000	102.154	-175.3913
444.000000	102.123	-174.9552
450.000000	102.095	-174.5640
455.000000	102.073	-174.2575
462.000000	102.047	-173.8288
468.000000	102.022	-173.4479
475.000000	101.991	-173.0122
482.000000	101.964	-172.5509
487.000000	101.945	-172.2354
494.000000	101.918	-171.8199
500.000000	101.899	-171.4588
508.000000	101.874	-170.9653
515.000000	101.855	-170.4893
522.000000	101.834	-169.9880
530.000000	101.809	-169.4474
538.000000	101.790	-168.9220
545.000000	101.776	-168.4412
552.000000	101.756	-167.9478
560.000000	101.732	-167.3909
570.000000	101.710	-166.6758
580.000000	101.702	-165.9827
590.000000	101.691	-165.3128
600.000000	101.674	-164.6056
608.000000	101.660	-164.0147
615.000000	101.647	-163.4921
622.000000	101.633	-162.9682
630.000000	101.622	-162.3683
640.000000	101.610	-161.6315
650.000000	101.602	-160.8650
660.000000	101.596	-160.0819
670.000000	101.590	-159.3156
680.000000	101.586	-158.5500
690.000000	101.579	-157.7630
700.000000	101.573	-156.9402
710.000000	101.566	-156.0831
720.000000	101.559	-155.2251
730.000000	101.551	-154.3591
740.000000	101.542	-153.4283
750.000000	101.536	-152.4102
762.000000	101.528	-151.0413
775.000000	101.517	-149.1441
788.000000	101.580	-146.3940
800.000000	101.939	-143.4492
812.000000	102.556	-142.7912
825.000000	102.898	-145.0735
838.000000	102.856	-146.9905
850.000000	102.690	-147.4200
862.000000	102.559	-146.8044
875.000000	102.503	-145.7468
885.000000	102.504	-144.9187
900.000000	102.541	-143.7169
912.000000	102.585	-142.7971
925.000000	102.645	-141.8551
938.000000	102.718	-140.9702
950.000000	102.793	-140.1840
962.000000	102.875	-139.4266
975.000000	102.969	-138.6598
988.000000	103.065	-137.9382
1000.000000	103.157	-137.2903
1015.000000	103.276	-136.5219
1030.000000	103.399	-135.8144
1044.000000	103.515	-135.1821
1060.000000	103.647	-134.5088
1075.000000	103.770	-133.9507
1090.000000	103.899	-133.4443
1106.000000	104.043	-132.9543
1120.000000	104.168	-132.5575
1138.000000	104.329	-132.0814
1150.000000	104.437	-131.7786
1172.000000	104.630	-131.2733
1180.000000	104.699	-131.1106
1206.000000	104.920	-130.6289
1220.000000	105.037	-130.3812
1241.000000	105.211	-130.0376
1250.000000	105.285	-129.9064
1265.000000	105.407	-129.6974
1280.000000	105.527	-129.4911
1315.000000	105.802	-129.0726
1320.000000	105.841	-129.0209
1340.000000	105.991	-128.8307
1360.000000	106.135	-128.6576
1380.000000	106.281	-128.5054
1400.000000	106.430	-128.3691
1430.000000	106.650	-128.1995
1450.000000	106.794	-128.1160
1475.000000	106.971	-128.0272
1500.000000	107.143	-127.9511
1525.000000	107.312	-127.8733
1550.000000	107.481	-127.7905
1575.000000	107.653	-127.7143
1600.000000	107.833	-127.6571
1625.000000	108.017	-127.6701
1650.000000	108.199	-127.7667
1675.000000	108.372	-127.9196
1700.000000	108.538	-128.0961
1725.000000	108.700	-128.2804
1750.000000	108.858	-128.4620
1775.000000	109.015	-128.6438
1800.000000	109.177	-128.8438
1825.000000	109.343	-129.0755
1850.000000	109.513	-129.3633
1875.000000	109.684	-129.7307
1900.000000	109.851	-130.1825
1925.000000	110.013	-130.7066
1950.000000	110.168	-131.2803
1975.000000	110.316	-131.8980
2000.000000	110.459	-132.5652
2030.000000	110.623	-133.4234
2060.000000	110.778	-134.3504
2090.000000	110.922	-135.3441
2120.000000	111.056	-136.3958
2140.000000	111.139	-137.1300
2180.000000	111.284	-138.6696
2200.000000	111.346	-139.4693
2240.000000	111.447	-141.1212
2270.000000	111.503	-142.3908
2300.000000	111.542	-143.6660
2330.000000	111.563	-144.9384
2360.000000	111.567	-146.2042
2400.000000	111.545	-147.8541
2430.000000	111.510	-149.0452
2470.000000	111.439	-150.5487
2500.000000	111.370	-151.5966
2540.000000	111.258	-152.8720
2580.000000	111.128	-153.9910
2620.000000	110.982	-154.9230
2650.000000	110.869	-155.4943
2690.000000	110.719	-156.1007
2720.000000	110.612	-156.4620
2760.000000	110.479	-156.8797
2800.000000	110.350	-157.2871
2850.000000	110.179	-157.8007
2900.000000	109.988	-158.2390
2950.000000	109.777	-158.4930
3000.000000	109.554	-158.5051
3040.000000	109.373	-158.3309
3070.000000	109.240	-158.0868
3110.000000	109.072	-157.6087
3150.000000	108.918	-156.9747
3200.000000	108.753	-156.0157
3250.000000	108.626	-154.9437
3300.000000	108.537	-153.8678
3350.000000	108.475	-152.8674
3400.000000	108.425	-151.9449
3450.000000	108.382	-151.0587
3500.000000	108.349	-150.1703
3550.000000	108.324	-149.2582
3600.000000	108.307	-148.3247
3650.000000	108.295	-147.3631
3700.000000	108.289	-146.3609
3750.000000	108.294	-145.3182
3820.000000	108.323	-143.8111
3870.000000	108.359	-142.7210
3950.000000	108.441	-141.0164
4000.000000	108.508	-139.9892
4060.000000	108.600	-138.7995
4120.000000	108.705	-137.6473
4180.000000	108.824	-136.5358
4250.000000	108.982	-135.3012
4310.000000	109.128	-134.2930
4370.000000	109.281	-133.3354
4440.000000	109.475	-132.3004
4500.000000	109.657	-131.5059
4550.000000	109.821	-130.9176
4620.000000	110.070	-130.2029
4680.000000	110.302	-129.6908
4750.000000	110.601	-129.2753
4820.000000	110.923	-129.1413
4870.000000	111.161	-129.2324
4940.000000	111.499	-129.6290
5000.000000	111.792	-130.2299
5080.000000	112.182	-131.4321
5150.000000	112.514	-132.8949
5220.000000	112.824	-134.7758
5300.000000	113.135	-137.4279
5380.000000	113.376	-140.5473
5450.000000	113.515	-143.5725
5520.000000	113.577	-146.7580
5600.000000	113.553	-150.4312
5700.000000	113.389	-154.8098
5800.000000	113.105	-158.7121
5900.000000	112.734	-162.0108
6000.000000	112.307	-164.6725
6080.000000	111.943	-166.3350
6150.000000	111.619	-167.4550
6220.000000	111.298	-168.2802
6300.000000	110.943	-168.8890
6400.000000	110.529	-169.2022
6500.000000	110.158	-169.1025
6600.000000	109.842	-168.6666
6700.000000	109.588	-167.9650
6800.000000	109.408	-167.0702
6900.000000	109.325	-166.0486
7000.000000	109.350	-164.9774
7100.000000	109.479	-163.9746
7200.000000	109.715	-163.1826
7300.000000	110.062	-162.7448
7400.000000	110.526	-162.8335
7500.000000	111.116	-163.7082
7620.000000	111.996	-166.3293
7750.000000	113.066	-172.0991
7880.000000	113.956	177.8963
8000.000000	114.311	164.7892
8120.000000	113.965	149.8686
8250.000000	112.765	135.3204
8380.000000	110.972	125.0208
8500.000000	109.116	119.4037
8620.000000	107.290	116.6259
8750.000000	105.455	115.7676
8850.000000	104.167	116.1184
9000.000000	102.435	117.7021
9120.000000	101.206	119.5852
9250.000000	100.009	122.0483
9380.000000	98.935	124.8095
9500.000000	98.040	127.5541
9620.000000	97.231	130.4113
9750.000000	96.445	133.5803
9880.000000	95.741	136.8125
10000.000000	95.155	139.8262
10150.000000	94.508	143.6055
10300.000000	93.953	147.3451
10440.000000	93.513	150.7852
