* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 7:26:09
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.045	-149.3007
20.600000	75.059	-149.5295
20.900000	75.081	-149.9171
21.200001	75.092	-150.2272
21.400000	75.095	-150.3908
21.799999	75.100	-150.6633
22.000000	75.104	-150.7970
22.400000	75.119	-151.0990
22.700001	75.133	-151.3791
23.000000	75.144	-151.7115
23.299999	75.150	-152.0752
23.600000	75.150	-152.4421
24.000000	75.146	-152.8935
24.299999	75.145	-153.1864
24.700001	75.152	-153.5268
25.000000	75.166	-153.7713
25.400000	75.195	-154.1203
25.799999	75.229	-154.5128
26.200001	75.260	-154.9282
26.500000	75.280	-155.2296
26.900000	75.304	-155.5946
27.200001	75.322	-155.8387
27.600000	75.348	-156.1394
28.000000	75.376	-156.4338
28.500000	75.407	-156.8033
29.000000	75.431	-157.1539
29.500000	75.453	-157.4771
30.000000	75.474	-157.8029
30.400000	75.487	-158.0846
30.700001	75.493	-158.3035
31.100000	75.495	-158.5815
31.500000	75.493	-158.8223
32.000000	75.493	-159.0702
32.500000	75.501	-159.3056
33.000000	75.513	-159.5743
33.500000	75.523	-159.8677
34.000000	75.530	-160.1438
34.500000	75.540	-160.3876
35.000000	75.554	-160.6247
35.500000	75.571	-160.8817
36.000000	75.585	-161.1490
36.500000	75.595	-161.3979
37.000000	75.606	-161.6200
37.500000	75.621	-161.8377
38.200001	75.641	-162.1797
38.700001	75.650	-162.4448
39.500000	75.654	-162.8431
40.000000	75.652	-163.0543
40.599998	75.650	-163.2578
41.200001	75.653	-163.4046
41.799999	75.666	-163.5300
42.500000	75.691	-163.7259
43.099998	75.709	-163.9422
43.700001	75.721	-164.1392
44.400002	75.735	-164.3129
45.000000	75.754	-164.4690
45.500000	75.770	-164.6394
46.200001	75.782	-164.9171
46.799999	75.783	-165.1490
47.500000	75.778	-165.3840
48.200001	75.770	-165.5662
48.700001	75.769	-165.6730
49.400002	75.775	-165.8450
50.000000	75.781	-166.0407
50.799999	75.780	-166.3043
51.500000	75.780	-166.4838
52.200001	75.786	-166.6515
53.000000	75.793	-166.8362
53.799999	75.805	-166.9679
54.500000	75.824	-167.0951
55.200001	75.842	-167.2938
56.000000	75.847	-167.5456
57.000000	75.840	-167.7687
58.000000	75.835	-167.9315
59.000000	75.830	-168.0891
60.000000	75.828	-168.2339
60.799999	75.830	-168.3571
61.500000	75.835	-168.4902
62.200001	75.839	-168.6481
63.000000	75.840	-168.8360
64.000000	75.839	-169.0276
65.000000	75.845	-169.1707
66.000000	75.858	-169.3418
67.000000	75.866	-169.5236
68.000000	75.874	-169.6706
69.000000	75.884	-169.8337
70.000000	75.889	-170.0258
71.000000	75.886	-170.2139
72.000000	75.874	-170.3394
73.000000	75.870	-170.3844
74.000000	75.880	-170.4617
75.000000	75.889	-170.6162
76.199997	75.891	-170.8053
77.500000	75.893	-170.9958
78.800003	75.890	-171.1844
80.000000	75.885	-171.2939
81.199997	75.886	-171.3868
82.500000	75.883	-171.4971
83.800003	75.882	-171.5532
85.000000	75.889	-171.6240
86.199997	75.894	-171.7577
87.500000	75.891	-171.8944
88.500000	75.889	-171.9734
90.000000	75.889	-172.0981
91.199997	75.888	-172.1984
92.500000	75.885	-172.3085
93.800003	75.879	-172.4182
95.000000	75.873	-172.5147
96.199997	75.869	-172.6105
97.500000	75.864	-172.7288
98.800003	75.858	-172.8199
100.000000	75.855	-172.8679
101.500000	75.856	-172.9093
103.000000	75.861	-172.9685
104.400002	75.861	-173.0593
106.000000	75.853	-173.1423
107.500000	75.849	-173.2066
109.000000	75.851	-173.3052
110.599998	75.850	-173.4432
112.000000	75.847	-173.5396
113.800003	75.847	-173.6524
115.000000	75.844	-173.7252
117.199997	75.836	-173.7709
118.000000	75.835	-173.7646
120.599998	75.844	-173.8023
122.000000	75.842	-173.8751
124.099998	75.830	-173.9495
125.000000	75.827	-173.9793
126.500000	75.824	-174.0509
128.000000	75.821	-174.1352
131.500000	75.816	-174.2936
132.000000	75.815	-174.3091
134.000000	75.810	-174.3586
136.000000	75.805	-174.3876
138.000000	75.803	-174.4466
140.000000	75.799	-174.5295
143.000000	75.789	-174.6240
145.000000	75.780	-174.6635
147.500000	75.768	-174.6915
150.000000	75.765	-174.7314
152.500000	75.762	-174.7887
155.000000	75.760	-174.8443
157.500000	75.755	-174.9126
160.000000	75.746	-174.9816
162.500000	75.735	-175.0064
165.000000	75.731	-175.0257
167.500000	75.729	-175.0605
170.000000	75.726	-175.0819
172.500000	75.722	-175.0984
175.000000	75.716	-175.1424
177.500000	75.712	-175.1867
180.000000	75.709	-175.1984
182.500000	75.703	-175.1902
185.000000	75.695	-175.2111
187.500000	75.684	-175.2472
190.000000	75.679	-175.2504
192.500000	75.677	-175.2518
195.000000	75.667	-175.2468
197.500000	75.655	-175.2234
200.000000	75.648	-175.2199
203.000000	75.642	-175.2227
206.000000	75.636	-175.1870
209.000000	75.633	-175.1612
212.000000	75.631	-175.1945
214.000000	75.630	-175.2201
218.000000	75.625	-175.2341
220.000000	75.619	-175.2430
224.000000	75.599	-175.2512
227.000000	75.586	-175.2451
230.000000	75.577	-175.2350
233.000000	75.569	-175.1937
236.000000	75.563	-175.1429
240.000000	75.551	-175.1060
243.000000	75.544	-175.0923
247.000000	75.539	-175.0468
250.000000	75.533	-174.9912
254.000000	75.520	-174.9276
258.000000	75.509	-174.9217
262.000000	75.496	-174.9340
265.000000	75.490	-174.9030
269.000000	75.490	-174.8493
272.000000	75.488	-174.8188
276.000000	75.478	-174.7821
280.000000	75.464	-174.7221
285.000000	75.450	-174.6197
290.000000	75.437	-174.5437
295.000000	75.430	-174.4904
300.000000	75.426	-174.4217
304.000000	75.418	-174.3644
307.000000	75.410	-174.3230
311.000000	75.405	-174.2778
315.000000	75.400	-174.2265
320.000000	75.389	-174.1438
325.000000	75.373	-174.0639
330.000000	75.364	-173.9547
335.000000	75.360	-173.8390
340.000000	75.350	-173.7591
345.000000	75.337	-173.6684
350.000000	75.325	-173.5578
355.000000	75.315	-173.4372
360.000000	75.308	-173.3329
365.000000	75.302	-173.2428
370.000000	75.291	-173.1549
375.000000	75.282	-173.0419
382.000000	75.271	-172.8975
387.000000	75.259	-172.7928
395.000000	75.245	-172.6525
400.000000	75.237	-172.5242
406.000000	75.226	-172.3522
412.000000	75.213	-172.2048
418.000000	75.201	-172.0315
425.000000	75.194	-171.8511
431.000000	75.184	-171.6946
437.000000	75.175	-171.5470
444.000000	75.168	-171.3752
450.000000	75.160	-171.2241
455.000000	75.147	-171.0774
462.000000	75.133	-170.8355
468.000000	75.125	-170.6373
475.000000	75.121	-170.4368
482.000000	75.117	-170.2352
487.000000	75.111	-170.1069
494.000000	75.099	-169.9505
500.000000	75.091	-169.7835
508.000000	75.082	-169.5201
515.000000	75.070	-169.2728
522.000000	75.060	-169.0446
530.000000	75.057	-168.7873
538.000000	75.054	-168.5242
545.000000	75.045	-168.2691
552.000000	75.037	-167.9877
560.000000	75.035	-167.7063
570.000000	75.031	-167.3801
580.000000	75.018	-167.0276
590.000000	75.012	-166.6566
600.000000	75.010	-166.2614
608.000000	75.006	-165.9258
615.000000	75.003	-165.6398
622.000000	75.002	-165.3695
630.000000	75.002	-165.0666
640.000000	75.008	-164.6664
650.000000	75.008	-164.2454
660.000000	75.005	-163.8373
670.000000	75.007	-163.4276
680.000000	75.014	-162.9978
690.000000	75.027	-162.5292
700.000000	75.041	-162.0349
710.000000	75.052	-161.5505
720.000000	75.061	-161.0927
730.000000	75.076	-160.6664
740.000000	75.095	-160.2130
750.000000	75.114	-159.7153
762.000000	75.140	-159.1341
775.000000	75.170	-158.4931
788.000000	75.205	-157.8319
800.000000	75.242	-157.2263
812.000000	75.288	-156.6290
825.000000	75.346	-155.9848
838.000000	75.403	-155.3544
850.000000	75.455	-154.7563
862.000000	75.514	-154.1594
875.000000	75.584	-153.5301
885.000000	75.644	-153.0684
900.000000	75.740	-152.4044
912.000000	75.820	-151.8914
925.000000	75.912	-151.3508
938.000000	76.009	-150.8204
950.000000	76.102	-150.3775
962.000000	76.197	-149.9939
975.000000	76.298	-149.6105
988.000000	76.404	-149.2630
1000.000000	76.509	-148.9469
1015.000000	76.647	-148.5471
1030.000000	76.781	-148.2557
1044.000000	76.908	-148.0576
1060.000000	77.052	-147.8902
1075.000000	77.185	-147.7953
1090.000000	77.312	-147.7663
1106.000000	77.442	-147.8147
1120.000000	77.548	-147.9070
1138.000000	77.668	-148.0505
1150.000000	77.738	-148.1091
1172.000000	77.868	-148.0520
1180.000000	77.921	-147.9966
1206.000000	78.115	-147.9320
1220.000000	78.220	-148.0296
1241.000000	78.365	-148.3012
1250.000000	78.421	-148.4372
1265.000000	78.510	-148.6761
1280.000000	78.595	-148.9073
1315.000000	78.775	-149.3646
1320.000000	78.800	-149.4258
1340.000000	78.898	-149.6655
1360.000000	78.999	-149.9090
1380.000000	79.103	-150.1860
1400.000000	79.204	-150.5181
1430.000000	79.337	-151.0882
1450.000000	79.413	-151.4920
1475.000000	79.500	-151.9790
1500.000000	79.577	-152.4258
1525.000000	79.648	-152.8216
1550.000000	79.717	-153.1660
1575.000000	79.786	-153.4872
1600.000000	79.852	-153.8100
1625.000000	79.915	-154.1027
1650.000000	79.978	-154.3831
1675.000000	80.042	-154.6584
1700.000000	80.109	-154.9080
1725.000000	80.177	-155.1420
1750.000000	80.244	-155.3728
1775.000000	80.312	-155.6084
1800.000000	80.378	-155.8455
1825.000000	80.445	-156.0812
1850.000000	80.515	-156.3058
1875.000000	80.585	-156.5358
1900.000000	80.658	-156.7730
1925.000000	80.733	-157.0075
1950.000000	80.807	-157.2516
1975.000000	80.882	-157.5076
2000.000000	80.957	-157.7681
2030.000000	81.050	-158.0923
2060.000000	81.146	-158.4259
2090.000000	81.244	-158.7879
2120.000000	81.341	-159.1838
2140.000000	81.407	-159.4561
2180.000000	81.541	-160.0245
2200.000000	81.608	-160.3233
2240.000000	81.742	-160.9485
2270.000000	81.845	-161.4432
2300.000000	81.947	-161.9702
2330.000000	82.048	-162.5392
2360.000000	82.148	-163.1440
2400.000000	82.283	-163.9887
2430.000000	82.383	-164.6601
2470.000000	82.514	-165.6158
2500.000000	82.611	-166.3763
2540.000000	82.735	-167.4390
2580.000000	82.856	-168.5610
2620.000000	82.972	-169.7539
2650.000000	83.055	-170.6864
2690.000000	83.159	-171.9852
2720.000000	83.231	-173.0020
2760.000000	83.318	-174.4079
2800.000000	83.397	-175.8715
2850.000000	83.482	-177.7702
2900.000000	83.547	-179.7366
2950.000000	83.592	178.2378
3000.000000	83.617	176.1626
3040.000000	83.623	174.4816
3070.000000	83.618	173.2187
3110.000000	83.598	171.5356
3150.000000	83.564	169.8454
3200.000000	83.504	167.7347
3250.000000	83.422	165.6683
3300.000000	83.321	163.6471
3350.000000	83.200	161.6813
3400.000000	83.062	159.7794
3450.000000	82.908	157.9538
3500.000000	82.739	156.2168
3550.000000	82.556	154.5670
3600.000000	82.363	152.9980
3650.000000	82.159	151.5122
3700.000000	81.949	150.1161
3750.000000	81.730	148.8189
3820.000000	81.412	147.1700
3870.000000	81.182	146.1016
3950.000000	80.810	144.5565
4000.000000	80.573	143.6925
4060.000000	80.288	142.7491
4120.000000	80.003	141.9182
4180.000000	79.719	141.1907
4250.000000	79.389	140.4608
4310.000000	79.108	139.9360
4370.000000	78.830	139.4951
4440.000000	78.507	139.0551
4500.000000	78.235	138.7634
4550.000000	78.011	138.5774
4620.000000	77.701	138.3912
4680.000000	77.441	138.2906
4750.000000	77.142	138.2495
4820.000000	76.848	138.2911
4870.000000	76.642	138.3633
4940.000000	76.361	138.5073
5000.000000	76.121	138.6763
5080.000000	75.806	138.9871
5150.000000	75.539	139.3120
5220.000000	75.279	139.6868
5300.000000	74.987	140.1693
5380.000000	74.703	140.6993
5450.000000	74.464	141.2012
5520.000000	74.232	141.7598
5600.000000	73.969	142.4657
5700.000000	73.649	143.4008
5800.000000	73.344	144.3946
5900.000000	73.049	145.4319
6000.000000	72.763	146.5584
6080.000000	72.541	147.4949
6150.000000	72.355	148.3247
6220.000000	72.175	149.1784
6300.000000	71.977	150.2113
6400.000000	71.737	151.5507
6500.000000	71.507	152.9182
6600.000000	71.292	154.2941
6700.000000	71.084	155.6897
6800.000000	70.885	157.1610
6900.000000	70.700	158.6886
7000.000000	70.524	160.2567
7100.000000	70.359	161.8674
7200.000000	70.215	163.4939
7300.000000	70.083	165.1137
7400.000000	69.963	166.7170
7500.000000	69.855	168.3235
7620.000000	69.732	170.2692
7750.000000	69.612	172.4294
7880.000000	69.503	174.6130
8000.000000	69.425	176.6254
8120.000000	69.376	178.6379
8250.000000	69.334	-179.1488
8380.000000	69.316	-176.9175
8500.000000	69.325	-174.8813
8620.000000	69.349	-172.8523
8750.000000	69.395	-170.6558
8850.000000	69.447	-168.9518
9000.000000	69.551	-166.4079
9120.000000	69.663	-164.4299
9250.000000	69.809	-162.3268
9380.000000	69.988	-160.2822
9500.000000	70.185	-158.4537
9620.000000	70.410	-156.6749
9750.000000	70.686	-154.8184
9880.000000	71.005	-153.0769
10000.000000	71.337	-151.5918
10150.000000	71.810	-149.9236
10300.000000	72.351	-148.5682
10440.000000	72.926	-147.6518
10600.000000	73.675	-147.0961
10750.000000	74.474	-147.2442
10900.000000	75.366	-148.3387
11060.000000	76.403	-150.9183
11200.000000	77.344	-154.8015
11380.000000	78.467	-162.6755
11500.000000	79.046	-169.8943
11720.000000	79.457	173.7480
11800.000000	79.350	167.4563
12060.000000	78.130	149.5502
12200.000000	77.093	142.6991
12410.000000	75.369	136.1184
12500.000000	74.630	134.3969
12650.000000	73.444	132.6235
12800.000000	72.340	131.8992
13150.000000	70.099	132.8058
13200.000000	69.817	133.1386
13400.000000	68.770	134.8051
13600.000000	67.830	136.8811
13800.000000	66.983	139.2538
14000.000000	66.221	141.8649
14300.000000	65.217	146.0613
14500.000000	64.637	148.8973
14750.000000	63.978	152.4752
15000.000000	63.400	156.0435
15250.000000	62.891	159.6735
15500.000000	62.435	163.1818
15750.000000	62.023	166.5703
16000.000000	61.666	169.9597
16250.000000	61.365	173.2498
16500.000000	61.099	176.3495
16750.000000	60.852	179.1899
17000.000000	60.650	-178.1285
17250.000000	60.487	-175.5164
17500.000000	60.332	-173.1978
17750.000000	60.190	-171.1216
18000.000000	60.056	-169.2031
18250.000000	59.941	-167.4850
18500.000000	59.828	-166.0400
18750.000000	59.703	-164.7355
19000.000000	59.576	-163.5476
19250.000000	59.459	-162.5800
19500.000000	59.349	-161.9376
19750.000000	59.229	-161.5700
20000.000000	59.125	-161.4005
