* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 7:26:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	74.107	-146.0192
20.600000	74.127	-146.1842
20.900000	74.164	-146.4836
21.200001	74.189	-146.7777
21.400000	74.199	-146.9628
21.799999	74.212	-147.3094
22.000000	74.217	-147.4744
22.400000	74.234	-147.8007
22.700001	74.252	-148.0691
23.000000	74.275	-148.3865
23.299999	74.300	-148.7653
23.600000	74.323	-149.2013
24.000000	74.345	-149.8408
24.299999	74.354	-150.3215
24.700001	74.356	-150.9025
25.000000	74.356	-151.2621
25.400000	74.362	-151.6337
25.799999	74.385	-151.9270
26.200001	74.424	-152.2187
26.500000	74.459	-152.4718
26.900000	74.504	-152.8613
27.200001	74.531	-153.1688
27.600000	74.557	-153.5530
28.000000	74.577	-153.8720
28.500000	74.603	-154.1975
29.000000	74.633	-154.5261
29.500000	74.659	-154.9043
30.000000	74.671	-155.2882
30.400000	74.675	-155.5549
30.700001	74.678	-155.7278
31.100000	74.688	-155.9480
31.500000	74.704	-156.1909
32.000000	74.724	-156.5533
32.500000	74.739	-156.9545
33.000000	74.748	-157.3397
33.500000	74.755	-157.6802
34.000000	74.764	-157.9751
34.500000	74.777	-158.2306
35.000000	74.796	-158.4579
35.500000	74.819	-158.6875
36.000000	74.844	-158.9512
36.500000	74.860	-159.2438
37.000000	74.865	-159.5141
37.500000	74.863	-159.7155
38.200001	74.869	-159.9104
38.700001	74.883	-160.0709
39.500000	74.905	-160.4688
40.000000	74.910	-160.7692
40.599998	74.906	-161.1097
41.200001	74.900	-161.3824
41.799999	74.902	-161.5951
42.500000	74.918	-161.8387
43.099998	74.934	-162.0781
