* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 30 오후 10:36:00
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Double
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.545	-164.6062
20.600000	75.550	-164.7847
20.900000	75.556	-165.0720
21.200001	75.554	-165.2629
21.400000	75.550	-165.3437
21.799999	75.545	-165.4526
22.000000	75.546	-165.5067
22.400000	75.553	-165.6462
22.700001	75.563	-165.7901
23.000000	75.574	-165.9712
23.299999	75.588	-166.1846
23.600000	75.605	-166.4286
24.000000	75.633	-166.8075
24.299999	75.656	-167.1410
24.700001	75.685	-167.6543
25.000000	75.698	-168.0710
25.400000	75.701	-168.6080
25.799999	75.688	-169.0303
26.200001	75.672	-169.2750
26.500000	75.668	-169.3562
26.900000	75.679	-169.4019
27.200001	75.696	-169.4545
27.600000	75.722	-169.6014
28.000000	75.737	-169.8155
28.500000	75.734	-170.0522
29.000000	75.721	-170.1497
29.500000	75.720	-170.1642
30.000000	75.733	-170.2430
30.400000	75.743	-170.3973
30.700001	75.746	-170.5505
31.100000	75.742	-170.7645
31.500000	75.735	-170.9650
32.000000	75.727	-171.2020
32.500000	75.725	-171.4590
33.000000	75.727	-171.7527
33.500000	75.730	-172.0670
34.000000	75.734	-172.3751
34.500000	75.737	-172.6532
35.000000	75.742	-172.8875
35.500000	75.752	-173.0848
36.000000	75.766	-173.2714
36.500000	75.781	-173.4630
37.000000	75.793	-173.6437
37.500000	75.801	-173.7910
38.200001	75.813	-173.9712
38.700001	75.820	-174.1359
39.500000	75.813	-174.4579
40.000000	75.796	-174.6256
40.599998	75.776	-174.7660
41.200001	75.763	-174.8938
41.799999	75.756	-175.0538
42.500000	75.752	-175.2816
43.099998	75.752	-175.5106
43.700001	75.750	-175.7638
44.400002	75.741	-176.0251
45.000000	75.736	-176.1731
45.500000	75.742	-176.2737
46.200001	75.758	-176.4711
46.799999	75.765	-176.7054
47.500000	75.756	-176.9333
48.200001	75.748	-177.0143
48.700001	75.756	-177.0314
49.400002	75.785	-177.1619
50.000000	75.804	-177.4312
50.799999	75.795	-177.8489
51.500000	75.770	-178.0815
52.200001	75.751	-178.2021
53.000000	75.742	-178.3234
53.799999	75.738	-178.4476
54.500000	75.739	-178.5674
55.200001	75.740	-178.7304
56.000000	75.732	-178.9167
57.000000	75.722	-179.0611
58.000000	75.722	-179.2506
59.000000	75.708	-179.4933
60.000000	75.684	-179.6662
60.799999	75.669	-179.7844
61.500000	75.660	-179.8961
62.200001	75.653	179.9774
63.000000	75.643	179.8178
64.000000	75.629	179.6281
65.000000	75.616	179.4690
66.000000	75.607	179.3434
67.000000	75.603	179.2168
68.000000	75.597	179.0640
69.000000	75.586	178.9183
70.000000	75.573	178.7679
71.000000	75.552	178.6204
72.000000	75.532	178.5241
73.000000	75.522	178.4106
74.000000	75.513	178.2164
75.000000	75.495	178.0114
76.199997	75.470	177.8299
77.500000	75.452	177.6936
78.800003	75.435	177.5314
80.000000	75.414	177.4261
81.199997	75.394	177.3519
82.500000	75.376	177.2742
83.800003	75.362	177.1526
85.000000	75.346	177.0236
86.199997	75.332	176.9166
87.500000	75.319	176.8082
88.500000	75.309	176.7342
90.000000	75.296	176.5953
91.199997	75.278	176.4755
92.500000	75.255	176.3922
93.800003	75.240	176.3141
95.000000	75.226	176.2162
96.199997	75.209	176.1422
97.500000	75.194	176.1012
98.800003	75.185	176.0398
100.000000	75.172	175.9389
101.500000	75.143	175.8221
103.000000	75.107	175.7842
104.400002	75.085	175.8029
106.000000	75.070	175.7592
107.500000	75.051	175.6502
109.000000	75.025	175.5605
110.599998	75.001	175.4956
112.000000	74.984	175.4259
113.800003	74.959	175.3339
115.000000	74.942	175.3022
117.199997	74.915	175.2748
118.000000	74.906	175.2547
120.599998	74.871	175.1663
122.000000	74.856	175.1097
124.099998	74.831	175.0105
125.000000	74.821	174.9917
126.500000	74.804	174.9891
128.000000	74.789	175.0066
131.500000	74.747	175.0332
132.000000	74.739	175.0318
134.000000	74.707	175.0277
136.000000	74.680	175.0252
138.000000	74.665	174.9686
140.000000	74.644	174.8724
143.000000	74.607	174.8842
145.000000	74.581	174.9361
147.500000	74.547	175.0521
150.000000	74.524	175.1110
152.500000	74.501	175.1044
155.000000	74.478	175.1050
157.500000	74.450	175.1293
160.000000	74.420	175.1559
162.500000	74.389	175.1888
165.000000	74.367	175.2408
167.500000	74.347	175.2742
170.000000	74.323	175.3544
172.500000	74.303	175.4660
175.000000	74.280	175.5104
177.500000	74.251	175.5243
180.000000	74.226	175.6050
182.500000	74.207	175.7064
185.000000	74.179	175.7869
187.500000	74.152	175.8489
190.000000	74.134	175.8997
192.500000	74.116	175.9745
195.000000	74.092	176.0593
197.500000	74.065	176.1593
200.000000	74.047	176.2649
203.000000	74.035	176.3772
206.000000	74.023	176.4529
209.000000	74.002	176.5199
212.000000	73.970	176.6218
214.000000	73.949	176.7004
218.000000	73.917	176.8443
220.000000	73.901	176.9439
224.000000	73.873	177.1554
227.000000	73.859	177.2815
230.000000	73.846	177.4347
233.000000	73.830	177.6094
236.000000	73.813	177.7618
240.000000	73.796	177.8987
243.000000	73.778	178.0078
247.000000	73.749	178.1940
250.000000	73.727	178.3434
254.000000	73.701	178.5108
258.000000	73.678	178.6534
262.000000	73.651	178.8191
265.000000	73.629	178.9503
269.000000	73.605	179.1805
272.000000	73.592	179.3582
276.000000	73.574	179.5287
280.000000	73.555	179.7200
285.000000	73.537	-179.9953
290.000000	73.517	-179.7818
295.000000	73.496	-179.5337
300.000000	73.477	-179.2729
304.000000	73.465	-179.0646
307.000000	73.454	-178.9248
311.000000	73.439	-178.7403
315.000000	73.427	-178.5286
320.000000	73.415	-178.2537
325.000000	73.400	-178.0143
330.000000	73.389	-177.8031
335.000000	73.380	-177.5760
340.000000	73.368	-177.3015
345.000000	73.352	-176.9913
350.000000	73.334	-176.6977
355.000000	73.315	-176.4344
360.000000	73.293	-176.1665
365.000000	73.274	-175.8866
370.000000	73.258	-175.5795
375.000000	73.237	-175.2797
382.000000	73.198	-174.9103
387.000000	73.175	-174.6111
395.000000	73.151	-173.9182
400.000000	73.153	-173.4124
406.000000	73.167	-172.8727
412.000000	73.185	-172.5445
418.000000	73.206	-172.3285
425.000000	73.220	-172.1012
431.000000	73.214	-171.8907
437.000000	73.198	-171.7332
444.000000	73.181	-171.5277
450.000000	73.173	-171.2312
455.000000	73.165	-170.9725
462.000000	73.153	-170.6538
468.000000	73.142	-170.3856
475.000000	73.127	-170.0184
482.000000	73.114	-169.6457
487.000000	73.108	-169.3792
494.000000	73.106	-168.9993
500.000000	73.107	-168.6787
508.000000	73.098	-168.2436
515.000000	73.085	-167.8304
522.000000	73.076	-167.3928
530.000000	73.069	-166.9240
538.000000	73.063	-166.5298
545.000000	73.061	-166.1504
552.000000	73.059	-165.7118
560.000000	73.057	-165.2238
570.000000	73.051	-164.6783
580.000000	73.048	-164.1036
590.000000	73.047	-163.5456
600.000000	73.047	-162.9277
608.000000	73.049	-162.4177
615.000000	73.054	-161.9928
622.000000	73.060	-161.5731
630.000000	73.065	-161.0964
640.000000	73.067	-160.4656
650.000000	73.065	-159.7942
660.000000	73.069	-159.1646
670.000000	73.081	-158.5584
680.000000	73.092	-157.8962
690.000000	73.100	-157.2641
700.000000	73.109	-156.6225
710.000000	73.122	-155.9615
720.000000	73.135	-155.3165
730.000000	73.148	-154.6805
740.000000	73.171	-154.0007
750.000000	73.204	-153.2587
762.000000	73.242	-152.3872
775.000000	73.276	-151.4850
788.000000	73.311	-150.6006
800.000000	73.356	-149.8134
812.000000	73.412	-149.0151
825.000000	73.468	-148.1247
838.000000	73.529	-147.2635
850.000000	73.593	-146.4869
862.000000	73.661	-145.7049
875.000000	73.737	-144.8717
885.000000	73.802	-144.2513
900.000000	73.902	-143.3409
912.000000	73.986	-142.6233
925.000000	74.082	-141.8590
938.000000	74.184	-141.1192
950.000000	74.279	-140.4685
962.000000	74.378	-139.8738
975.000000	74.491	-139.2980
988.000000	74.604	-138.7936
1000.000000	74.711	-138.3459
1015.000000	74.855	-137.7174
1030.000000	74.999	-137.1630
1044.000000	75.133	-136.7197
1060.000000	75.285	-136.2558
1075.000000	75.427	-135.8896
1090.000000	75.572	-135.5915
1106.000000	75.734	-135.3238
1120.000000	75.877	-135.1416
1138.000000	76.053	-134.9610
1150.000000	76.164	-134.8546
1172.000000	76.361	-134.7131
1180.000000	76.432	-134.6884
1206.000000	76.660	-134.6619
1220.000000	76.775	-134.6829
1241.000000	76.942	-134.7359
1250.000000	77.011	-134.7622
1265.000000	77.121	-134.8222
1280.000000	77.227	-134.8992
1315.000000	77.461	-135.0908
1320.000000	77.494	-135.1163
1340.000000	77.620	-135.2142
1360.000000	77.735	-135.3109
1380.000000	77.846	-135.3903
1400.000000	77.958	-135.4810
1430.000000	78.126	-135.6029
1450.000000	78.236	-135.6730
1475.000000	78.369	-135.7721
1500.000000	78.500	-135.8528
1525.000000	78.629	-135.9322
1550.000000	78.758	-136.0062
1575.000000	78.890	-136.0551
1600.000000	79.021	-136.0977
1625.000000	79.151	-136.1732
1650.000000	79.284	-136.2694
1675.000000	79.419	-136.3791
1700.000000	79.550	-136.5243
1725.000000	79.676	-136.7013
1750.000000	79.796	-136.8843
1775.000000	79.911	-137.0409
1800.000000	80.026	-137.1805
1825.000000	80.146	-137.3037
1850.000000	80.271	-137.4291
1875.000000	80.400	-137.5885
1900.000000	80.532	-137.7767
1925.000000	80.664	-137.9909
1950.000000	80.795	-138.2455
1975.000000	80.925	-138.5434
2000.000000	81.055	-138.8802
2030.000000	81.213	-139.3235
2060.000000	81.369	-139.8137
2090.000000	81.522	-140.3444
2120.000000	81.673	-140.9269
2140.000000	81.773	-141.3445
2180.000000	81.964	-142.2340
2200.000000	82.056	-142.7147
2240.000000	82.230	-143.7574
2270.000000	82.353	-144.5886
2300.000000	82.470	-145.4649
2330.000000	82.581	-146.3770
2360.000000	82.683	-147.3219
2400.000000	82.805	-148.6380
2430.000000	82.886	-149.6650
2470.000000	82.979	-151.0643
2500.000000	83.040	-152.1219
2540.000000	83.106	-153.5569
2580.000000	83.155	-155.0107
2620.000000	83.186	-156.4487
2650.000000	83.198	-157.5125
2690.000000	83.200	-158.9203
2720.000000	83.191	-159.9593
2760.000000	83.165	-161.3011
2800.000000	83.125	-162.5911
2850.000000	83.058	-164.1249
2900.000000	82.975	-165.5652
2950.000000	82.876	-166.8907
3000.000000	82.765	-168.0891
3040.000000	82.668	-168.9564
3070.000000	82.594	-169.5558
3110.000000	82.498	-170.2743
3150.000000	82.405	-170.9030
3200.000000	82.297	-171.6250
3250.000000	82.193	-172.3334
3300.000000	82.089	-173.0290
3350.000000	81.979	-173.6891
3400.000000	81.863	-174.2809
3450.000000	81.749	-174.7951
3500.000000	81.641	-175.2270
3550.000000	81.536	-175.5625
3600.000000	81.436	-175.8020
3650.000000	81.346	-175.9483
3700.000000	81.272	-176.0322
3750.000000	81.213	-176.1235
3820.000000	81.140	-176.3194
3870.000000	81.084	-176.4872
3950.000000	80.986	-176.7142
4000.000000	80.927	-176.8146
4060.000000	80.867	-176.9191
4120.000000	80.811	-177.0259
4180.000000	80.756	-177.0924
4250.000000	80.701	-177.0451
4310.000000	80.685	-176.9142
4370.000000	80.712	-176.8431
4440.000000	80.786	-177.1569
4500.000000	80.853	-177.9278
4550.000000	80.882	-178.8719
4620.000000	80.862	179.5764
4680.000000	80.792	178.2072
4750.000000	80.666	176.6967
4820.000000	80.509	175.3174
4870.000000	80.383	174.3960
4940.000000	80.190	173.1576
5000.000000	80.010	172.1304
5080.000000	79.744	170.8362
5150.000000	79.487	169.8060
5220.000000	79.207	168.8807
5300.000000	78.867	167.9939
5380.000000	78.506	167.3238
5450.000000	78.181	166.9221
5520.000000	77.850	166.6906
5600.000000	77.467	166.6343
5700.000000	76.992	166.8770
5800.000000	76.533	167.4149
5900.000000	76.092	168.1783
6000.000000	75.666	169.1646
6080.000000	75.339	170.0826
6150.000000	75.062	170.9858
6220.000000	74.797	171.9815
6300.000000	74.512	173.2224
6400.000000	74.180	174.9148
6500.000000	73.873	176.7081
6600.000000	73.590	178.5999
6700.000000	73.329	-179.4671
6800.000000	73.101	-177.4714
6900.000000	72.910	-175.4082
7000.000000	72.759	-173.2688
7100.000000	72.644	-171.0338
7200.000000	72.567	-168.7778
7300.000000	72.525	-166.6332
7400.000000	72.499	-164.6419
7500.000000	72.478	-162.7104
7620.000000	72.458	-160.4228
7750.000000	72.445	-157.8553
7880.000000	72.384	-155.0049
8000.000000	72.326	-152.0592
8120.000000	72.320	-148.8589
8250.000000	72.395	-145.2014
8380.000000	72.565	-141.4411
8500.000000	72.815	-138.0100
8620.000000	73.153	-134.7571
8750.000000	73.611	-131.5568
8850.000000	74.027	-129.4536
9000.000000	74.742	-127.0357
9120.000000	75.380	-125.7644
9250.000000	76.148	-125.1535
9380.000000	76.973	-125.6707
9500.000000	77.728	-127.3731
9620.000000	78.415	-130.2310
9750.000000	79.037	-134.4086
9880.000000	79.495	-139.3747
10000.000000	79.761	-144.2985
10150.000000	79.896	-150.3876
10300.000000	79.866	-155.9390
10440.000000	79.759	-160.4542
10600.000000	79.627	-164.9612
10750.000000	79.549	-168.9245
10900.000000	79.537	-173.1365
11060.000000	79.566	-178.5137
11200.000000	79.560	175.6231
11380.000000	79.358	166.3376
11500.000000	79.010	159.3794
11720.000000	77.804	146.8902
11800.000000	77.190	142.9760
12060.000000	74.768	134.1305
12200.000000	73.337	131.8947
12410.000000	71.204	131.2339
12500.000000	70.330	131.6857
12650.000000	68.951	133.1453
12800.000000	67.663	135.3993
13150.000000	65.069	143.3561
13200.000000	64.755	144.6680
13400.000000	63.632	150.1032
13600.000000	62.691	155.7580
13800.000000	61.929	161.5591
14000.000000	61.365	167.3781
14300.000000	60.888	175.9735
14500.000000	60.839	-178.8049
14750.000000	61.139	-173.3314
15000.000000	61.886	-170.0137
15250.000000	63.055	-170.9836
15500.000000	64.249	-179.4768
15750.000000	64.618	163.7183
16000.000000	63.526	145.1088
16250.000000	61.177	133.0433
16500.000000	58.326	128.7994
16750.000000	55.594	129.3932
17000.000000	53.185	132.4863
17250.000000	51.065	136.6418
17500.000000	49.216	141.0724
17750.000000	47.636	145.6597
18000.000000	46.128	150.1945
18250.000000	44.530	153.8013
18500.000000	42.828	153.8579
18750.000000	41.059	123.8905
19000.000000	39.104	-60.2664
19250.000000	37.165	101.4004
19500.000000	35.648	-178.8640
19750.000000	35.060	-83.3809
20000.000000	35.370	55.4854
