* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 9. 30 오후 10:38:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Double
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	75.521	-164.0732
20.600000	75.537	-164.1109
20.900000	75.569	-164.1870
21.200001	75.597	-164.2879
21.400000	75.613	-164.3805
21.799999	75.637	-164.6371
22.000000	75.645	-164.7990
22.400000	75.648	-165.1642
22.700001	75.642	-165.4421
23.000000	75.633	-165.7003
23.299999	75.626	-165.9394
23.600000	75.623	-166.1737
24.000000	75.628	-166.5056
24.299999	75.635	-166.7769
24.700001	75.644	-167.1474
25.000000	75.651	-167.4033
25.400000	75.663	-167.6897
25.799999	75.685	-167.9290
26.200001	75.717	-168.1734
26.500000	75.742	-168.3853
26.900000	75.768	-168.7023
27.200001	75.778	-168.9388
27.600000	75.778	-169.2059
28.000000	75.772	-169.3854
28.500000	75.765	-169.4985
29.000000	75.766	-169.5551
29.500000	75.775	-169.6251
30.000000	75.789	-169.7692
30.400000	75.797	-169.9608
30.700001	75.797	-170.1419
31.100000	75.785	-170.3887
31.500000	75.764	-170.5823
32.000000	75.740	-170.7000
32.500000	75.741	-170.7573
33.000000	75.767	-170.9284
33.500000	75.798	-171.2884
34.000000	75.810	-171.7325
34.500000	75.805	-172.0984
35.000000	75.802	-172.3462
35.500000	75.810	-172.5617
36.000000	75.821	-172.8146
36.500000	75.824	-173.0712
37.000000	75.821	-173.2628
37.500000	75.822	-173.3929
38.200001	75.830	-173.5962
38.700001	75.829	-173.7834
39.500000	75.813	-174.0164
40.000000	75.808	-174.1077
40.599998	75.814	-174.2589
41.200001	75.818	-174.5118
41.799999	75.808	-174.7873
42.500000	75.789	-174.9986
43.099998	75.787	-175.0915
43.700001	75.800	-175.2011
44.400002	75.822	-175.4120
45.000000	75.835	-175.6269
45.500000	75.843	-175.8005
46.200001	75.853	-176.0536
46.799999	75.852	-176.2957
47.500000	75.836	-176.5264
48.200001	75.817	-176.6089
48.700001	75.814	-176.6143
49.400002	75.826	-176.6792
50.000000	75.835	-176.8234
50.799999	75.835	-177.0428
51.500000	75.833	-177.2178
52.200001	75.833	-177.4253
53.000000	75.822	-177.6887
53.799999	75.802	-177.8941
54.500000	75.787	-178.0169
55.200001	75.778	-178.1212
56.000000	75.775	-178.2553
57.000000	75.773	-178.4596
58.000000	75.769	-178.6652
59.000000	75.763	-178.8812
60.000000	75.750	-179.0638
60.799999	75.744	-179.1906
61.500000	75.739	-179.3376
62.200001	75.728	-179.4885
63.000000	75.712	-179.5972
64.000000	75.706	-179.6941
65.000000	75.707	-179.8749
66.000000	75.698	179.9147
67.000000	75.684	179.7604
68.000000	75.674	179.6256
69.000000	75.662	179.4832
70.000000	75.647	179.3457
71.000000	75.632	179.1946
72.000000	75.614	179.0211
73.000000	75.591	178.8464
74.000000	75.569	178.7169
75.000000	75.558	178.6053
76.199997	75.548	178.4407
77.500000	75.536	178.2841
78.800003	75.521	178.1470
80.000000	75.499	178.0544
81.199997	75.478	178.0058
82.500000	75.461	177.8863
83.800003	75.439	177.7277
85.000000	75.420	177.5999
86.199997	75.406	177.4926
87.500000	75.395	177.4009
88.500000	75.386	177.3418
90.000000	75.368	177.2653
91.199997	75.351	177.2141
92.500000	75.333	177.1376
93.800003	75.316	177.0107
95.000000	75.299	176.8744
96.199997	75.281	176.7566
97.500000	75.263	176.6747
98.800003	75.250	176.6580
100.000000	75.245	176.6398
101.500000	75.234	176.5540
103.000000	75.213	176.4595
104.400002	75.193	176.3663
106.000000	75.170	176.2165
107.500000	75.139	176.1147
109.000000	75.111	176.1045
110.599998	75.089	176.1351
112.000000	75.077	176.1345
113.800003	75.060	176.0607
115.000000	75.049	176.0054
117.199997	75.030	175.9119
118.000000	75.023	175.8934
120.599998	74.993	175.8575
122.000000	74.972	175.8528
124.099998	74.936	175.8380
125.000000	74.921	175.8386
126.500000	74.903	175.8460
128.000000	74.889	175.8343
131.500000	74.853	175.7696
132.000000	74.847	175.7552
134.000000	74.821	175.7094
136.000000	74.797	175.7447
138.000000	74.778	175.8254
140.000000	74.754	175.8953
143.000000	74.708	175.9494
145.000000	74.687	175.9044
147.500000	74.664	175.8620
150.000000	74.648	175.8846
152.500000	74.624	175.8730
155.000000	74.599	175.8729
157.500000	74.579	175.9000
160.000000	74.555	175.9659
162.500000	74.530	176.0426
165.000000	74.506	176.0382
167.500000	74.475	176.0515
170.000000	74.450	176.1648
172.500000	74.431	176.2429
175.000000	74.406	176.2959
177.500000	74.382	176.3791
180.000000	74.364	176.4327
182.500000	74.341	176.4450
185.000000	74.312	176.4946
187.500000	74.289	176.5957
190.000000	74.277	176.7002
192.500000	74.265	176.7670
195.000000	74.245	176.8484
197.500000	74.226	176.9533
200.000000	74.212	177.0242
203.000000	74.192	177.0994
206.000000	74.166	177.2095
209.000000	74.139	177.3488
212.000000	74.120	177.4842
214.000000	74.109	177.5590
218.000000	74.088	177.7286
220.000000	74.078	177.8329
224.000000	74.058	178.0475
227.000000	74.041	178.1656
230.000000	74.025	178.2502
233.000000	74.007	178.3468
236.000000	73.986	178.4944
240.000000	73.956	178.6746
243.000000	73.937	178.7793
247.000000	73.923	178.9688
250.000000	73.912	179.1243
254.000000	73.883	179.2653
258.000000	73.847	179.4326
262.000000	73.818	179.6117
265.000000	73.807	179.7203
269.000000	73.792	179.8877
272.000000	73.777	-179.9753
276.000000	73.755	-179.8046
280.000000	73.736	-179.5977
285.000000	73.724	-179.3639
290.000000	73.718	-179.1506
295.000000	73.705	-178.8824
300.000000	73.685	-178.5960
304.000000	73.672	-178.3575
307.000000	73.664	-178.2061
311.000000	73.650	-177.9987
315.000000	73.635	-177.7875
320.000000	73.624	-177.5661
325.000000	73.624	-177.3228
330.000000	73.617	-177.0689
335.000000	73.605	-176.8663
340.000000	73.590	-176.6222
345.000000	73.568	-176.3357
350.000000	73.543	-176.0446
355.000000	73.526	-175.7720
360.000000	73.506	-175.5195
365.000000	73.485	-175.2755
370.000000	73.470	-175.0042
375.000000	73.455	-174.7102
382.000000	73.434	-174.3427
387.000000	73.422	-174.0782
395.000000	73.404	-173.6187
400.000000	73.388	-173.3305
406.000000	73.370	-172.9684
412.000000	73.350	-172.5642
418.000000	73.336	-172.2076
425.000000	73.336	-171.7276
431.000000	73.345	-171.3193
437.000000	73.352	-171.0101
444.000000	73.360	-170.7069
450.000000	73.361	-170.4328
455.000000	73.356	-170.2160
462.000000	73.354	-169.9284
468.000000	73.358	-169.6652
475.000000	73.356	-169.3181
482.000000	73.348	-168.9798
487.000000	73.341	-168.7708
494.000000	73.334	-168.4772
500.000000	73.329	-168.1717
508.000000	73.314	-167.7165
515.000000	73.300	-167.3241
522.000000	73.293	-166.9352
530.000000	73.292	-166.4638
538.000000	73.294	-166.0106
545.000000	73.294	-165.6332
552.000000	73.295	-165.2566
560.000000	73.295	-164.8618
570.000000	73.289	-164.3147
580.000000	73.288	-163.6935
590.000000	73.285	-163.0896
600.000000	73.277	-162.5230
608.000000	73.282	-162.0544
615.000000	73.291	-161.6650
622.000000	73.295	-161.2490
630.000000	73.299	-160.7303
640.000000	73.308	-160.1250
650.000000	73.315	-159.5105
660.000000	73.317	-158.8586
670.000000	73.322	-158.2552
680.000000	73.338	-157.6868
690.000000	73.353	-157.0841
700.000000	73.364	-156.4100
710.000000	73.378	-155.7621
720.000000	73.395	-155.1366
730.000000	73.415	-154.4904
740.000000	73.440	-153.8238
750.000000	73.466	-153.1309
762.000000	73.493	-152.3403
775.000000	73.526	-151.4943
788.000000	73.567	-150.6062
800.000000	73.610	-149.7715
812.000000	73.659	-148.9544
825.000000	73.715	-148.1170
838.000000	73.777	-147.2974
850.000000	73.839	-146.5308
862.000000	73.904	-145.7812
875.000000	73.976	-144.9700
885.000000	74.036	-144.3523
900.000000	74.126	-143.5095
912.000000	74.198	-142.8421
925.000000	74.283	-142.0887
938.000000	74.378	-141.3559
950.000000	74.475	-140.7043
962.000000	74.574	-140.0658
975.000000	74.687	-139.4294
988.000000	74.807	-138.8701
1000.000000	74.916	-138.3918
1015.000000	75.050	-137.7890
1030.000000	75.190	-137.2478
1044.000000	75.321	-136.8032
1060.000000	75.472	-136.3574
1075.000000	75.613	-136.0196
1090.000000	75.754	-135.7224
1106.000000	75.910	-135.4263
1120.000000	76.046	-135.2348
1138.000000	76.219	-135.0609
1150.000000	76.334	-134.9531
1172.000000	76.535	-134.8372
1180.000000	76.607	-134.8179
1206.000000	76.830	-134.7982
1220.000000	76.943	-134.8252
1241.000000	77.104	-134.8775
1250.000000	77.170	-134.9101
1265.000000	77.279	-134.9660
1280.000000	77.386	-135.0193
1315.000000	77.618	-135.1531
1320.000000	77.649	-135.1765
1340.000000	77.768	-135.2777
1360.000000	77.879	-135.3812
1380.000000	77.986	-135.4791
1400.000000	78.095	-135.5677
1430.000000	78.258	-135.6849
1450.000000	78.361	-135.7553
1475.000000	78.489	-135.8333
1500.000000	78.617	-135.8968
1525.000000	78.738	-135.9635
1550.000000	78.856	-136.0001
1575.000000	78.971	-136.0189
1600.000000	79.086	-136.0210
1625.000000	79.203	-135.9990
1650.000000	79.325	-135.9304
1675.000000	79.455	-135.8391
1700.000000	79.596	-135.7695
1725.000000	79.745	-135.7785
1750.000000	79.891	-135.8859
1775.000000	80.031	-136.0471
1800.000000	80.165	-136.2224
1825.000000	80.299	-136.4071
1850.000000	80.430	-136.5996
1875.000000	80.559	-136.8018
1900.000000	80.687	-137.0143
1925.000000	80.815	-137.2373
1950.000000	80.944	-137.4776
1975.000000	81.074	-137.7482
2000.000000	81.204	-138.0524
2030.000000	81.358	-138.4575
2060.000000	81.512	-138.9032
