* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -59.7 dBFS, measurement signal peak level -21.5 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:13:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0410 ms (-14 mm, -0.55 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Earpod L +¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	77.238	-114.3632
20.600000	77.397	-116.1858
20.900000	77.696	-119.2566
21.200001	77.938	-121.6624
21.400000	78.098	-122.8925
21.799999	78.473	-124.9116
22.000000	78.701	-125.9364
22.400000	79.214	-128.4048
22.700001	79.592	-130.7697
23.000000	79.915	-133.5062
23.299999	80.165	-136.3191
23.600000	80.353	-138.9252
24.000000	80.564	-141.7738
24.299999	80.750	-143.4639
24.700001	81.078	-145.4984
25.000000	81.371	-147.2072
25.400000	81.761	-149.9824
25.799999	82.076	-153.1497
26.200001	82.293	-156.2004
26.500000	82.418	-158.1436
26.900000	82.586	-160.2036
27.200001	82.744	-161.5020
27.600000	83.002	-163.2232
28.000000	83.277	-165.1995
28.500000	83.574	-168.0081
29.000000	83.790	-170.7963
29.500000	83.950	-173.2509
30.000000	84.095	-175.3146
30.400000	84.218	-176.7290
30.700001	84.325	-177.6841
31.100000	84.494	-178.9115
31.500000	84.696	179.7585
32.000000	84.962	177.7206
32.500000	85.182	175.2749
33.000000	85.321	172.8074
33.500000	85.407	170.7216
34.000000	85.504	169.0838
34.500000	85.644	167.6254
35.000000	85.814	166.1035
35.500000	85.988	164.4662
36.000000	86.154	162.7577
36.500000	86.307	161.0038
37.000000	86.435	159.2836
37.500000	86.547	157.7502
38.200001	86.736	155.9842
38.700001	86.922	154.7163
39.500000	87.223	152.1823
40.000000	87.368	150.5257
40.599998	87.523	148.8252
41.200001	87.705	147.3536
41.799999	87.903	145.8385
42.500000	88.107	144.0693
43.099998	88.269	142.7852
43.700001	88.447	141.6351
44.400002	88.658	140.2062
45.000000	88.811	138.9424
45.500000	88.924	137.9802
46.200001	89.091	136.7151
46.799999	89.243	135.5037
47.500000	89.398	133.8978
48.200001	89.531	132.3028
48.700001	89.634	131.1959
49.400002	89.795	129.5139
50.000000	89.920	127.9077
50.799999	90.041	125.9089
51.500000	90.150	124.6036
52.200001	90.308	123.5547
53.000000	90.529	122.2957
53.799999	90.741	120.9391
54.500000	90.910	119.7819
55.200001	91.070	118.6074
56.000000	91.225	117.1500
57.000000	91.362	115.2758
58.000000	91.469	113.4633
59.000000	91.571	111.7083
60.000000	91.709	110.0491
60.799999	91.856	108.5868
61.500000	91.981	107.1610
62.200001	92.084	105.7599
63.000000	92.185	104.3628
64.000000	92.313	102.9373
65.000000	92.459	101.6532
66.000000	92.602	100.2184
67.000000	92.708	98.6723
68.000000	92.802	97.1432
69.000000	92.899	95.4839
70.000000	92.987	93.7477
71.000000	93.079	92.0294
72.000000	93.166	90.3315
73.000000	93.246	88.8211
74.000000	93.339	87.4845
75.000000	93.438	86.1467
76.199997	93.537	84.5245
77.500000	93.622	82.8441
78.800003	93.702	81.1980
80.000000	93.774	79.6954
81.199997	93.849	78.1992
82.500000	93.924	76.5652
83.800003	93.990	74.9976
85.000000	94.047	73.5276
86.199997	94.080	72.0564
87.500000	94.106	70.5983
88.500000	94.131	69.4890
90.000000	94.164	67.7990
91.199997	94.185	66.5008
92.500000	94.210	65.1804
93.800003	94.250	63.9223
95.000000	94.296	62.6902
96.199997	94.326	61.3708
97.500000	94.331	60.0300
98.800003	94.334	58.8406
100.000000	94.343	57.7402
101.500000	94.345	56.3256
103.000000	94.343	54.9863
104.400002	94.346	53.7737
106.000000	94.350	52.4548
107.500000	94.353	51.2865
109.000000	94.351	50.1667
110.599998	94.344	48.9975
112.000000	94.331	47.9572
113.800003	94.307	46.6603
115.000000	94.295	45.8316
117.199997	94.279	44.3517
118.000000	94.273	43.8389
120.599998	94.243	42.2583
122.000000	94.218	41.4288
124.099998	94.174	40.2293
125.000000	94.159	39.7275
126.500000	94.142	38.8882
128.000000	94.133	38.0433
131.500000	94.074	36.1467
132.000000	94.061	35.9102
134.000000	94.008	34.9851
136.000000	93.961	34.0754
138.000000	93.930	33.1964
140.000000	93.904	32.3614
143.000000	93.855	31.2235
145.000000	93.822	30.4154
147.500000	93.777	29.3500
150.000000	93.728	28.4543
152.500000	93.686	27.7215
155.000000	93.641	26.9354
157.500000	93.589	26.0924
160.000000	93.537	25.2863
162.500000	93.495	24.5828
165.000000	93.455	23.8652
167.500000	93.403	23.1857
170.000000	93.353	22.5903
172.500000	93.309	22.0001
175.000000	93.259	21.4327
177.500000	93.207	20.8590
180.000000	93.153	20.2508
182.500000	93.107	19.6776
185.000000	93.072	19.1647
187.500000	93.035	18.7212
190.000000	92.991	18.3298
192.500000	92.940	17.9379
195.000000	92.887	17.5297
197.500000	92.840	17.1171
200.000000	92.801	16.7419
203.000000	92.764	16.3342
206.000000	92.724	15.9042
209.000000	92.670	15.4727
212.000000	92.619	15.0812
214.000000	92.587	14.8022
218.000000	92.522	14.3328
220.000000	92.499	14.1515
224.000000	92.457	13.7281
227.000000	92.414	13.3784
230.000000	92.364	13.0271
233.000000	92.311	12.7118
236.000000	92.264	12.4387
240.000000	92.211	12.1079
243.000000	92.172	11.8757
247.000000	92.121	11.5883
250.000000	92.089	11.3470
254.000000	92.041	11.0377
258.000000	91.986	10.8173
262.000000	91.930	10.5206
265.000000	91.887	10.2789
269.000000	91.833	10.0592
272.000000	91.795	9.9473
276.000000	91.746	9.8044
280.000000	91.694	9.6715
285.000000	91.620	9.4736
290.000000	91.557	9.2466
295.000000	91.510	9.1240
300.000000	91.471	9.0817
304.000000	91.435	9.0790
307.000000	91.409	9.0929
311.000000	91.381	9.0654
