* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -22.1 dBFS, measurement signal peak level -19.4 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:14:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0387 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Earpod L -¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	51.927	159.8171
20.600000	51.824	126.4382
20.900000	52.288	68.3074
21.200001	54.096	18.0000
21.400000	55.377	-9.5421
21.799999	57.497	-53.6329
22.000000	58.125	-71.8091
22.400000	58.447	-102.6924
22.700001	57.824	-120.9436
23.000000	56.368	-131.0531
23.299999	54.212	-127.6418
23.600000	53.010	-113.2375
24.000000	54.506	-91.4678
24.299999	56.702	-85.2617
24.700001	58.611	-92.1989
25.000000	59.150	-101.7661
25.400000	58.911	-111.6099
25.799999	58.095	-113.6215
26.200001	57.813	-108.6221
26.500000	58.428	-104.1122
26.900000	59.903	-102.2225
27.200001	60.885	-105.1490
27.600000	61.646	-112.9891
28.000000	61.745	-121.4799
28.500000	61.150	-128.2194
29.000000	60.351	-128.2095
29.500000	60.169	-123.3820
30.000000	60.886	-118.6142
30.400000	61.775	-117.0735
30.700001	62.456	-117.4303
31.100000	63.261	-119.4959
31.500000	63.895	-122.7122
32.000000	64.447	-127.1091
32.500000	64.870	-130.7744
33.000000	65.395	-133.7200
33.500000	66.098	-137.2932
34.000000	66.787	-142.9155
34.500000	67.177	-150.5931
35.000000	67.073	-158.7700
35.500000	66.410	-164.3785
36.000000	65.417	-163.9675
36.500000	64.956	-157.0960
37.000000	65.864	-149.3109
37.500000	67.388	-147.4235
38.200001	68.610	-156.1510
38.700001	68.420	-163.8891
39.500000	67.112	-164.2034
40.000000	67.078	-158.4695
40.599998	68.076	-155.4988
41.200001	68.701	-159.7277
41.799999	68.516	-163.9841
42.500000	68.249	-162.3836
43.099998	68.910	-159.7805
43.700001	69.817	-161.7050
44.400002	70.259	-168.3958
45.000000	69.977	-173.0109
45.500000	69.519	-173.5309
46.200001	69.247	-169.5371
46.799999	69.788	-165.6140
