* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, R, volume: no control. Timing signal peak level -20.3 dBFS, measurement signal peak level -18.9 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2022. 10. 25 ¿ÀÀü 10:11:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0374 ms (-13 mm, -0.5 in) using estimated IR delay relative to Acoustic reference played from  R with no timing offset
* Measurement: Earpod R -¼Ø
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	64.558	-106.4736
20.600000	64.562	-110.0120
20.900000	64.515	-115.5812
21.200001	64.370	-118.7989
21.400000	64.312	-119.6470
21.799999	64.462	-119.7441
22.000000	64.698	-119.8069
22.400000	65.354	-121.3480
22.700001	65.788	-124.0141
23.000000	66.021	-127.4162
23.299999	66.022	-130.3316
23.600000	65.866	-131.6766
24.000000	65.718	-130.1666
24.299999	65.968	-127.3337
24.700001	66.920	-123.9874
25.000000	67.858	-123.7036
25.400000	68.960	-127.1222
25.799999	69.599	-133.4225
26.200001	69.699	-139.9530
26.500000	69.479	-143.4042
26.900000	69.003	-144.7840
27.200001	68.764	-143.4799
27.600000	68.919	-140.2518
28.000000	69.588	-138.1749
28.500000	70.548	-139.6707
29.000000	71.113	-144.3519
29.500000	71.212	-148.9768
30.000000	71.100	-151.2312
30.400000	71.117	-151.3168
30.700001	71.284	-150.9560
31.100000	71.695	-150.9119
31.500000	72.199	-152.0553
32.000000	72.731	-155.2631
32.500000	72.991	-159.3584
33.000000	72.981	-162.5260
33.500000	72.901	-163.5779
34.000000	73.056	-163.0500
34.500000	73.518	-163.0658
35.000000	74.014	-165.1316
35.500000	74.237	-168.5682
36.000000	74.146	-171.1255
36.500000	74.000	-171.3532
37.000000	74.151	-170.2083
37.500000	74.611	-169.9861
38.200001	75.215	-172.8735
38.700001	75.418	-175.7749
39.500000	75.613	-179.5295
40.000000	75.728	178.0490
40.599998	75.722	175.0744
41.200001	75.588	173.7051
41.799999	75.665	174.1624
42.500000	76.161	173.9929
43.099998	76.537	171.9378
43.700001	76.706	169.9408
44.400002	76.904	169.0107
45.000000	77.192	168.2046
45.500000	77.381	167.0117
46.200001	77.489	165.7995
46.799999	77.623	165.9174
47.500000	77.993	165.8191
48.200001	78.351	163.9235
48.700001	78.447	161.9106
49.400002	78.350	159.7184
50.000000	78.203	159.2873
50.799999	78.261	160.2736
51.500000	78.643	160.4761
52.200001	79.061	158.7463
53.000000	79.329	155.8276
53.799999	79.532	153.6995
54.500000	79.781	151.9951
55.200001	80.005	150.0500
56.000000	80.207	148.2999
57.000000	80.531	146.7815
58.000000	80.849	145.1179
59.000000	81.134	143.7337
60.000000	81.406	142.1620
60.799999	81.567	140.8511
61.500000	81.698	139.7877
62.200001	81.827	138.6153
63.000000	81.944	137.1854
64.000000	82.079	135.6449
65.000000	82.267	134.2155
66.000000	82.480	132.6519
67.000000	82.710	131.1248
68.000000	82.970	129.3813
69.000000	83.169	127.2164
70.000000	83.268	125.2280
71.000000	83.337	123.7234
72.000000	83.424	122.5272
73.000000	83.565	121.5027
74.000000	83.778	120.1939
75.000000	83.978	118.3297
