* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:11:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Enma L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.376	16.1528
20.600000	90.351	15.9096
20.900000	90.299	15.4714
21.200001	90.247	15.0423
21.400000	90.213	14.7558
21.799999	90.149	14.1518
22.000000	90.117	13.8247
22.400000	90.059	13.1207
22.700001	90.019	12.5493
23.000000	89.985	11.9399
23.299999	89.955	11.2972
23.600000	89.930	10.6296
24.000000	89.904	9.7207
24.299999	89.891	9.0452
24.700001	89.880	8.1793
25.000000	89.877	7.5701
25.400000	89.882	6.8196
25.799999	89.897	6.1330
26.200001	89.919	5.4935
26.500000	89.938	5.0353
26.900000	89.961	4.4492
27.200001	89.974	4.0320
27.600000	89.984	3.5160
28.000000	89.989	3.0557
28.500000	89.990	2.5535
29.000000	89.987	2.0985
29.500000	89.981	1.6522
30.000000	89.970	1.1983
30.400000	89.957	0.8340
30.700001	89.946	0.5626
31.100000	89.931	0.2002
31.500000	89.917	-0.1703
32.000000	89.899	-0.6541
32.500000	89.880	-1.1561
33.000000	89.861	-1.6587
33.500000	89.845	-2.1504
34.000000	89.833	-2.6302
34.500000	89.824	-3.0968
35.000000	89.814	-3.5420
35.500000	89.806	-3.9596
36.000000	89.799	-4.3593
36.500000	89.794	-4.7603
37.000000	89.787	-5.1747
37.500000	89.777	-5.5966
38.200001	89.754	-6.1719
38.700001	89.736	-6.5638
39.500000	89.709	-7.1837
40.000000	89.694	-7.5841
40.599998	89.676	-8.0773
41.200001	89.656	-8.5626
41.799999	89.637	-9.0204
42.500000	89.618	-9.5226
43.099998	89.604	-9.9449
43.700001	89.590	-10.3646
44.400002	89.571	-10.8411
45.000000	89.554	-11.2381
45.500000	89.538	-11.5686
46.200001	89.514	-12.0341
46.799999	89.492	-12.4309
47.500000	89.466	-12.8924
48.200001	89.442	-13.3602
48.700001	89.425	-13.6945
49.400002	89.402	-14.1516
50.000000	89.385	-14.5352
50.799999	89.365	-15.0471
51.500000	89.345	-15.4878
52.200001	89.324	-15.9079
53.000000	89.301	-16.3690
53.799999	89.276	-16.8200
54.500000	89.253	-17.2059
55.200001	89.229	-17.5894
56.000000	89.201	-18.0340
57.000000	89.166	-18.5946
58.000000	89.130	-19.1454
59.000000	89.095	-19.6790
60.000000	89.062	-20.2026
60.799999	89.036	-20.6158
61.500000	89.013	-20.9729
62.200001	88.990	-21.3317
63.000000	88.962	-21.7465
64.000000	88.926	-22.2575
65.000000	88.891	-22.7474
66.000000	88.858	-23.2219
67.000000	88.828	-23.6922
68.000000	88.798	-24.1695
69.000000	88.764	-24.6419
70.000000	88.728	-25.0945
71.000000	88.692	-25.5348
72.000000	88.656	-25.9767
73.000000	88.621	-26.4229
74.000000	88.586	-26.8602
75.000000	88.553	-27.2857
76.199997	88.514	-27.7923
77.500000	88.468	-28.3244
78.800003	88.422	-28.8428
80.000000	88.378	-29.3214
81.199997	88.335	-29.7942
82.500000	88.288	-30.3028
83.800003	88.243	-30.8065
85.000000	88.201	-31.2672
86.199997	88.158	-31.7135
87.500000	88.112	-32.1831
88.500000	88.076	-32.5419
90.000000	88.023	-33.0771
91.199997	87.981	-33.4994
92.500000	87.935	-33.9478
93.800003	87.890	-34.3867
95.000000	87.847	-34.7866
96.199997	87.805	-35.1778
97.500000	87.760	-35.5910
98.800003	87.715	-35.9977
100.000000	87.674	-36.3726
101.500000	87.622	-36.8416
103.000000	87.570	-37.3092
104.400002	87.521	-37.7409
106.000000	87.466	-38.2211
107.500000	87.417	-38.6620
109.000000	87.366	-39.0874
110.599998	87.312	-39.5314
112.000000	87.264	-39.9227
113.800003	87.201	-40.4202
115.000000	87.160	-40.7440
117.199997	87.087	-41.3222
118.000000	87.061	-41.5299
120.599998	86.975	-42.2017
122.000000	86.928	-42.5533
124.099998	86.860	-43.0679
125.000000	86.830	-43.2870
126.500000	86.782	-43.6505
128.000000	86.732	-44.0052
131.500000	86.622	-44.8048
132.000000	86.606	-44.9181
134.000000	86.544	-45.3621
136.000000	86.482	-45.7962
138.000000	86.419	-46.2298
140.000000	86.356	-46.6573
143.000000	86.262	-47.2761
145.000000	86.201	-47.6782
147.500000	86.124	-48.1800
150.000000	86.046	-48.6742
152.500000	85.970	-49.1534
155.000000	85.894	-49.6124
157.500000	85.818	-50.0609
160.000000	85.742	-50.5059
162.500000	85.668	-50.9466
165.000000	85.595	-51.3836
167.500000	85.522	-51.8071
170.000000	85.450	-52.2191
172.500000	85.381	-52.6179
175.000000	85.314	-53.0035
177.500000	85.249	-53.3843
180.000000	85.182	-53.7574
182.500000	85.115	-54.1228
185.000000	85.048	-54.4901
187.500000	84.982	-54.8584
190.000000	84.915	-55.2168
192.500000	84.849	-55.5564
195.000000	84.781	-55.8841
197.500000	84.713	-56.2096
200.000000	84.645	-56.5315
203.000000	84.563	-56.8909
206.000000	84.480	-57.2244
209.000000	84.397	-57.5454
212.000000	84.316	-57.8528
214.000000	84.262	-58.0416
218.000000	84.150	-58.3608
220.000000	84.094	-58.4905
224.000000	83.986	-58.6880
227.000000	83.913	-58.7883
230.000000	83.849	-58.8594
233.000000	83.798	-58.9250
236.000000	83.756	-59.0260
240.000000	83.706	-59.2290
243.000000	83.672	-59.3852
247.000000	83.637	-59.5660
250.000000	83.620	-59.7301
254.000000	83.610	-60.0632
258.000000	83.599	-60.5409
262.000000	83.571	-61.1264
265.000000	83.539	-61.5877
269.000000	83.484	-62.1862
272.000000	83.439	-62.6022
276.000000	83.375	-63.1081
280.000000	83.309	-63.5721
285.000000	83.228	-64.1076
290.000000	83.148	-64.6038
295.000000	83.070	-65.0730
300.000000	82.994	-65.5161
304.000000	82.934	-65.8422
307.000000	82.889	-66.0758
311.000000	82.830	-66.3798
315.000000	82.775	-66.6758
320.000000	82.708	-67.0366
325.000000	82.643	-67.3852
330.000000	82.580	-67.7125
335.000000	82.518	-68.0276
340.000000	82.459	-68.3419
345.000000	82.403	-68.6482
350.000000	82.348	-68.9453
355.000000	82.294	-69.2447
360.000000	82.241	-69.5459
365.000000	82.188	-69.8391
370.000000	82.137	-70.1247
375.000000	82.087	-70.4055
382.000000	82.018	-70.7932
387.000000	81.970	-71.0595
395.000000	81.895	-71.4628
400.000000	81.851	-71.7054
406.000000	81.799	-71.9879
412.000000	81.749	-72.2623
418.000000	81.700	-72.5243
425.000000	81.645	-72.8145
431.000000	81.600	-73.0555
437.000000	81.556	-73.2828
444.000000	81.506	-73.5310
450.000000	81.465	-73.7287
455.000000	81.431	-73.8809
462.000000	81.385	-74.0852
468.000000	81.348	-74.2465
475.000000	81.305	-74.4094
