* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:11:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Enma R
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	90.597	15.9718
20.290907	90.576	15.8414
20.437943	90.555	15.6604
20.586044	90.531	15.4924
20.735220	90.504	15.3270
20.885475	90.477	15.1562
21.036821	90.450	14.9814
21.189262	90.424	14.7977
21.342808	90.399	14.5973
21.497467	90.377	14.3818
21.653246	90.354	14.1472
21.810154	90.331	13.8919
21.968201	90.308	13.6193
22.127390	90.284	13.3292
22.287735	90.259	13.0240
22.449242	90.235	12.7092
22.611917	90.210	12.3837
22.775772	90.186	12.0533
22.940815	90.162	11.7177
23.107054	90.141	11.3773
23.274498	90.122	11.0330
23.443153	90.105	10.6823
23.613033	90.092	10.3242
23.784142	90.081	9.9580
23.956491	90.074	9.5818
24.130091	90.071	9.1972
24.304947	90.068	8.8053
24.481071	90.068	8.4077
24.658470	90.068	8.0108
24.837156	90.069	7.6151
25.017136	90.070	7.2287
25.198421	90.073	6.8515
25.381020	90.076	6.4885
25.564941	90.081	6.1394
25.750195	90.087	5.8039
25.936790	90.095	5.4818
26.124741	90.105	5.1694
26.314051	90.115	4.8668
26.504732	90.126	4.5712
26.696796	90.136	4.2836
26.890253	90.144	4.0048
27.085112	90.150	3.7364
27.281382	90.154	3.4817
27.479073	90.158	3.2413
27.678198	90.161	3.0179
27.878765	90.164	2.8083
28.080786	90.166	2.6129
28.284271	90.169	2.4241
28.489231	90.172	2.2408
28.695675	90.175	2.0549
28.903616	90.177	1.8659
29.113064	90.178	1.6703
29.324028	90.177	1.4704
29.536524	90.175	1.2669
29.750557	90.170	1.0639
29.966141	90.164	0.8626
30.183289	90.157	0.6642
30.402010	90.150	0.4667
30.622314	90.144	0.2675
30.844217	90.137	0.0619
31.067726	90.130	-0.1523
31.292856	90.122	-0.3772
31.519617	90.113	-0.6102
31.748020	90.102	-0.8486
31.978081	90.089	-1.0849
32.209808	90.076	-1.3165
32.443211	90.062	-1.5383
32.678310	90.049	-1.7527
32.915108	90.037	-1.9606
33.153625	90.027	-2.1683
33.393871	90.019	-2.3773
33.635857	90.013	-2.5895
33.879597	90.007	-2.8014
34.125103	90.002	-3.0090
34.372387	89.998	-3.2086
34.621464	89.995	-3.3990
34.872345	89.994	-3.5865
35.125042	89.995	-3.7771
35.379574	89.999	-3.9845
35.635948	90.002	-4.2136
35.894180	90.004	-4.4656
36.154285	90.002	-4.7341
36.416275	89.996	-5.0019
36.680161	89.985	-5.2574
36.945961	89.972	-5.4888
37.213688	89.959	-5.6946
37.483353	89.948	-5.8858
37.754974	89.940	-6.0744
38.028561	89.934	-6.2762
38.304131	89.928	-6.5007
38.581699	89.920	-6.7444
38.861279	89.910	-7.0005
39.142883	89.897	-7.2573
39.426529	89.882	-7.5036
39.712231	89.868	-7.7378
40.000000	89.854	-7.9621
40.289856	89.843	-8.1814
40.581814	89.833	-8.4019
40.875885	89.825	-8.6264
41.172089	89.818	-8.8557
41.470440	89.812	-9.0898
41.770950	89.806	-9.3286
42.073643	89.800	-9.5715
42.378525	89.793	-9.8153
42.685616	89.784	-10.0550
42.994934	89.775	-10.2861
43.306492	89.766	-10.5069
43.620308	89.757	-10.7200
43.936401	89.749	-10.9313
44.254780	89.740	-11.1456
44.575470	89.730	-11.3610
44.898483	89.718	-11.5708
45.223835	89.705	-11.7701
45.551544	89.693	-11.9612
45.881630	89.682	-12.1548
46.214108	89.672	-12.3642
46.548996	89.661	-12.5947
46.886307	89.646	-12.8358
47.226067	89.628	-13.0659
47.568283	89.608	-13.2679
47.912983	89.593	-13.4455
48.260181	89.584	-13.6224
48.609894	89.579	-13.8260
48.962143	89.576	-14.0680
49.316940	89.569	-14.3362
49.674313	89.559	-14.6058
50.034271	89.547	-14.8599
50.396843	89.537	-15.1020
50.762039	89.528	-15.3488
