* Measurement data measured by REW V5.20.13
* Source: Analog (1+2)(2- RME ADI-2 Pro), LINE_IN (마스), L, volume: 0.250. Timing signal peak level -33.6 dBFS, measurement signal peak level -24.8 dBFS
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 2023. 1. 5 오후 12:56:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0145 ms (-5.0 mm, -0.2 in) using estimated IR delay relative to Acoustic reference played from LINE_OUT L with no timing offset
* Measurement: L (정착용)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	53.877	-40.5402
20.299999	54.025	-36.7637
20.600000	55.312	-29.9529
20.900000	57.348	-26.1810
21.200001	59.068	-28.6841
21.400000	59.896	-32.5975
21.799999	60.840	-42.3491
22.000000	61.005	-46.6481
22.400000	61.042	-52.3083
22.700001	61.003	-54.0881
23.000000	61.130	-54.7368
23.299999	61.428	-55.5557
23.600000	61.792	-57.2350
24.000000	62.200	-60.9354
24.299999	62.379	-64.1600
24.700001	62.495	-68.0815
25.000000	62.585	-70.4576
25.400000	62.819	-73.1589
25.799999	63.210	-76.0973
26.200001	63.667	-79.8361
26.500000	63.978	-83.1274
26.900000	64.279	-87.7009
27.200001	64.414	-90.7440
27.600000	64.526	-93.6194
28.000000	64.717	-94.9086
28.500000	65.274	-95.5031
29.000000	66.049	-97.4617
29.500000	66.621	-101.5610
30.000000	66.761	-105.4670
30.400000	66.721	-106.5055
30.700001	66.794	-105.9642
31.100000	67.195	-104.9329
31.500000	67.812	-105.3511
32.000000	68.437	-108.8118
32.500000	68.647	-113.1414
33.000000	68.721	-115.4387
33.500000	69.140	-116.5227
34.000000	69.846	-119.9661
34.500000	70.266	-127.1206
35.000000	70.029	-135.0144
35.500000	69.227	-138.6038
36.000000	68.572	-136.1230
36.500000	68.848	-131.5428
37.000000	69.714	-130.3025
37.500000	70.396	-133.0798
38.200001	70.711	-137.9670
38.700001	70.770	-139.5803
39.500000	71.078	-140.5089
40.000000	71.352	-141.2904
40.599998	71.684	-142.4728
41.200001	72.032	-143.9512
41.799999	72.344	-145.9741
42.500000	72.582	-148.5728
43.099998	72.723	-150.3334
43.700001	72.893	-151.6691
44.400002	73.152	-153.1643
45.000000	73.396	-154.6292
45.500000	73.589	-155.9884
46.200001	73.818	-157.9268
46.799999	73.983	-159.3497
47.500000	74.201	-160.6664
48.200001	74.471	-162.0339
48.700001	74.667	-163.2333
49.400002	74.899	-165.1110
50.000000	75.059	-166.6384
50.799999	75.267	-168.3099
51.500000	75.495	-169.6123
52.200001	75.753	-171.1556
53.000000	76.009	-173.2479
53.799999	76.206	-175.2793
54.500000	76.350	-176.9033
55.200001	76.469	-178.3716
56.000000	76.596	-179.8091
57.000000	76.736	178.4160
58.000000	76.808	177.3638
59.000000	77.091	177.2777
60.000000	77.546	175.7006
60.799999	77.785	173.6333
61.500000	77.933	172.1316
62.200001	78.092	170.8889
63.000000	78.277	169.5135
64.000000	78.485	167.9619
65.000000	78.693	166.6860
66.000000	78.922	165.5013
67.000000	79.160	164.1656
68.000000	79.378	162.6692
69.000000	79.576	161.1875
70.000000	79.778	159.7662
71.000000	79.990	158.3047
72.000000	80.196	156.7919
73.000000	80.393	155.2607
74.000000	80.573	153.7253
75.000000	80.737	152.2554
76.199997	80.924	150.5531
77.500000	81.120	148.7719
78.800003	81.320	146.9679
80.000000	81.488	145.1887
81.199997	81.606	143.4363
82.500000	81.702	141.9971
83.800003	81.841	140.8784
85.000000	81.997	139.8033
86.199997	82.159	138.6477
87.500000	82.328	137.4030
88.500000	82.462	136.4912
90.000000	82.668	135.1053
91.199997	82.826	133.9065
92.500000	82.972	132.5654
93.800003	83.110	131.2773
95.000000	83.242	130.0583
96.199997	83.374	128.7808
97.500000	83.510	127.4072
98.800003	83.642	126.1503
100.000000	83.766	125.0854
101.500000	83.923	123.8137
103.000000	84.073	122.5176
104.400002	84.198	121.2625
106.000000	84.330	119.8197
107.500000	84.452	118.5269
109.000000	84.584	117.2643
110.599998	84.724	115.9058
112.000000	84.834	114.7267
113.800003	84.958	113.2523
115.000000	85.034	112.2997
117.199997	85.172	110.6069
118.000000	85.226	110.0045
120.599998	85.406	108.0757
122.000000	85.502	107.0741
124.099998	85.637	105.5566
125.000000	85.688	104.9056
126.500000	85.768	103.8257
128.000000	85.843	102.7466
131.500000	86.014	100.3204
132.000000	86.041	99.9872
134.000000	86.146	98.6444
136.000000	86.238	97.3284
138.000000	86.317	96.0953
140.000000	86.394	94.9423
143.000000	86.501	93.2919
145.000000	86.575	92.2904
147.500000	86.676	91.0245
