* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 6:12:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_001
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.147	-171.9826
20.600000	85.141	-172.3205
20.900000	85.123	-172.8981
21.200001	85.087	-173.3694
21.400000	85.057	-173.6064
21.799999	84.995	-173.9300
22.000000	84.969	-174.0403
22.400000	84.936	-174.2191
22.700001	84.929	-174.3879
23.000000	84.933	-174.6472
23.299999	84.938	-175.0078
23.600000	84.940	-175.4472
24.000000	84.928	-176.0879
24.299999	84.911	-176.5461
24.700001	84.884	-177.0692
25.000000	84.866	-177.3861
25.400000	84.856	-177.7370
25.799999	84.862	-178.0746
26.200001	84.879	-178.4679
26.500000	84.891	-178.8142
26.900000	84.894	-179.3162
27.200001	84.884	-179.6744
27.600000	84.860	179.9395
28.000000	84.840	179.6800
28.500000	84.841	179.4095
29.000000	84.864	178.9456
29.500000	84.867	178.1986
30.000000	84.817	177.4074
30.400000	84.750	176.9737
30.700001	84.701	176.8102
31.100000	84.663	176.7145
31.500000	84.659	176.5803
32.000000	84.676	176.1405
32.500000	84.669	175.4447
33.000000	84.625	174.7860
33.500000	84.572	174.3541
34.000000	84.543	174.0696
34.500000	84.537	173.7329
35.000000	84.529	173.2802
35.500000	84.505	172.8190
36.000000	84.473	172.4718
36.500000	84.450	172.2402
37.000000	84.449	172.0157
37.500000	84.461	171.6842
38.200001	84.468	170.9718
38.700001	84.443	170.3746
39.500000	84.356	169.6467
40.000000	84.305	169.4392
40.599998	84.279	169.2864
41.200001	84.279	168.9666
41.799999	84.265	168.4612
42.500000	84.212	167.9606
43.099998	84.171	167.7441
43.700001	84.154	167.5224
44.400002	84.131	167.0889
45.000000	84.082	166.7339
45.500000	84.038	166.5758
46.200001	84.002	166.4522
46.799999	83.992	166.2365
47.500000	83.975	165.8256
48.200001	83.944	165.3784
48.700001	83.917	165.0798
49.400002	83.876	164.7175
50.000000	83.847	164.4669
50.799999	83.826	164.1091
51.500000	83.806	163.6662
52.200001	83.763	163.1785
53.000000	83.692	162.7588
53.799999	83.631	162.5201
54.500000	83.610	162.2469
55.200001	83.590	161.6591
56.000000	83.498	160.8242
57.000000	83.324	160.6569
58.000000	83.318	161.0854
59.000000	83.411	160.5935
60.000000	83.409	159.6020
60.799999	83.349	159.0403
61.500000	83.286	158.8439
62.200001	83.246	158.8495
63.000000	83.237	158.7907
64.000000	83.218	158.3758
65.000000	83.149	157.9579
66.000000	83.081	157.7672
67.000000	83.051	157.5497
68.000000	83.025	157.0951
69.000000	82.969	156.6064
70.000000	82.905	156.2852
71.000000	82.854	156.0435
72.000000	82.807	155.7802
73.000000	82.756	155.5287
74.000000	82.709	155.2894
75.000000	82.663	155.0122
76.199997	82.601	154.6709
77.500000	82.531	154.3242
78.800003	82.460	153.9984
80.000000	82.398	153.6636
81.199997	82.326	153.2979
82.500000	82.245	152.9740
83.800003	82.172	152.7491
85.000000	82.125	152.5664
86.199997	82.081	152.2562
87.500000	82.013	151.9019
88.500000	81.961	151.6689
90.000000	81.889	151.2870
91.199997	81.846	151.0631
92.500000	81.831	150.7245
93.800003	81.779	150.3175
95.000000	81.702	150.3293
96.199997	81.652	150.5942
97.500000	81.610	150.6974
98.800003	81.540	150.6951
100.000000	81.481	150.6368
101.500000	81.403	150.3167
103.000000	81.310	150.0189
104.400002	81.231	149.8409
106.000000	81.141	149.6812
107.500000	81.061	149.6149
109.000000	81.015	149.4176
110.599998	80.967	148.9408
112.000000	80.914	148.5934
113.800003	80.851	148.4341
115.000000	80.810	148.4691
117.199997	80.711	148.5307
118.000000	80.660	148.5354
120.599998	80.486	148.6632
122.000000	80.441	148.6640
124.099998	80.381	148.2655
125.000000	80.340	148.0994
126.500000	80.269	147.9515
128.000000	80.208	147.8322
131.500000	80.056	147.5186
132.000000	80.034	147.4978
134.000000	79.933	147.5466
136.000000	79.830	147.7644
138.000000	79.714	147.9842
140.000000	79.608	148.3614
143.000000	79.513	149.1340
145.000000	79.475	149.7838
147.500000	79.490	150.4477
150.000000	79.559	150.1540
152.500000	79.577	149.4299
155.000000	79.558	149.0698
157.500000	79.512	148.9052
160.000000	79.441	148.7101
162.500000	79.371	148.5263
165.000000	79.304	148.4111
167.500000	79.227	148.3398
170.000000	79.147	148.2590
172.500000	79.077	148.1327
175.000000	79.003	148.0648
177.500000	78.928	148.1517
180.000000	78.865	148.1715
182.500000	78.803	148.0136
185.000000	78.727	147.9129
187.500000	78.658	148.0529
190.000000	78.598	148.1808
192.500000	78.527	148.2006
195.000000	78.451	148.2592
197.500000	78.384	148.4377
200.000000	78.323	148.6194
203.000000	78.255	148.6575
206.000000	78.187	148.6617
209.000000	78.120	148.8910
212.000000	78.060	149.1496
214.000000	78.020	149.2266
218.000000	77.937	149.3873
220.000000	77.895	149.5170
224.000000	77.817	149.7433
227.000000	77.776	149.8815
230.000000	77.742	149.9735
233.000000	77.697	150.0666
236.000000	77.643	150.2093
240.000000	77.571	150.4277
243.000000	77.517	150.5480
247.000000	77.451	150.5997
250.000000	77.404	150.6617
254.000000	77.319	150.9913
258.000000	77.229	151.3294
262.000000	77.156	151.5001
265.000000	77.110	151.6508
269.000000	77.051	151.8442
272.000000	77.002	151.9484
276.000000	76.923	152.1456
280.000000	76.852	152.4138
285.000000	76.765	152.8661
290.000000	76.682	153.4785
295.000000	76.632	154.1232
300.000000	76.610	154.6784
304.000000	76.608	155.0942
307.000000	76.605	155.2985
311.000000	76.586	155.4223
315.000000	76.562	155.4917
320.000000	76.526	155.6391
325.000000	76.474	155.9188
330.000000	76.421	156.2535
335.000000	76.369	156.5854
340.000000	76.317	156.8838
345.000000	76.269	157.1527
350.000000	76.227	157.4568
355.000000	76.188	157.8328
360.000000	76.156	158.2833
365.000000	76.123	158.6166
370.000000	76.070	158.8727
375.000000	76.012	159.1675
382.000000	75.941	159.6628
387.000000	75.907	160.1151
395.000000	75.850	160.7755
400.000000	75.806	161.1588
406.000000	75.768	161.5877
412.000000	75.739	161.9718
418.000000	75.707	162.4102
425.000000	75.671	162.9516
431.000000	75.639	163.3983
437.000000	75.608	163.9089
444.000000	75.575	164.4814
450.000000	75.546	164.8976
455.000000	75.539	165.3022
462.000000	75.535	165.8789
468.000000	75.518	166.2701
475.000000	75.497	166.7548
482.000000	75.488	167.2961
487.000000	75.479	167.7065
494.000000	75.478	168.2138
500.000000	75.483	168.5641
508.000000	75.474	169.0928
515.000000	75.466	169.6176
522.000000	75.451	170.1030
530.000000	75.449	170.6041
538.000000	75.440	171.0737
545.000000	75.421	171.5084
552.000000	75.407	171.9624
560.000000	75.403	172.4985
570.000000	75.405	173.1360
580.000000	75.411	173.7761
590.000000	75.414	174.4146
600.000000	75.411	175.1643
608.000000	75.408	175.8014
615.000000	75.412	176.3293
622.000000	75.419	176.8524
630.000000	75.418	177.3913
640.000000	75.424	178.0550
650.000000	75.448	178.7527
660.000000	75.472	179.4650
670.000000	75.486	-179.8163
680.000000	75.505	-179.1198
690.000000	75.528	-178.4282
700.000000	75.555	-177.6669
710.000000	75.580	-176.9342
720.000000	75.611	-176.1949
730.000000	75.638	-175.4794
740.000000	75.675	-174.8235
750.000000	75.729	-174.0480
762.000000	75.792	-173.1045
775.000000	75.856	-172.2293
788.000000	75.922	-171.4468
800.000000	75.989	-170.5968
812.000000	76.068	-169.6732
825.000000	76.148	-168.7097
838.000000	76.231	-167.8517
850.000000	76.317	-167.0986
862.000000	76.407	-166.3591
875.000000	76.505	-165.5677
885.000000	76.591	-164.9695
900.000000	76.728	-164.0680
912.000000	76.846	-163.3883
925.000000	76.973	-162.7142
938.000000	77.097	-162.0467
950.000000	77.223	-161.4418
962.000000	77.355	-160.8859
975.000000	77.499	-160.2939
988.000000	77.640	-159.7066
1000.000000	77.773	-159.2299
1015.000000	77.957	-158.7211
1030.000000	78.142	-158.2504
1044.000000	78.311	-157.8451
1060.000000	78.500	-157.4554
1075.000000	78.672	-157.1101
1090.000000	78.855	-156.7629
1106.000000	79.064	-156.4664
1120.000000	79.244	-156.2745
1138.000000	79.476	-156.0727
1150.000000	79.633	-155.9756
1172.000000	79.922	-155.8185
1180.000000	80.025	-155.7729
1206.000000	80.362	-155.7795
1220.000000	80.544	-155.8376
1241.000000	80.814	-155.9364
1250.000000	80.929	-155.9835
1265.000000	81.122	-156.0753
1280.000000	81.313	-156.2137
1315.000000	81.774	-156.7160
1320.000000	81.839	-156.8018
1340.000000	82.096	-157.1799
1360.000000	82.348	-157.5927
1380.000000	82.603	-158.0701
1400.000000	82.863	-158.6438
1430.000000	83.258	-159.6796
1450.000000	83.518	-160.4675
1475.000000	83.837	-161.5793
1500.000000	84.151	-162.8373
1525.000000	84.460	-164.2371
1550.000000	84.751	-165.7847
1575.000000	85.024	-167.4712
1600.000000	85.278	-169.3106
1625.000000	85.511	-171.3086
1650.000000	85.716	-173.4414
1675.000000	85.894	-175.6776
1700.000000	86.038	-177.9913
1725.000000	86.145	179.6390
1750.000000	86.216	177.2635
1775.000000	86.246	174.9101
1800.000000	86.233	172.6455
1825.000000	86.192	170.5693
1850.000000	86.136	168.6311
1875.000000	86.063	166.7509
1900.000000	85.970	164.9507
1925.000000	85.855	163.2897
1950.000000	85.721	161.8085
1975.000000	85.572	160.5037
2000.000000	85.414	159.3489
2030.000000	85.214	158.1415
2060.000000	85.005	157.1505
2090.000000	84.787	156.4209
2120.000000	84.566	156.0190
2140.000000	84.429	155.9449
2180.000000	84.199	156.1697
2200.000000	84.107	156.3840
2240.000000	83.958	156.8793
2270.000000	83.873	157.2797
2300.000000	83.806	157.7155
2330.000000	83.759	158.1914
2360.000000	83.733	158.7016
2400.000000	83.732	159.4032
2430.000000	83.756	159.9174
2470.000000	83.823	160.5494
2500.000000	83.898	160.9631
2540.000000	84.031	161.3762
2580.000000	84.195	161.6023
2620.000000	84.381	161.5780
2650.000000	84.530	161.3586
2690.000000	84.734	160.7538
2720.000000	84.882	160.0433
2760.000000	85.061	158.7899
2800.000000	85.200	157.2216
2850.000000	85.295	154.9140
2900.000000	85.288	152.4148
2950.000000	85.177	150.0192
3000.000000	84.968	147.9471
3040.000000	84.738	146.6406
3070.000000	84.544	145.9229
3110.000000	84.268	145.3425
3150.000000	83.988	145.1636
3200.000000	83.655	145.4489
3250.000000	83.349	146.2327
3300.000000	83.082	147.4567
3350.000000	82.868	149.0222
3400.000000	82.714	150.8067
3450.000000	82.618	152.7241
3500.000000	82.582	154.7450
3550.000000	82.599	156.8220
3600.000000	82.666	158.8856
3650.000000	82.782	160.8704
3700.000000	82.940	162.7532
3750.000000	83.135	164.5481
3820.000000	83.461	166.8566
3870.000000	83.727	168.3619
3950.000000	84.214	170.4441
4000.000000	84.564	171.4784
4060.000000	85.029	172.3607
4120.000000	85.531	172.7593
4180.000000	86.049	172.5881
4250.000000	86.645	171.6216
4310.000000	87.119	170.1302
4370.000000	87.532	168.0587
4440.000000	87.913	165.0408
4500.000000	88.139	162.0894
4550.000000	88.253	159.4849
4620.000000	88.296	155.8059
4680.000000	88.229	152.8135
4750.000000	88.042	149.6800
4820.000000	87.753	147.0664
4870.000000	87.494	145.6291
4940.000000	87.080	144.3587
5000.000000	86.710	144.0136
5080.000000	86.255	144.5263
5150.000000	85.935	145.6564
5220.000000	85.705	147.1299
5300.000000	85.547	148.8998
5380.000000	85.475	150.5302
5450.000000	85.461	151.7426
5520.000000	85.472	152.7203
5600.000000	85.495	153.5583
5700.000000	85.513	154.2817
5800.000000	85.495	154.7786
5900.000000	85.427	155.2366
6000.000000	85.308	155.8526
6080.000000	85.189	156.5683
6150.000000	85.076	157.4084
6220.000000	84.963	158.4522
6300.000000	84.839	159.9045
6400.000000	84.705	162.1152
6500.000000	84.614	164.7153
6600.000000	84.583	167.6272
6700.000000	84.627	170.7697
6800.000000	84.757	174.0523
6900.000000	84.997	177.3845
7000.000000	85.360	-179.3533
7100.000000	85.839	-176.3658
7200.000000	86.421	-173.8697
7300.000000	87.089	-172.0779
7400.000000	87.815	-171.1914
7500.000000	88.563	-171.3908
7620.000000	89.433	-173.2118
7750.000000	90.216	-177.0518
7880.000000	90.672	177.7294
8000.000000	90.794	172.4036
8120.000000	90.663	167.1477
8250.000000	90.269	161.9780
8380.000000	89.644	157.7042
8500.000000	88.889	154.8983
8620.000000	88.005	153.4866
8750.000000	86.968	153.6759
8850.000000	86.173	154.9782
9000.000000	85.075	158.5222
9120.000000	84.327	162.3867
9250.000000	83.674	167.1886
9380.000000	83.195	172.2671
9500.000000	82.893	176.8860
9620.000000	82.706	-178.8032
9750.000000	82.611	-174.6741
9880.000000	82.582	-171.3066
10000.000000	82.562	-168.9623
10150.000000	82.478	-167.0193
10300.000000	82.265	-165.8803
10440.000000	81.905	-165.0696
10600.000000	81.293	-163.8192
10750.000000	80.559	-161.7979
10900.000000	79.728	-158.6505
11060.000000	78.801	-154.0085
11200.000000	78.012	-148.9141
11380.000000	77.074	-141.1150
11500.000000	76.515	-135.2236
11720.000000	75.690	-123.2534
11800.000000	75.467	-118.6385
12060.000000	75.056	-103.2523
12200.000000	75.039	-94.9162
12410.000000	75.289	-82.7375
12500.000000	75.511	-77.8187
12650.000000	76.049	-70.3020
12800.000000	76.790	-64.0413
13150.000000	79.042	-58.0765
13200.000000	79.350	-58.6455
13400.000000	80.200	-65.1088
13600.000000	80.046	-75.9295
13800.000000	78.733	-84.9843
14000.000000	76.609	-87.9178
14300.000000	73.062	-81.7189
14500.000000	70.927	-73.2994
14750.000000	68.646	-60.3509
15000.000000	66.756	-45.5965
15250.000000	65.176	-29.3407
15500.000000	63.886	-11.5907
15750.000000	62.935	7.7141
16000.000000	62.530	29.0989
16250.000000	63.260	52.0586
16500.000000	65.485	71.7173
16750.000000	67.967	80.1499
17000.000000	69.294	77.7674
17250.000000	69.489	74.2886
17500.000000	69.324	73.6901
17750.000000	69.109	73.4662
18000.000000	68.614	72.3546
18250.000000	67.677	72.1969
