* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 6:26:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_011
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.593	-170.0762
20.600000	85.598	-170.1544
20.900000	85.610	-170.3183
21.200001	85.624	-170.5473
21.400000	85.632	-170.7504
21.799999	85.635	-171.2662
22.000000	85.627	-171.5600
22.400000	85.595	-172.1543
22.700001	85.560	-172.5633
23.000000	85.525	-172.9246
23.299999	85.494	-173.2491
23.600000	85.471	-173.5545
24.000000	85.455	-173.9625
24.299999	85.454	-174.2896
24.700001	85.465	-174.7753
25.000000	85.478	-175.1886
25.400000	85.497	-175.8078
25.799999	85.508	-176.4741
26.200001	85.506	-177.1185
26.500000	85.497	-177.5432
26.900000	85.483	-178.0070
27.200001	85.475	-178.2932
27.600000	85.474	-178.6444
28.000000	85.480	-179.0199
28.500000	85.483	-179.5441
29.000000	85.473	179.9302
29.500000	85.457	179.4443
30.000000	85.438	178.9627
30.400000	85.419	178.5558
30.700001	85.399	178.2501
31.100000	85.364	177.8829
31.500000	85.327	177.5924
32.000000	85.290	177.3201
32.500000	85.271	177.0588
33.000000	85.264	176.7322
33.500000	85.261	176.3474
34.000000	85.258	175.9428
34.500000	85.255	175.5291
35.000000	85.249	175.1061
35.500000	85.239	174.6984
36.000000	85.230	174.3247
36.500000	85.226	173.9532
37.000000	85.220	173.5298
37.500000	85.201	173.0646
38.200001	85.145	172.5239
38.700001	85.100	172.3109
39.500000	85.068	172.0938
40.000000	85.067	171.8510
40.599998	85.061	171.3959
41.200001	85.032	170.8920
41.799999	84.989	170.4793
42.500000	84.949	170.1097
43.099998	84.929	169.7681
43.700001	84.908	169.3731
44.400002	84.877	168.9219
45.000000	84.852	168.5494
45.500000	84.826	168.2247
46.200001	84.777	167.8465
46.799999	84.739	167.7208
47.500000	84.743	167.6486
48.200001	84.781	167.2709
48.700001	84.791	166.7982
49.400002	84.757	166.1689
50.000000	84.711	165.8530
50.799999	84.672	165.6188
51.500000	84.651	165.3924
52.200001	84.628	165.1422
53.000000	84.598	164.8804
53.799999	84.572	164.6100
54.500000	84.547	164.3035
55.200001	84.511	163.9347
56.000000	84.452	163.5696
57.000000	84.392	163.2572
58.000000	84.353	162.8333
59.000000	84.298	162.4011
60.000000	84.259	162.0730
60.799999	84.240	161.7018
61.500000	84.213	161.2993
62.200001	84.169	160.9163
63.000000	84.107	160.5858
64.000000	84.038	160.3507
65.000000	83.994	160.0716
66.000000	83.932	159.6918
67.000000	83.862	159.5737
68.000000	83.844	159.5131
69.000000	83.839	159.1969
70.000000	83.819	158.7838
71.000000	83.784	158.3412
72.000000	83.734	157.9680
73.000000	83.689	157.6501
74.000000	83.640	157.2831
75.000000	83.576	156.9993
76.199997	83.513	156.7948
77.500000	83.463	156.5128
78.800003	83.403	156.1422
80.000000	83.335	155.8638
81.199997	83.284	155.6376
82.500000	83.234	155.2650
83.800003	83.169	154.9381
85.000000	83.112	154.7784
86.199997	83.064	154.6942
87.500000	83.018	154.5793
88.500000	82.969	154.4203
90.000000	82.864	154.2795
91.199997	82.799	154.3379
92.500000	82.783	154.2194
93.800003	82.752	153.7208
95.000000	82.687	153.4931
96.199997	82.664	153.4811
97.500000	82.660	153.1628
98.800003	82.590	152.6902
100.000000	82.496	152.5557
101.500000	82.420	152.4848
103.000000	82.363	152.2643
104.400002	82.318	152.0220
106.000000	82.264	151.7704
107.500000	82.217	151.6337
109.000000	82.175	151.4545
110.599998	82.121	151.1932
112.000000	82.074	150.9325
113.800003	82.010	150.5581
115.000000	81.959	150.3819
117.199997	81.871	150.3094
118.000000	81.843	150.3055
120.599998	81.734	150.2271
122.000000	81.681	150.2191
124.099998	81.630	149.9464
125.000000	81.602	149.7168
126.500000	81.526	149.3558
128.000000	81.435	149.2694
131.500000	81.308	149.3069
132.000000	81.288	149.3064
134.000000	81.216	149.3979
136.000000	81.149	149.5533
138.000000	81.091	149.7166
140.000000	81.038	149.7345
143.000000	80.942	149.7131
145.000000	80.890	149.6942
147.500000	80.821	149.4888
150.000000	80.747	149.2901
152.500000	80.689	149.2219
155.000000	80.639	149.2980
157.500000	80.583	149.3226
160.000000	80.519	149.1664
162.500000	80.462	149.0278
165.000000	80.429	148.9846
167.500000	80.384	148.9053
170.000000	80.304	148.8043
172.500000	80.213	148.6787
175.000000	80.131	148.5870
177.500000	80.063	148.5654
180.000000	79.987	148.5818
182.500000	79.898	148.6389
185.000000	79.810	148.7087
187.500000	79.734	148.7751
190.000000	79.663	148.8073
192.500000	79.577	148.8655
195.000000	79.480	149.0649
197.500000	79.390	149.4575
200.000000	79.317	150.0159
203.000000	79.271	150.7530
206.000000	79.283	151.3908
209.000000	79.341	151.7946
212.000000	79.390	151.9006
214.000000	79.403	151.8397
218.000000	79.391	151.4903
220.000000	79.373	151.2998
224.000000	79.321	150.9932
227.000000	79.267	150.7328
230.000000	79.200	150.4336
233.000000	79.132	150.2697
236.000000	79.074	150.2966
240.000000	78.987	150.4202
243.000000	78.922	150.5052
247.000000	78.868	150.5881
250.000000	78.824	150.6224
254.000000	78.730	150.7172
258.000000	78.634	150.8536
262.000000	78.558	151.0093
265.000000	78.512	151.1608
269.000000	78.449	151.4203
272.000000	78.394	151.5905
276.000000	78.318	151.6929
280.000000	78.259	151.8568
285.000000	78.192	152.1973
290.000000	78.134	152.4716
295.000000	78.082	152.7288
300.000000	78.018	152.9543
304.000000	77.971	153.1603
307.000000	77.934	153.3419
311.000000	77.882	153.5934
315.000000	77.833	153.8419
320.000000	77.780	154.1373
325.000000	77.738	154.3858
330.000000	77.697	154.6613
335.000000	77.647	155.0113
340.000000	77.584	155.2314
345.000000	77.533	155.4989
350.000000	77.494	155.8690
355.000000	77.456	156.2755
360.000000	77.412	156.7244
365.000000	77.364	157.0879
370.000000	77.317	157.2866
375.000000	77.282	157.5334
382.000000	77.242	158.0829
387.000000	77.205	158.4563
395.000000	77.147	158.9286
400.000000	77.113	159.2744
406.000000	77.086	159.6045
412.000000	77.070	159.8851
418.000000	77.036	160.2662
425.000000	76.996	160.6916
431.000000	76.971	161.0281
437.000000	76.943	161.3884
444.000000	76.909	161.7086
450.000000	76.876	161.9647
455.000000	76.845	162.2841
462.000000	76.800	162.7173
468.000000	76.778	162.9962
475.000000	76.759	163.3516
482.000000	76.725	163.8043
487.000000	76.698	164.1423
494.000000	76.667	164.5921
500.000000	76.643	164.9870
508.000000	76.614	165.4977
515.000000	76.590	165.8950
522.000000	76.566	166.3105
530.000000	76.539	166.8465
538.000000	76.517	167.3999
545.000000	76.507	167.8661
552.000000	76.503	168.3135
560.000000	76.490	168.8145
570.000000	76.461	169.5318
580.000000	76.452	170.2334
590.000000	76.452	170.8224
600.000000	76.453	171.4718
608.000000	76.451	172.0654
615.000000	76.446	172.6298
622.000000	76.445	173.1885
630.000000	76.445	173.7460
640.000000	76.440	174.3026
650.000000	76.445	174.9185
660.000000	76.472	175.6694
670.000000	76.485	176.3759
680.000000	76.488	176.9982
