* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 6:33:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_111_SD++
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.449	-171.8827
20.600000	88.437	-172.0311
20.900000	88.416	-172.2667
21.200001	88.409	-172.4285
21.400000	88.414	-172.5428
21.799999	88.439	-172.9025
22.000000	88.451	-173.1827
22.400000	88.459	-173.9240
22.700001	88.440	-174.5408
23.000000	88.404	-175.0987
23.299999	88.362	-175.5422
23.600000	88.330	-175.8855
24.000000	88.313	-176.2849
24.299999	88.319	-176.6384
24.700001	88.332	-177.2379
25.000000	88.331	-177.7367
25.400000	88.312	-178.3349
25.799999	88.288	-178.7374
26.200001	88.285	-178.9736
26.500000	88.302	-179.1424
26.900000	88.338	-179.4849
27.200001	88.361	-179.8614
27.600000	88.365	179.5416
28.000000	88.336	178.9962
28.500000	88.276	178.5736
29.000000	88.231	178.3976
29.500000	88.217	178.2370
30.000000	88.214	177.9171
30.400000	88.204	177.5604
30.700001	88.190	177.2739
31.100000	88.165	176.9059
31.500000	88.140	176.5585
32.000000	88.112	176.1179
32.500000	88.089	175.6308
33.000000	88.065	175.0972
33.500000	88.040	174.5460
34.000000	88.011	174.0092
34.500000	87.979	173.5150
35.000000	87.948	173.0808
35.500000	87.924	172.6907
36.000000	87.907	172.2954
36.500000	87.887	171.8694
37.000000	87.854	171.4728
37.500000	87.813	171.2142
38.200001	87.781	171.1075
38.700001	87.798	171.0056
39.500000	87.841	170.3445
40.000000	87.828	169.7224
40.599998	87.763	169.1176
41.200001	87.689	168.8786
41.799999	87.655	168.8704
42.500000	87.681	168.7142
43.099998	87.714	168.1749
43.700001	87.698	167.3729
44.400002	87.599	166.6540
45.000000	87.506	166.5449
45.500000	87.473	166.6360
46.200001	87.487	166.5313
46.799999	87.493	166.1083
47.500000	87.461	165.5900
48.200001	87.427	165.2273
48.700001	87.412	164.9727
49.400002	87.393	164.5497
50.000000	87.372	164.1768
50.799999	87.344	163.6491
51.500000	87.308	163.1137
52.200001	87.247	162.6346
53.000000	87.168	162.3126
53.799999	87.111	162.1538
54.500000	87.084	162.0179
55.200001	87.075	161.7898
56.000000	87.070	161.3206
57.000000	87.021	160.5555
58.000000	86.930	160.0618
59.000000	86.860	159.8863
60.000000	86.825	159.7474
60.799999	86.814	159.5356
61.500000	86.803	159.2174
62.200001	86.773	158.8204
63.000000	86.715	158.4089
64.000000	86.628	158.0850
