* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 13 오후 10:19:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_2단
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.976	-132.8804
20.600000	90.008	-132.9678
20.900000	90.074	-133.1241
21.200001	90.137	-133.2776
21.400000	90.179	-133.3905
21.799999	90.264	-133.6718
22.000000	90.306	-133.8509
22.400000	90.384	-134.2881
22.700001	90.436	-134.6704
23.000000	90.480	-135.0750
23.299999	90.518	-135.4752
23.600000	90.553	-135.8538
24.000000	90.601	-136.3146
24.299999	90.641	-136.6363
24.700001	90.701	-137.0562
25.000000	90.748	-137.3766
25.400000	90.811	-137.8108
25.799999	90.871	-138.2328
26.200001	90.927	-138.6175
26.500000	90.968	-138.8742
26.900000	91.021	-139.1777
27.200001	91.060	-139.3861
27.600000	91.114	-139.6548
28.000000	91.168	-139.9307
28.500000	91.232	-140.2998
29.000000	91.288	-140.6860
29.500000	91.335	-141.0587
30.000000	91.380	-141.3988
30.400000	91.418	-141.6617
30.700001	91.449	-141.8692
31.100000	91.489	-142.1737
31.500000	91.527	-142.5047
32.000000	91.566	-142.9176
32.500000	91.602	-143.2885
33.000000	91.644	-143.6242
33.500000	91.694	-143.9646
34.000000	91.743	-144.3187
34.500000	91.787	-144.6402
35.000000	91.830	-144.8886
35.500000	91.883	-145.0895
36.000000	91.947	-145.3184
36.500000	92.012	-145.6208
37.000000	92.066	-145.9687
37.500000	92.109	-146.2967
38.200001	92.162	-146.6660
38.700001	92.204	-146.9057
39.500000	92.273	-147.3562
40.000000	92.309	-147.6564
40.599998	92.346	-147.9583
41.200001	92.393	-148.1884
41.799999	92.457	-148.4597
42.500000	92.529	-148.9482
43.099998	92.566	-149.4045
43.700001	92.588	-149.7087
44.400002	92.631	-149.9038
45.000000	92.685	-150.1457
45.500000	92.720	-150.4440
46.200001	92.742	-150.8244
46.799999	92.759	-150.9982
47.500000	92.802	-151.1831
48.200001	92.850	-151.5210
48.700001	92.873	-151.7947
49.400002	92.899	-152.0672
50.000000	92.937	-152.2091
50.799999	93.022	-152.4750
51.500000	93.104	-152.8997
52.200001	93.168	-153.4231
53.000000	93.222	-153.9498
53.799999	93.276	-154.3793
54.500000	93.320	-154.7592
55.200001	93.352	-155.1015
56.000000	93.386	-155.3717
57.000000	93.445	-155.6900
58.000000	93.499	-156.0965
59.000000	93.543	-156.4898
