* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 13 오후 10:20:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_2단
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.641	42.7785
20.600000	90.652	42.6023
20.900000	90.676	42.3154
21.200001	90.700	42.1095
21.400000	90.717	41.9970
21.799999	90.758	41.7688
22.000000	90.779	41.6327
22.400000	90.822	41.3147
22.700001	90.852	41.0491
23.000000	90.881	40.7694
23.299999	90.911	40.4807
23.600000	90.941	40.1862
24.000000	90.984	39.7923
24.299999	91.020	39.5048
24.700001	91.071	39.1392
25.000000	91.115	38.8737
25.400000	91.179	38.5119
25.799999	91.246	38.1179
26.200001	91.310	37.6936
26.500000	91.351	37.3764
26.900000	91.396	36.9888
27.200001	91.426	36.7389
27.600000	91.464	36.4547
28.000000	91.504	36.1954
28.500000	91.553	35.8638
29.000000	91.595	35.5287
29.500000	91.631	35.2253
30.000000	91.668	34.9521
30.400000	91.701	34.7238
30.700001	91.726	34.5335
31.100000	91.757	34.2566
31.500000	91.785	33.9715
32.000000	91.816	33.6313
32.500000	91.849	33.3107
33.000000	91.885	32.9920
33.500000	91.925	32.6781
34.000000	91.966	32.3979
34.500000	92.013	32.1619
35.000000	92.070	31.9345
35.500000	92.134	31.6567
36.000000	92.195	31.3027
36.500000	92.243	30.9070
37.000000	92.276	30.5451
37.500000	92.301	30.2745
38.200001	92.341	30.0228
38.700001	92.380	29.8326
39.500000	92.437	29.3663
40.000000	92.455	29.0477
40.599998	92.465	28.7703
41.200001	92.485	28.6055
41.799999	92.525	28.4163
42.500000	92.576	28.0641
43.099998	92.609	27.7362
43.700001	92.641	27.4710
44.400002	92.687	27.2090
45.000000	92.733	26.9696
45.500000	92.773	26.7571
46.200001	92.831	26.4413
46.799999	92.879	26.1327
47.500000	92.926	25.7418
48.200001	92.960	25.3993
48.700001	92.983	25.2147
49.400002	93.022	25.0184
50.000000	93.067	24.8553
50.799999	93.137	24.5494
51.500000	93.192	24.1590
52.200001	93.228	23.7395
53.000000	93.256	23.3823
53.799999	93.294	23.1293
54.500000	93.337	22.8673
55.200001	93.376	22.5556
56.000000	93.413	22.2095
57.000000	93.456	21.8193
58.000000	93.500	21.4830
59.000000	93.554	21.1201
60.000000	93.597	20.6531
60.799999	93.620	20.3104
61.500000	93.641	20.0633
62.200001	93.667	19.8302
63.000000	93.701	19.5559
64.000000	93.744	19.2042
65.000000	93.790	18.8220
66.000000	93.829	18.3953
67.000000	93.859	17.9883
68.000000	93.886	17.6169
69.000000	93.913	17.2464
70.000000	93.939	16.9030
71.000000	93.970	16.5698
72.000000	94.001	16.2053
73.000000	94.025	15.8643
74.000000	94.051	15.5831
75.000000	94.085	15.2813
76.199997	94.117	14.8204
77.500000	94.134	14.3704
78.800003	94.164	13.9466
80.000000	94.195	13.4749
81.199997	94.224	12.9588
82.500000	94.244	12.4276
83.800003	94.263	12.0207
85.000000	94.284	11.6853
86.199997	94.304	11.3681
87.500000	94.323	11.0117
88.500000	94.336	10.7322
90.000000	94.357	10.2729
91.199997	94.374	9.8794
92.500000	94.397	9.4524
93.800003	94.420	9.0112
95.000000	94.438	8.6427
96.199997	94.457	8.3096
97.500000	94.478	7.9340
98.800003	94.488	7.5176
100.000000	94.484	7.1554
101.500000	94.477	6.7712
103.000000	94.477	6.3800
104.400002	94.483	6.0022
106.000000	94.498	5.5693
107.500000	94.517	5.1733
109.000000	94.532	4.7856
110.599998	94.541	4.3839
112.000000	94.539	4.0357
113.800003	94.530	3.5987
115.000000	94.525	3.3280
117.199997	94.533	2.8444
118.000000	94.538	2.6557
120.599998	94.535	2.0547
122.000000	94.526	1.7920
124.099998	94.524	1.3567
125.000000	94.524	1.1304
126.500000	94.520	0.7563
128.000000	94.515	0.4133
131.500000	94.499	-0.2762
132.000000	94.497	-0.3740
134.000000	94.485	-0.7748
136.000000	94.474	-1.1623
138.000000	94.461	-1.5021
140.000000	94.449	-1.8077
143.000000	94.433	-2.3225
145.000000	94.427	-2.6939
147.500000	94.418	-3.1464
150.000000	94.403	-3.5172
152.500000	94.377	-3.8991
155.000000	94.339	-4.2880
157.500000	94.313	-4.6216
160.000000	94.306	-4.9978
162.500000	94.288	-5.4135
165.000000	94.262	-5.7583
167.500000	94.240	-6.0428
170.000000	94.224	-6.3494
172.500000	94.196	-6.6845
175.000000	94.158	-6.9538
177.500000	94.135	-7.1596
180.000000	94.120	-7.3696
182.500000	94.093	-7.5797
185.000000	94.053	-7.8236
187.500000	94.014	-8.1066
190.000000	93.989	-8.3621
192.500000	93.970	-8.5668
195.000000	93.945	-8.7466
197.500000	93.917	-8.9219
200.000000	93.893	-9.1291
203.000000	93.863	-9.3990
206.000000	93.830	-9.6522
209.000000	93.805	-9.8890
212.000000	93.783	-10.0957
214.000000	93.765	-10.2214
218.000000	93.724	-10.4823
220.000000	93.708	-10.6254
224.000000	93.674	-10.8873
227.000000	93.639	-11.0406
230.000000	93.606	-11.2130
233.000000	93.579	-11.4027
236.000000	93.557	-11.5653
240.000000	93.525	-11.7154
243.000000	93.491	-11.7606
247.000000	93.445	-11.8305
250.000000	93.419	-11.9518
254.000000	93.386	-12.1300
258.000000	93.349	-12.3113
262.000000	93.312	-12.4799
265.000000	93.281	-12.5710
269.000000	93.239	-12.6715
272.000000	93.210	-12.7676
276.000000	93.183	-12.9135
280.000000	93.158	-12.9987
285.000000	93.109	-13.0513
290.000000	93.068	-13.0952
295.000000	93.037	-13.1659
300.000000	93.003	-13.2442
304.000000	92.968	-13.2566
307.000000	92.947	-13.3182
311.000000	92.926	-13.4538
315.000000	92.904	-13.5437
320.000000	92.880	-13.5344
325.000000	92.856	-13.4763
330.000000	92.818	-13.4380
335.000000	92.780	-13.4675
340.000000	92.754	-13.5681
345.000000	92.727	-13.6461
350.000000	92.696	-13.6449
355.000000	92.665	-13.5764
360.000000	92.637	-13.5093
365.000000	92.610	-13.4480
370.000000	92.585	-13.3887
375.000000	92.561	-13.3635
382.000000	92.519	-13.3909
387.000000	92.484	-13.4129
395.000000	92.444	-13.3503
400.000000	92.416	-13.2823
406.000000	92.386	-13.1760
412.000000	92.361	-13.0826
418.000000	92.335	-13.0422
425.000000	92.304	-13.0351
431.000000	92.278	-12.9519
437.000000	92.249	-12.7930
444.000000	92.216	-12.7135
