* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 13 오후 10:13:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.596	-132.8648
20.600000	90.648	-133.7082
20.900000	90.715	-135.1628
21.200001	90.690	-136.3501
21.400000	90.634	-136.8687
21.799999	90.488	-137.2399
22.000000	90.428	-137.1400
22.400000	90.379	-136.6133
22.700001	90.407	-136.2336
23.000000	90.471	-136.1003
23.299999	90.538	-136.2410
23.600000	90.590	-136.5723
24.000000	90.624	-137.1063
24.299999	90.633	-137.4348
24.700001	90.645	-137.7182
25.000000	90.668	-137.8615
25.400000	90.720	-138.0645
25.799999	90.787	-138.3613
26.200001	90.853	-138.7492
26.500000	90.898	-139.0652
26.900000	90.951	-139.4769
27.200001	90.986	-139.7608
27.600000	91.035	-140.1038
28.000000	91.086	-140.4237
28.500000	91.156	-140.8357
29.000000	91.224	-141.2996
29.500000	91.278	-141.7952
30.000000	91.316	-142.2395
30.400000	91.342	-142.5132
30.700001	91.363	-142.6732
31.100000	91.398	-142.8608
31.500000	91.438	-143.0596
32.000000	91.491	-143.3569
32.500000	91.538	-143.6920
33.000000	91.582	-144.0274
33.500000	91.625	-144.3504
34.000000	91.669	-144.6642
34.500000	91.712	-144.9626
35.000000	91.755	-145.2344
35.500000	91.804	-145.4879
36.000000	91.860	-145.7574
36.500000	91.919	-146.0721
37.000000	91.972	-146.4220
37.500000	92.019	-146.7639
38.200001	92.082	-147.1913
38.700001	92.128	-147.5058
39.500000	92.183	-148.0648
40.000000	92.202	-148.3251
40.599998	92.231	-148.4556
41.200001	92.295	-148.5736
41.799999	92.369	-148.9323
42.500000	92.409	-149.5509
43.099998	92.403	-149.8610
43.700001	92.413	-149.8670
44.400002	92.484	-149.8465
45.000000	92.568	-150.0896
45.500000	92.626	-150.4616
46.200001	92.677	-151.0519
46.799999	92.703	-151.4937
47.500000	92.733	-151.9106
48.200001	92.771	-152.2775
48.700001	92.802	-152.5342
49.400002	92.847	-152.8873
50.000000	92.887	-153.1740
50.799999	92.943	-153.5257
51.500000	92.996	-153.8346
52.200001	93.044	-154.1813
53.000000	93.081	-154.5166
53.799999	93.125	-154.6541
54.500000	93.196	-154.8158
55.200001	93.267	-155.2388
56.000000	93.303	-155.8406
57.000000	93.318	-156.2944
58.000000	93.361	-156.6003
59.000000	93.414	-156.9736
60.000000	93.462	-157.4103
60.799999	93.491	-157.7566
61.500000	93.514	-158.0093
62.200001	93.541	-158.2367
63.000000	93.576	-158.5090
64.000000	93.621	-158.8750
65.000000	93.669	-159.2921
66.000000	93.714	-159.7932
67.000000	93.747	-160.2965
68.000000	93.777	-160.7564
69.000000	93.803	-161.1727
70.000000	93.833	-161.5054
71.000000	93.874	-161.8538
72.000000	93.909	-162.2589
73.000000	93.936	-162.6606
74.000000	93.962	-163.0494
75.000000	93.991	-163.4532
76.199997	94.020	-164.0036
77.500000	94.039	-164.5255
78.800003	94.071	-164.9427
80.000000	94.110	-165.3757
81.199997	94.137	-165.8249
82.500000	94.160	-166.2130
83.800003	94.187	-166.5529
85.000000	94.213	-166.8507
86.199997	94.238	-167.1527
87.500000	94.270	-167.4411
88.500000	94.313	-167.7673
90.000000	94.344	-168.5910
91.199997	94.333	-169.1554
92.500000	94.330	-169.6013
93.800003	94.345	-170.0212
95.000000	94.366	-170.4473
96.199997	94.380	-170.8766
97.500000	94.389	-171.2667
98.800003	94.404	-171.6181
100.000000	94.420	-171.9789
101.500000	94.432	-172.4551
103.000000	94.436	-172.8950
104.400002	94.438	-173.2637
106.000000	94.444	-173.6840
107.500000	94.449	-174.1026
109.000000	94.455	-174.5420
110.599998	94.460	-175.0220
