* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 4. 13 오후 10:14:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.886	41.9116
20.600000	89.898	42.3186
20.900000	89.951	42.9904
21.200001	90.066	43.4262
21.400000	90.162	43.4760
21.799999	90.348	43.0121
22.000000	90.417	42.5647
22.400000	90.483	41.5187
22.700001	90.484	40.8481
23.000000	90.470	40.4123
23.299999	90.468	40.1647
23.600000	90.491	39.9893
24.000000	90.557	39.6740
24.299999	90.616	39.3029
24.700001	90.681	38.6908
25.000000	90.717	38.2512
25.400000	90.759	37.7940
25.799999	90.816	37.4600
26.200001	90.893	37.1221
26.500000	90.954	36.8107
26.900000	91.025	36.3346
27.200001	91.067	35.9881
27.600000	91.116	35.6028
28.000000	91.172	35.2866
28.500000	91.255	34.8321
29.000000	91.324	34.1984
29.500000	91.351	33.5290
30.000000	91.344	33.0974
30.400000	91.344	32.9790
30.700001	91.359	32.9660
31.100000	91.398	32.9320
31.500000	91.449	32.8071
32.000000	91.506	32.5488
32.500000	91.550	32.3055
33.000000	91.599	32.1349
33.500000	91.663	31.9539
34.000000	91.731	31.6682
34.500000	91.781	31.3050
35.000000	91.812	30.9728
35.500000	91.835	30.7421
36.000000	91.866	30.5721
36.500000	91.906	30.3691
37.000000	91.943	30.0822
37.500000	91.970	29.7527
38.200001	91.993	29.3649
38.700001	92.020	29.1445
39.500000	92.089	28.6254
40.000000	92.125	28.1373
40.599998	92.137	27.5642
41.200001	92.136	27.2426
41.799999	92.163	27.1510
42.500000	92.247	27.0025
43.099998	92.327	26.6451
43.700001	92.378	26.1832
44.400002	92.398	25.8059
45.000000	92.413	25.7356
45.500000	92.446	25.7487
46.200001	92.514	25.6182
46.799999	92.560	25.3111
47.500000	92.581	24.9597
48.200001	92.603	24.7461
48.700001	92.631	24.5859
49.400002	92.674	24.2490
50.000000	92.700	23.9409
50.799999	92.740	23.6180
51.500000	92.788	23.3354
52.200001	92.836	23.0197
53.000000	92.890	22.6899
53.799999	92.945	22.3327
54.500000	92.979	21.9722
55.200001	92.997	21.6877
56.000000	93.022	21.4830
57.000000	93.068	21.1618
58.000000	93.104	20.7976
59.000000	93.150	20.4428
60.000000	93.191	19.9856
60.799999	93.218	19.6725
61.500000	93.253	19.4194
62.200001	93.290	19.1086
63.000000	93.321	18.7329
64.000000	93.351	18.3756
65.000000	93.395	18.0375
66.000000	93.430	17.6021
67.000000	93.446	17.2483
68.000000	93.473	17.0203
69.000000	93.516	16.7252
70.000000	93.552	16.3468
71.000000	93.580	15.9770
72.000000	93.609	15.6297
73.000000	93.640	15.2513
74.000000	93.666	14.8475
75.000000	93.688	14.5071
76.199997	93.731	14.1129
77.500000	93.767	13.5723
78.800003	93.783	13.1411
80.000000	93.799	12.7701
81.199997	93.807	12.4129
82.500000	93.826	12.0434
83.800003	93.853	11.5788
85.000000	93.879	11.1314
86.199997	93.913	10.7178
87.500000	93.961	10.2462
88.500000	93.987	9.8114
90.000000	93.984	9.3289
91.199997	93.992	9.1324
92.500000	94.012	8.7714
93.800003	94.017	8.3389
95.000000	94.021	7.9635
96.199997	94.028	7.5888
97.500000	94.037	7.2293
98.800003	94.049	6.8944
100.000000	94.056	6.5934
101.500000	94.060	6.2397
103.000000	94.061	5.8336
104.400002	94.057	5.4420
106.000000	94.058	5.0077
107.500000	94.068	4.5599
109.000000	94.074	4.0921
110.599998	94.078	3.6486
112.000000	94.080	3.3031
113.800003	94.085	2.9344
115.000000	94.094	2.6998
117.199997	94.093	2.1812
118.000000	94.085	2.0175
120.599998	94.081	1.5774
122.000000	94.088	1.2367
124.099998	94.087	0.7170
125.000000	94.083	0.5121
126.500000	94.074	0.1939
128.000000	94.065	-0.1177
131.500000	94.047	-0.9116
132.000000	94.043	-1.0205
134.000000	94.027	-1.3766
136.000000	94.014	-1.6649
138.000000	94.004	-2.0197
140.000000	93.988	-2.4448
143.000000	93.978	-3.0292
145.000000	93.972	-3.3902
147.500000	93.951	-3.7589
150.000000	93.931	-4.1137
152.500000	93.915	-4.5045
155.000000	93.893	-4.8596
157.500000	93.867	-5.1875
160.000000	93.841	-5.5780
162.500000	93.821	-5.9818
165.000000	93.804	-6.3274
167.500000	93.780	-6.5520
170.000000	93.748	-6.7903
172.500000	93.713	-7.1121
175.000000	93.686	-7.4548
177.500000	93.668	-7.7317
180.000000	93.646	-7.9259
182.500000	93.616	-8.0872
185.000000	93.586	-8.3009
187.500000	93.555	-8.5956
190.000000	93.522	-8.8806
192.500000	93.492	-9.1010
195.000000	93.471	-9.2645
197.500000	93.454	-9.4536
200.000000	93.433	-9.6787
203.000000	93.404	-9.9377
206.000000	93.382	-10.2024
209.000000	93.362	-10.5163
212.000000	93.332	-10.8058
214.000000	93.308	-10.9437
218.000000	93.262	-11.1558
220.000000	93.244	-11.2646
224.000000	93.213	-11.5086
227.000000	93.186	-11.6631
230.000000	93.156	-11.7775
233.000000	93.129	-11.8667
236.000000	93.102	-11.9613
240.000000	93.059	-12.1334
243.000000	93.022	-12.2824
247.000000	92.975	-12.4767
250.000000	92.946	-12.6268
254.000000	92.911	-12.7541
258.000000	92.874	-12.8315
262.000000	92.829	-13.0207
265.000000	92.798	-13.1606
269.000000	92.764	-13.2667
272.000000	92.740	-13.3011
276.000000	92.706	-13.3596
280.000000	92.676	-13.4851
285.000000	92.643	-13.6117
290.000000	92.603	-13.5590
295.000000	92.562	-13.6571
300.000000	92.522	-13.8408
304.000000	92.487	-13.8909
307.000000	92.461	-13.9129
311.000000	92.440	-14.0072
315.000000	92.427	-14.0555
320.000000	92.407	-14.0607
325.000000	92.378	-14.0857
330.000000	92.343	-14.0126
335.000000	92.312	-14.0174
340.000000	92.275	-14.0232
345.000000	92.237	-14.0089
