* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 3. 26 오후 10:59:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.824	179.6152
20.600000	100.821	179.7168
20.900000	100.827	179.8754
21.200001	100.877	179.9225
21.400000	100.924	179.7989
21.799999	101.011	179.1255
22.000000	101.030	178.6059
22.400000	100.989	177.4262
22.700001	100.890	176.6987
23.000000	100.753	176.3498
23.299999	100.622	176.4397
23.600000	100.535	176.8499
24.000000	100.527	177.4983
24.299999	100.590	177.6799
24.700001	100.701	177.2093
25.000000	100.747	176.3732
25.400000	100.709	175.0019
25.799999	100.566	173.9580
26.200001	100.391	173.6513
26.500000	100.300	173.8336
26.900000	100.275	174.2144
27.200001	100.319	174.2486
27.600000	100.397	173.6970
28.000000	100.421	172.6164
28.500000	100.333	171.2732
29.000000	100.194	170.6364
29.500000	100.126	170.5276
30.000000	100.151	170.1505
30.400000	100.171	169.3767
30.700001	100.150	168.6306
31.100000	100.064	167.7455
31.500000	99.945	167.2341
32.000000	99.825	167.0959
32.500000	99.776	167.0479
33.000000	99.757	166.7187
33.500000	99.720	166.2269
34.000000	99.673	165.8017
34.500000	99.638	165.3448
35.000000	99.590	164.6627
35.500000	99.479	163.9717
36.000000	99.319	163.8150
36.500000	99.208	164.3491
37.000000	99.228	164.9761
37.500000	99.332	164.9707
38.200001	99.411	163.8586
38.700001	99.369	162.9658
39.500000	99.237	162.0773
40.000000	99.144	161.7444
40.599998	99.023	161.6708
41.200001	98.955	161.9764
41.799999	98.974	162.0774
42.500000	98.989	161.4114
43.099998	98.910	160.7639
43.700001	98.815	160.5755
44.400002	98.775	160.4596
45.000000	98.754	160.0027
45.500000	98.705	159.5652
46.200001	98.626	159.1777
46.799999	98.586	158.8568
47.500000	98.528	158.2789
48.200001	98.430	157.8146
48.700001	98.358	157.6645
49.400002	98.267	157.6100
50.000000	98.196	157.7685
50.799999	98.177	158.2688
51.500000	98.247	158.3040
52.200001	98.280	157.6370
53.000000	98.188	156.9486
53.799999	98.087	156.9279
54.500000	98.046	156.8780
55.200001	97.980	156.6552
56.000000	97.879	156.7061
57.000000	97.837	156.9090
58.000000	97.810	156.4514
59.000000	97.720	155.9110
60.000000	97.621	155.5044
60.799999	97.543	155.3218
61.500000	97.506	155.3032
62.200001	97.508	155.1760
63.000000	97.502	154.7504
64.000000	97.428	154.3705
65.000000	97.372	154.5159
66.000000	97.360	154.5236
67.000000	97.299	154.3909
68.000000	97.222	154.5353
69.000000	97.176	154.5547
70.000000	97.107	154.2960
71.000000	97.010	154.0814
72.000000	96.917	153.9582
73.000000	96.839	153.9201
74.000000	96.788	153.9369
75.000000	96.759	153.8469
76.199997	96.696	153.6344
77.500000	96.606	153.8086
78.800003	96.576	153.9636
80.000000	96.521	153.7243
81.199997	96.420	153.5924
82.500000	96.329	153.6350
83.800003	96.272	153.5526
85.000000	96.224	153.4024
86.199997	96.192	153.4017
87.500000	96.216	153.3858
88.500000	96.226	153.0342
90.000000	96.118	152.7466
91.199997	96.029	153.0931
92.500000	95.973	153.4350
93.800003	95.929	153.5466
95.000000	95.888	153.4578
96.199997	95.844	153.2760
97.500000	95.791	153.1032
98.800003	95.737	153.1158
100.000000	95.704	153.2250
101.500000	95.653	153.2726
103.000000	95.580	153.3232
104.400002	95.513	153.3503
106.000000	95.454	153.3189
107.500000	95.411	153.2272
109.000000	95.368	153.1876
110.599998	95.320	153.2713
