* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 3. 26 오후 11:00:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.480	-0.0915
20.600000	100.462	-0.1962
20.900000	100.433	-0.3844
21.200001	100.423	-0.5899
21.400000	100.428	-0.7968
21.799999	100.448	-1.4818
22.000000	100.452	-1.9808
22.400000	100.426	-3.2255
22.700001	100.367	-4.2246
23.000000	100.278	-5.1162
23.299999	100.178	-5.8055
23.600000	100.086	-6.2833
24.000000	100.006	-6.6822
24.299999	99.986	-6.9398
24.700001	100.005	-7.4003
25.000000	100.035	-7.9022
25.400000	100.070	-8.7792
25.799999	100.074	-9.7852
26.200001	100.031	-10.7246
26.500000	99.971	-11.2433
26.900000	99.872	-11.5491
27.200001	99.809	-11.4781
27.600000	99.775	-11.1327
28.000000	99.809	-10.8509
28.500000	99.891	-11.0642
29.000000	99.910	-11.8656
29.500000	99.824	-12.6319
30.000000	99.703	-12.8585
30.400000	99.648	-12.8121
30.700001	99.639	-12.8748
31.100000	99.633	-13.2786
31.500000	99.589	-13.9420
32.000000	99.460	-14.6000
32.500000	99.329	-14.6446
33.000000	99.301	-14.4368
33.500000	99.362	-14.7116
34.000000	99.396	-15.6502
34.500000	99.337	-16.6527
35.000000	99.233	-17.1698
35.500000	99.171	-17.3328
36.000000	99.151	-17.6890
36.500000	99.093	-18.3773
37.000000	98.944	-18.8634
37.500000	98.761	-18.5806
38.200001	98.665	-17.2926
38.700001	98.744	-16.8289
39.500000	98.826	-17.8354
40.000000	98.740	-18.6728
40.599998	98.585	-18.9275
41.200001	98.533	-18.6850
41.799999	98.584	-18.9416
42.500000	98.598	-20.1132
43.099998	98.512	-21.0132
43.700001	98.417	-21.4004
44.400002	98.359	-21.6335
45.000000	98.318	-21.9021
45.500000	98.274	-22.0435
46.200001	98.233	-22.0984
46.799999	98.221	-22.3132
47.500000	98.164	-22.8674
48.200001	98.033	-23.2206
48.700001	97.936	-23.1100
49.400002	97.877	-22.7075
50.000000	97.895	-22.6534
50.799999	97.905	-23.2379
51.500000	97.841	-23.7695
52.200001	97.770	-23.8740
53.000000	97.749	-23.7968
53.799999	97.757	-23.9514
54.500000	97.740	-24.2443
55.200001	97.689	-24.5373
56.000000	97.599	-24.7040
57.000000	97.497	-24.8120
58.000000	97.373	-25.2491
59.000000	97.191	-25.4756
60.000000	97.064	-25.3496
60.799999	97.022	-25.3120
61.500000	97.025	-25.3819
62.200001	97.054	-25.6960
63.000000	97.055	-26.3551
64.000000	96.965	-26.8928
65.000000	96.881	-26.7677
66.000000	96.845	-26.6120
67.000000	96.801	-26.7108
68.000000	96.708	-26.9335
69.000000	96.584	-26.9081
70.000000	96.512	-26.6797
71.000000	96.487	-26.8338
72.000000	96.406	-27.1816
73.000000	96.305	-26.9890
74.000000	96.283	-26.6346
75.000000	96.280	-26.7098
76.199997	96.217	-27.0013
77.500000	96.111	-27.2575
78.800003	96.011	-27.4345
80.000000	95.931	-27.5993
81.199997	95.881	-27.5846
82.500000	95.877	-27.7443
83.800003	95.824	-28.0958
85.000000	95.739	-28.1461
86.199997	95.665	-28.1292
87.500000	95.592	-28.2508
88.500000	95.524	-28.4767
90.000000	95.410	-28.3637
91.199997	95.416	-28.0861
92.500000	95.447	-28.2132
93.800003	95.420	-28.3945
95.000000	95.357	-28.2920
96.199997	95.303	-27.9972
97.500000	95.266	-27.8458
98.800003	95.206	-27.9348
100.000000	95.139	-27.9345
101.500000	95.085	-27.9338
103.000000	95.026	-28.0203
104.400002	94.963	-27.9432
106.000000	94.913	-27.8054
107.500000	94.870	-27.7611
109.000000	94.825	-27.7635
110.599998	94.780	-27.7589
112.000000	94.749	-27.8320
113.800003	94.682	-27.9228
115.000000	94.635	-27.8132
117.199997	94.573	-27.5052
118.000000	94.548	-27.4069
120.599998	94.469	-27.0692
122.000000	94.433	-27.0562
124.099998	94.380	-27.1280
125.000000	94.365	-27.1711
126.500000	94.340	-27.2372
128.000000	94.311	-27.2093
131.500000	94.232	-27.0465
132.000000	94.217	-27.0432
134.000000	94.149	-27.0065
136.000000	94.097	-26.8820
138.000000	94.059	-26.7749
140.000000	94.018	-26.6686
143.000000	93.947	-26.4889
145.000000	93.909	-26.3533
147.500000	93.865	-26.3050
150.000000	93.803	-26.3177
152.500000	93.735	-26.2127
155.000000	93.689	-26.0684
157.500000	93.648	-25.9385
160.000000	93.608	-25.8083
