* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 3. 26 오후 10:54:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.551	-0.2765
20.600000	97.538	-0.5186
20.900000	97.509	-0.9453
21.200001	97.475	-1.3370
21.400000	97.452	-1.5838
21.799999	97.404	-2.0821
22.000000	97.379	-2.3477
22.400000	97.329	-2.9190
22.700001	97.291	-3.3799
23.000000	97.250	-3.8605
23.299999	97.209	-4.3469
23.600000	97.169	-4.8287
24.000000	97.121	-5.4564
24.299999	97.091	-5.9192
24.700001	97.058	-6.5359
25.000000	97.037	-7.0013
25.400000	97.008	-7.6158
25.799999	96.977	-8.1955
26.200001	96.945	-8.7103
26.500000	96.922	-9.0471
26.900000	96.892	-9.4412
27.200001	96.872	-9.7137
27.600000	96.848	-10.0731
28.000000	96.823	-10.4484
28.500000	96.785	-10.9400
29.000000	96.735	-11.4273
29.500000	96.675	-11.8808
30.000000	96.611	-12.2945
30.400000	96.561	-12.6092
30.700001	96.526	-12.8452
31.100000	96.480	-13.1705
31.500000	96.436	-13.5132
32.000000	96.382	-13.9627
32.500000	96.328	-14.4207
33.000000	96.280	-14.8752
33.500000	96.238	-15.3309
34.000000	96.199	-15.7974
34.500000	96.156	-16.2609
35.000000	96.107	-16.6794
35.500000	96.056	-17.0131
36.000000	96.012	-17.2727
36.500000	95.976	-17.5148
37.000000	95.942	-17.7901
37.500000	95.902	-18.0931
38.200001	95.831	-18.4829
38.700001	95.778	-18.7211
39.500000	95.699	-19.1351
40.000000	95.647	-19.4369
40.599998	95.579	-19.7949
41.200001	95.512	-20.1170
41.799999	95.452	-20.4333
42.500000	95.387	-20.8184
43.099998	95.332	-21.1220
43.700001	95.281	-21.3785
44.400002	95.230	-21.6480
45.000000	95.188	-21.8761
45.500000	95.152	-22.0639
46.200001	95.099	-22.3199
46.799999	95.049	-22.5203
47.500000	94.991	-22.7158
48.200001	94.941	-22.9264
48.700001	94.907	-23.1311
49.400002	94.848	-23.4632
50.000000	94.790	-23.7055
50.799999	94.723	-23.9619
51.500000	94.673	-24.2168
