* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 4:46:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthears Hexa L
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.144928	82.085	11.1244
20.290907	82.052	10.9594
20.437943	82.019	10.7415
20.586044	81.984	10.5829
20.735220	81.947	10.4693
20.885475	81.915	10.3630
21.036821	81.891	10.2690
21.189262	81.873	10.1612
21.342808	81.863	9.9915
21.497467	81.860	9.7709
21.653246	81.853	9.4822
21.810154	81.844	9.1116
21.968201	81.828	8.7014
22.127390	81.800	8.2601
22.287735	81.763	7.8099
22.449242	81.718	7.4137
22.611917	81.666	7.0598
22.775772	81.618	6.7796
22.940815	81.573	6.5820
23.107054	81.541	6.4059
23.274498	81.526	6.2610
23.443153	81.524	6.0674
23.613033	81.538	5.7778
23.784142	81.557	5.3858
23.956491	81.572	4.8371
24.130091	81.578	4.1770
24.304947	81.557	3.4495
24.481071	81.511	2.6892
24.658470	81.433	2.0557
24.837156	81.326	1.5540
25.017136	81.206	1.3663
25.198421	81.078	1.4764
25.381020	80.980	1.9240
25.564941	80.913	2.6826
25.750195	80.913	3.5359
25.936790	80.975	4.4595
26.124741	81.094	5.1137
26.314051	81.262	5.5022
26.504732	81.437	5.4388
26.696796	81.612	4.9745
26.890253	81.743	4.1619
27.085112	81.831	3.0953
27.281382	81.856	1.9467
27.479073	81.827	0.8370
27.678198	81.743	-0.0773
27.878765	81.632	-0.7119
28.080786	81.500	-0.9838
28.284271	81.384	-0.9648
28.489231	81.292	-0.6592
28.695675	81.244	-0.3039
28.903616	81.234	0.0534
29.113064	81.250	0.1982
29.324028	81.274	0.1486
29.536524	81.286	-0.1517
29.750557	81.267	-0.5429
29.966141	81.213	-0.9818
30.183289	81.126	-1.2382
30.402010	81.022	-1.2760
30.622314	80.923	-0.9702
30.844217	80.860	-0.4391
31.067726	80.849	0.2781
31.292856	80.904	0.8717
31.519617	81.008	1.2248
31.748020	81.146	1.1326
31.978081	81.271	0.5934
32.209808	81.365	-0.3578
32.443211	81.395	-1.5450
32.678310	81.361	-2.7357
32.915108	81.261	-3.7782
33.153625	81.124	-4.4130
33.393871	80.981	-4.6368
33.635857	80.862	-4.4238
33.879597	80.806	-4.0162
34.125103	80.805	-3.6194
34.372387	80.857	-3.4361
34.621464	80.916	-3.6161
34.872345	80.957	-4.0633
35.125042	80.956	-4.6882
35.379574	80.907	-5.2151
35.635948	80.834	-5.5065
35.894180	80.758	-5.5030
36.154285	80.718	-5.2570
36.416275	80.724	-5.0454
36.680161	80.765	-5.0369
36.945961	80.814	-5.4032
37.213688	80.820	-6.0997
37.483353	80.763	-6.8758
37.754974	80.639	-7.4860
38.028561	80.467	-7.6212
38.304131	80.313	-7.1625
38.581699	80.228	-6.3327
38.861279	80.237	-5.4473
39.142883	80.334	-4.9568
39.426529	80.449	-5.1519
39.712231	80.519	-5.9017
40.000000	80.507	-6.9196
40.289856	80.403	-7.8059
40.581814	80.243	-8.1432
40.875885	80.105	-7.8538
41.172089	80.045	-7.2195
41.470440	80.079	-6.6558
41.770950	80.180	-6.5833
42.073643	80.271	-7.1822
42.378525	80.284	-8.1811
42.685616	80.202	-9.1075
42.994934	80.056	-9.5444
43.306492	79.911	-9.2983
43.620308	79.842	-8.5169
43.936401	79.893	-7.6991
44.254780	80.031	-7.4248
44.575470	80.172	-7.9039
44.898483	80.244	-8.9398
45.223835	80.214	-10.1005
45.551544	80.095	-10.9251
45.881630	79.941	-11.1295
46.214108	79.820	-10.7426
46.548996	79.781	-10.0965
46.886307	79.822	-9.6301
47.226067	79.895	-9.6124
47.568283	79.943	-10.0069
47.912983	79.936	-10.5573
48.260181	79.876	-10.9612
48.609894	79.796	-11.0227
48.962143	79.736	-10.7417
49.316940	79.730	-10.3109
49.674313	79.781	-10.0184
50.034271	79.861	-10.1020
50.396843	79.924	-10.6251
50.762039	79.926	-11.4307
51.129883	79.850	-12.1914
51.500389	79.712	-12.5485
51.873581	79.569	-12.3072
52.249481	79.488	-11.5986
52.628101	79.503	-10.8577
53.009464	79.588	-10.5591
53.393593	79.671	-10.8932
53.780506	79.683	-11.6435
54.170223	79.604	-12.3396
54.562763	79.469	-12.5614
54.958145	79.350	-12.2109
55.356396	79.308	-11.5761
55.757530	79.350	-11.1257
56.161572	79.425	-11.1753
56.568542	79.474	-11.7078
56.978462	79.458	-12.4499
57.391350	79.379	-13.0672
