* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 9:20:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.950	26.0707
20.600000	95.966	26.2182
20.900000	96.019	26.4406
21.200001	96.120	26.5052
21.400000	96.201	26.3839
21.799999	96.363	25.7345
22.000000	96.426	25.2431
22.400000	96.494	24.1144
22.700001	96.496	23.3386
23.000000	96.469	22.7837
23.299999	96.435	22.4970
23.600000	96.416	22.4379
24.000000	96.435	22.5493
24.299999	96.487	22.6043
24.700001	96.585	22.4668
25.000000	96.658	22.1690
25.400000	96.732	21.5791
25.799999	96.769	20.9258
26.200001	96.776	20.3426
26.500000	96.770	19.9765
26.900000	96.754	19.5649
27.200001	96.737	19.2936
27.600000	96.712	18.9737
28.000000	96.686	18.7136
28.500000	96.663	18.4693
29.000000	96.660	18.2475
29.500000	96.676	17.9740
30.000000	96.710	17.6268
30.400000	96.755	17.2914
30.700001	96.801	16.9865
31.100000	96.874	16.4567
31.500000	96.949	15.7429
32.000000	97.022	14.6051
32.500000	97.049	13.3463
33.000000	97.027	12.2128
33.500000	96.974	11.4037
34.000000	96.923	10.9990
34.500000	96.905	10.8890
35.000000	96.930	10.8349
35.500000	96.978	10.6131
36.000000	97.010	10.2036
36.500000	97.009	9.7727
37.000000	96.988	9.4844
37.500000	96.971	9.3254
38.200001	96.970	9.0751
38.700001	96.976	8.7845
39.500000	96.987	8.1315
40.000000	96.992	7.5641
40.599998	96.978	6.7385
41.200001	96.936	5.9605
41.799999	96.894	5.3916
42.500000	96.886	4.8768
43.099998	96.907	4.3778
43.700001	96.930	3.8359
44.400002	96.955	3.2711
45.000000	96.986	2.8631
45.500000	97.024	2.5164
46.200001	97.079	1.9169
46.799999	97.100	1.3163
47.500000	97.080	0.7731
48.200001	97.055	0.5860
48.700001	97.063	0.5454
49.400002	97.099	0.3048
50.000000	97.115	-0.1136
50.799999	97.098	-0.6738
51.500000	97.072	-1.0095
52.200001	97.057	-1.3003
53.000000	97.051	-1.6981
53.799999	97.046	-2.1922
54.500000	97.033	-2.6661
55.200001	97.015	-3.0881
56.000000	97.005	-3.4884
57.000000	97.007	-4.0468
58.000000	96.995	-4.6499
59.000000	96.977	-5.1279
60.000000	96.965	-5.6139
60.799999	96.949	-6.0343
61.500000	96.933	-6.3670
62.200001	96.919	-6.6933
63.000000	96.900	-7.1080
64.000000	96.862	-7.5856
65.000000	96.829	-7.9447
66.000000	96.807	-8.3386
67.000000	96.781	-8.7849
68.000000	96.749	-9.2002
69.000000	96.722	-9.5782
70.000000	96.707	-9.9830
71.000000	96.694	-10.4805
72.000000	96.671	-11.0132
73.000000	96.640	-11.4552
74.000000	96.618	-11.8317
75.000000	96.598	-12.2421
76.199997	96.559	-12.6862
77.500000	96.518	-13.0548
78.800003	96.476	-13.4288
80.000000	96.440	-13.7768
81.199997	96.409	-14.2037
82.500000	96.374	-14.7191
83.800003	96.330	-15.1797
85.000000	96.299	-15.4936
86.199997	96.279	-15.8302
87.500000	96.255	-16.2726
88.500000	96.227	-16.6527
90.000000	96.175	-17.1641
91.199997	96.135	-17.5583
92.500000	96.099	-17.9503
93.800003	96.074	-18.3694
95.000000	96.047	-18.7548
96.199997	96.017	-19.1123
97.500000	95.974	-19.4592
98.800003	95.922	-19.6642
100.000000	95.881	-19.7862
101.500000	95.834	-19.9803
103.000000	95.784	-20.2443
104.400002	95.730	-20.5530
106.000000	95.663	-20.9166
107.500000	95.609	-21.2804
109.000000	95.564	-21.6969
110.599998	95.515	-22.1882
112.000000	95.458	-22.5088
113.800003	95.411	-22.6643
115.000000	95.397	-22.8568
117.199997	95.342	-23.3809
118.000000	95.314	-23.5754
120.599998	95.208	-24.1212
122.000000	95.163	-24.2856
124.099998	95.128	-24.5265
125.000000	95.114	-24.6788
126.500000	95.069	-24.9581
128.000000	95.005	-25.1282
131.500000	94.885	-25.5674
132.000000	94.868	-25.6511
134.000000	94.801	-25.9452
136.000000	94.736	-26.1490
138.000000	94.673	-26.2956
140.000000	94.608	-26.4949
143.000000	94.511	-26.7802
145.000000	94.459	-26.9937
147.500000	94.400	-27.1774
150.000000	94.340	-27.3153
152.500000	94.265	-27.4381
155.000000	94.181	-27.6849
157.500000	94.106	-27.9853
160.000000	94.040	-28.2172
162.500000	93.971	-28.3380
165.000000	93.895	-28.4782
167.500000	93.830	-28.6741
170.000000	93.781	-28.8586
172.500000	93.730	-28.9352
175.000000	93.677	-29.0165
177.500000	93.612	-29.2279
180.000000	93.541	-29.3988
182.500000	93.472	-29.5207
185.000000	93.403	-29.6902
187.500000	93.339	-29.8631
190.000000	93.286	-29.9955
192.500000	93.225	-30.0795
195.000000	93.154	-30.1131
197.500000	93.089	-30.1948
200.000000	93.027	-30.3046
203.000000	92.953	-30.4189
206.000000	92.875	-30.5716
209.000000	92.800	-30.6816
212.000000	92.729	-30.6778
214.000000	92.678	-30.6429
218.000000	92.575	-30.6156
220.000000	92.534	-30.6570
224.000000	92.451	-30.6674
227.000000	92.391	-30.6141
230.000000	92.322	-30.6264
233.000000	92.242	-30.6186
236.000000	92.164	-30.5576
240.000000	92.063	-30.4910
243.000000	91.993	-30.4406
247.000000	91.905	-30.4209
250.000000	91.836	-30.4270
254.000000	91.754	-30.3187
258.000000	91.663	-30.0929
262.000000	91.563	-29.8910
265.000000	91.496	-29.7706
269.000000	91.414	-29.6917
272.000000	91.353	-29.6381
276.000000	91.285	-29.4797
280.000000	91.233	-29.2466
285.000000	91.158	-28.9570
290.000000	91.048	-28.7168
295.000000	90.946	-28.4806
300.000000	90.866	-28.1944
304.000000	90.815	-27.9164
307.000000	90.777	-27.7286
311.000000	90.714	-27.4939
315.000000	90.657	-27.1470
320.000000	90.593	-26.7189
325.000000	90.512	-26.4387
330.000000	90.437	-26.1559
335.000000	90.373	-25.8291
340.000000	90.322	-25.4040
345.000000	90.273	-24.9772
350.000000	90.209	-24.6519
355.000000	90.147	-24.3744
360.000000	90.095	-24.0027
365.000000	90.043	-23.4719
370.000000	89.981	-22.9559
375.000000	89.927	-22.5437
382.000000	89.869	-22.0465
387.000000	89.829	-21.6479
395.000000	89.760	-20.9659
400.000000	89.727	-20.5557
406.000000	89.677	-20.0649
412.000000	89.650	-19.4745
418.000000	89.638	-18.9108
425.000000	89.579	-18.3930
431.000000	89.534	-17.9141
437.000000	89.525	-17.3779
444.000000	89.515	-16.7498
450.000000	89.498	-16.2333
455.000000	89.488	-15.7961
462.000000	89.462	-15.1713
468.000000	89.443	-14.6697
475.000000	89.425	-14.0493
482.000000	89.416	-13.4143
487.000000	89.419	-13.0418
494.000000	89.424	-12.6196
500.000000	89.428	-12.1940
508.000000	89.432	-11.5173
515.000000	89.431	-11.0047
522.000000	89.437	-10.5694
530.000000	89.469	-10.0689
538.000000	89.495	-9.5250
545.000000	89.510	-9.0189
552.000000	89.524	-8.5256
560.000000	89.543	-8.0288
570.000000	89.585	-7.3833
580.000000	89.630	-6.7556
590.000000	89.661	-6.2420
600.000000	89.701	-5.7731
608.000000	89.742	-5.3842
615.000000	89.774	-4.9818
622.000000	89.797	-4.5843
630.000000	89.814	-4.2137
640.000000	89.842	-3.7797
650.000000	89.879	-3.3608
660.000000	89.913	-2.9545
670.000000	89.950	-2.4780
680.000000	89.988	-2.0597
690.000000	90.030	-1.7408
700.000000	90.069	-1.4225
710.000000	90.104	-1.0168
720.000000	90.139	-0.6434
730.000000	90.179	-0.2682
740.000000	90.225	0.1341
750.000000	90.269	0.5207
762.000000	90.321	0.9795
775.000000	90.370	1.4296
788.000000	90.405	1.8149
800.000000	90.455	2.1918
812.000000	90.507	2.6580
825.000000	90.565	3.1379
838.000000	90.621	3.5236
850.000000	90.670	3.8754
862.000000	90.725	4.2329
875.000000	90.794	4.6241
885.000000	90.853	4.9012
900.000000	90.938	5.3336
912.000000	91.001	5.6781
925.000000	91.070	6.0084
938.000000	91.146	6.3302
950.000000	91.221	6.6083
962.000000	91.302	6.8569
975.000000	91.388	7.0847
988.000000	91.464	7.2629
1000.000000	91.541	7.3845
1015.000000	91.644	7.5057
1030.000000	91.741	7.6588
1044.000000	91.828	7.8009
1060.000000	91.925	7.8801
1075.000000	92.012	7.8820
1090.000000	92.101	7.9025
1106.000000	92.199	7.9198
1120.000000	92.281	7.8953
1138.000000	92.382	7.8212
1150.000000	92.450	7.7877
1172.000000	92.564	7.7663
1180.000000	92.605	7.7541
1206.000000	92.727	7.7006
1220.000000	92.782	7.6700
1241.000000	92.871	7.6008
1250.000000	92.911	7.5926
1265.000000	92.974	7.6196
1280.000000	93.035	7.6590
1315.000000	93.179	7.8147
1320.000000	93.201	7.8430
1340.000000	93.286	7.9377
1360.000000	93.366	8.0286
1380.000000	93.456	8.1611
1400.000000	93.555	8.3148
1430.000000	93.717	8.4802
1450.000000	93.821	8.5875
1475.000000	93.960	8.7486
1500.000000	94.107	8.8553
1525.000000	94.257	8.9251
1550.000000	94.411	9.0080
1575.000000	94.563	9.0488
1600.000000	94.722	9.0403
1625.000000	94.887	9.0105
1650.000000	95.054	8.9769
1675.000000	95.223	8.9174
1700.000000	95.398	8.7877
1725.000000	95.575	8.6219
1750.000000	95.754	8.4194
1775.000000	95.938	8.1321
1800.000000	96.122	7.8234
1825.000000	96.304	7.4963
1850.000000	96.483	7.1250
