* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 9:18:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.527	-150.5097
20.600000	94.555	-150.9085
20.900000	94.599	-151.6315
21.200001	94.607	-152.3223
21.400000	94.593	-152.7023
21.799999	94.549	-153.2097
22.000000	94.532	-153.3330
22.400000	94.540	-153.4002
22.700001	94.590	-153.4618
23.000000	94.670	-153.7010
23.299999	94.755	-154.1746
23.600000	94.828	-154.8409
24.000000	94.888	-155.8628
24.299999	94.907	-156.5672
24.700001	94.917	-157.2904
25.000000	94.930	-157.6756
25.400000	94.972	-158.0900
25.799999	95.035	-158.5534
26.200001	95.098	-159.1526
26.500000	95.130	-159.6662
26.900000	95.140	-160.3376
27.200001	95.127	-160.7427
27.600000	95.095	-161.0641
28.000000	95.073	-161.1306
28.500000	95.093	-161.0411
29.000000	95.165	-161.1089
29.500000	95.249	-161.5532
30.000000	95.300	-162.3009
30.400000	95.309	-162.9408
30.700001	95.302	-163.3648
31.100000	95.285	-163.8146
31.500000	95.272	-164.1501
32.000000	95.272	-164.4857
32.500000	95.292	-164.8176
33.000000	95.329	-165.2221
33.500000	95.371	-165.7366
34.000000	95.401	-166.3226
34.500000	95.408	-166.8658
35.000000	95.403	-167.2668
35.500000	95.404	-167.5266
36.000000	95.417	-167.7433
36.500000	95.439	-168.0078
37.000000	95.457	-168.3447
37.500000	95.463	-168.7290
38.200001	95.449	-169.2611
38.700001	95.430	-169.5725
39.500000	95.412	-169.9439
40.000000	95.417	-170.1982
40.599998	95.430	-170.6164
