* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 9:12:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.129	28.2640
20.600000	96.175	28.1135
20.900000	96.262	27.7583
21.200001	96.321	27.2042
21.400000	96.339	26.7759
21.799999	96.327	25.9430
22.000000	96.308	25.6092
22.400000	96.269	25.1712
22.700001	96.263	24.9629
23.000000	96.284	24.7150
23.299999	96.323	24.3174
23.600000	96.363	23.7469
24.000000	96.398	22.7964
24.299999	96.407	22.0740
24.700001	96.406	21.2471
25.000000	96.413	20.7485
25.400000	96.450	20.1557
25.799999	96.514	19.4876
26.200001	96.581	18.6704
26.500000	96.618	18.0046
26.900000	96.642	17.1628
27.200001	96.646	16.6417
27.600000	96.649	16.1280
28.000000	96.664	15.7601
28.500000	96.696	15.3529
29.000000	96.722	14.9464
29.500000	96.727	14.6551
30.000000	96.735	14.5755
30.400000	96.765	14.5841
30.700001	96.805	14.5405
31.100000	96.864	14.3101
31.500000	96.908	13.8693
32.000000	96.917	13.1824
32.500000	96.882	12.6160
33.000000	96.847	12.2774
33.500000	96.843	12.0060
34.000000	96.861	11.5838
34.500000	96.871	10.9794
35.000000	96.858	10.3303
35.500000	96.830	9.7788
36.000000	96.802	9.3706
36.500000	96.787	9.1019
37.000000	96.801	8.9236
37.500000	96.849	8.6970
38.200001	96.940	7.9972
38.700001	96.976	7.2560
39.500000	96.963	6.2353
40.000000	96.949	5.8064
40.599998	96.942	5.3114
41.200001	96.918	4.8067
41.799999	96.883	4.4954
42.500000	96.886	4.3064
43.099998	96.920	3.9172
43.700001	96.930	3.3096
44.400002	96.905	2.7130
45.000000	96.897	2.3482
45.500000	96.907	1.9711
46.200001	96.910	1.3103
46.799999	96.893	0.8393
47.500000	96.890	0.4561
48.200001	96.908	-0.0109
48.700001	96.911	-0.4388
49.400002	96.882	-0.9777
50.000000	96.844	-1.2139
50.799999	96.828	-1.2530
51.500000	96.861	-1.3809
52.200001	96.889	-1.8353
53.000000	96.869	-2.4578
53.799999	96.835	-2.8262
54.500000	96.833	-3.1331
55.200001	96.838	-3.5909
56.000000	96.833	-4.1525
57.000000	96.820	-4.8435
58.000000	96.785	-5.4753
59.000000	96.753	-5.8923
60.000000	96.722	-6.4060
60.799999	96.669	-6.7765
61.500000	96.627	-6.9393
62.200001	96.611	-7.1152
63.000000	96.601	-7.5669
64.000000	96.548	-8.3042
65.000000	96.479	-8.7753
66.000000	96.447	-9.1299
67.000000	96.434	-9.5000
68.000000	96.440	-9.8037
69.000000	96.460	-10.2240
70.000000	96.444	-10.7302
71.000000	96.399	-11.0036
72.000000	96.376	-11.1800
73.000000	96.352	-11.5331
74.000000	96.311	-11.9106
75.000000	96.280	-12.2973
76.199997	96.246	-12.8855
77.500000	96.209	-13.4758
78.800003	96.176	-14.0075
80.000000	96.135	-14.3745
81.199997	96.101	-14.6167
82.500000	96.069	-14.9326
83.800003	96.017	-15.3066
85.000000	95.960	-15.6342
86.199997	95.907	-15.9468
87.500000	95.855	-16.2819
88.500000	95.824	-16.4968
90.000000	95.780	-16.8939
91.199997	95.719	-17.1944
