* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 19 오후 9:11:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.315	-150.0094
20.600000	94.384	-149.9940
20.900000	94.524	-150.0671
21.200001	94.653	-150.4077
21.400000	94.721	-150.7665
21.799999	94.812	-151.6342
22.000000	94.836	-152.0548
22.400000	94.861	-152.7260
22.700001	94.883	-153.0903
23.000000	94.922	-153.4431
23.299999	94.971	-153.9118
23.600000	95.014	-154.5403
24.000000	95.032	-155.5480
24.299999	95.008	-156.2498
24.700001	94.943	-156.8668
25.000000	94.898	-157.0320
25.400000	94.884	-156.9954
25.799999	94.930	-157.0043
26.200001	95.002	-157.3219
26.500000	95.041	-157.7553
26.900000	95.050	-158.4180
27.200001	95.029	-158.8213
27.600000	94.988	-159.1112
28.000000	94.967	-159.1640
28.500000	94.996	-159.1868
29.000000	95.065	-159.4843
29.500000	95.135	-160.1501
30.000000	95.178	-161.1051
30.400000	95.185	-161.9859
30.700001	95.171	-162.6562
31.100000	95.125	-163.4531
31.500000	95.060	-164.0191
32.000000	94.991	-164.2958
32.500000	94.995	-164.2452
33.000000	95.092	-164.3220
33.500000	95.239	-164.9145
34.000000	95.351	-166.0154
34.500000	95.381	-167.1945
35.000000	95.352	-167.9958
35.500000	95.327	-168.2946
36.000000	95.351	-168.3756
36.500000	95.408	-168.5678
37.000000	95.456	-168.9279
37.500000	95.478	-169.2838
38.200001	95.508	-169.6579
38.700001	95.540	-170.0506
39.500000	95.527	-171.0926
40.000000	95.450	-171.6260
40.599998	95.343	-171.7796
41.200001	95.300	-171.6390
41.799999	95.317	-171.7185
42.500000	95.332	-172.2125
43.099998	95.317	-172.5908
43.700001	95.323	-172.8017
44.400002	95.373	-173.1909
45.000000	95.408	-173.8209
45.500000	95.408	-174.3697
46.200001	95.388	-174.8612
46.799999	95.400	-175.0820
47.500000	95.453	-175.5018
48.200001	95.492	-176.2486
48.700001	95.489	-176.8598
49.400002	95.439	-177.5767
50.000000	95.376	-177.9082
50.799999	95.322	-177.9079
51.500000	95.341	-177.7945
52.200001	95.400	-177.9770
53.000000	95.443	-178.5865
53.799999	95.431	-179.2414
54.500000	95.395	-179.6346
55.200001	95.362	-179.8367
56.000000	95.347	-179.9525
57.000000	95.351	179.8586
58.000000	95.374	179.5730
59.000000	95.399	178.9413
60.000000	95.352	178.1663
60.799999	95.301	177.8206
61.500000	95.283	177.5530
62.200001	95.265	177.1709
63.000000	95.225	176.7961
64.000000	95.197	176.6390
65.000000	95.218	176.4738
66.000000	95.246	176.2065
67.000000	95.278	175.8880
68.000000	95.283	175.4504
69.000000	95.260	175.1682
70.000000	95.255	174.8820
71.000000	95.233	174.3685
72.000000	95.190	173.9595
73.000000	95.175	173.6001
74.000000	95.171	173.1270
75.000000	95.162	172.7043
76.199997	95.158	172.3105
77.500000	95.143	171.9495
78.800003	95.107	171.6590
80.000000	95.059	171.3295
81.199997	95.008	170.9528
82.500000	94.975	170.3536
83.800003	94.925	169.7135
85.000000	94.900	169.3925
86.199997	94.888	169.0574
87.500000	94.838	168.8511
88.500000	94.794	168.8480
90.000000	94.745	168.8035
91.199997	94.696	168.4590
92.500000	94.615	168.1977
93.800003	94.578	168.0934
95.000000	94.573	167.9492
96.199997	94.571	167.7354
97.500000	94.550	167.5894
98.800003	94.548	167.5699
100.000000	94.561	167.4768
101.500000	94.600	167.3586
103.000000	94.666	167.0170
104.400002	94.656	166.4052
106.000000	94.535	166.0878
107.500000	94.438	165.9727
109.000000	94.377	165.3336
110.599998	94.286	164.2094
112.000000	94.189	163.6837
113.800003	94.197	163.9445
115.000000	94.265	164.0978
117.199997	94.334	164.2081
118.000000	94.335	164.2722
120.599998	94.302	164.2097
122.000000	94.225	163.9344
124.099998	94.068	163.8260
125.000000	94.027	163.8624
126.500000	94.034	163.6899
128.000000	94.073	162.9011
131.500000	94.102	161.8259
132.000000	94.116	161.7926
134.000000	94.146	161.6596
136.000000	94.117	161.5441
138.000000	94.067	161.2813
140.000000	94.012	160.9114
143.000000	93.960	160.4980
145.000000	93.933	160.0865
147.500000	93.885	159.5743
150.000000	93.841	159.1979
152.500000	93.796	158.8625
155.000000	93.725	158.3590
157.500000	93.651	157.9158
160.000000	93.613	157.6257
162.500000	93.568	157.4015
165.000000	93.502	157.2188
167.500000	93.443	156.9218
170.000000	93.398	156.5263
172.500000	93.351	156.2449
175.000000	93.296	156.0607
177.500000	93.237	155.8154
180.000000	93.176	155.4904
182.500000	93.107	155.2538
185.000000	93.038	155.1345
187.500000	92.976	155.0029
190.000000	92.927	154.8260
192.500000	92.885	154.6456
195.000000	92.835	154.4813
197.500000	92.775	154.3004
200.000000	92.710	154.0994
203.000000	92.638	153.9340
206.000000	92.580	153.8311
209.000000	92.523	153.6551
212.000000	92.460	153.4717
214.000000	92.418	153.4060
218.000000	92.330	153.3492
220.000000	92.284	153.3033
224.000000	92.199	153.1840
227.000000	92.134	153.0782
230.000000	92.062	152.9875
233.000000	91.992	152.9365
236.000000	91.930	152.9091
240.000000	91.857	152.8623
243.000000	91.806	152.8105
247.000000	91.724	152.7595
250.000000	91.657	152.7317
254.000000	91.561	152.7244
258.000000	91.468	152.7332
262.000000	91.384	152.7356
265.000000	91.322	152.8057
269.000000	91.231	152.9362
272.000000	91.167	153.0058
276.000000	91.094	153.0850
280.000000	91.018	153.2013
285.000000	90.924	153.2889
290.000000	90.850	153.2601
295.000000	90.770	153.4224
300.000000	90.681	153.6619
304.000000	90.603	153.8152
307.000000	90.547	153.9036
311.000000	90.485	154.0661
315.000000	90.432	154.3107
320.000000	90.352	154.6642
325.000000	90.273	154.9076
330.000000	90.205	155.0536
335.000000	90.139	155.3451
340.000000	90.057	155.7285
345.000000	89.975	156.0651
350.000000	89.906	156.4258
355.000000	89.840	156.7993
360.000000	89.771	157.1515
365.000000	89.713	157.5024
370.000000	89.663	157.8929
375.000000	89.604	158.3090
382.000000	89.518	158.8538
387.000000	89.462	159.1908
395.000000	89.378	159.7491
400.000000	89.340	160.1727
406.000000	89.284	160.7281
412.000000	89.218	161.2917
418.000000	89.182	161.9510
425.000000	89.133	162.6884
431.000000	89.080	163.1825
437.000000	89.045	163.6498
444.000000	89.027	164.3123
450.000000	89.010	164.9350
455.000000	88.980	165.4125
462.000000	88.941	166.0105
468.000000	88.923	166.5803
475.000000	88.910	167.3201
482.000000	88.899	167.9535
487.000000	88.896	168.3954
494.000000	88.905	169.0065
500.000000	88.916	169.5023
508.000000	88.918	170.2183
515.000000	88.932	170.8168
522.000000	88.968	171.4703
530.000000	89.005	172.1288
538.000000	89.021	172.6320
545.000000	89.038	173.1245
552.000000	89.059	173.7009
560.000000	89.090	174.3560
570.000000	89.120	175.0230
580.000000	89.169	175.6329
590.000000	89.237	176.1509
600.000000	89.301	176.6686
608.000000	89.352	177.0302
615.000000	89.388	177.3586
622.000000	89.418	177.6796
630.000000	89.452	178.0634
640.000000	89.509	178.5944
650.000000	89.584	179.0849
660.000000	89.654	179.5351
670.000000	89.700	179.8869
680.000000	89.734	-179.8401
690.000000	89.777	-179.5645
700.000000	89.838	-179.2191
710.000000	89.895	-178.8561
720.000000	89.939	-178.5580
730.000000	89.979	-178.3035
740.000000	90.017	-178.0215
750.000000	90.057	-177.7641
762.000000	90.112	-177.5196
775.000000	90.171	-177.1739
788.000000	90.219	-176.8303
800.000000	90.265	-176.5159
812.000000	90.318	-176.2246
825.000000	90.373	-175.9606
838.000000	90.433	-175.6626
850.000000	90.489	-175.3570
862.000000	90.540	-175.0760
875.000000	90.595	-174.8100
885.000000	90.633	-174.5791
900.000000	90.694	-174.3036
912.000000	90.737	-174.1224
925.000000	90.774	-173.8526
938.000000	90.821	-173.5581
950.000000	90.869	-173.3322
962.000000	90.909	-173.1096
975.000000	90.953	-172.8342
988.000000	91.005	-172.5090
1000.000000	91.056	-172.2117
1015.000000	91.118	-171.8706
1030.000000	91.179	-171.5049
1044.000000	91.247	-171.1798
1060.000000	91.336	-170.8000
1075.000000	91.422	-170.4438
1090.000000	91.506	-170.0900
1106.000000	91.604	-169.7216
1120.000000	91.703	-169.4597
1138.000000	91.835	-169.2056
1150.000000	91.921	-169.0663
1172.000000	92.081	-168.8354
1180.000000	92.141	-168.7630
