* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:54:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Wide
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.190	-170.9571
20.600000	96.196	-171.1975
20.900000	96.206	-171.6224
21.200001	96.207	-172.0131
21.400000	96.205	-172.2532
21.799999	96.196	-172.7176
22.000000	96.192	-172.9568
22.400000	96.187	-173.4703
22.700001	96.185	-173.9003
23.000000	96.180	-174.3722
23.299999	96.170	-174.8695
23.600000	96.154	-175.3701
24.000000	96.130	-176.0063
24.299999	96.113	-176.4428
24.700001	96.098	-176.9758
25.000000	96.092	-177.3583
25.400000	96.092	-177.8716
25.799999	96.094	-178.3963
26.200001	96.095	-178.9135
26.500000	96.093	-179.2817
26.900000	96.087	-179.7388
27.200001	96.082	179.9393
27.600000	96.076	179.5236
28.000000	96.070	179.1063
28.500000	96.060	178.5739
29.000000	96.040	178.0499
29.500000	96.012	177.5602
30.000000	95.985	177.1004
30.400000	95.967	176.7315
30.700001	95.955	176.4430
31.100000	95.939	176.0388
31.500000	95.918	175.6221
32.000000	95.888	175.1146
32.500000	95.858	174.6449
33.000000	95.837	174.1902
33.500000	95.825	173.7084
34.000000	95.812	173.1950
34.500000	95.793	172.6980
35.000000	95.769	172.2654
35.500000	95.750	171.8939
36.000000	95.737	171.5314
36.500000	95.726	171.1415
37.000000	95.709	170.7337
37.500000	95.685	170.3347
38.200001	95.644	169.8111
38.700001	95.612	169.4604
39.500000	95.560	168.9293
40.000000	95.529	168.5966
40.599998	95.493	168.1776
41.200001	95.455	167.7505
41.799999	95.419	167.3378
42.500000	95.383	166.8605
43.099998	95.354	166.4396
43.700001	95.323	166.0368
44.400002	95.286	165.6100
45.000000	95.259	165.2393
45.500000	95.237	164.9022
46.200001	95.197	164.4330
46.799999	95.157	164.1030
47.500000	95.115	163.7947
48.200001	95.083	163.4749
48.700001	95.059	163.2218
49.400002	95.023	162.8733
50.000000	94.994	162.5883
50.799999	94.961	162.1710
51.500000	94.926	161.7661
52.200001	94.880	161.3900
53.000000	94.829	161.0324
53.799999	94.788	160.6810
54.500000	94.752	160.3396
55.200001	94.713	160.0103
56.000000	94.673	159.6724
57.000000	94.623	159.2415
58.000000	94.566	158.8189
59.000000	94.503	158.4197
60.000000	94.428	158.0573
60.799999	94.375	157.8046
61.500000	94.338	157.5560
62.200001	94.305	157.2440
63.000000	94.263	156.7957
64.000000	94.184	156.2291
65.000000	94.093	155.9861
66.000000	94.044	155.9179
67.000000	94.013	155.7322
68.000000	93.976	155.5517
69.000000	93.942	155.2899
70.000000	93.884	154.9110
71.000000	93.804	154.5854
72.000000	93.728	154.3036
73.000000	93.659	153.9980
74.000000	93.596	153.6916
75.000000	93.546	153.3969
76.199997	93.497	153.0271
77.500000	93.436	152.6508
78.800003	93.361	152.4424
80.000000	93.290	152.3745
81.199997	93.228	152.3859
82.500000	93.190	152.2522
83.800003	93.126	151.8486
85.000000	93.041	151.5634
86.199997	92.969	151.3510
87.500000	92.893	151.0313
88.500000	92.828	150.8174
