* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:52:43
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Wide
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.304	-170.6105
20.600000	96.308	-170.8058
20.900000	96.314	-171.1566
21.200001	96.319	-171.4997
21.400000	96.320	-171.7336
21.799999	96.318	-172.2428
22.000000	96.316	-172.5246
22.400000	96.306	-173.1301
22.700001	96.296	-173.6071
23.000000	96.283	-174.0953
23.299999	96.269	-174.5923
23.600000	96.255	-175.0973
24.000000	96.236	-175.7758
24.299999	96.222	-176.2748
24.700001	96.203	-176.9021
25.000000	96.190	-177.3303
25.400000	96.179	-177.8408
25.799999	96.178	-178.2981
26.200001	96.186	-178.7335
26.500000	96.195	-179.0646
26.900000	96.206	-179.5245
27.200001	96.211	-179.8810
27.600000	96.211	179.6427
28.000000	96.205	179.1860
28.500000	96.188	178.6653
29.000000	96.166	178.2040
29.500000	96.142	177.7773
30.000000	96.120	177.3387
30.400000	96.103	176.9585
30.700001	96.089	176.6583
31.100000	96.066	176.2526
31.500000	96.039	175.8546
32.000000	96.005	175.3746
32.500000	95.975	174.8994
33.000000	95.951	174.4073
33.500000	95.931	173.8961
34.000000	95.915	173.3789
34.500000	95.896	172.8670
35.000000	95.875	172.3754
35.500000	95.851	171.9310
36.000000	95.827	171.5494
36.500000	95.809	171.2144
37.000000	95.797	170.8831
37.500000	95.785	170.5229
38.200001	95.758	169.9863
38.700001	95.731	169.6208
39.500000	95.682	169.0837
40.000000	95.651	168.7569
40.599998	95.612	168.3656
41.200001	95.575	167.9655
41.799999	95.539	167.5340
42.500000	95.492	167.0118
43.099998	95.447	166.6255
43.700001	95.410	166.3137
44.400002	95.381	165.9417
45.000000	95.359	165.5545
45.500000	95.336	165.2219
46.200001	95.305	164.8018
46.799999	95.282	164.4453
47.500000	95.247	163.9670
48.200001	95.186	163.5530
48.700001	95.138	163.4063
49.400002	95.100	163.3353
50.000000	95.095	163.1454
50.799999	95.070	162.5839
51.500000	94.999	162.1771
52.200001	94.934	162.0663
53.000000	94.916	161.8831
53.799999	94.890	161.3030
54.500000	94.816	160.8365
55.200001	94.742	160.7423
56.000000	94.727	160.8093
57.000000	94.767	160.3578
58.000000	94.733	159.5000
59.000000	94.642	159.1065
60.000000	94.608	158.9483
60.799999	94.595	158.4583
61.500000	94.540	157.9006
62.200001	94.449	157.5149
63.000000	94.342	157.3772
64.000000	94.259	157.4899
65.000000	94.251	157.4442
66.000000	94.239	156.8871
67.000000	94.164	156.3755
68.000000	94.104	156.1985
69.000000	94.080	155.9306
70.000000	94.051	155.5376
71.000000	94.014	155.1122
72.000000	93.962	154.7437
73.000000	93.914	154.5265
74.000000	93.877	154.2862
75.000000	93.826	154.0623
76.199997	93.768	153.8832
77.500000	93.701	153.6190
78.800003	93.616	153.3246
80.000000	93.533	153.0812
81.199997	93.464	152.8400
82.500000	93.406	152.5348
83.800003	93.346	152.2401
85.000000	93.291	152.0604
86.199997	93.240	151.8939
87.500000	93.178	151.6469
88.500000	93.124	151.4250
90.000000	93.041	151.1313
91.199997	92.990	150.9584
92.500000	92.963	150.7876
93.800003	92.949	150.4814
95.000000	92.898	150.1203
96.199997	92.804	149.9877
97.500000	92.710	150.0710
98.800003	92.632	150.0764
100.000000	92.564	149.9843
101.500000	92.494	149.7723
103.000000	92.439	149.5175
104.400002	92.390	149.3264
106.000000	92.337	149.2081
107.500000	92.279	149.0898
109.000000	92.219	148.9554
110.599998	92.151	148.6960
112.000000	92.082	148.5437
113.800003	92.009	148.5234
115.000000	91.958	148.5656
117.199997	91.832	148.7550
118.000000	91.777	148.8962
120.599998	91.700	149.2227
122.000000	91.680	148.7542
124.099998	91.596	148.1123
125.000000	91.566	147.9766
126.500000	91.524	147.8665
128.000000	91.486	147.8500
131.500000	91.364	147.7586
132.000000	91.342	147.7527
134.000000	91.261	147.7352
136.000000	91.186	147.7267
138.000000	91.123	147.7291
140.000000	91.066	147.6798
143.000000	90.978	147.6990
145.000000	90.922	147.6928
147.500000	90.837	147.6018
150.000000	90.745	147.5271
152.500000	90.672	147.5201
155.000000	90.602	147.5954
157.500000	90.537	147.6738
160.000000	90.465	147.6532
162.500000	90.403	147.7087
165.000000	90.349	147.7706
167.500000	90.270	147.8647
170.000000	90.179	147.9373
172.500000	90.092	147.9178
175.000000	90.021	147.9130
177.500000	89.970	147.9654
180.000000	89.923	148.0463
182.500000	89.867	148.1964
185.000000	89.796	148.3206
187.500000	89.713	148.4011
190.000000	89.633	148.4941
192.500000	89.561	148.6908
195.000000	89.496	148.9747
197.500000	89.433	149.2015
200.000000	89.371	149.3326
203.000000	89.296	149.4480
206.000000	89.223	149.6113
209.000000	89.150	149.8773
212.000000	89.079	150.3796
214.000000	89.031	150.8237
218.000000	88.959	151.7885
220.000000	88.946	152.2754
224.000000	88.954	153.3616
227.000000	88.995	153.9749
230.000000	89.054	154.1237
233.000000	89.131	154.0856
236.000000	89.210	153.9040
240.000000	89.273	153.5050
243.000000	89.283	153.2172
247.000000	89.251	153.0014
250.000000	89.205	152.8817
254.000000	89.127	152.6190
258.000000	89.060	152.4784
262.000000	89.016	152.5014
265.000000	88.980	152.4977
269.000000	88.929	152.4265
272.000000	88.880	152.3940
276.000000	88.816	152.4523
280.000000	88.777	152.5400
285.000000	88.730	152.5904
290.000000	88.672	152.7449
295.000000	88.602	152.9088
300.000000	88.545	153.0364
304.000000	88.512	153.2144
307.000000	88.485	153.3462
311.000000	88.448	153.4535
