* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:45:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.244	7.3795
20.600000	95.247	7.1758
20.900000	95.251	6.8083
21.200001	95.251	6.4473
21.400000	95.248	6.2060
21.799999	95.237	5.7019
22.000000	95.229	5.4348
22.400000	95.211	4.8806
22.700001	95.197	4.4527
23.000000	95.183	4.0142
23.299999	95.169	3.5653
23.600000	95.155	3.1092
24.000000	95.138	2.5028
24.299999	95.127	2.0634
24.700001	95.119	1.5091
25.000000	95.117	1.1130
25.400000	95.121	0.5943
25.799999	95.129	0.0702
26.200001	95.136	-0.4577
26.500000	95.137	-0.8448
26.900000	95.131	-1.3329
27.200001	95.123	-1.6711
27.600000	95.109	-2.0865
28.000000	95.095	-2.4754
28.500000	95.074	-2.9471
29.000000	95.048	-3.4106
29.500000	95.016	-3.8648
30.000000	94.982	-4.3234
30.400000	94.956	-4.7054
30.700001	94.936	-5.0007
31.100000	94.909	-5.3982
31.500000	94.880	-5.7917
32.000000	94.846	-6.2742
32.500000	94.819	-6.7587
33.000000	94.799	-7.2673
33.500000	94.785	-7.8046
34.000000	94.770	-8.3473
34.500000	94.751	-8.8614
35.000000	94.729	-9.3219
35.500000	94.708	-9.7240
36.000000	94.689	-10.0859
36.500000	94.670	-10.4264
37.000000	94.650	-10.7521
37.500000	94.627	-11.0685
38.200001	94.592	-11.5224
38.700001	94.563	-11.8682
39.500000	94.502	-12.4232
40.000000	94.459	-12.7371
40.599998	94.413	-13.0842
41.200001	94.376	-13.4483
41.799999	94.343	-13.8575
42.500000	94.303	-14.3566
43.099998	94.270	-14.7574
43.700001	94.239	-15.1330
44.400002	94.202	-15.5683
45.000000	94.166	-15.9353
45.500000	94.137	-16.2177
46.200001	94.098	-16.5780
46.799999	94.069	-16.8878
47.500000	94.032	-17.2809
48.200001	93.989	-17.6797
48.700001	93.956	-17.9419
49.400002	93.914	-18.2805
50.000000	93.883	-18.5761
50.799999	93.846	-18.9961
51.500000	93.807	-19.3546
52.200001	93.763	-19.6688
53.000000	93.715	-19.9559
53.799999	93.676	-20.2269
54.500000	93.641	-20.5271
55.200001	93.597	-20.8460
56.000000	93.542	-21.1357
57.000000	93.486	-21.5010
58.000000	93.422	-21.9603
59.000000	93.353	-22.3027
60.000000	93.300	-22.6246
60.799999	93.262	-22.9326
61.500000	93.226	-23.1929
62.200001	93.187	-23.4113
63.000000	93.148	-23.6002
64.000000	93.116	-23.9061
65.000000	93.062	-24.3720
66.000000	92.982	-24.7043
67.000000	92.920	-24.9962
68.000000	92.847	-25.3812
69.000000	92.760	-25.6233
70.000000	92.692	-25.7603
71.000000	92.636	-25.9380
72.000000	92.580	-26.1363
73.000000	92.525	-26.3317
74.000000	92.474	-26.5675
75.000000	92.418	-26.8576
76.199997	92.344	-27.1431
77.500000	92.284	-27.3660
78.800003	92.235	-27.6387
80.000000	92.178	-27.7993
81.199997	92.147	-27.9136
82.500000	92.091	-28.2926
83.800003	91.989	-28.4428
85.000000	91.911	-28.5461
86.199997	91.822	-28.7507
87.500000	91.719	-28.9590
88.500000	91.651	-29.1143
90.000000	91.573	-29.3451
91.199997	91.534	-29.5134
92.500000	91.506	-29.6385
93.800003	91.493	-29.6261
95.000000	91.485	-29.7125
96.199997	91.421	-29.9154
97.500000	91.299	-29.9424
98.800003	91.172	-29.8930
100.000000	91.067	-29.8733
101.500000	90.976	-29.9689
103.000000	90.921	-30.1005
104.400002	90.887	-30.2008
106.000000	90.812	-30.3583
107.500000	90.693	-30.3809
109.000000	90.590	-30.4102
110.599998	90.527	-30.6411
112.000000	90.497	-30.7370
113.800003	90.486	-30.4553
115.000000	90.431	-30.1694
117.199997	90.076	-29.2717
118.000000	89.883	-28.5984
120.599998	89.721	-25.9231
122.000000	89.887	-27.1719
124.099998	89.926	-29.5494
125.000000	89.925	-29.9235
126.500000	89.927	-29.9710
128.000000	89.899	-29.7798
131.500000	89.798	-29.4965
132.000000	89.795	-29.5417
134.000000	89.772	-29.6083
136.000000	89.734	-29.1535
138.000000	89.674	-28.6919
140.000000	89.591	-28.5171
143.000000	89.552	-28.4020
145.000000	89.584	-28.4447
147.500000	89.577	-28.3358
150.000000	89.555	-28.1614
152.500000	89.533	-28.2945
155.000000	89.490	-28.5389
157.500000	89.438	-28.7083
160.000000	89.400	-28.8751
162.500000	89.372	-29.1252
165.000000	89.315	-29.3224
167.500000	89.238	-29.1808
170.000000	89.188	-28.9177
172.500000	89.158	-28.8702
175.000000	89.117	-29.0048
177.500000	89.058	-29.0864
180.000000	89.010	-29.0857
182.500000	88.968	-29.1318
185.000000	88.918	-29.1323
187.500000	88.866	-29.1107
190.000000	88.806	-29.1140
192.500000	88.750	-29.1023
195.000000	88.699	-29.0929
197.500000	88.647	-29.0822
200.000000	88.597	-29.0407
203.000000	88.547	-28.9588
206.000000	88.505	-28.8229
209.000000	88.464	-28.6278
212.000000	88.408	-28.4838
214.000000	88.356	-28.4268
218.000000	88.260	-28.5013
220.000000	88.221	-28.5397
224.000000	88.166	-28.3286
227.000000	88.113	-28.1476
230.000000	88.037	-28.0424
233.000000	87.974	-27.8947
236.000000	87.951	-27.7073
240.000000	87.919	-27.5574
243.000000	87.871	-27.3858
247.000000	87.809	-27.1147
250.000000	87.750	-26.9475
254.000000	87.674	-26.8247
258.000000	87.621	-26.6888
262.000000	87.554	-26.3773
265.000000	87.479	-26.0565
269.000000	87.400	-25.4142
272.000000	87.384	-24.8446
276.000000	87.379	-24.1327
280.000000	87.413	-23.6040
285.000000	87.513	-23.3784
290.000000	87.576	-23.5507
295.000000	87.584	-23.7718
300.000000	87.557	-23.8635
304.000000	87.524	-24.0108
307.000000	87.496	-24.1022
311.000000	87.464	-24.0832
315.000000	87.445	-24.0043
320.000000	87.428	-23.9636
325.000000	87.374	-23.9390
330.000000	87.302	-23.7774
335.000000	87.261	-23.4287
340.000000	87.233	-23.0331
345.000000	87.208	-22.8341
350.000000	87.171	-22.7403
355.000000	87.133	-22.5707
360.000000	87.108	-22.2930
365.000000	87.086	-22.1023
370.000000	87.062	-22.0879
375.000000	87.034	-22.1112
382.000000	86.991	-21.8494
387.000000	86.940	-21.6605
395.000000	86.866	-21.4341
400.000000	86.843	-21.1036
406.000000	86.829	-20.7844
412.000000	86.811	-20.6143
418.000000	86.790	-20.4765
425.000000	86.761	-20.3947
431.000000	86.739	-20.1203
437.000000	86.720	-19.7018
444.000000	86.685	-19.4743
450.000000	86.655	-19.4257
455.000000	86.633	-19.3100
462.000000	86.617	-18.9593
468.000000	86.616	-18.6679
475.000000	86.610	-18.3749
482.000000	86.603	-17.9817
487.000000	86.592	-17.7428
494.000000	86.556	-17.6256
500.000000	86.534	-17.5491
508.000000	86.531	-17.3061
515.000000	86.520	-17.0588
522.000000	86.500	-16.7762
530.000000	86.489	-16.4394
538.000000	86.477	-16.1986
545.000000	86.453	-15.9914
552.000000	86.434	-15.6969
560.000000	86.437	-15.4250
570.000000	86.423	-15.1459
580.000000	86.396	-14.7846
590.000000	86.396	-14.3477
600.000000	86.399	-13.9352
608.000000	86.392	-13.7008
615.000000	86.384	-13.5014
622.000000	86.382	-13.3106
630.000000	86.379	-13.0622
640.000000	86.373	-12.6701
650.000000	86.367	-12.1805
660.000000	86.370	-11.7080
670.000000	86.371	-11.2967
680.000000	86.373	-10.9694
690.000000	86.377	-10.6475
700.000000	86.371	-10.3185
710.000000	86.361	-9.9159
720.000000	86.369	-9.4475
730.000000	86.383	-8.9495
740.000000	86.397	-8.5266
750.000000	86.421	-8.0991
762.000000	86.454	-7.6370
775.000000	86.453	-7.1571
788.000000	86.454	-6.6092
800.000000	86.493	-6.1742
812.000000	86.538	-5.7537
825.000000	86.569	-5.3242
838.000000	86.599	-4.7657
850.000000	86.638	-4.2741
862.000000	86.690	-3.7898
875.000000	86.752	-3.3208
885.000000	86.794	-3.0006
900.000000	86.854	-2.4308
912.000000	86.911	-1.9881
925.000000	86.987	-1.6198
938.000000	87.058	-1.2235
950.000000	87.122	-0.8899
962.000000	87.199	-0.6386
975.000000	87.279	-0.3706
988.000000	87.353	-0.1147
1000.000000	87.423	0.1047
1015.000000	87.533	0.3460
1030.000000	87.642	0.4860
1044.000000	87.730	0.5642
1060.000000	87.836	0.5952
1075.000000	87.931	0.6558
1090.000000	88.016	0.7155
1106.000000	88.120	0.6787
1120.000000	88.225	0.5912
1138.000000	88.356	0.3938
1150.000000	88.432	0.2653
1172.000000	88.572	0.1480
1180.000000	88.623	0.0898
1206.000000	88.774	-0.1536
1220.000000	88.854	-0.3045
1241.000000	88.968	-0.5721
1250.000000	89.015	-0.6964
1265.000000	89.092	-0.9199
1280.000000	89.160	-1.1501
1315.000000	89.310	-1.6838
1320.000000	89.334	-1.7592
1340.000000	89.425	-2.0690
1360.000000	89.498	-2.3392
1380.000000	89.563	-2.6438
1400.000000	89.636	-3.0002
1430.000000	89.764	-3.4430
1450.000000	89.846	-3.7137
1475.000000	89.933	-4.1062
1500.000000	90.023	-4.4420
1525.000000	90.103	-4.7744
1550.000000	90.185	-5.1343
1575.000000	90.271	-5.5312
1600.000000	90.344	-5.8859
1625.000000	90.417	-6.1994
1650.000000	90.491	-6.5863
1675.000000	90.559	-6.9770
1700.000000	90.629	-7.3343
1725.000000	90.696	-7.6668
1750.000000	90.759	-8.0205
1775.000000	90.818	-8.3547
1800.000000	90.872	-8.6824
1825.000000	90.932	-9.0564
1850.000000	90.992	-9.4281
1875.000000	91.045	-9.7440
1900.000000	91.098	-10.0083
1925.000000	91.154	-10.3112
1950.000000	91.210	-10.6503
1975.000000	91.264	-11.0037
2000.000000	91.318	-11.3539
2030.000000	91.384	-11.7605
2060.000000	91.443	-12.1489
2090.000000	91.497	-12.5278
2120.000000	91.555	-12.8916
2140.000000	91.596	-13.1359
2180.000000	91.673	-13.6594
2200.000000	91.706	-13.9233
2240.000000	91.774	-14.4102
2270.000000	91.824	-14.7957
2300.000000	91.872	-15.2301
2330.000000	91.919	-15.6469
2360.000000	91.963	-16.0256
2400.000000	92.019	-16.5271
2430.000000	92.062	-16.9019
2470.000000	92.112	-17.3520
2500.000000	92.145	-17.6560
2540.000000	92.194	-18.0250
2580.000000	92.244	-18.3172
2620.000000	92.306	-18.5304
2650.000000	92.365	-18.6632
2690.000000	92.461	-18.8783
2720.000000	92.547	-19.1078
2760.000000	92.674	-19.5591
2800.000000	92.796	-20.1703
2850.000000	92.923	-21.0646
2900.000000	93.023	-21.9838
2950.000000	93.110	-22.8731
3000.000000	93.192	-23.7508
3040.000000	93.254	-24.4280
3070.000000	93.301	-24.9396
3110.000000	93.364	-25.6336
3150.000000	93.425	-26.3583
3200.000000	93.499	-27.2906
3250.000000	93.572	-28.2370
3300.000000	93.638	-29.2062
3350.000000	93.702	-30.2077
3400.000000	93.766	-31.2092
3450.000000	93.826	-32.2439
3500.000000	93.887	-33.3333
3550.000000	93.946	-34.4640
3600.000000	93.999	-35.6228
3650.000000	94.045	-36.8083
3700.000000	94.079	-38.0157
3750.000000	94.102	-39.2640
3820.000000	94.118	-41.0594
3870.000000	94.109	-42.3649
3950.000000	94.056	-44.5071
4000.000000	93.997	-45.8315
4060.000000	93.905	-47.3573
4120.000000	93.796	-48.7878
4180.000000	93.672	-50.1170
4250.000000	93.507	-51.5516
4310.000000	93.345	-52.6513
4370.000000	93.166	-53.6265
4440.000000	92.947	-54.6342
4500.000000	92.758	-55.3955
4550.000000	92.600	-55.9579
4620.000000	92.378	-56.6968
4680.000000	92.186	-57.2780
4750.000000	91.956	-57.8883
4820.000000	91.712	-58.4448
4870.000000	91.529	-58.7794
4940.000000	91.263	-59.1155
5000.000000	91.032	-59.2684
5080.000000	90.725	-59.2889
5150.000000	90.457	-59.1579
5220.000000	90.188	-58.9063
5300.000000	89.886	-58.4767
5380.000000	89.592	-57.8910
5450.000000	89.345	-57.2128
5520.000000	89.113	-56.3983
5600.000000	88.866	-55.3923
5700.000000	88.581	-53.9625
5800.000000	88.318	-52.3176
5900.000000	88.087	-50.5792
6000.000000	87.889	-48.7516
6080.000000	87.756	-47.1922
6150.000000	87.659	-45.7823
6220.000000	87.579	-44.3578
6300.000000	87.512	-42.7044
6400.000000	87.463	-40.5889
6500.000000	87.455	-38.4866
6600.000000	87.489	-36.4315
6700.000000	87.566	-34.4567
6800.000000	87.691	-32.5972
6900.000000	87.879	-30.8733
7000.000000	88.126	-29.3504
7100.000000	88.422	-28.0708
7200.000000	88.756	-27.1124
7300.000000	89.119	-26.4918
7400.000000	89.520	-26.2364
7500.000000	89.972	-26.4487
7620.000000	90.598	-27.6816
7750.000000	91.305	-30.8706
7880.000000	91.806	-36.5503
8000.000000	91.921	-43.7663
8120.000000	91.588	-51.6819
8250.000000	90.709	-59.1657
8380.000000	89.424	-63.9555
8500.000000	88.047	-65.5098
8620.000000	86.627	-64.4122
8750.000000	85.162	-60.4970
8850.000000	84.168	-55.7451
9000.000000	83.069	-46.4201
9120.000000	82.682	-38.1259
9250.000000	82.802	-29.9034
9380.000000	83.304	-24.1363
9500.000000	83.830	-21.7257
9620.000000	84.189	-21.6521
9750.000000	84.273	-22.8441
9880.000000	84.055	-23.8704
10000.000000	83.672	-23.9258
10150.000000	83.089	-22.6037
10300.000000	82.497	-19.9327
10440.000000	82.001	-16.4510
10600.000000	81.535	-11.6685
10750.000000	81.196	-6.7196
10900.000000	80.962	-1.4372
11060.000000	80.827	4.4288
11200.000000	80.798	9.6617
11380.000000	80.889	16.4839
11500.000000	81.041	21.0017
11720.000000	81.507	29.1427
11800.000000	81.739	32.0400
12060.000000	82.756	40.9262
12200.000000	83.479	45.1990
12410.000000	84.839	50.4957
12500.000000	85.546	52.1290
12650.000000	86.905	53.5345
12800.000000	88.440	52.4735
13150.000000	91.465	33.9849
13200.000000	91.659	29.4277
13400.000000	91.522	10.1174
13600.000000	90.100	-4.6094
13800.000000	88.055	-11.5369
14000.000000	86.058	-12.6940
14300.000000	83.743	-9.1962
14500.000000	82.655	-5.5172
14750.000000	81.696	-0.6969
15000.000000	81.081	3.6151
15250.000000	80.714	6.7380
15500.000000	80.508	8.1613
15750.000000	80.318	7.7109
16000.000000	79.959	5.7498
16250.000000	79.312	3.2044
16500.000000	78.368	1.2162
16750.000000	77.220	0.5287
17000.000000	75.984	1.1696
17250.000000	74.749	2.8758
17500.000000	73.586	5.3259
17750.000000	72.498	8.1478
18000.000000	71.453	10.9320
18250.000000	70.431	13.4529
18500.000000	69.400	15.3484
18750.000000	68.293	16.3676
19000.000000	67.030	16.6021
19250.000000	65.498	16.2719
19500.000000	63.644	15.3443
19750.000000	61.605	13.7572
20000.000000	60.151	12.5259
