* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:47:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.034	-170.6189
20.600000	96.038	-170.8329
20.900000	96.044	-171.2084
21.200001	96.047	-171.5510
21.400000	96.047	-171.7726
21.799999	96.047	-172.2459
22.000000	96.045	-172.5119
22.400000	96.036	-173.0990
22.700001	96.024	-173.5645
23.000000	96.006	-174.0249
23.299999	95.986	-174.4635
23.600000	95.968	-174.8793
24.000000	95.954	-175.4150
24.299999	95.951	-175.8260
24.700001	95.955	-176.4113
25.000000	95.959	-176.8813
25.400000	95.960	-177.5282
25.799999	95.954	-178.1481
26.200001	95.943	-178.6942
26.500000	95.936	-179.0478
26.900000	95.929	-179.4639
27.200001	95.928	-179.7604
27.600000	95.930	179.8325
28.000000	95.932	179.3961
28.500000	95.925	178.8306
29.000000	95.905	178.2962
29.500000	95.878	177.8158
30.000000	95.852	177.3589
30.400000	95.832	176.9873
30.700001	95.817	176.7059
31.100000	95.795	176.3392
31.500000	95.773	175.9873
32.000000	95.749	175.5500
32.500000	95.731	175.0750
33.000000	95.714	174.5443
33.500000	95.693	173.9924
34.000000	95.670	173.4747
34.500000	95.646	173.0117
35.000000	95.626	172.5881
35.500000	95.612	172.1797
36.000000	95.599	171.7694
36.500000	95.585	171.3521
37.000000	95.568	170.9371
37.500000	95.544	170.5428
38.200001	95.507	170.0522
38.700001	95.484	169.7283
39.500000	95.450	169.1630
40.000000	95.422	168.7748
40.599998	95.381	168.3250
41.200001	95.337	167.9275
41.799999	95.299	167.5635
42.500000	95.264	167.1403
43.099998	95.240	166.7594
43.700001	95.217	166.3440
44.400002	95.182	165.8166
45.000000	95.142	165.3777
45.500000	95.106	165.0615
46.200001	95.062	164.6929
46.799999	95.032	164.3999
47.500000	95.003	164.0305
48.200001	94.970	163.6345
48.700001	94.943	163.3636
49.400002	94.907	163.0226
50.000000	94.882	162.7363
50.799999	94.853	162.3090
51.500000	94.820	161.9124
52.200001	94.779	161.5333
53.000000	94.726	161.1395
53.799999	94.674	160.7995
54.500000	94.634	160.5207
55.200001	94.600	160.2201
56.000000	94.561	159.8543
57.000000	94.508	159.4113
58.000000	94.456	158.9744
59.000000	94.401	158.5588
60.000000	94.341	158.1680
60.799999	94.293	157.8627
61.500000	94.250	157.6146
62.200001	94.208	157.3884
63.000000	94.164	157.1335
64.000000	94.111	156.7746
65.000000	94.045	156.4343
66.000000	93.981	156.1952
67.000000	93.933	155.9470
68.000000	93.884	155.6042
69.000000	93.818	155.2306
70.000000	93.740	154.9532
71.000000	93.676	154.7700
72.000000	93.627	154.5021
73.000000	93.568	154.1920
74.000000	93.514	153.9607
75.000000	93.477	153.6740
