* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 8:49:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.691	158.8092
20.600000	93.685	158.8510
20.900000	93.669	158.9036
21.200001	93.645	158.8945
21.400000	93.623	158.8579
21.799999	93.562	158.7471
22.000000	93.525	158.6874
22.400000	93.445	158.5699
22.700001	93.384	158.4637
23.000000	93.325	158.3143
23.299999	93.268	158.1093
23.600000	93.211	157.8548
24.000000	93.136	157.4651
24.299999	93.084	157.1565
24.700001	93.022	156.7319
25.000000	92.982	156.3949
25.400000	92.936	155.9069
25.799999	92.896	155.3794
26.200001	92.856	154.8469
26.500000	92.825	154.4736
26.900000	92.785	154.0368
27.200001	92.757	153.7587
27.600000	92.725	153.4381
28.000000	92.699	153.1438
28.500000	92.670	152.7754
29.000000	92.632	152.4048
29.500000	92.580	152.0695
30.000000	92.518	151.8093
30.400000	92.469	151.6515
30.700001	92.434	151.5458
31.100000	92.389	151.3941
31.500000	92.343	151.2136
32.000000	92.282	150.9520
32.500000	92.217	150.6735
33.000000	92.151	150.3853
33.500000	92.089	150.0784
34.000000	92.030	149.7577
34.500000	91.972	149.4418
35.000000	91.916	149.1360
35.500000	91.864	148.8298
36.000000	91.813	148.5206
36.500000	91.762	148.2289
37.000000	91.711	147.9781
37.500000	91.666	147.7526
38.200001	91.606	147.3751
38.700001	91.552	147.0355
39.500000	91.430	146.5728
40.000000	91.348	146.4424
40.599998	91.268	146.3954
41.200001	91.213	146.3025
41.799999	91.166	146.0797
42.500000	91.104	145.7223
43.099998	91.046	145.4291
43.700001	90.989	145.1693
44.400002	90.922	144.8852
45.000000	90.864	144.6752
45.500000	90.818	144.5414
46.200001	90.767	144.3507
46.799999	90.725	144.0892
47.500000	90.651	143.7319
48.200001	90.558	143.5502
48.700001	90.504	143.5396
49.400002	90.460	143.4670
50.000000	90.425	143.2284
50.799999	90.353	142.8468
51.500000	90.284	142.6363
52.200001	90.230	142.4581
53.000000	90.174	142.1801
53.799999	90.106	141.9079
54.500000	90.044	141.7323
55.200001	89.987	141.5798
56.000000	89.919	141.3856
57.000000	89.820	141.1586
58.000000	89.720	141.0126
59.000000	89.628	140.8068
60.000000	89.517	140.5476
60.799999	89.421	140.4525
61.500000	89.351	140.4520
62.200001	89.298	140.4381
63.000000	89.245	140.3248
64.000000	89.165	140.1296
65.000000	89.087	140.0062
66.000000	89.018	139.7968
67.000000	88.930	139.5439
68.000000	88.834	139.4388
69.000000	88.753	139.3921
70.000000	88.681	139.3287
71.000000	88.616	139.2232
72.000000	88.544	139.0682
73.000000	88.462	138.9424
74.000000	88.379	138.8794
75.000000	88.298	138.8523
76.199997	88.207	138.8273
77.500000	88.108	138.7694
78.800003	88.014	138.7515
80.000000	87.936	138.6689
81.199997	87.849	138.5414
82.500000	87.752	138.4044
83.800003	87.653	138.3099
85.000000	87.572	138.2872
86.199997	87.501	138.2346
87.500000	87.415	138.1965
88.500000	87.346	138.2477
90.000000	87.254	138.3548
91.199997	87.185	138.3913
92.500000	87.117	138.3865
93.800003	87.051	138.2549
95.000000	86.972	138.1057
