* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 8:51:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.254	160.3856
20.600000	93.235	160.3301
20.900000	93.198	160.2298
21.200001	93.162	160.1224
21.400000	93.140	160.0290
21.799999	93.092	159.7695
22.000000	93.064	159.6023
22.400000	93.002	159.2167
22.700001	92.950	158.9052
23.000000	92.897	158.5884
23.299999	92.846	158.2724
23.600000	92.800	157.9601
24.000000	92.750	157.5483
24.299999	92.722	157.2334
24.700001	92.697	156.7856
25.000000	92.682	156.4215
25.400000	92.659	155.9156
25.799999	92.629	155.4463
26.200001	92.597	155.0775
26.500000	92.577	154.8709
26.900000	92.558	154.6414
27.200001	92.547	154.4541
27.600000	92.524	154.1544
28.000000	92.477	153.8652
28.500000	92.388	153.7352
29.000000	92.314	153.9636
29.500000	92.303	154.2587
30.000000	92.341	154.1210
30.400000	92.358	153.5730
30.700001	92.338	152.9946
31.100000	92.263	152.2287
31.500000	92.151	151.6601
32.000000	92.010	151.2975
32.500000	91.909	151.1030
33.000000	91.843	150.8043
33.500000	91.786	150.3680
34.000000	91.725	149.9252
34.500000	91.670	149.5454
35.000000	91.624	149.1834
35.500000	91.581	148.8048
36.000000	91.533	148.4565
36.500000	91.484	148.1886
37.000000	91.441	147.9816
37.500000	91.402	147.7798
38.200001	91.337	147.4805
38.700001	91.282	147.2906
39.500000	91.196	147.0189
40.000000	91.144	146.8053
40.599998	91.078	146.4825
41.200001	91.001	146.1387
41.799999	90.920	145.8221
42.500000	90.831	145.4930
43.099998	90.765	145.2319
43.700001	90.705	144.9772
44.400002	90.641	144.6668
45.000000	90.584	144.3987
45.500000	90.535	144.2036
46.200001	90.469	143.9839
46.799999	90.419	143.7975
47.500000	90.358	143.5299
48.200001	90.286	143.2565
48.700001	90.232	143.0957
49.400002	90.158	142.9061
50.000000	90.098	142.7405
50.799999	90.019	142.5161
51.500000	89.954	142.3331
52.200001	89.895	142.1392
53.000000	89.830	141.8918
53.799999	89.761	141.6443
54.500000	89.699	141.4340
55.200001	89.633	141.2404
56.000000	89.556	141.0666
