* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 9:31:05
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.746	159.6098
20.600000	93.733	159.5513
20.900000	93.705	159.4312
21.200001	93.677	159.2708
21.400000	93.657	159.1338
21.799999	93.606	158.7980
22.000000	93.576	158.6109
22.400000	93.507	158.2335
22.700001	93.453	157.9613
23.000000	93.401	157.6935
23.299999	93.353	157.4155
23.600000	93.311	157.1180
24.000000	93.262	156.6883
24.299999	93.228	156.3513
24.700001	93.186	155.9033
25.000000	93.155	155.5811
25.400000	93.117	155.1770
25.799999	93.084	154.7978
26.200001	93.054	154.4346
26.500000	93.033	154.1719
26.900000	93.002	153.8401
27.200001	92.976	153.6108
27.600000	92.937	153.3345
28.000000	92.898	153.0854
28.500000	92.846	152.7905
29.000000	92.790	152.4943
29.500000	92.725	152.2056
30.000000	92.659	151.9436
30.400000	92.611	151.7409
30.700001	92.578	151.5736
31.100000	92.536	151.3064
31.500000	92.492	150.9897
32.000000	92.428	150.5754
32.500000	92.358	150.2116
33.000000	92.297	149.9045
33.500000	92.249	149.5941
34.000000	92.207	149.2411
34.500000	92.159	148.8805
35.000000	92.103	148.5712
35.500000	92.049	148.3278
36.000000	92.001	148.1085
36.500000	91.954	147.8767
37.000000	91.901	147.6485
37.500000	91.845	147.4602
38.200001	91.770	147.2283
38.700001	91.721	147.0003
39.500000	91.626	146.5051
40.000000	91.553	146.2219
40.599998	91.466	145.9780
41.200001	91.393	145.7739
41.799999	91.332	145.5376
42.500000	91.265	145.2503
43.099998	91.217	145.0350
43.700001	91.177	144.8036
44.400002	91.127	144.4795
45.000000	91.071	144.2253
45.500000	91.022	144.0725
46.200001	90.958	143.8969
46.799999	90.902	143.7190
47.500000	90.825	143.5126
48.200001	90.745	143.3675
48.700001	90.692	143.2764
49.400002	90.622	143.1055
50.000000	90.560	142.9246
50.799999	90.476	142.6832
51.500000	90.405	142.4664
52.200001	90.336	142.2459
53.000000	90.260	142.0326
53.799999	90.193	141.8364
54.500000	90.136	141.6455
55.200001	90.078	141.4674
56.000000	90.013	141.2800
57.000000	89.926	141.0242
58.000000	89.830	140.8472
59.000000	89.743	140.7039
60.000000	89.653	140.5217
60.799999	89.580	140.3981
61.500000	89.521	140.2733
62.200001	89.461	140.1304
63.000000	89.388	140.0002
64.000000	89.303	139.8681
65.000000	89.218	139.7130
66.000000	89.131	139.6113
67.000000	89.055	139.5403
68.000000	88.982	139.4230
69.000000	88.901	139.3064
70.000000	88.821	139.2209
71.000000	88.743	139.1231
72.000000	88.661	139.0177
73.000000	88.579	138.9385
74.000000	88.500	138.8561
75.000000	88.420	138.7633
76.199997	88.324	138.6846
77.500000	88.228	138.6336
78.800003	88.149	138.5525
80.000000	88.074	138.3927
81.199997	87.983	138.2733
82.500000	87.886	138.2668
83.800003	87.800	138.2915
85.000000	87.723	138.3032
86.199997	87.646	138.2973
87.500000	87.560	138.2929
88.500000	87.494	138.3027
90.000000	87.400	138.2886
91.199997	87.325	138.2578
92.500000	87.244	138.2044
93.800003	87.155	138.1793
95.000000	87.076	138.2320
96.199997	87.008	138.2935
97.500000	86.943	138.3223
98.800003	86.880	138.3027
100.000000	86.819	138.2702
101.500000	86.738	138.2542
103.000000	86.651	138.2671
104.400002	86.570	138.3221
106.000000	86.480	138.4048
107.500000	86.400	138.4702
109.000000	86.324	138.5388
110.599998	86.247	138.6049
112.000000	86.178	138.6503
113.800003	86.083	138.7122
115.000000	86.019	138.7747
117.199997	85.908	138.8744
118.000000	85.868	138.8948
120.599998	85.745	139.0373
122.000000	85.692	139.1233
124.099998	85.615	139.2371
125.000000	85.580	139.2906
126.500000	85.520	139.3824
128.000000	85.457	139.4801
131.500000	85.315	139.6856
132.000000	85.295	139.7075
134.000000	85.211	139.8005
136.000000	85.126	139.9536
138.000000	85.046	140.1219
140.000000	84.966	140.2783
143.000000	84.854	140.5012
145.000000	84.780	140.6510
147.500000	84.692	140.8606
150.000000	84.604	141.0817
152.500000	84.514	141.2743
155.000000	84.424	141.4528
157.500000	84.346	141.6374
160.000000	84.274	141.8593
162.500000	84.200	142.1443
165.000000	84.125	142.4314
167.500000	84.047	142.6663
170.000000	83.976	142.8799
172.500000	83.908	143.0876
175.000000	83.834	143.3327
177.500000	83.765	143.6274
180.000000	83.710	143.8761
182.500000	83.654	144.0715
185.000000	83.595	144.2941
187.500000	83.531	144.5550
190.000000	83.455	144.9046
192.500000	83.375	145.3671
195.000000	83.317	145.7464
197.500000	83.270	145.8952
200.000000	83.229	146.0453
203.000000	83.192	146.3901
206.000000	83.157	146.8316
209.000000	83.122	147.2226
212.000000	83.102	147.4581
214.000000	83.092	147.5090
218.000000	83.059	147.5185
220.000000	83.036	147.5248
224.000000	82.985	147.5903
227.000000	82.936	147.7112
230.000000	82.874	147.9246
233.000000	82.820	148.1296
236.000000	82.773	148.2465
240.000000	82.711	148.4531
243.000000	82.677	148.6735
247.000000	82.618	148.9272
250.000000	82.554	149.1155
254.000000	82.482	149.3792
258.000000	82.415	149.6331
262.000000	82.347	149.8794
265.000000	82.306	150.0822
269.000000	82.260	150.3648
272.000000	82.225	150.5741
276.000000	82.173	150.8298
280.000000	82.115	151.0956
285.000000	82.052	151.4056
290.000000	82.000	151.6992
295.000000	81.953	151.9925
300.000000	81.906	152.3064
304.000000	81.863	152.5450
307.000000	81.834	152.7232
311.000000	81.797	152.9740
315.000000	81.762	153.2321
320.000000	81.714	153.5774
325.000000	81.665	153.9409
330.000000	81.631	154.2960
335.000000	81.593	154.5933
340.000000	81.547	154.8289
345.000000	81.504	155.1012
350.000000	81.465	155.3978
355.000000	81.426	155.6852
360.000000	81.383	156.0157
365.000000	81.337	156.4561
370.000000	81.302	156.9185
375.000000	81.287	157.3482
382.000000	81.269	157.8087
387.000000	81.249	158.0540
395.000000	81.219	158.3063
400.000000	81.196	158.3701
406.000000	81.163	158.4853
412.000000	81.127	158.6927
418.000000	81.085	158.8914
425.000000	81.034	159.0973
431.000000	80.999	159.3376
437.000000	80.970	159.6096
444.000000	80.925	159.8924
450.000000	80.884	160.1306
455.000000	80.852	160.3400
462.000000	80.806	160.6119
468.000000	80.776	160.8477
475.000000	80.747	161.1311
482.000000	80.708	161.3812
487.000000	80.677	161.5475
494.000000	80.636	161.7757
500.000000	80.602	161.9914
508.000000	80.566	162.3400
515.000000	80.533	162.6425
522.000000	80.499	162.9165
530.000000	80.463	163.2339
538.000000	80.426	163.5849
545.000000	80.396	163.8889
552.000000	80.368	164.1284
560.000000	80.329	164.4022
570.000000	80.280	164.8234
580.000000	80.241	165.2516
590.000000	80.197	165.6090
600.000000	80.154	166.0132
608.000000	80.115	166.4291
615.000000	80.082	166.7626
622.000000	80.052	167.0046
