* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 9:35:06
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.274	159.9754
20.600000	93.260	159.8660
20.900000	93.229	159.6705
21.200001	93.195	159.4823
21.400000	93.171	159.3553
21.799999	93.120	159.0810
22.000000	93.093	158.9288
22.400000	93.036	158.5968
22.700001	92.992	158.3256
23.000000	92.949	158.0354
23.299999	92.907	157.7281
23.600000	92.867	157.4072
24.000000	92.818	156.9651
24.299999	92.786	156.6291
24.700001	92.745	156.1828
25.000000	92.717	155.8557
25.400000	92.680	155.4372
25.799999	92.647	155.0434
26.200001	92.617	154.6710
26.500000	92.596	154.4014
26.900000	92.567	154.0524
27.200001	92.542	153.8007
27.600000	92.505	153.4863
28.000000	92.464	153.2052
28.500000	92.411	152.8970
29.000000	92.360	152.5964
29.500000	92.306	152.2555
30.000000	92.245	151.8697
30.400000	92.189	151.5602
30.700001	92.144	151.3464
31.100000	92.083	151.0961
31.500000	92.026	150.8758
32.000000	91.964	150.6053
32.500000	91.909	150.3002
33.000000	91.857	149.9521
33.500000	91.806	149.5909
34.000000	91.755	149.2528
34.500000	91.708	148.9418
35.000000	91.661	148.6378
35.500000	91.613	148.3340
36.000000	91.563	148.0480
36.500000	91.511	147.7956
37.000000	91.461	147.5723
37.500000	91.411	147.3593
38.200001	91.340	147.0461
38.700001	91.285	146.8048
39.500000	91.190	146.4047
40.000000	91.129	146.1596
40.599998	91.055	145.8810
41.200001	90.983	145.6162
41.799999	90.916	145.3479
42.500000	90.841	145.0173
43.099998	90.778	144.7424
43.700001	90.717	144.5052
44.400002	90.651	144.2572
45.000000	90.601	144.0150
45.500000	90.558	143.7750
46.200001	90.486	143.4303
46.799999	90.415	143.1997
47.500000	90.337	143.0233
