* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 9:25:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Stock
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.605	158.4445
20.600000	93.674	158.4660
20.900000	93.798	158.3275
21.200001	93.867	157.7462
21.400000	93.868	157.2031
21.799999	93.756	156.1328
22.000000	93.654	155.8067
22.400000	93.400	155.8904
22.700001	93.229	156.6128
23.000000	93.136	157.6792
23.299999	93.138	158.6935
23.600000	93.211	159.3283
24.000000	93.344	159.2808
24.299999	93.402	158.6407
24.700001	93.367	157.4255
25.000000	93.257	156.6675
25.400000	93.052	156.2836
25.799999	92.885	156.6250
26.200001	92.834	157.1481
26.500000	92.861	157.2190
26.900000	92.907	156.5917
27.200001	92.891	155.6938
27.600000	92.759	154.4218
28.000000	92.537	153.7198
28.500000	92.288	153.9472
29.000000	92.220	154.4722
29.500000	92.269	154.1337
30.000000	92.255	152.9469
30.400000	92.162	152.0667
30.700001	92.076	151.7001
31.100000	92.002	151.4965
31.500000	91.987	151.2499
32.000000	91.983	150.5183
32.500000	91.913	149.7244
33.000000	91.827	149.5520
33.500000	91.850	149.7624
34.000000	91.973	149.3487
34.500000	92.019	148.0144
35.000000	91.876	146.7715
35.500000	91.641	146.8784
36.000000	91.549	148.1926
36.500000	91.692	149.2649
37.000000	91.904	148.9114
37.500000	91.979	147.4216
38.200001	91.784	145.6051
38.700001	91.565	145.3848
39.500000	91.370	146.0316
40.000000	91.349	146.2140
40.599998	91.344	145.8665
41.200001	91.294	145.0874
41.799999	91.176	144.2675
42.500000	90.989	143.6942
43.099998	90.835	143.6305
43.700001	90.724	143.8827
44.400002	90.686	144.3282
45.000000	90.739	144.3856
45.500000	90.792	143.9217
46.200001	90.777	142.7302
46.799999	90.653	141.8983
47.500000	90.470	141.6770
48.200001	90.333	141.9978
48.700001	90.271	142.3681
49.400002	90.246	142.9462
50.000000	90.281	143.1976
50.799999	90.318	142.8210
51.500000	90.262	142.3211
52.200001	90.176	142.2189
53.000000	90.129	142.2177
53.799999	90.083	141.9007
54.500000	90.012	141.6178
55.200001	89.940	141.3737
56.000000	89.835	141.0206
57.000000	89.657	141.0274
58.000000	89.572	141.3696
59.000000	89.529	140.9992
60.000000	89.397	140.3763
60.799999	89.270	140.0912
61.500000	89.174	139.9095
62.200001	89.086	139.7005
63.000000	88.982	139.5463
64.000000	88.897	139.7625
65.000000	88.935	139.7827
66.000000	88.952	139.0266
67.000000	88.846	138.3912
68.000000	88.696	138.5285
69.000000	88.611	139.1426
70.000000	88.589	139.3415
71.000000	88.509	139.1246
72.000000	88.399	139.0231
73.000000	88.295	138.8617
74.000000	88.191	138.8095
75.000000	88.126	138.7676
76.199997	88.041	138.5966
77.500000	87.940	138.6173
78.800003	87.818	138.7790
80.000000	87.732	139.1250
81.199997	87.661	139.0339
82.500000	87.526	138.8114
83.800003	87.418	138.9345
85.000000	87.405	138.9615
86.199997	87.406	138.5775
87.500000	87.358	138.1762
88.500000	87.315	138.0287
90.000000	87.218	137.6949
91.199997	87.085	137.7373
92.500000	86.986	138.0696
93.800003	86.922	138.1311
