* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 29 오후 9:27:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Stock
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.532	158.3618
20.600000	93.509	157.9853
20.900000	93.439	157.4641
21.200001	93.322	157.4152
21.400000	93.247	157.6982
21.799999	93.167	158.7292
22.000000	93.181	159.2578
22.400000	93.305	159.7980
22.700001	93.417	159.5012
23.000000	93.480	158.6549
23.299999	93.464	157.5849
23.600000	93.377	156.6092
24.000000	93.195	155.8199
24.299999	93.062	155.6529
24.700001	92.938	155.7494
25.000000	92.888	155.8192
25.400000	92.854	155.7184
25.799999	92.824	155.4115
26.200001	92.789	154.9993
26.500000	92.758	154.6421
26.900000	92.704	154.0972
27.200001	92.645	153.6783
27.600000	92.535	153.2545
28.000000	92.412	153.1890
28.500000	92.318	153.6161
29.000000	92.349	154.0065
29.500000	92.451	153.6512
30.000000	92.499	152.4724
30.400000	92.446	151.3532
30.700001	92.355	150.6720
31.100000	92.200	150.1975
31.500000	92.052	150.2446
32.000000	91.946	150.7551
32.500000	91.943	151.2193
33.000000	91.987	151.1945
33.500000	92.005	150.7088
34.000000	91.960	150.1650
34.500000	91.884	149.8994
35.000000	91.826	149.8410
35.500000	91.798	149.6508
36.000000	91.757	149.1636
36.500000	91.664	148.5677
37.000000	91.528	148.1819
37.500000	91.389	148.1081
38.200001	91.251	148.1806
38.700001	91.185	148.0634
39.500000	91.065	147.5719
40.000000	90.977	147.2973
40.599998	90.891	147.0571
41.200001	90.830	146.6896
41.799999	90.749	146.1808
42.500000	90.619	145.9684
43.099998	90.573	146.3026
43.700001	90.640	146.4021
44.400002	90.725	145.5092
45.000000	90.676	144.3898
45.500000	90.566	143.8627
46.200001	90.434	143.8741
46.799999	90.399	144.0376
47.500000	90.398	143.8759
48.200001	90.373	143.4137
48.700001	90.326	143.0702
49.400002	90.230	142.7948
50.000000	90.150	142.8285
50.799999	90.092	142.9972
51.500000	90.069	142.8993
52.200001	90.019	142.5630
53.000000	89.908	142.1991
53.799999	89.761	142.0922
54.500000	89.637	142.3141
55.200001	89.572	142.7184
56.000000	89.584	142.8078
57.000000	89.579	142.0226
58.000000	89.516	141.1364
59.000000	89.448	140.0103
60.000000	89.283	138.9817
60.799999	89.149	138.7005
61.500000	89.064	138.5150
62.200001	88.968	138.3393
63.000000	88.851	138.4462
64.000000	88.766	138.8423
65.000000	88.717	139.0201
66.000000	88.666	139.1737
67.000000	88.648	139.2162
68.000000	88.607	138.9054
69.000000	88.514	138.6835
70.000000	88.419	138.6077
71.000000	88.318	138.6415
72.000000	88.261	138.7735
73.000000	88.236	138.4260
74.000000	88.141	137.7062
75.000000	87.973	137.3279
76.199997	87.797	137.5959
77.500000	87.718	138.0345
78.800003	87.667	138.1470
80.000000	87.615	138.2061
81.199997	87.554	138.0346
82.500000	87.445	137.7244
83.800003	87.326	137.3799
85.000000	87.198	137.0650
86.199997	87.080	137.1007
87.500000	87.035	137.3898
88.500000	87.044	137.4316
90.000000	87.000	137.0319
91.199997	86.856	136.9862
92.500000	86.720	137.6027
93.800003	86.679	137.8355
95.000000	86.605	137.4604
96.199997	86.493	137.2192
97.500000	86.409	137.1756
98.800003	86.360	137.1033
100.000000	86.310	137.0268
101.500000	86.227	137.0286
103.000000	86.131	137.0610
104.400002	86.037	136.9633
106.000000	85.906	136.8560
107.500000	85.818	137.0979
109.000000	85.798	137.2342
110.599998	85.753	137.1228
112.000000	85.670	137.1396
113.800003	85.557	137.3909
115.000000	85.494	137.5835
117.199997	85.396	138.0326
118.000000	85.374	138.2191
120.599998	85.320	138.2830
122.000000	85.230	138.0789
124.099998	85.081	138.0577
125.000000	85.033	138.0889
126.500000	84.968	138.1432
128.000000	84.912	138.2073
131.500000	84.757	138.4003
132.000000	84.732	138.4291
134.000000	84.641	138.5394
136.000000	84.566	138.6471
138.000000	84.495	138.7791
140.000000	84.417	138.9442
143.000000	84.297	139.1980
145.000000	84.225	139.3065
147.500000	84.130	139.4469
150.000000	84.030	139.6842
152.500000	83.938	139.9638
155.000000	83.857	140.1867
157.500000	83.779	140.3594
160.000000	83.702	140.5354
162.500000	83.621	140.7190
165.000000	83.535	140.9535
167.500000	83.454	141.1828
170.000000	83.377	141.3939
172.500000	83.308	141.6241
175.000000	83.238	141.8098
177.500000	83.156	142.0319
180.000000	83.079	142.3021
182.500000	83.012	142.5380
185.000000	82.944	142.7203
187.500000	82.875	142.9048
190.000000	82.811	143.1012
192.500000	82.751	143.2982
195.000000	82.690	143.5154
197.500000	82.628	143.7630
200.000000	82.568	144.0301
203.000000	82.504	144.3181
206.000000	82.444	144.5433
209.000000	82.380	144.7513
212.000000	82.314	145.0457
214.000000	82.273	145.2741
218.000000	82.195	145.6990
220.000000	82.156	145.8981
224.000000	82.080	146.2715
227.000000	82.026	146.5133
230.000000	81.977	146.7458
233.000000	81.932	146.9590
236.000000	81.884	147.1445
240.000000	81.805	147.4804
243.000000	81.750	147.8203
247.000000	81.694	148.1786
250.000000	81.643	148.4118
254.000000	81.570	148.8173
258.000000	81.507	149.2160
262.000000	81.443	149.5329
265.000000	81.393	149.7852
269.000000	81.335	150.1631
272.000000	81.294	150.4435
276.000000	81.246	150.7842
280.000000	81.200	151.0589
285.000000	81.134	151.4721
290.000000	81.081	151.9487
295.000000	81.029	152.2970
300.000000	80.975	152.5890
304.000000	80.928	152.9471
307.000000	80.895	153.2701
311.000000	80.853	153.6566
315.000000	80.810	153.9779
320.000000	80.767	154.3649
325.000000	80.728	154.7380
330.000000	80.688	155.0945
335.000000	80.649	155.4106
340.000000	80.609	155.7845
345.000000	80.566	156.1730
350.000000	80.525	156.5208
355.000000	80.489	156.8829
360.000000	80.449	157.2903
365.000000	80.412	157.7059
370.000000	80.382	158.1002
375.000000	80.355	158.4949
382.000000	80.307	158.9915
387.000000	80.277	159.3095
395.000000	80.230	159.8070
400.000000	80.203	160.1063
406.000000	80.174	160.4328
412.000000	80.142	160.7580
418.000000	80.111	161.1128
425.000000	80.070	161.5294
431.000000	80.040	161.8790
437.000000	80.013	162.2138
444.000000	79.985	162.6015
450.000000	79.958	162.9104
455.000000	79.934	163.1605
462.000000	79.902	163.5281
468.000000	79.873	163.8785
475.000000	79.838	164.2937
482.000000	79.807	164.6776
487.000000	79.788	164.9046
494.000000	79.761	165.2045
500.000000	79.740	165.4969
508.000000	79.721	165.9130
515.000000	79.696	166.2313
522.000000	79.667	166.5504
530.000000	79.637	166.9659
538.000000	79.612	167.4138
545.000000	79.598	167.7597
552.000000	79.587	168.0726
560.000000	79.568	168.4743
570.000000	79.535	169.0605
580.000000	79.501	169.5424
590.000000	79.475	169.9888
600.000000	79.445	170.4117
608.000000	79.421	170.7146
615.000000	79.404	171.0077
622.000000	79.389	171.3638
630.000000	79.375	171.7861
640.000000	79.360	172.2689
650.000000	79.341	172.7225
660.000000	79.316	173.1356
670.000000	79.296	173.5991
680.000000	79.283	174.1009
690.000000	79.257	174.5648
700.000000	79.232	175.0051
710.000000	79.220	175.4307
720.000000	79.207	175.8423
730.000000	79.187	176.2407
740.000000	79.172	176.6440
750.000000	79.158	177.0798
762.000000	79.141	177.5934
775.000000	79.131	178.1410
788.000000	79.117	178.7160
800.000000	79.098	179.2329
812.000000	79.079	179.7404
825.000000	79.067	-179.6587
838.000000	79.054	-179.0380
850.000000	79.046	-178.4745
862.000000	79.043	-177.9601
875.000000	79.043	-177.4549
885.000000	79.048	-177.0962
900.000000	79.060	-176.5184
912.000000	79.068	-176.0062
925.000000	79.077	-175.4952
938.000000	79.085	-175.0327
950.000000	79.095	-174.6013
962.000000	79.107	-174.1827
975.000000	79.126	-173.7666
988.000000	79.143	-173.3707
1000.000000	79.157	-173.0421
1015.000000	79.182	-172.6139
1030.000000	79.207	-172.1987
1044.000000	79.226	-171.8422
1060.000000	79.244	-171.4755
1075.000000	79.259	-171.1944
1090.000000	79.277	-170.9243
1106.000000	79.305	-170.6395
1120.000000	79.331	-170.4147
1138.000000	79.345	-170.1454
1150.000000	79.350	-169.9628
1172.000000	79.356	-169.6577
1180.000000	79.357	-169.5520
1206.000000	79.357	-169.2026
1220.000000	79.356	-169.0332
1241.000000	79.343	-168.7097
1250.000000	79.332	-168.5252
1265.000000	79.309	-168.2076
1280.000000	79.280	-167.9152
1315.000000	79.205	-167.0940
1320.000000	79.193	-166.9486
1340.000000	79.139	-166.3055
1360.000000	79.081	-165.6340
1380.000000	79.018	-164.8769
1400.000000	78.953	-163.9679
1430.000000	78.869	-162.3307
1450.000000	78.823	-161.0589
1475.000000	78.773	-159.2907
1500.000000	78.758	-157.2615
1525.000000	78.785	-155.0185
1550.000000	78.850	-152.6468
1575.000000	78.964	-150.1739
1600.000000	79.128	-147.6431
1625.000000	79.372	-145.0986
1650.000000	79.691	-142.6448
1675.000000	80.078	-140.4600
1700.000000	80.514	-138.7003
1725.000000	80.991	-137.3546
1750.000000	81.497	-136.5308
1775.000000	82.005	-136.2851
1800.000000	82.501	-136.5782
1825.000000	82.966	-137.3689
1850.000000	83.373	-138.5919
1875.000000	83.713	-140.0915
1900.000000	83.991	-141.7070
1925.000000	84.215	-143.3521
1950.000000	84.389	-144.9560
1975.000000	84.523	-146.4478
2000.000000	84.626	-147.8298
2030.000000	84.716	-149.3392
2060.000000	84.782	-150.6609
2090.000000	84.832	-151.8174
2120.000000	84.870	-152.8216
2140.000000	84.889	-153.3937
2180.000000	84.916	-154.3521
2200.000000	84.926	-154.7631
2240.000000	84.946	-155.4324
2270.000000	84.964	-155.7723
2300.000000	84.984	-156.0107
2330.000000	85.011	-156.1349
2360.000000	85.051	-156.1431
2400.000000	85.131	-156.0210
2430.000000	85.214	-155.8975
2470.000000	85.358	-155.7664
2500.000000	85.484	-155.7156
2540.000000	85.672	-155.7262
2580.000000	85.880	-155.8177
2620.000000	86.108	-156.0172
2650.000000	86.289	-156.2365
2690.000000	86.550	-156.6224
2720.000000	86.766	-157.0065
2760.000000	87.081	-157.7256
2800.000000	87.428	-158.7916
2850.000000	87.882	-160.8186
2900.000000	88.304	-163.8027
2950.000000	88.630	-167.7313
3000.000000	88.800	-172.2788
3040.000000	88.802	-176.0525
3070.000000	88.728	-178.7739
3110.000000	88.543	177.9078
3150.000000	88.282	175.0647
3200.000000	87.890	172.2883
3250.000000	87.475	170.3183
3300.000000	87.071	168.9859
3350.000000	86.698	168.1478
3400.000000	86.371	167.6762
3450.000000	86.096	167.4317
3500.000000	85.871	167.2547
3550.000000	85.686	167.0414
3600.000000	85.519	166.7569
3650.000000	85.356	166.4468
3700.000000	85.196	166.1495
3750.000000	85.032	165.8602
3820.000000	84.787	165.4857
3870.000000	84.601	165.2810
3950.000000	84.282	165.1749
4000.000000	84.078	165.2535
4060.000000	83.835	165.5003
4120.000000	83.589	165.8832
4180.000000	83.345	166.4321
4250.000000	83.064	167.3157
4310.000000	82.837	168.2932
4370.000000	82.631	169.4288
4440.000000	82.419	170.8696
4500.000000	82.258	172.1442
4550.000000	82.139	173.2227
4620.000000	81.994	174.7654
4680.000000	81.885	176.0897
4750.000000	81.778	177.6297
4820.000000	81.684	179.1841
4870.000000	81.623	-179.7163
4940.000000	81.540	-178.1620
5000.000000	81.474	-176.7478
5080.000000	81.407	-174.7177
5150.000000	81.384	-172.9053
5220.000000	81.394	-171.1518
5300.000000	81.431	-169.2315
5380.000000	81.482	-167.4091
5450.000000	81.534	-165.8604
5520.000000	81.589	-164.2950
5600.000000	81.659	-162.4668
5700.000000	81.767	-160.1216
5800.000000	81.914	-157.6719
5900.000000	82.112	-155.1393
6000.000000	82.368	-152.5862
6080.000000	82.611	-150.5485
6150.000000	82.859	-148.7853
6220.000000	83.144	-147.0620
6300.000000	83.523	-145.1698
6400.000000	84.085	-142.9941
6500.000000	84.748	-141.1696
6600.000000	85.512	-139.8525
6700.000000	86.394	-139.2137
6800.000000	87.411	-139.5218
6900.000000	88.565	-141.2645
7000.000000	89.789	-145.0686
7100.000000	90.933	-151.5609
7200.000000	91.783	-160.9620
7300.000000	92.141	-172.2678
7400.000000	91.957	176.5887
7500.000000	91.343	167.3169
7620.000000	90.297	159.7321
7750.000000	89.213	155.4171
7880.000000	88.385	152.4595
8000.000000	87.757	149.3162
8120.000000	87.089	145.1543
8250.000000	86.085	140.5479
8380.000000	84.793	137.6222
8500.000000	83.474	136.7956
8620.000000	82.096	138.1951
8750.000000	80.736	141.9704
8850.000000	79.849	145.7890
9000.000000	78.796	152.6108
9120.000000	78.237	158.3134
9250.000000	77.869	164.1743
9380.000000	77.675	169.5381
9500.000000	77.616	173.9445
9620.000000	77.649	177.7848
9750.000000	77.760	-178.7492
9880.000000	77.929	-176.0286
10000.000000	78.122	-174.1983
10150.000000	78.378	-172.9303
10300.000000	78.594	-172.9581
10440.000000	78.649	-174.2747
10600.000000	78.340	-175.9919
10750.000000	77.828	-175.5605
10900.000000	77.434	-173.8148
11060.000000	77.103	-171.8383
11200.000000	76.812	-169.7742
11380.000000	76.499	-166.2179
11500.000000	76.380	-163.4256
11720.000000	76.399	-158.0143
11800.000000	76.491	-155.9989
12060.000000	77.201	-149.7789
12200.000000	77.898	-147.2187
12410.000000	79.376	-146.2509
12500.000000	80.116	-147.7347
12650.000000	81.275	-153.9764
12800.000000	81.987	-165.2590
13150.000000	80.524	164.3493
13200.000000	80.003	161.5209
13400.000000	77.653	155.0210
13600.000000	75.393	152.9113
13800.000000	73.247	152.1617
14000.000000	70.693	157.2476
14300.000000	67.825	176.2503
14500.000000	67.252	-174.2377
14750.000000	66.443	-165.6306
15000.000000	65.338	-151.0045
15250.000000	65.644	-133.9352
15500.000000	66.735	-121.6129
15750.000000	68.627	-110.4491
16000.000000	71.425	-105.0490
16250.000000	73.982	-111.1777
16500.000000	75.283	-128.2087
16750.000000	74.726	-146.7843
17000.000000	72.776	-153.6104
17250.000000	71.447	-154.0309
17500.000000	70.596	-157.3737
17750.000000	69.027	-155.9281
18000.000000	68.221	-146.5591
18250.000000	69.088	-142.8318
18500.000000	69.894	-150.5523
18750.000000	69.531	-165.2867
19000.000000	67.789	-177.8907
19250.000000	64.984	177.9145
19500.000000	61.871	-179.4835
19750.000000	59.003	-174.8349
20000.000000	56.598	-169.7529
