* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:21:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.247	58.9342
20.600000	94.299	58.5545
20.900000	94.401	57.8881
21.200001	94.494	57.2827
21.400000	94.553	56.9026
21.799999	94.667	56.1337
22.000000	94.725	55.7225
22.400000	94.835	54.8416
22.700001	94.911	54.1431
23.000000	94.979	53.4330
23.299999	95.043	52.7368
23.600000	95.105	52.0687
24.000000	95.191	51.2255
24.299999	95.261	50.6144
24.700001	95.361	49.7989
25.000000	95.438	49.1729
25.400000	95.539	48.3210
25.799999	95.632	47.4772
26.200001	95.719	46.6753
26.500000	95.781	46.1117
26.900000	95.862	45.4048
27.200001	95.921	44.8937
27.600000	96.000	44.2151
28.000000	96.076	43.5211
28.500000	96.163	42.6297
29.000000	96.235	41.7404
29.500000	96.296	40.8896
30.000000	96.354	40.0907
30.400000	96.402	39.4727
30.700001	96.440	39.0070
31.100000	96.492	38.3672
31.500000	96.543	37.7013
32.000000	96.602	36.8470
32.500000	96.655	35.9988
33.000000	96.705	35.1806
33.500000	96.758	34.3973
34.000000	96.814	33.6450
34.500000	96.869	32.9158
35.000000	96.925	32.1976
35.500000	96.980	31.4788
36.000000	97.029	30.7628
36.500000	97.073	30.0665
37.000000	97.113	29.4001
37.500000	97.152	28.7510
38.200001	97.202	27.8318
38.700001	97.231	27.1656
39.500000	97.269	26.1257
40.000000	97.292	25.4952
40.599998	97.320	24.7410
41.200001	97.348	23.9860
41.799999	97.375	23.2409
42.500000	97.409	22.3910
43.099998	97.439	21.6818
43.700001	97.470	20.9921
44.400002	97.508	20.1914
45.000000	97.537	19.4903
45.500000	97.554	18.9122
46.200001	97.568	18.1614
46.799999	97.581	17.5796
47.500000	97.603	16.9107
48.200001	97.625	16.2031
48.700001	97.637	15.6863
49.400002	97.650	14.9860
50.000000	97.662	14.4104
50.799999	97.683	13.6309
51.500000	97.699	12.9204
52.200001	97.709	12.2265
53.000000	97.718	11.4861
53.799999	97.730	10.7591
54.500000	97.735	10.1194
55.200001	97.734	9.5072
56.000000	97.732	8.8563
57.000000	97.733	8.0876
58.000000	97.739	7.3101
59.000000	97.740	6.4759
60.000000	97.728	5.6602
60.799999	97.717	5.0482
