* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:19:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.714	-121.5986
20.600000	94.775	-121.9924
20.900000	94.895	-122.7000
21.200001	95.000	-123.3835
21.400000	95.061	-123.8252
21.799999	95.172	-124.7027
22.000000	95.223	-125.1433
22.400000	95.320	-126.0113
22.700001	95.389	-126.6467
23.000000	95.458	-127.2743
23.299999	95.527	-127.8994
23.600000	95.598	-128.5261
24.000000	95.696	-129.3683
24.299999	95.770	-130.0050
24.700001	95.869	-130.8573
25.000000	95.942	-131.4949
25.400000	96.037	-132.3354
25.799999	96.128	-133.1553
26.200001	96.216	-133.9464
26.500000	96.278	-134.5195
26.900000	96.358	-135.2609
27.200001	96.414	-135.8059
27.600000	96.485	-136.5252
28.000000	96.551	-137.2402
28.500000	96.625	-138.1220
29.000000	96.689	-138.9756
29.500000	96.748	-139.7925
30.000000	96.805	-140.5815
30.400000	96.851	-141.2073
30.700001	96.887	-141.6813
31.100000	96.934	-142.3240
31.500000	96.978	-142.9765
32.000000	97.031	-143.7916
32.500000	97.083	-144.5901
33.000000	97.137	-145.3720
33.500000	97.195	-146.1516
34.000000	97.254	-146.9358
34.500000	97.309	-147.7102
35.000000	97.361	-148.4571
35.500000	97.412	-149.1796
36.000000	97.464	-149.9013
36.500000	97.512	-150.6342
37.000000	97.553	-151.3589
37.500000	97.586	-152.0445
38.200001	97.629	-152.9322
38.700001	97.663	-153.5540
39.500000	97.714	-154.5937
40.000000	97.741	-155.2601
40.599998	97.768	-156.0483
41.200001	97.789	-156.8032
41.799999	97.810	-157.5082
42.500000	97.842	-158.2787
43.099998	97.879	-158.9552
43.700001	97.914	-159.6835
44.400002	97.940	-160.5337
45.000000	97.955	-161.1864
45.500000	97.970	-161.6885
46.200001	97.997	-162.4075
46.799999	98.015	-163.0573
47.500000	98.026	-163.7867
48.200001	98.039	-164.4579
48.700001	98.051	-164.9292
49.400002	98.070	-165.6074
50.000000	98.084	-166.1974
50.799999	98.101	-166.9792
51.500000	98.113	-167.6532
52.200001	98.124	-168.3087
53.000000	98.136	-169.0418
53.799999	98.144	-169.7784
54.500000	98.143	-170.4074
55.200001	98.139	-170.9861
56.000000	98.139	-171.5998
57.000000	98.148	-172.4038
58.000000	98.150	-173.2638
59.000000	98.142	-174.0935
60.000000	98.134	-174.8876
60.799999	98.129	-175.5173
61.500000	98.125	-176.0727
62.200001	98.119	-176.6207
63.000000	98.110	-177.2113
64.000000	98.104	-177.9198
65.000000	98.097	-178.6503
66.000000	98.082	-179.3637
67.000000	98.065	179.9603
68.000000	98.044	179.3124
69.000000	98.024	178.6909
70.000000	98.007	178.0557
71.000000	97.987	177.3991
72.000000	97.962	176.7481
73.000000	97.935	176.1356
74.000000	97.909	175.5611
75.000000	97.885	174.9947
76.199997	97.855	174.3537
77.500000	97.828	173.6873
78.800003	97.800	172.9721
80.000000	97.765	172.3093
81.199997	97.728	171.6935
82.500000	97.692	171.0279
83.800003	97.653	170.3510
85.000000	97.613	169.7546
86.199997	97.573	169.1872
87.500000	97.528	168.5865
88.500000	97.491	168.1421
90.000000	97.440	167.4994
91.199997	97.403	166.9689
92.500000	97.362	166.3930
93.800003	97.321	165.8394
95.000000	97.283	165.3459
96.199997	97.243	164.8781
97.500000	97.201	164.4099
98.800003	97.162	163.9254
100.000000	97.123	163.4594
101.500000	97.070	162.8920
103.000000	97.013	162.3514
104.400002	96.959	161.8942
106.000000	96.902	161.3897
107.500000	96.851	160.8893
109.000000	96.799	160.3663
110.599998	96.741	159.8304
112.000000	96.694	159.4044
113.800003	96.635	158.8636
115.000000	96.590	158.5397
117.199997	96.499	158.0476
118.000000	96.466	157.8829
120.599998	96.365	157.2068
122.000000	96.303	156.7647
124.099998	96.214	156.1451
125.000000	96.179	155.8687
126.500000	96.116	155.4126
128.000000	96.046	155.0323
131.500000	95.886	154.2744
132.000000	95.862	154.1628
134.000000	95.760	153.7285
136.000000	95.658	153.3215
138.000000	95.558	152.9317
140.000000	95.458	152.5792
143.000000	95.287	152.1061
145.000000	95.149	151.8505
147.500000	94.960	151.6460
150.000000	94.765	151.6181
152.500000	94.562	151.9148
155.000000	94.355	152.6949
157.500000	94.175	154.0668
160.000000	94.089	156.0262
162.500000	94.180	158.2727
165.000000	94.473	159.9280
167.500000	94.849	160.2530
170.000000	95.169	159.3499
172.500000	95.366	157.7426
175.000000	95.436	155.9543
177.500000	95.417	154.3193
180.000000	95.353	152.9627
182.500000	95.277	151.8313
185.000000	95.195	150.8551
187.500000	95.105	150.0277
190.000000	95.010	149.3360
192.500000	94.916	148.7627
195.000000	94.830	148.2731
197.500000	94.747	147.8355
200.000000	94.665	147.4550
203.000000	94.577	147.0280
206.000000	94.496	146.5884
209.000000	94.404	146.2156
212.000000	94.308	145.9289
214.000000	94.244	145.7472
218.000000	94.125	145.4429
220.000000	94.071	145.2885
224.000000	93.954	144.9455
227.000000	93.861	144.7476
230.000000	93.780	144.5703
233.000000	93.704	144.3796
236.000000	93.627	144.1732
240.000000	93.526	143.8442
243.000000	93.456	143.6598
247.000000	93.355	143.4750
250.000000	93.271	143.3098
254.000000	93.174	143.1088
258.000000	93.082	142.9768
262.000000	92.981	142.8309
265.000000	92.907	142.7203
269.000000	92.808	142.6016
272.000000	92.744	142.4948
276.000000	92.668	142.3646
280.000000	92.581	142.2844
285.000000	92.465	142.1783
290.000000	92.358	142.1405
295.000000	92.251	142.1078
300.000000	92.149	142.0586
304.000000	92.066	141.9954
307.000000	92.008	141.9608
311.000000	91.936	141.9355
315.000000	91.860	141.9564
320.000000	91.762	142.0160
325.000000	91.675	142.0402
330.000000	91.601	142.0223
335.000000	91.519	142.0114
340.000000	91.431	142.0353
345.000000	91.337	142.0760
350.000000	91.239	142.1285
355.000000	91.146	142.1908
360.000000	91.065	142.3280
365.000000	90.984	142.4752
370.000000	90.903	142.5836
375.000000	90.831	142.6700
382.000000	90.733	142.8279
387.000000	90.652	142.9186
395.000000	90.518	143.0933
400.000000	90.442	143.1826
406.000000	90.351	143.2706
412.000000	90.254	143.3807
418.000000	90.158	143.5589
425.000000	90.065	143.8882
431.000000	89.996	144.1407
437.000000	89.919	144.2708
444.000000	89.811	144.4348
450.000000	89.717	144.6257
455.000000	89.644	144.8437
462.000000	89.555	145.1628
468.000000	89.486	145.4265
475.000000	89.406	145.7172
482.000000	89.331	146.0543
487.000000	89.279	146.3034
494.000000	89.206	146.5785
500.000000	89.140	146.8644
508.000000	89.048	147.3703
515.000000	88.981	147.7588
522.000000	88.913	148.1053
530.000000	88.835	148.4356
538.000000	88.763	148.7115
545.000000	88.694	148.9791
552.000000	88.637	149.2875
560.000000	88.579	149.7214
570.000000	88.496	150.2663
580.000000	88.405	150.8641
590.000000	88.320	151.5089
600.000000	88.251	152.0597
608.000000	88.197	152.4319
615.000000	88.145	152.8624
622.000000	88.092	153.3335
630.000000	88.033	153.8483
640.000000	87.967	154.5811
650.000000	87.904	155.2932
660.000000	87.851	155.8918
670.000000	87.798	156.4612
680.000000	87.739	157.0826
690.000000	87.681	157.7404
700.000000	87.627	158.4963
710.000000	87.588	159.1862
720.000000	87.556	159.7574
730.000000	87.520	160.4360
740.000000	87.480	161.2314
750.000000	87.447	162.0051
762.000000	87.418	162.8409
775.000000	87.394	163.7030
788.000000	87.381	164.5954
800.000000	87.368	165.4349
812.000000	87.341	166.2974
825.000000	87.338	167.3085
838.000000	87.355	168.2855
850.000000	87.376	169.1384
862.000000	87.401	169.9244
875.000000	87.428	170.8412
885.000000	87.451	171.5726
900.000000	87.496	172.5917
912.000000	87.529	173.3365
925.000000	87.564	174.0834
938.000000	87.610	174.8536
950.000000	87.662	175.5872
962.000000	87.722	176.2971
975.000000	87.792	177.0254
988.000000	87.862	177.6256
1000.000000	87.928	178.1318
1015.000000	88.015	178.7999
1030.000000	88.113	179.3483
1044.000000	88.210	179.8260
1060.000000	88.306	-179.6494
1075.000000	88.392	-179.2373
1090.000000	88.484	-178.8208
1106.000000	88.589	-178.3991
1120.000000	88.690	-178.0785
1138.000000	88.827	-177.7085
1150.000000	88.917	-177.5024
1172.000000	89.078	-177.2362
1180.000000	89.136	-177.2192
1206.000000	89.271	-177.4318
1220.000000	89.299	-177.4030
1241.000000	89.338	-176.9630
1250.000000	89.370	-176.7171
1265.000000	89.438	-176.3206
1280.000000	89.517	-175.9327
1315.000000	89.742	-175.2411
1320.000000	89.774	-175.1658
1340.000000	89.898	-174.8541
1360.000000	90.008	-174.5968
1380.000000	90.119	-174.3815
1400.000000	90.232	-174.1897
1430.000000	90.412	-173.9729
1450.000000	90.531	-173.7324
1475.000000	90.688	-173.5299
1500.000000	90.847	-173.3897
1525.000000	91.007	-173.2643
1550.000000	91.169	-173.2021
1575.000000	91.328	-173.1089
1600.000000	91.497	-173.0749
1625.000000	91.671	-173.1297
1650.000000	91.844	-173.2704
1675.000000	92.024	-173.5046
1700.000000	92.209	-173.8121
1725.000000	92.387	-174.1667
1750.000000	92.559	-174.5877
1775.000000	92.735	-175.1229
1800.000000	92.903	-175.7953
1825.000000	93.068	-176.6233
1850.000000	93.224	-177.6403
1875.000000	93.355	-178.8841
1900.000000	93.447	179.6759
1925.000000	93.486	178.1905
1950.000000	93.467	176.7683
1975.000000	93.396	175.5122
2000.000000	93.280	174.5205
2030.000000	93.100	173.7852
2060.000000	92.905	173.6805
2090.000000	92.735	174.1873
2120.000000	92.637	175.1788
2140.000000	92.622	175.9751
2180.000000	92.712	177.5391
2200.000000	92.805	178.2092
2240.000000	93.045	179.0788
2270.000000	93.245	179.2543
2300.000000	93.438	179.0930
2330.000000	93.607	178.6928
2360.000000	93.745	178.1583
2400.000000	93.883	177.4619
2430.000000	93.969	177.0633
2470.000000	94.105	176.7161
2500.000000	94.252	176.4660
2540.000000	94.504	175.7598
2580.000000	94.758	174.2930
2620.000000	94.928	172.1599
2650.000000	94.976	170.4076
2690.000000	94.949	168.1805
2720.000000	94.877	166.7017
2760.000000	94.738	165.0580
2800.000000	94.571	163.7809
2850.000000	94.338	162.6433
2900.000000	94.092	161.9501
2950.000000	93.849	161.6348
3000.000000	93.616	161.6848
3040.000000	93.442	161.9477
3070.000000	93.320	162.2792
3110.000000	93.168	162.8919
3150.000000	93.037	163.6395
3200.000000	92.908	164.7440
3250.000000	92.814	166.0686
3300.000000	92.766	167.5469
3350.000000	92.773	169.0381
3400.000000	92.835	170.4185
3450.000000	92.939	171.6232
3500.000000	93.064	172.6295
3550.000000	93.191	173.4548
3600.000000	93.318	174.1837
3650.000000	93.451	174.8607
3700.000000	93.591	175.5068
3750.000000	93.735	176.0781
3820.000000	93.944	176.7350
3870.000000	94.090	177.1285
3950.000000	94.309	177.6257
4000.000000	94.442	177.8924
4060.000000	94.601	178.1639
4120.000000	94.760	178.4029
4180.000000	94.917	178.6022
4250.000000	95.092	178.7913
4310.000000	95.239	178.9594
4370.000000	95.379	179.1179
4440.000000	95.533	179.2952
4500.000000	95.665	179.4484
4550.000000	95.779	179.5737
4620.000000	95.944	179.7527
4680.000000	96.094	179.9112
4750.000000	96.280	-179.8996
4820.000000	96.482	-179.7400
4870.000000	96.638	-179.6654
4940.000000	96.870	-179.6202
5000.000000	97.083	-179.6649
5080.000000	97.391	-179.9073
5150.000000	97.679	179.6730
5220.000000	97.981	179.0209
5300.000000	98.336	177.9324
5380.000000	98.693	176.4209
5450.000000	98.993	174.7353
5520.000000	99.267	172.6870
5600.000000	99.535	169.9083
5700.000000	99.770	165.8932
5800.000000	99.866	161.5028
5900.000000	99.808	157.0547
6000.000000	99.600	152.8951
6080.000000	99.344	149.9826
6150.000000	99.070	147.8280
6220.000000	98.764	146.0739
6300.000000	98.393	144.5628
6400.000000	97.923	143.3911
6500.000000	97.472	142.9633
6600.000000	97.061	143.1693
6700.000000	96.710	143.8989
6800.000000	96.440	145.0466
6900.000000	96.275	146.4860
7000.000000	96.225	148.1005
7100.000000	96.287	149.7585
7200.000000	96.460	151.2991
7300.000000	96.748	152.5645
7400.000000	97.153	153.3612
7500.000000	97.676	153.4294
7620.000000	98.449	152.0684
7750.000000	99.356	148.0225
7880.000000	100.061	140.6337
8000.000000	100.321	131.1253
8120.000000	100.069	120.4600
8250.000000	99.211	109.8188
8380.000000	97.906	101.7563
8500.000000	96.495	96.9102
8620.000000	95.024	94.2118
8750.000000	93.448	93.1752
8850.000000	92.279	93.4085
9000.000000	90.622	95.0600
9120.000000	89.387	97.2790
9250.000000	88.144	100.3853
9380.000000	86.994	104.0479
9500.000000	86.013	107.8068
9620.000000	85.105	111.8708
9750.000000	84.196	116.5746
9880.000000	83.360	121.5289
10000.000000	82.652	126.2821
10150.000000	81.840	132.3904
10300.000000	81.099	138.6559
10440.000000	80.472	144.6624
10600.000000	79.834	151.6898
10750.000000	79.311	158.3601
10900.000000	78.843	165.1172
11060.000000	78.403	172.4548
11200.000000	78.082	178.9099
11380.000000	77.745	-172.7184
11500.000000	77.567	-167.1185
11720.000000	77.340	-156.8726
11800.000000	77.288	-153.1535
12060.000000	77.228	-141.0867
12200.000000	77.259	-134.6111
12410.000000	77.375	-125.0203
12500.000000	77.456	-120.9313
12650.000000	77.642	-114.1448
12800.000000	77.902	-107.4507
13150.000000	78.831	-92.4251
13200.000000	79.005	-90.3831
13400.000000	79.813	-82.5349
13600.000000	80.835	-75.3451
13800.000000	82.108	-69.2412
14000.000000	83.641	-64.7819
14300.000000	86.346	-63.2869
14500.000000	88.079	-68.0105
14750.000000	89.424	-81.2444
15000.000000	89.351	-97.0578
15250.000000	88.147	-107.4222
15500.000000	86.666	-110.5806
15750.000000	85.573	-109.2334
16000.000000	85.063	-106.3529
16250.000000	85.107	-104.4952
16500.000000	85.511	-106.1306
16750.000000	85.799	-113.3579
17000.000000	85.348	-125.2180
17250.000000	83.821	-136.3877
17500.000000	81.426	-141.9131
17750.000000	78.677	-141.0828
18000.000000	76.007	-135.5383
18250.000000	73.615	-127.0603
18500.000000	71.548	-116.8549
18750.000000	69.791	-105.5276
19000.000000	68.308	-93.4798
19250.000000	67.005	-81.0522
19500.000000	65.829	-68.4031
19750.000000	64.902	-56.7897
20000.000000	64.434	-50.0889
