* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 오후 4:45:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.080	-169.2312
20.600000	84.088	-169.3408
20.900000	84.104	-169.5252
21.200001	84.116	-169.6749
21.400000	84.123	-169.7694
21.799999	84.136	-169.9880
22.000000	84.142	-170.1263
22.400000	84.149	-170.4612
22.700001	84.148	-170.7446
23.000000	84.142	-171.0328
23.299999	84.135	-171.3093
23.600000	84.129	-171.5693
24.000000	84.128	-171.8960
24.299999	84.133	-172.1381
24.700001	84.146	-172.4706
25.000000	84.159	-172.7287
25.400000	84.176	-173.0750
25.799999	84.192	-173.4060
26.200001	84.209	-173.7096
26.500000	84.221	-173.9199
26.900000	84.235	-174.1853
27.200001	84.243	-174.3800
27.600000	84.250	-174.6380
28.000000	84.252	-174.8893
28.500000	84.246	-175.1763
29.000000	84.236	-175.4209
29.500000	84.225	-175.6381
30.000000	84.218	-175.8656
30.400000	84.214	-176.0750
30.700001	84.210	-176.2495
31.100000	84.202	-176.4973
31.500000	84.193	-176.7505
32.000000	84.181	-177.0607
32.500000	84.171	-177.3625
33.000000	84.167	-177.6644
33.500000	84.170	-177.9723
34.000000	84.175	-178.2835
34.500000	84.181	-178.5889
35.000000	84.185	-178.8802
35.500000	84.190	-179.1555
36.000000	84.194	-179.4211
36.500000	84.194	-179.6810
37.000000	84.190	-179.9250
37.500000	84.180	179.8661
38.200001	84.164	179.6370
38.700001	84.154	179.4854
39.500000	84.137	179.2113
40.000000	84.125	179.0435
40.599998	84.113	178.8624
41.200001	84.110	178.6528
41.799999	84.110	178.3700
42.500000	84.102	178.0003
43.099998	84.094	177.7176
43.700001	84.091	177.4387
