* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 오후 4:54:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Triple Comfort
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.273	-169.3398
20.600000	84.284	-169.4104
20.900000	84.306	-169.5377
21.200001	84.325	-169.6672
21.400000	84.335	-169.7661
21.799999	84.351	-170.0090
22.000000	84.355	-170.1532
22.400000	84.356	-170.4661
22.700001	84.351	-170.7032
23.000000	84.345	-170.9334
23.299999	84.342	-171.1616
23.600000	84.341	-171.3977
24.000000	84.346	-171.7383
24.299999	84.352	-172.0139
24.700001	84.360	-172.3922
25.000000	84.365	-172.6652
25.400000	84.372	-172.9958
25.799999	84.383	-173.2865
26.200001	84.400	-173.5558
26.500000	84.414	-173.7581
26.900000	84.432	-174.0382
27.200001	84.441	-174.2542
27.600000	84.448	-174.5395
28.000000	84.450	-174.8065
28.500000	84.445	-175.1011
29.000000	84.439	-175.3574
29.500000	84.432	-175.5963
30.000000	84.426	-175.8433
30.400000	84.421	-176.0567
30.700001	84.417	-176.2262
31.100000	84.411	-176.4598
31.500000	84.404	-176.6972
32.000000	84.396	-176.9965
32.500000	84.390	-177.3028
33.000000	84.387	-177.6174
33.500000	84.386	-177.9304
34.000000	84.387	-178.2250
34.500000	84.389	-178.4920
35.000000	84.393	-178.7359
35.500000	84.400	-178.9702
36.000000	84.408	-179.2056
36.500000	84.413	-179.4430
37.000000	84.414	-179.6719
37.500000	84.412	-179.8810
38.200001	84.405	179.8531
38.700001	84.399	179.6590
39.500000	84.386	179.3146
40.000000	84.375	179.0936
40.599998	84.362	178.8332
41.200001	84.352	178.5570
41.799999	84.343	178.2468
42.500000	84.328	177.8684
43.099998	84.314	177.5750
43.700001	84.302	177.3252
44.400002	84.294	177.0690
45.000000	84.291	176.8569
45.500000	84.289	176.6776
46.200001	84.285	176.4252
46.799999	84.279	176.2136
47.500000	84.271	175.9706
48.200001	84.261	175.7251
48.700001	84.252	175.5552
49.400002	84.237	175.3477
50.000000	84.228	175.1957
50.799999	84.225	174.9660
51.500000	84.224	174.6978
52.200001	84.214	174.4060
53.000000	84.198	174.1122
53.799999	84.182	173.8625
54.500000	84.169	173.6547
55.200001	84.158	173.4419
56.000000	84.144	173.1899
57.000000	84.123	172.8847
58.000000	84.100	172.5861
59.000000	84.073	172.2998
60.000000	84.044	172.0375
60.799999	84.022	171.8195
61.500000	84.002	171.6384
62.200001	83.984	171.4788
63.000000	83.968	171.2971
64.000000	83.949	171.0394
65.000000	83.926	170.7790
66.000000	83.902	170.5435
67.000000	83.880	170.3106
68.000000	83.856	170.0780
69.000000	83.831	169.8616
70.000000	83.809	169.6294
71.000000	83.784	169.3811
72.000000	83.755	169.1559
73.000000	83.728	168.9481
74.000000	83.700	168.7609
75.000000	83.674	168.5966
76.199997	83.647	168.4041
77.500000	83.621	168.1766
78.800003	83.587	167.8928
80.000000	83.546	167.6550
81.199997	83.503	167.4461
82.500000	83.457	167.2713
83.800003	83.423	167.1058
85.000000	83.396	166.9092
86.199997	83.372	166.7372
87.500000	83.363	166.5004
88.500000	83.351	166.2205
90.000000	83.308	165.8661
91.199997	83.275	165.7140
92.500000	83.245	165.5458
93.800003	83.205	165.3660
95.000000	83.156	165.2528
96.199997	83.110	165.2355
97.500000	83.080	165.1892
98.800003	83.053	165.0348
100.000000	83.025	164.8729
101.500000	82.987	164.7027
103.000000	82.945	164.5948
104.400002	82.907	164.5215
106.000000	82.860	164.3905
107.500000	82.812	164.2397
109.000000	82.770	164.1329
110.599998	82.744	164.0132
112.000000	82.719	163.8788
113.800003	82.673	163.7385
115.000000	82.638	163.6335
117.199997	82.563	163.2631
118.000000	82.529	163.0846
120.599998	82.421	162.9257
122.000000	82.415	163.0302
124.099998	82.411	163.0001
125.000000	82.396	162.9783
