* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 1 오후 1:48:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.837	-179.4163
20.600000	83.875	-179.5738
20.900000	83.938	-179.9084
21.200001	83.966	179.6453
21.400000	83.960	179.3301
21.799999	83.899	178.7813
22.000000	83.853	178.6057
22.400000	83.751	178.5233
22.700001	83.687	178.6641
23.000000	83.649	178.8866
23.299999	83.639	179.0829
23.600000	83.651	179.1802
24.000000	83.683	179.1009
24.299999	83.707	178.9053
24.700001	83.727	178.5457
25.000000	83.731	178.2685
25.400000	83.732	177.9522
25.799999	83.733	177.7173
26.200001	83.742	177.5356
26.500000	83.755	177.4058
26.900000	83.774	177.2188
27.200001	83.786	177.0705
27.600000	83.795	176.8838
28.000000	83.801	176.7344
28.500000	83.811	176.5911
29.000000	83.824	176.4338
29.500000	83.829	176.2487
30.000000	83.823	176.1301
30.400000	83.825	176.1275
30.700001	83.841	176.1436
31.100000	83.883	176.0637
31.500000	83.932	175.7523
32.000000	83.958	175.0418
32.500000	83.913	174.2991
33.000000	83.825	173.9540
33.500000	83.759	174.0803
34.000000	83.759	174.3388
34.500000	83.797	174.3675
35.000000	83.826	174.1461
35.500000	83.826	173.9080
36.000000	83.816	173.8018
36.500000	83.819	173.7496
37.000000	83.828	173.6106
37.500000	83.823	173.3915
38.200001	83.786	173.1992
38.700001	83.769	173.1996
39.500000	83.785	173.0644
40.000000	83.796	172.7489
40.599998	83.778	172.2727
41.200001	83.737	171.9297
41.799999	83.706	171.7533
42.500000	83.698	171.5725
43.099998	83.702	171.3469
43.700001	83.705	171.1078
44.400002	83.707	170.8635
45.000000	83.711	170.6639
45.500000	83.710	170.4999
46.200001	83.703	170.3112
46.799999	83.698	170.1935
47.500000	83.697	170.0370
48.200001	83.693	169.8165
48.700001	83.682	169.6517
49.400002	83.663	169.4668
50.000000	83.652	169.3308
50.799999	83.644	169.0993
51.500000	83.636	168.8529
52.200001	83.628	168.6047
53.000000	83.620	168.3123
53.799999	83.607	168.0311
54.500000	83.593	167.8451
55.200001	83.585	167.7037
56.000000	83.586	167.5303
57.000000	83.586	167.2294
58.000000	83.561	166.9198
59.000000	83.524	166.7611
60.000000	83.498	166.6390
60.799999	83.479	166.4979
61.500000	83.465	166.3591
62.200001	83.455	166.1727
63.000000	83.437	165.8851
64.000000	83.403	165.5106
65.000000	83.369	165.1835
66.000000	83.338	164.9220
67.000000	83.318	164.7319
68.000000	83.311	164.5498
69.000000	83.306	164.3145
70.000000	83.287	164.0822
71.000000	83.263	163.9264
72.000000	83.241	163.7702
73.000000	83.213	163.6006
74.000000	83.186	163.4071
75.000000	83.153	163.1738
76.199997	83.115	162.9385
77.500000	83.089	162.6809
78.800003	83.072	162.3802
80.000000	83.043	162.0795
81.199997	82.996	161.9493
82.500000	82.960	161.9827
83.800003	82.943	161.9510
85.000000	82.922	161.7733
86.199997	82.892	161.5311
87.500000	82.849	161.1771
88.500000	82.789	160.9875
90.000000	82.729	161.1010
91.199997	82.721	161.0610
92.500000	82.704	160.9459
93.800003	82.699	160.7620
95.000000	82.686	160.5195
96.199997	82.673	160.3214
97.500000	82.661	160.0854
98.800003	82.642	159.8005
100.000000	82.606	159.4683
101.500000	82.530	159.1110
103.000000	82.462	158.9012
104.400002	82.427	158.7770
106.000000	82.428	158.6204
107.500000	82.412	158.2884
109.000000	82.335	158.0723
110.599998	82.237	157.9389
112.000000	82.167	157.7059
113.800003	82.117	157.3434
115.000000	82.115	157.2900
117.199997	82.169	158.1205
118.000000	82.221	158.6699
120.599998	82.334	158.6147
122.000000	82.117	157.9119
124.099998	81.765	157.5799
125.000000	81.668	157.4505
126.500000	81.568	157.3180
128.000000	81.511	157.4355
131.500000	81.340	158.6753
132.000000	81.312	158.8912
134.000000	81.227	159.6543
136.000000	81.207	160.2129
138.000000	81.208	160.9892
140.000000	81.258	162.4054
143.000000	81.544	164.3612
145.000000	81.874	164.6177
147.500000	82.249	163.5069
150.000000	82.439	161.8605
152.500000	82.469	160.2321
155.000000	82.446	158.8374
157.500000	82.426	157.7401
160.000000	82.366	156.7964
162.500000	82.223	156.1089
165.000000	82.106	155.5584
167.500000	82.039	154.9153
170.000000	81.980	154.4371
172.500000	81.903	154.0894
175.000000	81.802	153.8037
177.500000	81.723	153.5667
180.000000	81.668	153.3318
182.500000	81.606	153.1609
185.000000	81.538	153.0786
187.500000	81.481	152.9860
190.000000	81.433	152.9344
192.500000	81.399	152.9881
195.000000	81.363	152.9019
197.500000	81.299	152.7240
200.000000	81.234	152.5983
203.000000	81.165	152.4743
206.000000	81.100	152.3550
209.000000	81.045	152.2231
212.000000	81.006	152.1491
214.000000	80.983	152.1284
218.000000	80.927	152.1030
220.000000	80.897	152.0431
224.000000	80.844	151.7624
227.000000	80.807	151.6464
230.000000	80.776	151.7013
233.000000	80.744	151.7330
236.000000	80.710	151.7410
240.000000	80.652	151.7307
243.000000	80.601	151.6485
247.000000	80.550	151.5540
250.000000	80.514	151.5569
254.000000	80.463	151.5987
258.000000	80.427	151.6445
262.000000	80.387	151.5577
265.000000	80.347	151.4181
269.000000	80.302	151.2764
272.000000	80.276	151.2017
276.000000	80.239	151.1024
280.000000	80.202	151.0262
285.000000	80.151	150.9645
290.000000	80.084	150.9281
295.000000	80.024	150.9115
300.000000	79.977	150.8112
304.000000	79.935	150.7365
307.000000	79.901	150.7363
311.000000	79.854	150.7669
315.000000	79.807	150.7872
320.000000	79.756	150.8217
325.000000	79.715	150.8474
330.000000	79.684	150.8282
335.000000	79.650	150.8214
340.000000	79.604	150.8773
345.000000	79.555	150.9085
350.000000	79.514	150.9312
355.000000	79.473	150.9965
360.000000	79.431	151.0619
365.000000	79.392	151.0970
370.000000	79.344	151.1013
375.000000	79.300	151.1605
382.000000	79.248	151.2836
387.000000	79.201	151.3111
395.000000	79.136	151.4140
400.000000	79.096	151.4908
406.000000	79.050	151.5278
412.000000	79.001	151.5361
418.000000	78.949	151.6345
425.000000	78.894	151.7360
431.000000	78.852	151.7787
437.000000	78.812	151.8617
444.000000	78.757	152.0194
450.000000	78.714	152.1218
455.000000	78.686	152.1928
462.000000	78.646	152.3131
468.000000	78.609	152.4316
475.000000	78.570	152.5887
482.000000	78.534	152.6948
487.000000	78.509	152.7451
494.000000	78.469	152.8458
500.000000	78.430	152.9664
508.000000	78.385	153.1905
515.000000	78.350	153.3907
522.000000	78.311	153.5378
530.000000	78.268	153.7351
538.000000	78.231	153.9464
545.000000	78.204	154.1209
552.000000	78.179	154.2941
560.000000	78.146	154.5131
570.000000	78.094	154.7794
580.000000	78.048	155.1036
590.000000	78.015	155.4269
600.000000	77.981	155.6981
608.000000	77.955	155.9539
615.000000	77.930	156.1620
622.000000	77.904	156.3368
630.000000	77.870	156.5590
640.000000	77.828	156.9167
650.000000	77.799	157.2551
660.000000	77.776	157.5898
670.000000	77.758	157.9251
680.000000	77.731	158.2398
690.000000	77.705	158.6021
700.000000	77.689	158.9836
710.000000	77.671	159.4043
720.000000	77.650	159.7878
730.000000	77.627	160.1229
740.000000	77.609	160.4962
750.000000	77.600	160.9160
762.000000	77.594	161.4040
775.000000	77.593	161.8903
788.000000	77.591	162.4356
800.000000	77.600	162.9442
812.000000	77.617	163.3835
825.000000	77.628	163.8602
838.000000	77.633	164.3297
850.000000	77.650	164.8005
862.000000	77.686	165.2662
875.000000	77.724	165.7090
885.000000	77.752	166.0387
900.000000	77.792	166.5251
912.000000	77.822	166.8990
925.000000	77.865	167.3264
938.000000	77.921	167.7180
950.000000	77.970	168.0367
962.000000	78.022	168.3495
