* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 1. 1 오후 1:51:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.281	178.5712
20.600000	85.287	178.7113
20.900000	85.303	178.9501
21.200001	85.326	179.1302
21.400000	85.342	179.1879
21.799999	85.361	179.1693
22.000000	85.361	179.1158
22.400000	85.340	178.9990
22.700001	85.314	178.9488
23.000000	85.290	178.9330
23.299999	85.273	178.9142
23.600000	85.262	178.8607
24.000000	85.251	178.7152
24.299999	85.243	178.5715
24.700001	85.231	178.3851
25.000000	85.225	178.2672
25.400000	85.230	178.1110
25.799999	85.246	177.8789
26.200001	85.260	177.5332
26.500000	85.259	177.2426
26.900000	85.239	176.9195
27.200001	85.220	176.7791
27.600000	85.211	176.6972
28.000000	85.228	176.5616
28.500000	85.259	176.0766
29.000000	85.239	175.4028
29.500000	85.177	175.0522
30.000000	85.176	175.1232
30.400000	85.267	174.9790
30.700001	85.363	174.4246
31.100000	85.444	172.9829
31.500000	85.393	171.1425
32.000000	85.118	169.5378
32.500000	84.764	169.8573
33.000000	84.617	171.7094
33.500000	84.772	173.4156
34.000000	85.036	173.7702
34.500000	85.200	173.1603
35.000000	85.241	172.6080
35.500000	85.250	172.5900
36.000000	85.297	172.7913
36.500000	85.360	172.8121
37.000000	85.394	172.6240
37.500000	85.385	172.4255
38.200001	85.330	172.3209
38.700001	85.281	172.3655
39.500000	85.234	172.5587
40.000000	85.246	172.5207
40.599998	85.275	172.0147
41.200001	85.254	171.1382
41.799999	85.174	170.4131
42.500000	85.088	170.1365
43.099998	85.085	170.1122
43.700001	85.126	169.9307
44.400002	85.166	169.4969
45.000000	85.158	169.1708
45.500000	85.125	169.1351
46.200001	85.080	169.6294
46.799999	85.103	170.4086
47.500000	85.225	171.0450
48.200001	85.356	170.8705
48.700001	85.394	170.3853
49.400002	85.361	169.7081
50.000000	85.296	169.3319
50.799999	85.203	169.0117
51.500000	85.127	168.8862
52.200001	85.094	168.9216
53.000000	85.139	168.7295
53.799999	85.191	167.8997
54.500000	85.173	167.0279
55.200001	85.126	166.4710
56.000000	85.103	166.0868
57.000000	85.083	165.5357
58.000000	85.026	165.2816
59.000000	84.993	165.2903
60.000000	84.946	165.2844
60.799999	84.910	165.5082
61.500000	84.928	165.6653
