* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 11:22:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Gray
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.586	-152.3619
20.600000	89.611	-152.5736
20.900000	89.661	-152.9579
21.200001	89.705	-153.3438
21.400000	89.730	-153.6089
21.799999	89.771	-154.1711
22.000000	89.788	-154.4653
22.400000	89.814	-155.0517
22.700001	89.831	-155.4794
23.000000	89.849	-155.9046
23.299999	89.870	-156.3437
23.600000	89.895	-156.8076
24.000000	89.929	-157.4688
24.299999	89.954	-157.9829
24.700001	89.983	-158.6599
25.000000	90.001	-159.1387
25.400000	90.025	-159.7242
25.799999	90.055	-160.2615
26.200001	90.091	-160.7822
26.500000	90.120	-161.1780
26.900000	90.156	-161.7166
27.200001	90.179	-162.1205
27.600000	90.202	-162.6418
28.000000	90.221	-163.1297
28.500000	90.242	-163.7000
29.000000	90.263	-164.2664
29.500000	90.278	-164.8586
30.000000	90.286	-165.4644
30.400000	90.288	-165.9378
30.700001	90.289	-166.2809
31.100000	90.289	-166.7270
31.500000	90.290	-167.1674
32.000000	90.291	-167.7124
32.500000	90.293	-168.2439
33.000000	90.298	-168.7633
33.500000	90.308	-169.2818
34.000000	90.322	-169.8025
34.500000	90.334	-170.3161
35.000000	90.344	-170.8152
35.500000	90.353	-171.3009
36.000000	90.361	-171.7791
36.500000	90.366	-172.2489
37.000000	90.366	-172.6960
37.500000	90.364	-173.1060
38.200001	90.361	-173.6349
38.700001	90.361	-174.0201
39.500000	90.359	-174.7056
40.000000	90.351	-175.1610
40.599998	90.335	-175.6902
41.200001	90.317	-176.1728
41.799999	90.302	-176.6234
42.500000	90.292	-177.1506
43.099998	90.286	-177.6085
43.700001	90.279	-178.0507
44.400002	90.269	-178.5432
45.000000	90.262	-178.9615
45.500000	90.255	-179.3115
46.200001	90.243	-179.7902
46.799999	90.231	179.8198
47.500000	90.219	179.3725
48.200001	90.208	178.9084
48.700001	90.200	178.5690
49.400002	90.185	178.1024
50.000000	90.171	177.7176
50.799999	90.152	177.2228
51.500000	90.135	176.8098
52.200001	90.121	176.4145
53.000000	90.104	175.9696
53.799999	90.086	175.5255
54.500000	90.065	175.1444
55.200001	90.042	174.7829
56.000000	90.016	174.3932
57.000000	89.984	173.9032
58.000000	89.950	173.4037
59.000000	89.916	172.9146
60.000000	89.880	172.4426
60.799999	89.855	172.0803
61.500000	89.836	171.7652
62.200001	89.818	171.4550
63.000000	89.800	171.0934
64.000000	89.771	170.5920
65.000000	89.723	170.1326
66.000000	89.676	169.7753
67.000000	89.636	169.4299
68.000000	89.596	169.0867
69.000000	89.558	168.7316
70.000000	89.519	168.3617
71.000000	89.481	168.0004
72.000000	89.444	167.6304
73.000000	89.405	167.2644
74.000000	89.366	166.9246
75.000000	89.327	166.5991
76.199997	89.280	166.2180
77.500000	89.225	165.8414
78.800003	89.173	165.4981
80.000000	89.127	165.1737
81.199997	89.073	164.8369
82.500000	89.011	164.5045
83.800003	88.954	164.1860
85.000000	88.903	163.9064
86.199997	88.857	163.6220
87.500000	88.807	163.3176
88.500000	88.768	163.0912
90.000000	88.703	162.7852
91.199997	88.652	162.5788
92.500000	88.599	162.3706
93.800003	88.547	162.1554
95.000000	88.498	161.9492
